LIVRO,preço capa,preço usp,AUTOR,ISBN,PAG
"Alma do mundo, A","R$ 38,00","R$ 19,00",Felipe Polleri,978-85-61578-29-9,144
Alves & Cia.,"R$ 26,90","R$ 13,45",Eça de Queiroz,978-85-61578-57-2,128
Um amor anarquista,"R$ 42,00","R$ 21,00",Miguel Sanches Neto,978-65-88410-00-4,232
Amor é um lugar estranho,"R$ 34,00","R$ 17,00",Luís Roberto Amabile,978-85-61578-22-0,112
Ascese,"R$ 39,00","R$ 19,50",Nikos Kazantzákis,978-85-61578-64-0,96
Audie Murphy: de soldado norte-americano mais cond,"corado na SR$ 48,90","gunda GuerraR$ 24,45",Dasatvriod  dAe. SHmoliltyhwood,978-85-61578-55-8,224
"Barbarossa, o almirante do Sultão","R$ 53,90","R$ 26,95",Ernle Bradford,978-85-61578-31-2,224
"Barbudos, sujos e fatigados","R$ 74,00","R$ 37,00",Cesar Campiani Maximiano,978-85-61578-13-8,448
"Bartleby, o escrevente","R$ 26,90","R$ 13,45",Herman Melville,978-85-61578-38-1,88
"Bazar do Renascimento, O","R$ 55,00","R$ 27,50",Jerry Brotton,978-85-61578-06-0,224
Benito Cereno,"R$ 27,90","R$ 13,95",Herman Melville,978-85-61578-73-2,152
Billy Budd,"R$        27,90","R$ 13,95",Herman Melville,978-65-88410-01-1,152
"Briga dos dois Ivans, A","R$ 26,90","R$ 13,45",Nikolai Gogol,978-85-61578-35-0,96
"Buda no sótão, O","R$ 39,90","R$ 19,95",Julie Otsuka,978-85-61578-40-4,144
Cama de Pregos,"R$ 36,00","R$ 18,00",Carlos Eduardo de Magalhães,978-85-61578-10-7,160
Camaradas - 1917 a Russia em Revolução,"R$ 74,00","R$ 37,00",Brian Moynahan,978-85-61578-68-8,480
"Cão dos Baskerville, O","R$ 28,90","R$ 14,45",Arthur Conan Doyle,978-85-61578-56-5,240
"Capitão Mihális, O - liberdade ou morte","R$ 74,00","R$ 37,00",Nikos Kazantzákis,978-85-61578-27-5,568
Carmen,"R$ 26,90","R$ 13,45",Prosper Mérimée,978-85-61578-77-0,112
"Cavalo pálido, O","R$ 48,00","R$ 24,00",Boris Sávinkov,978-85-61578-84-8,168
Ciranda de nós,"R$ 36,00","R$ 18,00",Maria Carolina Maia,978-85-61578-09-1,176
"Coração simples, Um","R$ 26,90","R$ 13,45",Gustave Flaubert,978-85-61578-44-2,80
"Diamante do tamanho do Ritz, O","R$ 26,90","R$ 13,45",F. Scott Fitzgerald,978-85-61578-75-6,88
Do palácio ao bordel,"R$ 46,00","R$ 23,00",Antonio Carlos Seidl,978-85-61578-76-3,240
"Dois pintores, dois professores","R$ 164,00","R$ 82,00",José e Carlos Flexa Ribeiro,978-85-61578-65-7,588
"Duelo, O","R$ 26,90","R$ 13,45",Giacomo Casanova,978-85-61578-83-1,88
"Duelo, O","R$ 26,90","R$ 13,45",Heinruch Von Kleist,978-85-61578-82-4,64
"Duelo, O","R$ 27,90","R$ 13,95",Joseph Conrad,978-85-61578-81-7,144
Em cada momento ainda estamos vivos,"R$ 53,00","R$ 26,50",Tom Malmquist,978-85-61578-78-7,272
Em linha reta,"R$ 36,00","R$ 18,00",Tailor Diniz,978-85-61578-32-9,128
"Fazenda dos animais, A","R$ 27,90","R$ 13,95",George Orwell,978-65-88410-26-4,144
Freya das Sete Ilhas,"R$ 27,90","R$ 13,95",Joseph Conrad,978-85-61578-33-6,136
