ISBN,LIVRO,AUTOR(A),CAPA DURA,PREÇO 50%
9788561167868,O FUXICO DE JANAINA,JANAÍNA DE FIGUEIREDO,NÃO,"R$ 17,50"
9788561167059,O MAIOR NABO DO MUNDO,CELSO SISTO,NÃO,"R$ 16,00"
9788561167578,O MENINO QUE QUERIA VIRAR VENTO (BROCHURA),PEDRO KALIL,NÃO,"R$ 17,50"
9788595260085,O MONSTRO DAS CORES,ANNA LLENAS,SIM,"R$ 29,50"
9786586881363,O MONSTRO DAS CORES VAI À ESCOLA,ANNA LLENAS,SIM,"R$ 29,50"
9788561167684,O OVO AMARELINHO DA GALINHA DO VIZINHO (BROCHURA),ROSANA MONT'ALVERNE,NÃO,"R$ 16,00"
9788522031450,O PEQUENO PRÍNCIPE,AGNÉS DE LESTRADE,SIM,"R$ 27,00"
9788561167851,O RABO DO RATO,BALBINA OLIVEIRA,NÃO,"R$ 16,00"
9788561167608,O ÚLTIMO CONTO,RODOLFO CASTRO,NÃO,"R$ 17,50"
ISBN,LIVRO,AUTOR(A),CAPA DURA,PREÇO 50%
9786599025020,OGROS,ERNANI SSÓ,NÃO,"R$ 22,50"
9786586881226,PASSARINHOS,CAROLINE CARVALHO,NÃO,"R$ 22,50"
9788561167202,PORQUE COLOCAMOS ESTRELAS NAS ÁRVORES DE NATAL,NADIA HEPPELL,NÃO,"R$ 16,00"
9788561167202,"PORQUE COLOCAMOS ESTRELAS NAS ÁRVORES DE NATAL(CAPA DURA)",NADIA HEPPELL,SIM,"R$ 20,00"
9786586881554,QUIQUINHO E PIOPIO + 1 CORDEL,CAROLINA RESENDE,NÃO,"R$ 22,50"
9788561167738,"SALOPÃO, UM JUMENTO DO SERTÃO",FERNANDO LIMOEIRO,NÃO,"R$ 13,00"
9786599025006,TEMPO DE NAVIO,ELAINE CAVION,SIM,"R$ 28,50"
9788561167516,TEXTOS E PRETEXTOS SOBRE A ARTE DE CONTAR HISTÓRIAS,CELSO SISTO,NÃO,"R$ 24,50"
9788561167943,TODAS AS CORES DE MALU,ROSANA MONT'ALVERNE,NÃO,"R$ 20,00"
9788561167950,UM COELHO,ANABELLA LÓPEZ,SIM,"R$ 24,50"
9786586881486,VIAGEM DE CLARIDADE,ANA AZEVEDO,NÃO,"R$ 22,00"
9788561167653,ZÉLIA,CHRISTELLE VALLAT,SIM,"R$ 24,50"
