"",,,,,
EDUCIBER: diálogos ubíquos para além da tela e da rede – Vol. 1.0,"Cristiane Porto, André Luiz Alves, Marlton Fontes Mota (Orgs.)",E-book Gratuito,E-book Gratuito,,
"Democracia, Meio Ambiente e Desenvolvimento: experiências brasileiras","Ilzver de Matos Oliveira, Tagore Trajano de Almeida Silva, MariaZenaide Alves (Orgs.)",E-book Gratuito,E-book Gratuito,,
Práticas Educativas na Tessitura do Tempo,"Cristiano Ferronato, Ane Luise Silva Mecenas Santos (Orgs.)",E-book Gratuito,E-book Gratuito,,
"Meio ambiente, sustentabilidade e Direitos Humanos: reflexões e ações noNordeste brasileiro","Carla Jeane Helfemsteller Coelho, Liziane Paixão Silva Oliveira,Marcelo Luiz Pelizzoli, Thayane de Souza Santos (Orgs.)",E-book Gratuito,E-book Gratuito,,
Coletânea de Artigos Direito e Interdisciplinaridade Vol. 1,"Karoline Mafra Sarmento Beserra, Mariana Falcão Soares e JessicaAline Caparica da Silva (Orgs.)",E-book Gratuito,E-book Gratuito,,
Bioética e Direitos Humanos: visões interdisciplinares,"Fabiana Oliveira dos Santos Gomes e Marcos Ely AlmeidaAndrade (Orgs.)",E-book Gratuito,E-book Gratuito,,
"Entre rotas, nexos e redes colaborativas: notas de memorial acadêmico",Edvaldo Souza Couto,E-book Gratuito,E-book Gratuito,,
"Educação, Criatividade, Inovação e as Tecnologias da Informação e","Ronaldo Nunes Linhares, Valéria Pinto Freire e Éverton Gonçalves",,
Comunicação,Ávila (Orgs.),E-book Gratuito,E-book Gratuito
Licenças para Degradar? Impactos socioambientais da mineração na América do,"Diego Freitas Rodrigues, Edson Struminski e Tainá Teixeira",,
Sul,Cavalcante de Lima,E-book Gratuito,E-book Gratuito
