TÍTULO,AUTOR/ ORGANIZADOR,ASSUNTOS,De R$,Por R$,Desconto
DIÁRIO DE UM VELHO LOUCO,"Tanizaki, Jun'ichiro",Literatura Japonesa,"48,00","24,00",50%
DIÁRIO DOS MOEDEIROS FALSOS,"Gide, André",Literatura Francesa,"42,00","21,00",50%
DIVÃ OCIDENTO-ORIENTAL,"Goethe, J.W.",Literatura Alemã,"72,00","36,00",50%
DON JUAN (narrado por ele mesmo),"Handke, Peter",Literatura Austríaca,"42,00","21,00",50%
EFFI BRIEST,"Fontane, Theodor",Clássicos da Literatura Mundial,"65,00","26,00",60%
EINSTEIN - COL. FIGURAS DO SABER 22,"Paty, Michel",Filosofia,"43,00","21,50",50%
TÍTULO,AUTOR/ ORGANIZADOR,ASSUNTOS,De R$,Por R$,Desconto
ENSAIO SOBRE A JUKEBOX,"Handke, Peter",Literatura Austríaca,"40,00","20,00",50%
ENSAIO SOBRE O CANSAÇO,"Handke, Peter",Literatura Austríaca,"33,00","16,50",50%
ENSAIO SOBRE O DIA EXITOSO,"Handke, Peter",Literatura Austríaca,"33,00","16,50",50%
ENSAIO SOBRE O LOUCO POR COGUMELOS,"Handke, Peter",Literatura Austríaca,"46,00","23,00",50%
EPICURO,Julie Giovachini,Filosofia,"52,00","26,00",50%
ESFERAS I - BOLHAS,"Sloterdijk, Peter",Filosofia,"99,00","49,50",50%
"ESTRATÉGIA DA DECEPÇÃO, A","Ildefonse, Frédérique",Filosofia,"37,00","18,50",50%
EU SOU UM GATO,"Soseki, Natsume",Literatura Japonesa,"74,00","37,00",50%
EUGÉNIE GRANDET,"Balzac, Honoré de",Clássicos da Literatura Mundial,"53,00","26,50",50%
FÁBULAS DE LA FONTAINE,"La Fontaine e Chagall, Marc",Literatura Infantil,"57,00","22,80",60%
FABULOSA HISTÓRIA DOS LEGUMES,"Bloch-Dano, Évelyne",Gastronomia,"53,00","26,50",50%
FÁTIMA FEZ OS PÉS PARA MOSTRAR NA CHOPERIA,"Mirisola, Marcelo",Literatura Brasileira,"42,00","12,60",70%
FESTA SOB AS BOMBAS,"Canetti, Elias",Literatura Austríaca,"51,00","25,50",50%
FIGURAS II,"Genette, Gérard",Crítica Literária,"58,00","29,00",50%
FIGURAS III,"Genette, Gérard",Crítica Literária,"58,00","29,00",50%
FLÁVIO JOSEFO - COL. FIG. DO SABER 14,"Lamour, Denis",Filosofia,"43,00","17,20",60%
"FORMIGAS DA ESTAÇÃO DE BERNA, AS","Comment, Bernard",Literatura Suiça,"39,00","11,70",70%
"FORMULA PREFERIDA DO PROFESSOR, A","Ogawa, Yoko",Literatura Japonesa,"49,00","24,50",50%
FREUD - COL. FIG. DO SABER 18,"Landman, Patrick",Filosofia,"43,00","21,50",50%
"FURGÃO, O","Doyle, Roddy",Literatura Irlandesa,"47,00","14,10",70%
"FUZIL DE CAÇA, O","Inoue, Yasushi",Literatura Japonesa,"40,00","20,00",50%
"GANGUE ESCARLATE DE ASAKUZA, A","Kawabata, Yasunari",Literatura Japonesa,"49,00","24,50",50%
"GAROTO DO RIQUIXÁ, O","She, Lao",Literatura Chinesa,"56,00","28,00",50%
"GATO ZEN, O","Shan, Kwong Kuen",Literatura Chinesa,"30,00","15,00",50%
GERMINAL,"Zola, Émile",Clássicos da Literatura Mundial,"79,00","39,50",50%
GORDOS. MAGROS E OBESOS,"Sant'Anna, Denise B. de",Psicologia e Saúde,"47,00","23,50",50%
"GRANDE REGRESSÃO, A","Geiselberger, Heinrich (org.)",Filosofia,"62,00","32,00",50%
GUERRA CIVIL,"César, Júlio",História Geral,"58,00","29,00",50%
GUERRA COMO PRESTAÇÃO DE SERVIÇOS,"Uesseler, Rolf",Ciências Sociais,"58,00","29,00",50%
GUERRA DE GUEIXAS,"Kafu, Nagai",Literatura Japonesa,"50,00","25,00",50%
GUERRA SEM BATALHA,"Müller, Heiner",Biografia,"55,00","27,50",50%
"GUERRA, A","Bonanate, Luigi",História Geral,"47,00","23,50",50%
HEGEL - COL. FIG. DO SABER 12,"Timmermans, Benoît",Filosofia,"44,00","22,00",50%
HEIDEGGER - COL. FIG. DO SABER 26,"Salanskis, Jean-Michel",Filosofia,"43,00","21,50",50%
HISTÓRIA DA ALIMENTAÇÃO,"Flandrin, Jean-Louis",Gastronomia,"159,00","79,50",50%
"HISTÓRIA DE HONG GILDONG, A","Gyun, Heo",Literatura Coreana,"39,00","19,50",50%
HISTÓRIAS DA MESA,"Montanari, Massimo",Gastronomia,"52,00","26,00",50%
HISTÓRIAS DA OUTRA MARGEM,"Kafu, Nagai",Literatura Japonesa,"41,00","20,50",50%
TÍTULO,AUTOR/ ORGANIZADOR,ASSUNTOS,De R$,Por R$,Desconto
HOMENS E MULHERES DA IDADE MÉDIA,"Le Goff, Jacques",História Geral,"139,00","69,50",50%
HOTEL SAVOY,"Roth, Joseph",Literatura Austríaca,"47,00","23,50",50%
HUSSERL - COL. FIG. DO SABER 16,"Salanskis, Jean-Michel",Filosofia,"42,00","21,00",50%
ILUSÕES PERDIDAS,"Balzac, Honoré de",Clássicos da Literatura Mundial,"87,00","43,50",50%
INSPIRAÇÃO AMAZÕNIA,Vários,Colorir,"27,00","13,50",50%
INSPIRAÇÃO ARABESCOS,Vários,Colorir,"27,00","10,80",60%
INSPIRAÇÃO JAPÃO,Vários,Colorir,"27,00","10,80",60%
INSPIRAÇÃO NATUREZA,Vários,Colorir,"27,00","10,80",60%
INSUSTENTÁVEL ARQUITETURA,"Bojadsen, Angel (org.)",Arquitetura e Urbanismo,"43,00","21,50",50%
INTRODUÇÃO À FILOSOFIA ISLÂMICA,"Campanini, Massimo",Filosofia,"52,00","26,00",50%
"INVENÇÃO DE PARIS, A","Hazan, Éric",História Geral,"149,00","74,50",50%
IRA E TEMPO ensaio político psicológico,"Sloterdijk, Peter",Filosofia,"70,00","35,00",50%
"IRMÃS MAKIOKA, AS","Tanizaki, Jun'ichiro",Literatura Japonesa,"99,00","49,50",50%
"IVÃ, O CAVALEIRO DO LEÃO","Hoppe, Felitas",Literatura Juvenil,"44,00","17,60",60%
KANT - COL. FIGURAS DO SABER 9,"Thouard, Denis",Filosofia,"44,00","22,00",50%
KAPPA E O LEVANTE IMAGINÁRIO,"Akutagawa, Ryunosuke",Literatura Japonesa,"58,00","29,00",50%
KAWABATA - MISHIMA CORRESPONDÊNCIA 1945-1970,"Mishima, Yukio; Kawabata, Yasunari",Biografia,"56,00","28,00",50%
KYOTO,"Kawabata, Yasunari",Literatura Japonesa,"52,00","26,00",50%
"LAGO, O","Kawabata, Yasunari",Literatura Japonesa,"44,00","22,00",50%
"LENDA DO SANTO BEBERÃO, A","Roth, Joseph",Literatura Austríaca,"37,00","18,50",50%
LÉVINAS - COL. FIGURAS DO SABER 24,"Sebbah, François-David",Filosofia,"52,00","26,00",50%
LÉVI-STRAUSS - COL. FIGURAS DO SABER 33,"Dekens, Olivier",Filosofia,"49,00","24,50",50%
LINA,"Auriema, Bruno e Judar, Cristina",HQ,"39,00","15,60",60%
"LIVRO DO CHÁ, O","Okakura, Kakuzo",História Geral,"47,00","23,50",50%
LOCKE - COL. FIG. DO SABER 10,"Tadié, Alexis",Filosofia,"47,00","18,80",60%
LYOTARD - COL. FIG. DO SABER 19,"Gualandi, Alberto",Filosofia,"44,00","13,20",70%
MAIMÔNIDES - COL. FIGURAS DO SABER 4,"Haddad, Gerard",Filosofia,"42,00","21,00",50%
MALDITO SEJA DOSTOIÉVSKI,"Rahimi, Atiq",Literatura Afegã,"54,00","27,00",50%
MEIO AMBIENTE BRASIL,"Camargo, Aspásia; Capobianco, João Paulo e","Mliveeioir aA,m J.b Pieunptpeim de (orgs.)","76,00","38,00",50%
"MELODIA DAS COISAS, A","Rilke, Rainer Maria",Literatura Alemã,"49,00","24,50",50%
MEU GATO MAIS TONTO DO MUNDO,"Bachelet, Gilles",Literatura Infantil,"43,00","21,50",50%
"MIL CASAS DO SONHO E DO TERROR, AS","Rahimi, Atiq",Literatura Afegã,"46,00","18,40",60%
MIL TSURUS,"Kawabata, Yasunari",Literatura Japonesa,"47,00","23,50",50%
"MOEDEIROS FALSOS, OS","Gide, André",Literatura Francesa,"68,00","34,00",50%
MONTAIGNE - COL. FIGURAS DO SABER 28,"Benmakhlouf, Ali",Filosofia,"52,00","20,80",60%
MORRER SOZINHO EM BERLIM,"Fallada, Hans",Literatura Alemã,"90,00","45,00",50%
"MULHER DE TRINTA ANOS, A","Balzac, Honoré de",Clássicos da Literatura Mundial,"49,00","24,50",50%
MULHERES ATRÁS DAS CÂMERAS,"Lusvarghi, Luiza",Arte e Cinema,"64,00","32,00",50%
TÍTULO,AUTOR/ ORGANIZADOR,ASSUNTOS,De R$,Por R$,Desconto
MUSASHI - Volume I,"Yoshikawa, Eiji",Literatura Japonesa,"125,00","62,50",50%
MUSASHI - Volume II,"Yoshikawa, Eiji",Literatura Japonesa,"125,00","62,50",50%
MUSASHI 3Vol-Caixa,"Yoshikawa, Eiji",Literatura Japonesa,"270,00","135,00",50%
MUSEU DO SILENCIO,"Ogawa, Yoko",Literatura Japonesa,"53,00","26,50",50%
MUSICOS DE BREMEN,Jacob e Wilhelm Grimm,Literatura Infantil,"26,00","13,00",50%
NA TERRA DO CERVO BRANCO,"Zhongshi, Chen",Literatura Chinesa,"119,00","59,50",50%
NÃO ADIANTA MORRER,"Maciel, Francisco",Literatura Brasileira,"54,00","16,20",70%
NEWTON - COL. FIGURAS DO SABER 31,"Panza, Marco",Filosofia,"55,00","22,00",60%
"NOITES REVOLUCIONÁRIAS, AS","La Bretonne, Restif de",Clássicos da Literatura Mundial,"60,00","30,00",50%
NOTRE-DAME DE PARIS,"Hugo, Victor",Clássicos da Literatura Mundial,"82,00","41,00",50%
ORIGENS DA HABITAÇÃO SOCIAL NO BRASIL,"Bonduki, Nabil",Arquitetura e Urbanismo,"85,00","42,50",50%
PADDY CLARKE  HA HA HA,"Doyle, Roddy",Literatura Irlandesa,"47,00","18,80",60%
"PAI GORIOT, O","Balzac, Honoré de",Clássicos da Literatura Mundial,"55,00","22,00",60%
"PAÍS DAS NEVES, O","Kawabata, Yasunari",Literatura Japonesa,"44,00","22,00",50%
PARTE DA SOLUÇÃO,"Peltzer, Ulrich",Literatura Alemã,"66,00","19,80",70%
PASCAL - COL. FIGURAS DO SABER 20,Francesco Paolo Adorno,Filosofia,"43,00","21,50",50%
PAVORES DE GELO E TREVAS,Christoph Ransmayr,Literatura Austríaca,"54,00","16,20",70%
"PERDA DA IMAGEM ou Através da Sierra de Gredos, A",Peter Handke,Literatura Austríaca,"83,00","41,50",50%
PEREGRINAÇÕES,Jean-François Lyotard,Filosofia,"40,00","20,00",50%
PEREGRINOS DO SOL A Arte da Espada Samurai,Luiz Kobayashi,História Geral,"62,00","31,00",50%
PÉRICLES: O inventor da democracia,Claude Mossé,Biografia,"60,00","30,00",50%
"PODER DA MULTIPLICAÇÃO, O","Ludermann, Marina;",Arte e Cinema,"60,00","30,00",50%
"POLÍCIA DA MEMÓRIA, A","Ogawa, Yoko",Literatura Japonesa,"65,00","32,50",50%
"POMBO-TORCAZ, O","Gide, André",Literatura Francesa,"37,00","18,50",50%
"PONTE FLUTUANTE DOS SONHOS, A","Tanizaki, Jun'ichiro",Literatura Japonesa,"47,00","23,50",50%
"PORÕES DO VATICANO, OS","Gide, André",Literatura Francesa,"53,00","26,50",50%
"PORTAL, O","Soseki, Natsume",Literatura Japonesa,"58,00","29,00",50%
"PRIMEIRO DIA DO ANO DA PESTE, O","Maciel, Francisco",Literatura Brasileira,"45,00","13,50",70%
PRODUÇÃO DE ALIMENTOS NO SÉC. XXI,"Conway, Gordon",Meio Ambiente,"64,00","32,00",50%
PROLEGÔMENOS,"Kant, Immanuel",Filosofia,"47,00","23,50",50%
"PROMESSA seguido de A PANE, A",Friedrich Dürrenmatt,Literatura Suiça,"49,00","24,50",50%
