"Preço          P  r e  ç o comTítuloAutorde capadesconto",,,
O pai da mamãe,Cristiana Gomes e Odilon Moraes,"48,00","24,00"
"Amor, o coelho",Rita Carelli,"48,00","24,00"
"Homem-Bicho, Bicho-homem",Itamar Assumpção e Dalton Paula,"52,00","26,00"
Milágrimas,Alice Ruiz S e Luli Penna,"42,00","21,00"
O menino que virou chuva,Yuri de Francco e Renato Moriconi,"48,00","24,00"
O tio + oito,Caio Zerbini e Bruna Lubambo,"48,00","24,00"
"",,,
"",,,
"",,,
"",,,
"",,,
"",,,
"",,,
"",,,
"",,,
"",,,
"",,,
"",,,
"",,,
"",,,
"",,,
"",,,
"",,,
"",,,
"",,,
"",,,
"",,,
"",,,
"",,,
"",,,
"",,,
"",,,
"",,,
"",,,
"",,,
"",,,
"",,,
"",,,
"",,,
"",,,
"",,,
"",,,
"",,,
"",,,
"",,,
"",,,
