Titulo,Autor,"Preço decapa","Preço comdesconto"
"PRINCIPIO DA NAO VIOLENCIA, O","MULLER,JEAN-MARIE",52.00,26.00
PROCESSOS CIRCULARES,"PRANIS,KAY",39.00,19.50
"QUESTAO ANCESTRAL, A - AFRICA NEGRA","LEITE,FABIO",59.00,29.50
REINVENTAR A EDUCACAO,EDGAR MORIN / CARLOS DELGADO,39.00,19.50
"RESGATE DA UTOPIA, O",HENRIQUE RATTNER,39.00,19.50
"REVOLUÇÃO DO ALTRUISMO, A","RICARD,MATTHIEU",95.00,47.50
ROCA E O CALMO PENSAR,"GANDHI,MOHANDAS K.",45.00,22.50
SAN JUAN DE LA CRUZ,PATRICIO SCIADINI,32.00,16.00
SEGURANCA E CUIDADO,ELIZABETH M ELLIOTT,52.00,26.00
SIMPLICIDADE ELEGANTE,SATISH KUMAR,52.00,26.00
"SOLO. ALMA, SOCIEDADE",SATISH KUMAR,40.00,20.00
SUPERANDO A DOR ENTRE NOS,MARSHALL ROSENBERG,28.00,14.00
SURPREENDENTE PROPOSITO DA RAIVA,MARSHALL ROSENBERG,28.00,14.00
TRANSFORMACAO DE CONFLITOS,"LEDERACH, JOHN PAUL",39.00,19.50
TRANSFORMAR COMUNIDADES,DAVID ANDERSON HOOKER,39.00,19.50
TROCANDO AS LENTES:UM NOVO FOCO SOBRE O CRIME E A,"ZEHR,HOWARD",58.00,29.00
VIVER A CATASTROFE TOTAL,JON KABAT-ZINN,98.00,49.00
"YOGA, IMORTALIDADE E LIBERDADE",MIRCEA ELIADE,67.00,33.50
