Título,Autor,
Futebol Infanto-Juvenil – Preparação de Atletas Para Teste,Udelton Arques Prates,esgotado
Futebol: Espetáculo do Século,"Marcia Regina da Costa, José Paulo Florenzano, Elizabe","h Qesuginottiandoo, Si"
Garu-Rapoti – Uma Ilha a Descobrir,Christiane Wagner,saldo
Graciliano Ramos – A Infância Pelas Mãos do Escritor,Taísa Vliese de Lemos,"R$ 52,00"
História de Florença,Nicolau Maquiavel (Tradução de Nelson Canabarro),"R$ 84,00"
"Horácio,poeta da festa,Navegar não é preciso:28 Odes latim-Port",Dante Tringali,"R$ 36,00"
Horas de Insônia,Paulo Bungart,"R$ 20,00"
"Humanismo em Clarice Lispector, O",Ana Aparecida Arguelho de Souza,"R$ 48,00"
"Imagem de São Domingos (perfis de santos dominicanos), À",Guy Bedouelle (Tradução de Frei José Luis Monteiro),prelo
Interação e Letramento Escolar,Sérgio Roberto Costa,"R$ 52,00"
Interpretação Musical em Pauta,Sonia R. Albano de Lima,"R$ 62,00"
Invídia e a Espada Nua: Portal para a Terra de Stauron,Klaus de Geus/ Ilustrações Bruno Romão,"R$ 59,00"
Ir ao Cinema – Um Olhar Sobre Filmes,Humberto Pereira da Silva,"R$ 44,00"
"José Saramago: tudo, provavelmente, são ficções; mas a literatura é vi",Eaula Carvalho Pinheiro,"R$ 52,00"
Leitura e Escrita na Formação de Professores,"Maria Teresa Assunção de Freitas, Sérgio Roberto da C",stae s(Ogorgtasd.)o
Literatura da Cultura de Massa,Waldenyr Caldas,"R$ 48,00"
"Livro de Madre Teresa de Jesus, O",Marisa Marega,esgotado
"Mal em Machado de Assis, O",Viviane Cristina Cândido,"R$ 32,00"
Manifestações e práticas folclóricas no cenário musical,Niomar Souza Pereira et al.,"R$ 62,00"
"Marchinhas de Carnaval, As",Roberto Lapiccirella,prelo agosto
Maria Pão Doce Frito,Ricardo Araújo/José Roberto Aguilar (ilustrações),"R$ 48,00"
Mata Atlântica – Vinte Razões Para Amá-la,Regina Helena de Paiva Ramos,
Matemática e os Professores dos Anos Iniciais,Edda Curi,"R$ 52,00"
Memória do Corpo,José Luis Monteiro,"R$ 30,00"
Memórias de Professoras: Histórias e Histórias,Maria Teresa de Assunção Freitas (Org.),"R$ 48,00"
"Menino Retirante Vai ao Circo de Brodowski, O",Eric Ponty,"R$ 58,00"
"Mensageiro Ferido, O - Ed. Bilíngue Espanhol-Português",Emili M. Boils,"R$ 20,00"
"Mentes Criativas, Projetos Inovadores",Klaus de Geus,"R$ 58,00"
"Metodologia de Interpretação Musical, Uma",Sonia Regina de Albano Lima,"R$ 52,00"
Mistério-Bufo – Edição Bilíngue Russo-Português,Wladimir Maiakovski (tradução Dmitri Beliaev),"R$ 54,00"
"Monge que se Impôs a Seu Tempo, Um – São Bernardo de Claraval",Luís Alberto Ruas Santos,"R$ 62,00"
"Morte, Mariana volta à vida – Relato de Uma Médica, Da",Nazaré Lisboa,
Mulherzinhas (Little Women),Louisa May Alcott  (tradução de Godofredo Rangel),"R$ 42,00"
Múltiplos Olhares: Matemática e Produção do Conhecimento,Jackeline Rodrigues Mendes e Regina Célia Grando (or,"s.)R$ 42,00"
Museu Imaginário,Roberto Pio Borges,"R$ 36,00"
Música Viva e H.J.Koellreutter (movimento em direção à modernidade),Carlos Kater,"R$ 79,00"
Musicantes e o Boi Brasileiro:uma história com [A] Música,Carlos Kater,"R$ 78,00"
Nada Antepor ao Amor de Cristo,Diretório Espiritual dos Cistercienses,prelo
Navegadores do Olhar,Jose Luis Monteiro,"R$ 20,00"
Nova Ética Sexual,Benjamim Forcano,"R$ 54,00"
"Olhar, Saber, Representar: Sobre a Representação em Perspectiva",Claudia Flores,"R$ 79,00"
