Título,Nome Autor 1,Preço,Desconto
NINFAS DO TIETÊ,NFOANTÁTELINAE LNEOLLI SASSO,"R$       35,00","R$       17,50"
NO REINO DA DINAMARCA,ALEXANDRE ONEIL,"R$       45,00","R$       22,50"
NONA MANHÃ,CARL JÓHAN JENSEN,"R$       35,00","R$       17,50"
NOSSO AMOR DE TRINCHEIRA,ULJANA WOOLF,"R$       45,00","R$       22,50"
O ABISMO ENTRE NÓS,CRIS VAZQUEZ,"R$       38,00","R$       19,00"
"O ANO INTEIRO, O OUTRO ANO E O OUTRO",FERNANDO MIRANDA,"R$       35,00","R$       17,50"
O AVESSO DA LAMPADA,DEMETRIOS GALVÃO,"R$       35,00","R$       17,50"
O CACTO NÃO CRESCEU,MARCUS VINICIUS,"R$       35,00","R$       17,50"
O CÉU NAS MÃOS,SSAANMTAARNOAN LEI LMIAMA,"R$       35,00","R$       17,50"
O ESCARAVELHO DOS DEUSES,MARIANNE SANTIAGO,"R$       40,00","R$       20,00"
O ESPANTOSO ESPLENDOR,VARIOS AUTORES,"R$       60,00","R$       30,00"
O GATO NA ÁRVORE,MARCO ANTONIO MARTIRE,"R$       38,00","R$       19,00"
O INTERESSE PELAS COISAS,EDUARDO VILELLA,"R$       38,00","R$       19,00"
O MAR NÃO SOFRE COISA MORTA,LEONARDO PAIVA,"R$       30,00","R$       15,00"
O MIRÁBOLO,LUCAS ROLIM,"R$       30,00","R$       15,00"
O POETA DE PONDICHERRY,ADILIA LOPES,"R$       35,00","R$       17,50"
O QUARTO ALEMÃO,CARLA MALIANDI,"R$       50,00","R$       25,00"
O SAGRADO CORAÇÃO DO HOMEM,MICHEL DE OLIVEIRA,"R$       50,00","R$       25,00"
"O ÚLTIMO MINUTO CUSTA A CHEGAR, MAS É MARAVILHOSO",VICTOR TOSCANO,"R$       35,00","R$       17,50"
"OLHANDO PRO NADA, LEMBRANDO DE TUDO",BRUNO BRAGA,"R$       35,00","R$       17,50"
ORIDES FONTELA - TODA PALAVRA E CRUELDADE,ORIDES MARIA HELENA,"R$       40,00","R$       20,00"
OS BLUES QUE NAO DANCAMOS,FRANCK SANTOS,"R$       38,00","R$       19,00"
OS DEUSES NAS COISAS,GUSTAVO CASTRO,"R$       38,00","R$       19,00"
OS ESCRITORES QUE EU MATEI,MARCO SEVERO,"R$       38,00","R$       19,00"
OS TARAHUMARAS,ANTONIN ARTAUD,"R$       55,00","R$       27,50"
PARA ACABAR COM O JUÍZO DE DEUS E OUTROS ESCRITOS,ANTONIN ARTAUD,"R$       50,00","R$       25,00"
PARA ONDE VÃO OS CAVALOS QUANDO MORREM,MARCELO BRITTES,"R$       50,00","R$       25,00"
PEÇAS PARA UM ENSAIO,ORG. PEDRO FERNANDES,"R$       80,00","R$       40,00"
PERIODO FORMATIVO,HORÁCIO COSTA,"R$       80,00","R$       40,00"
PERVIVÊNCIA CLÁSSICA,ORG ROBERT DE BROSE,"R$       50,00","R$       25,00"
PLACEBO,JOSE MARIA BRINDISI,"R$       45,00","R$       22,50"
POEMAS DA MEIA-NOITE (E DO MEIO-DIA),WILLIAM SOARES DOS,"R$       38,00","R$       19,00"
POESIA (E) FILOSOFIA,SAALBNETROTSO PUCHEU,"R$       38,00","R$       19,00"
POESIA DE GELADEIRA,VIVIANE DE FREITAS,"R$       35,00","R$       17,50"
"POETA DE PONDICHERRY, O",ADILIA LOPES,"R$       35,00","R$       17,50"
PROJETOS EDITORIAIS E REDES INTELECTUAIS NA AMÉRICA,JOSE LUIS DE DIEGO,"R$       55,00","R$       27,50"
"PLAUTXIAN, APUTA, PURA, POESIA",ANABELLE CONSIDERA,"R$       50,00","R$       25,00"
QUANDO ONDA,YLO BARROSO,"R$       35,00","R$       17,50"
QUEM MOVE AS PEÇAS,ARIEL MAGNUS,"R$       40,00","R$       20,00"
REABITAR,DEMETRIOS GALVÃO,"R$       35,00","R$       17,50"
RE-CORDIS,ÁGNES SOUZA,"R$       35,00","R$       17,50"
REFLEXÃO DA LITERATURA,TERESA CRISTINA,"R$       60,00","R$       30,00"
REVISÃO DE TEXTOS,CAELLRADNE IMROARAES E,"R$       60,00","R$       30,00"
RUMOR,TCEANRIOLLLIEN BAE MZEARCRHAADO,"R$       35,00","R$       17,50"
"SANGREM OS PORCOS, DEPENEM OS FRANGOS",IVANDRO MENEZES,"R$       35,00","R$       17,50"
SANGUE DE FLAMBOYANT,MARISA MAMEDE,"R$       35,00","R$       17,50"
SARA LUNA,TOM MAVER,"R$       38,00","R$       19,00"
"SE EU TE AMASSE, ESTAS SAO AS COISAS QUE EU TE DIRIA.",MARCO SEVERO,"R$       40,00","R$       20,00"
SEM FILTRO,GUSTAVO FRIDMAN,"R$       38,00","R$       19,00"
SIMAO SEM MEDO,MIGUEL GRANJA,"R$       48,00","R$       24,00"
