1 de abril,"Martos, Cloder Rivas","R$     37,00","R$   18,50"
Ariel e a pérola da sabedoria,"Ruditis, Paul","R$     39,90","R$   19,95"
A Ruiva Misteriosa,"Clayton, Alice","R$     39,90","R$   19,95"
A Ruiva Popstar,"Clayton, Alice","R$     39,90","R$   19,95"
As 999 primeiras mulheres de Auschwitz,"Dune Macadam, Heat","eRr$     59,90","R$   29,95"
A sabedoria de Tyrion Lannister,"Oaks, Lambert","R$     29,90","R$   14,95"
A saga do mar sem fim,"Mesquita, João Lara","R$     40,00","R$   20,00"
As aventuras de Poliana : Descobrindo o lado bom da vida,Universo Dos Livros,"R$     34,90","R$   17,45"
As aventuras do Capitão Pirilampo e do Comandante Noita,"Rezende, Flávio","R$     49,90","R$   24,95"
As Dez Mil Portas,"Harrow, Alix E.","R$     49,90","R$   24,95"
As Extraordinárias Cores do Amanhã,"Pan, Emily X. R.","R$     49,90","R$   24,95"
As Extraordinárias Cores do Amanhã (Pocket),"Pan, Emily X. R.","R$     19,90","R$     9,95"
As irmãs esquisitas: A História das Trigêmeas Maldosas,"Valentino, Serena","R$     44,90","R$   22,45"
As Ravens: A irmandade das bruxas,"Morgan, Kass; Paige,","aRn$ie   l l e59,90","R$   29,95"
Atraída por um Highlander,"Banks, Maya","R$     44,90","R$   22,45"
Atraído,"Chase, Emma","R$     39,90","R$   19,95"
A última mensagem de Hiroshima: O que vi e como sobrevivi à bomba,"tMômoricta, Takashi","R$     39,90","R$   19,95"
Bahia - Cores e sentimentos,"Simonete, Mauricio;","nRd$ra  d   e3,4 V,9ic0t","rR$   17,45"
Beije-me antes de morrer,"Montefiore, Simon Se","aRg$     44,90","R$   22,45"
Beijo de sangue,"Ward, J. R.","R$     49,90","R$   24,95"
Benjamin Abrahão: Entre anjos e cangaceiros,"Mello, Frederico Pern","mR$b u  c  5a1n,o0 0d","R$   25,50"
Bia – De férias com as amigas,Disney,"R$     39,90","R$   19,95"
Bichionário,"Machado, Nilson José","ORs$i n  s  3ki3, ,D00ul","eR$   16,50"
Blackmoore,"Donaldson, Julianne","R$     49,90","R$   24,95"
"Bolota, uma certa jabuticaba muito esperta","Galrão, Iray","R$     32,00","R$   16,00"
Bora enriquecer,"Mendonça, Julia","R$     39,90","R$   19,95"
Branca de Neve e os Sete Anões,"Murray, Lily","R$     59,90","R$   29,95"
Brasil : As cidades da Copa,"Simonetti, Mauricio","R$     24,90","R$   12,45"
Câmara Cascudo - Um brasileiro feliz,"Lima, Diogenes da Cu","hRa$     35,00","R$   17,50"
Canto negro,"Levy, Ivan V.","R$     31,00","R$   15,50"
Carinha de anjo: Livro oficial da novela,Universo dos Livros,"R$     39,90","R$   19,95"
Carrossel,Universo dos Livros,"R$     39,90","R$   19,95"
Carrossel 2: O sumiço de Maria Joaquina,Universo dos Livros,"R$     39,90","R$   19,95"
Cartas de amor de Paris,"Vérant, Samantha","R$     39,90","R$   19,95"
Cássio – a trajetória do maior goleiro da história do Corinthians,"Unzelte, Celso","R$     39,90","R$   19,95"
Cego Aderaldo: A vasta visão de um cantador,"Portella, Cláudio","R$     32,00","R$   16,00"
Chefe irresistível,"Lauren, Christina","R$     24,90","R$   12,45"
Christopher Robin: Um reencontro inesquecível,"Rudnick, Elizabeth","R$     39,90","R$   19,95"
Cidadania é quando...,"Machado, Nilson José","R$     16,00","R$     8,00"
Cidade dos Karianthos,"Oliveira, Valdir","R$     35,00","R$   17,50"
Cinzas da meia-noite,"Adrian, Lara","R$     44,90","R$   22,45"
Coleção O livro dos Apóstolos - Pocket,"Livros, Universo dos","R$     24,90","R$   12,45"
Coleção Saúde & Bem-estar - Pocket,"Livros, Universo dos","R$     19,90","R$     9,95"
Como abrir um negócio que irá salvar o planeta,VandenWymelenberg,"BRe$n  j a  4m4i,n90","R$   22,45"
Como convecer alguém em 90 segundos (Pocket),"Boothman, Nicholas","R$     14,90","R$     7,45"
Como convencer alguém em 90 segundos,"Boothman, Nicholas","R$     29,90","R$   14,95"
Como fazer alguém gostar de você em 90 segundos,"Boothman, Nicholas","R$     44,90","R$   22,45"
Como fazer alguém se apaixonar por você em até 90 minutos,"Boothman, Nicholas","R$     29,90","R$   14,95"
Como fazer alguém se apaixonar por você em até 90 minutos (Pocket),"Boothman, Nicholas","R$     14,90","R$     7,45"
Como lidar com pessoas manipuladoras,"Simon, George K.","R$     39,90","R$   19,95"
Corações em fase terminal POCKET,"Ribeiro, Fabiane","R$     14,90","R$     7,45"
Counter-strike desvendado,"Caetano, Ricardo","R$     29,90","R$   14,95"
Cretina irresistível,"Lauren, Christina","R$     24,90","R$   12,45"
Cretina irresistível (Pocket),"Lauren, Christina","R$     19,90","R$     9,95"
Cretino irresistível,"Lauren, Christina","R$     39,90","R$   19,95"
Cretino irresistível (Pocket),"Lauren, Christina","R$     19,90","R$     9,95"
Croácia: Cozinha e memória Dálmata,"Camargo, Katia Gavra","iRch$     34,00","R$   17,00"
Cruella - Livro oficial do filme,"Rudnick, Elizabeth","R$     54,90","R$   27,45"
Cúmplices de um resgate: Edição especial para fãs,Universo dos Livros,"R$     29,90","R$   14,95"
Dança imanente,"Mendes, Ana Flavia","R$     40,00","R$   20,00"
Dani e elas,"Albuquerque, Daniela","R$     49,90","R$   24,95"
Deep,"Scott, Kylie","R$     39,90","R$   19,95"
Deixe-me entrar na tua vida,"Santos, Margarida Fo","sRe$ca     25,00","R$   12,50"
Deixe Me Ir E Deixe Me Livre Vira-vira. Pocket,"Sacerdoti, Daniela","R$     19,90","R$     9,95"
Deixe os homens aos seus pés: Como se tornar uma mulher poderosa e,"Firorerlseiost,í vMeal rie","R$     24,90","R$   12,45"
Delatores: A ascensão e a queda dos investigados na Lava Jato,"Hasselmann, Joice","R$     39,90","R$   19,95"
De mal a pior,"Green, Simon James","R$     39,90","R$   19,95"
Demi Lovato,"Dalpino, Cintia","R$     24,90","R$   12,45"
Depois de Auschwitz,"Schloss, Eva","R$     39,90","R$   19,95"
Depois de Auschwitz - Pocket,"Schloss, Eva","R$     19,90","R$     9,95"
Desafia-me,"Mafi, Tahereh","R$     49,90","R$   24,95"
Descendentes 2,"Geron, Eric","R$     39,90","R$   19,95"
Descendentes 2 (Pocket),"Geron, Eric","R$     14,90","R$     7,45"
Descendentes 3,"Davis, Carin","R$     44,90","R$   22,45"
Descobertas,"Simões, Nyna","R$     19,90","R$     9,95"
Desejada,"Day, Sylvia","R$     29,90","R$   14,95"
Desejo sombrio,"Feehan, Christine","R$     44,90","R$   22,45"
Design do objeto – bases conceituais – 2a edição,"Gomes Filho, João","R$     59,90","R$   29,95"
De volta para você,"Chase, Samantha","R$     39,90","R$   19,95"
Dezesseis,"Vincent, Rachel","R$     39,90","R$   19,95"
Diário de Minecraft - Volume 2,"Degaspery, André","R$     29,90","R$   14,95"
Dobras do horizonte,"Gadelha, Raimundo","R$     49,90","R$   24,95"
Domado,"Chase, Emma","R$     39,90","R$   19,95"
Driven,"Bromberg, K.","R$     44,90","R$   22,45"
Dulce Amargo: Lembranças de uma adolescente,"María, Dulce","R$     29,90","R$   14,95"
Dumbo: O circo dos sonhos,"Sutherlan, Kari","R$     44,90","R$   22,45"
Educação em astronomia: Repensando a formação de professores,"Nardi, Roberto; Langh",", RR$o d   o 3l4fo,00","R$   17,00"
Ela nunca será minha,"Williams, Whitney Gr","cRia$     29,90","R$   14,95"
"Elementar, caros amigos : O fascinante dia a dia dos átomos","Oliveira, Marcelo R. L.","R$     39,00","R$   19,50"
Em torno de Joaquim Nabuco,"Freyre, Gilberto","R$     35,00","R$   17,50"
E não é que deu certo?,Universo dos Livros,"R$     44,90","R$   22,45"
Enroscado,"Chase, Emma","R$     39,90","R$   19,95"
Ergonomia do objeto,"Filho, Joao Gomes","R$     75,00","R$   37,50"
Escola de magia: Brigada dos amaldiçoados,"Vaz, Alberto; Godoy,","aRn$e s  s  a49,90","R$   24,95"
Escola de magia: Brigada dos amaldiçoados (Pocket),"Vaz, Albert; Godoy, V","nRe$s s a   19,90","R$     9,95"
E se acontece?,"Harlow, Melanie; Ro","aRn$o v  ,   3D9a,v9i0d","R$   19,95"
E se eu fosse pura,"Moira, Amara","R$     39,90","R$   19,95"
Esplendor da honra,"Garwood, Julie","R$     44,90","R$   22,45"
Estilhaça-me,"Mafi, Tahereh","R$     44,90","R$   22,45"
Estranho irresistível,"Lauren, Christina","R$     39,90","R$   19,95"
Estranho irresistível (Pocket),"Lauren, Christina","R$     19,90","R$     9,95"
Estrelas de couro: a estética do cangaço,"Mello, Frederico Pern","mR$b u  c  8a9n,o0 0d","R$   44,50"
Eu deveria ter confiado em você,"Williams, Whitney Gr","cRia$     29,90","R$   14,95"
Eu sobrevivi ao Holocausto,"Konig, Nanette Blitz","R$     39,90","R$   19,95"
Eu sobrevivi ao Holocausto - Pocket,"Konig, Nanette Blitz","R$     14,90","R$     7,45"
Euzébia Zanza,"Fillinger, Camila","R$     20,00","R$   10,00"
Excessos e exageros,"Bernasconi, Pablo","R$     44,90","R$   22,45"
Fábulas,"Lobato, Monteiro","R$     29,90","R$   14,95"
Fascinada por você,"Meyer, A. C.","R$     39,90","R$   19,95"
Faz um milagre em mim,"Danese, Regis","R$     24,90","R$   12,45"
Feitiço sombrio,"Feehan, Christine","R$     44,90","R$   22,45"
Filosofia para quem não é filósofo,"Gibson, Peter","R$     59,90","R$   29,95"
"Formação de professores, questões sociocientíficas e avaliação em larg","C easrcvallaho, Lizete Mari","ORr$q  u  i 4za9 ,d9e0 (","Rrg$an  i 2za4d,o9r5) /"
Frozen às avessas: E se Anna e Elsa nunca tivessem se conhecido?,"Calonita, Jen","R$     59,90","R$   29,95"
Frozen II: Floresta sombria,"Benko, Kamilla","R$     49,90","R$   24,95"
Frozen - Um coração congelado,"Rudnick, Elizabeth","R$     39,90","R$   19,95"
Fury,"Dohner, Laurann","R$     39,90","R$   19,95"
Garotas como nós,"Mele, Dana","R$     44,90","R$   22,45"
Gastão e a receita perfeita,"Lavatelli, Anna","R$     30,00","R$   15,00"
Gerencie o seu dinheiro como alguém foda,"Beckbessinger, Sam","R$     49,90","R$   24,95"
Gigi Balangandã,"Rego, Karen Sa","R$     20,00","R$   10,00"
Glimmerglass: O encontro de dois mundos,"Tognelli, Cristina Cald","rRin$i     39,90","R$   19,95"
God of War,"Caetano, Ricardo","R$     14,95","R$     7,48"
Gravity Falls: Ao esquisito e Além,"Books, Joe","R$     79,90","R$   39,95"
Gravity Falls: aventuras em dobro,"West, Tracey","R$     49,90","R$   24,95"
"Gravity Falls: Dipper e Mabel em ""A maldição do tesouro dos piratas do","Rteomwpeo, ""Jeffrey","R$     89,90","R$   44,95"
Gravity Falls: era uma vez um suíno,"West, Tracey","R$     49,90","R$   24,95"
Gravity falls: Lendas perdidas,"Hirsch, Alex","R$     79,90","R$   39,95"
Gravity falls: O guia de mistério e diversão do Dipper e da Mabel!,"Pines, Dipper; Pines,","aRb$e  l   79,90","R$   39,95"
Gravity falls: um verão de mistérios,"Lockard, Greg","R$     89,90","R$   44,95"
Gravity Falls - Vira vira (Feliz Summerween! / A loja de conveniência...,"oB rhooorkroer, !S)amantha","R$     59,90","R$   29,95"
