9788532807,1,EdUFSC,Darcy Ribeiro: a razão iracunda Gilberto Felisberto Vasconc,36.00,50,18
9788532804,1,EdUFSC,A decadência de Santa Catarina Henrique Luiz Pereira Olivei,18.00,50,9
9788532807,1,EdUFSC,De bolsista a cientista: a experiência dA irton Co sta,20.0 0,50,10
9788532805,1,EdUFSC,"Reservatório de Machadinho: peixes, Alex P ir es de Oliveir a N uñer",36.00,50,18
9788532806,1,EdUFSC,"Arquivos de passagens, paisagens Carlos Eduardo Schmidt Ca",34.00,50,17
9788532804,1,EdUFSC,Desvendando discursos: conceitos báCarmen Rosa Caldas-Coult,48.00,50,24
9788532806,1,EdUFSC,Wittgenstein em retrospectiva Darlei Dall'Agnol,34.00,50,17
9788532807,1,EdUFSC,Guia literário para machos Caléu Nilson Moraes,20.00,50,10
9788532807,1,EdUFSC,Ruinologias: ensaios sobre destroços An a Luiza Andrade,48.00,50,24
9788532805,1,EdUFSC,Práticas ambientais no Brasil: definiçõAg rip a Faria Alexandre,18.00,50,9
9788532807,1,EdUFSC,Injustiças: a experiência das desigualdFranç ois  Dubet,46.00,50,23
9788532805,1,EdUFSC,Escritos de véspera Luiz Costa Lima,34.00,50,17
9788532806,1,EdUFSC,Consumo e cultura material: perspect Car men Rial,38.00,50,19
9788532807,2,EdUFSC,Conversando sobre educação tecnolóWalter Antonio Bazzo,33.00,50,16.5
8532803598,1,EdUFSC,O mundo rural no horizonte dos joven Valmir Luiz Stropasolas,40.80,50,20.4
9788532806,1,EdUFSC,Reconstruindo paisagens: desafios soArlis Buhl Pe res,48.00,50,24
162,1,EdUFSC,Dez livros e uma vaga: a leitura de liteClaud ete Amália Segalin de,30.36,50,15.18
9788532804,1,EdUFSC,Discussão de novos paradigmas: vidaJ aime Cofre,22.00,50,11
9788532806,1,EdUFSC,O espaço rural de Santa Catarina: novNa zareno José de Campos,30.00,50,15
9788532804,2,EdUFSC,O ensino da biblioteconomia no conte Fra ncisco da s Chag as de S,30.00,50,15
9786558050,1,EdUFSC,Silenciário: obra reunida Sylvio Back,68.00,50,34
9788532806,1,EdUFSC,Arquitetura da cidade contemporânea G ilcéia  Pesce do Am ar al e S,39.00,50,19.5
9788532805,1,EdUFSC,As aldeias de todos nós Jaime Ambrósio,21.00,50,10.5
8532803334,2,EdUFSC,A ponte: prosa e verso Antônio Paladino,23.76,50,11.88
8532801188,1,EdUFSC,Modernização econômica e formação Gla dys Mary Teiv e Aura s,15.60,50,7.8
9788532804,1,EdUFSC,Ensaios sobre cinema e pintura Rafael Raffaelli,28.80,50,14.4
8532802559,1,EdUFSC,Gramática de los verbos en español Jesús María Solé Costa,26.40,50,13.2
9788532807,1,EdUFSC,A estrada para Deus sabe onde - The Alan G ils enan,55.00,50,27.5
9788532806,1,EdUFSC,A terra do não-lugar: diálogos entre anPaulo Jorg e Pinto Raposo,49.00,50,24.5
8532801064,1,EdUFSC,Gente do meu caminho Tito Carvalho,24.00,50,12
9788532806,2,EdUFSC,Mímesis: desafio ao pensamento Luiz Costa Lima,30.00,50,15
9788532804,1,EdUFSC,Reservatório de Itá: estudos ambientaEv oy Zaniboni Filho,3 0.0 0,50,15
9788532803,1,EdUFSC,Santos e pecadores: comunicação ve Arte mio R ein aldo  de  Souza,24.00,50,12
9788532807,1,EdUFSC,De Lodz a Buenos Aires: memórias doL udwig  Winograd,45.00,50,22.5
8532803466,1,EdUFSC,Reflexões sobre a infância: conhecen Ma rilene Da nd ol in i R aupp,33.84,50,16.92
9788532808,1,EdUFSC,Oral por escrito: a oralidade na ordem And rea Dah er,33.00,50,16.5
9788532804,1,EdUFSC,Poesia herege Evaristo Carriego,15.00,50,7.5
9788532806,1,EdUFSC,"Portos, ferrovias e navegação em SanAlc ides Goularti Filho",36.00,50,18
9788532805,1,EdUFSC,A coisa perdida: Agamben comenta CAurora Fornoni Bernardini,45.00,50,22.5
9788532806,1,EdUFSC,Uma floresta de disputas: conflitos so Ed viges Mar ta Ioris,32 .00,50,16
9788532805,1,EdUFSC,O liberalismo de Ralf Dahrendorf: clasAnto nio Car los Dia s  Junior,32.00,50,16
9786558050,2,EdUFSC,Pão por Deus: vivo na cultura brasileirM aria Eli Braga Mannrich,82.00,50,41
9788532808,1,EdUFSC,Mitologia guarani: a criação e a destruAldo  Lit aiff,33.00,50,16.5
8532803415,1,EdUFSC,Periódico científico: padronização e orGleisy Regina Bories Fachin,27.00,50,13.5
9788532807,1,EdUFSC,Tecnologia de fachadas pré-fabricadaFernando Barth,34.00,50,17
9788532804,1,EdUFSC,A cruzada contra as ciências: quem teOr lando  Tam bosi,28.00,50,14
8532803652,1,EdUFSC,Em busca da nação: notas para uma Gabriel Fernan des,45.00,50,22.5
9788532803,1,EdUFSC,O trabalho docente voluntário: a expe Maria  Iza bel da Silva,20.00,50,10
9788532806,1,EdUFSC,Segregação silenciosa: investimentos Maria Inê s  Sugai,3 9.0 0,5 0,19 .5
