Título,"Preço decapa",% Desconto,"Preço comdesconto"
"BANQUETES DO IMPERADOR, OS - RECEITAS E HISTORIOGRAFIA DA GASTR","NRO$M27IA9, 0N0O","RA6S0IL,0 D0O% SE","URLO$1 X1I1X,60"
"BANQUETES E CATERING: ARTE, CIENCIA E TECNOLOGIA","R$219,00","60,00%","R$87,60"
BASES FISICAS E TECNOLOGICAS PET E TC,"R$58,00","60,00%","R$23,20"
BASICO EM ADMINISTRACAO,"R$61,00","70,00%","R$18,30"
BASICO EM TESOURARIA: ROTINAS E PROCEDIMENTOS OPERACIONAIS,"R$59,00","70,00%","R$17,70"
"BEBIDA, ABSTINENCIA E TEMPERANCA","R$74,00","70,00%","R$22,20"
BELLE EPOQUE DOS JARDINS,"R$76,00","70,00%","R$22,80"
"BEM NO MAL DE ALZHEIMER, O","R$74,00","70,00%","R$22,20"
"BEM-VINDO, VOLTE SEMPRE","R$58,00","70,00%","R$17,40"
BIOCOMBUSTIVEIS: A ENERGIA DA CONTROVERSIA,"R$56,00","70,00%","R$16,80"
"BISCOITOS, COOKIES & PEQUENAS MORDIDAS","R$86,00","50,00%","R$43,00"
"BOLO DE AVO: 60 RECEITAS FACEIS, ECONOMICAS E COM GOSTO DE INFA","CIAR$98,00","70,00%","R$29,40"
BOLOS CRIATIVOS,"R$79,00","70,00%","R$23,70"
BOLOS ROMANTICOS,"R$135,00","70,00%","R$40,50"
BOM APETITE! 365 RECEITAS PARA O DIA A DIA,"R$99,00","60,00%","R$39,60"
"BOOK DE MODA COM INDESIGN, PHOTOSHOP E ILLUSTRATOR CC","R$66,00","60,00%","R$26,40"
BRANDING DESIGN: A ESTRATEGIA NA CRIACAO DE IDENTIDADES DE MAR,"AR$56,00","50,00%","R$28,00"
BRANDING E COMUNICAÇÃO - A COMUNICAÇÃO E SUA IMPORTÂNCIA PA,"A AR $C6O9N,0S0TR","ÇÃ5O0 D,0E0 M%A","CARS$34,50"
"BRASIL 4D: INTERATIVIDADE, CONVERGÊNCIA E PARTICIPAÇÃO NA TV DIGI","ALR$55,00","50,00%","R$27,50"
BRASIL BOM DE BOCA: TEMAS DE ANTROPOLOGIA DA ALIMENTACAO,"R$89,00","60,00%","R$35,60"
"BRASIL E O DILEMA DA GLOBALIZACAO, O SLP 11","R$49,00","70,00%","R$14,70"
BRASIL SABOR BRASILIA - SEGREDOS DOS CHEFS 2015 - 9 EDICAO DO FESTI,"ALR$40,00","50,00%","R$20,00"
BRINCANDO COM A TURMA DA MONICA,"R$72,00","60,00%","R$28,80"
"CABELO - CUIDADOS BASICOS, TECNICAS DE CORTE","R$61,00","70,00%","R$18,30"
"CACHAÇA : HISTÓRIA, GASTRONOMIA E TURISMO","R$74,00","50,00%","R$37,00"
CADERNO DE RECEITAS DA MAGALI,"R$92,00","60,00%","R$36,80"
CAFE COM DESIGN: A ARTE DE BEBER CAFE,"R$95,00","50,00%","R$47,50"
CAKE CHIC: BISCOITOS E BOLOS ESTILOSOS PARA TODAS AS OCASIOES,"R$140,00","60,00%","R$56,00"
"CALCULOS E ADMINISTRACAO DE MEDICAMENTOS: LEGISLACAO, TECNICA","E ERX$E5R5C,I0C0IO","PA5R0A, 0A0 S%EG","RARN$C2A7 ,D5O0  P"
CALCULOS EM FARMACIA,"R$81,00","70,00%","R$24,30"
"CAMAREIRA: MERCADO PROFISSIONAL, AMBIENTE DE TRABALHO,","R$40,00","70,00%","R$12,00"
CANCER DE PELE: CONHECER PARA MELHOR COMBATER,"R$46,00","60,00%","R$18,40"
CANUDOS - Palavra de Deus sonho da terra,"R$68,00","70,00%","R$20,40"
"CARDAPIOS DO BRASIL: RECEITAS, INGREDIENTES, PROCESSOS","R$196,00","60,00%","R$78,40"
CARNAVAL E CULTURA: POETICA E TECNICA NO FAZER ESCOLA DE SAMBA,"R$269,00","70,00%","R$80,70"
CARNES E CHURRASCO: ENTREVISTA A CHICO BARBOSA,"R$128,00","70,00%","R$38,40"
CARREIRAS: GUIA ILUSTRADO PARA ESCOLHER A PROFISSÃO CERTA,"R$131,00","70,00%","R$39,30"
"CEBRI E AS RELACOES INTERNACIONAIS NO BRASIL, O","R$55,00","60,00%","R$22,00"
CELEBRANDO COMO UMA PRINCESA JUDIA: RECEITAS PARA FAZER FESTAS,"E CRE$L9E2B,R0A0C","ES 7M0A,0R0A%VIL","OSRA$S2 P7A,6R0A"
"CÉREBRO E A MODA, O","R$54,00","50,00%","R$27,00"
CERVEJA COM DESIGN,"R$95,00","50,00%","R$47,50"
CEVICHE DO PACIFICO PARA O MUNDO,"R$91,00","70,00%","R$27,30"
CHA: RITUAL E BENEFICIOS,"R$110,00","60,00%","R$44,00"
"CHEF MEDICINAL, O: ANSIEDADE E DEPRESSÃO","R$64,00","70,00%","R$19,20"
"CHEF MEDICINAL, O: DIGESTÃO","R$64,00","60,00%","R$25,60"
CHEF MEDICINAL: DOENCAS DO CORACAO,"R$64,00","60,00%","R$25,60"
"CHEF PROFISSIONAL, O","R$329,00","50,00%","R$164,50"
CHEGA DE (SE) JULGAR: 21 DIAS PARA REAPRENDER A (SE) AMAR,"R$56,00","70,00%","R$16,80"
CHEGA DE CARREGAR O MUNDO NAS COSTAS! 21 DIAS PARA APROVEITAR,"R$59,00","70,00%","R$17,70"
CHEGA DE ESTRESSE: 21 DIAS PARA MUDAR,"R$59,00","70,00%","R$17,70"
CHIC: UM GUIA DE MODA E ESTILO PARA O SECULO XXI,"R$219,00","70,00%","R$65,70"
"CHIP E O CALEIDOSCOPIO, O - REFLEXOES SOBRE AS NOV","R$122,00","70,00%","R$36,60"
CIDADE DIGITAL: INFOINCLUSAO SOCIAL E TECNOLOGIA E,"R$74,00","70,00%","R$22,20"
"CIDADES VIVAS, VIVA AS CIDADES, A","R$86,00","70,00%","R$25,80"
"CIENCIAS DA COMUNICACAO, AS: TEORIAS E AQUISICOES","R$89,00","60,00%","R$35,60"
CIPA - COMISSAO INTERNA DE PREVENCAO DE ACIDENTES,"R$143,00","70,00%","R$42,90"
"CIRURGIA BARIÁTRICA: UM TRATAMENTO PARA TODOS, A CIRURGIA DE C","DAR U$6M9,00","50,00%","R$34,50"
"COCO: COMIDA, CULTURA E PATRIMONIO","R$76,00","70,00%","R$22,80"
COLOR FORECASTIN - AS PREVISÕES DE TENDÊNCIAS DE CORES NA MODA,"R$70,00","50,00%","R$35,00"
COM A CORDA TODA - AUTO-ESTIMA E QUALIDADE DE VIDA,"R$74,00","70,00%","R$22,20"
COMA SEM CULPA:VERSOES MAIS SAUDAVEIS DE SUAS RECEITAS FAVORIT,"SR-T$O1D20O, 0S0AB","R 6N0E,N00H%UM","PESRO$ 4N8A,0 C0O"
COMIDA CHEIA DE HISTÓRIA: RECEITAS E CRÔNICAS DELICIOSAS DE UMA J,"RRN$A1L1IS3T,0A0 D","GA6S0T,0R0O%NO","IAR.$45,20"
"COMIDA COMO CULTURA, A","R$78,00","70,00%","R$23,40"
COMIDA DE BEBE: UMA INTRODUCAO A COMIDA DE VERDADE,"R$74,00","50,00%","R$37,00"
COMIDA E LIBERDADE - SLOW FOOD: HISTORIAS DE GASTRONOMIA PARA,"IBERR$T7A9C,0A0O","70,00%","R$23,70"
COMIDA E VINHO: HARMONIZACAO ESSENCIAL,"R$83,00","60,00%","R$33,20"
COMO A WEB TRANSFORMA O MUNDO,"R$81,00","70,00%","R$24,30"
COMO ASSAR PAES: AS CINCO FAMILIAS DE PAES,"R$177,00","60,00%","R$70,80"
COMO COMPREENDER MODA,"R$78,00","60,00%","R$31,20"
COMO COMPREENDER SIMBOLOS,"R$78,00","60,00%","R$31,20"
COMO FAZER UM DESFILE DE MODA,"R$129,00","70,00%","R$38,70"
COMO NOS ESTAMOS DESTRUINDO O PLANETA: OS FATOS VISUALMENTE,"XPRL$I1C2A7D,0O0S","M I6N0F,O00G%RAF","CORS$50,80"
COMO RESOLVER PROBLEMAS COMPLEXOS,"R$78,00","70,00%","R$23,40"
COMO SER UM DESIGNER GRAFICO SEM VENDER SUA ALMA,"R$81,00","60,00%","R$32,40"
COMPRADOR DE MODA,"R$140,00","70,00%","R$42,00"
CONCEITOS ATUAIS NA DOENÇA VASCULAR PERIFÉRICA,"R$98,00","60,00%","R$39,20"
"CONFEITARIA CHIC: BOLOS, CUPCAKES E GULOSEIMAS","R$177,00","60,00%","R$70,80"
CONFEITARIA ESCALAFOBÉTICA: SOBREMESAS EXPLICADAS TIM-TIM POR T,"MR-T$I1M13,00","50,00%","R$56,50"
"CONFLITO DA CULTURA MODERNA, O","R$56,00","60,00%","R$22,40"
CONHECA VINHOS,"R$120,00","60,00%","R$48,00"
CONHECENDO O MAR DO BRASIL: LITORAL E ILHAS,"R$92,00","60,00%","R$36,80"
"CONSERVAS DO MEU BRASIL: COMPOTAS, GELEIAS E ANTEPASTOS","R$89,00","50,00%","R$44,50"
CONTABILIDADE PARA INICIANTES EM CIENCIAS CONTABEIS E CURSOS AFI,"SR$83,00","60,00%","R$33,20"
CONVERSAS BEM-SUCEDIDAS: IDENTIFICANDO E RESOLVENDO MAL-ENTE,"DIDR$O5S1,00","70,00%","R$15,30"
CONVERSAS COM LIDERES SUSTENTAVEIS,"R$93,00","70,00%","R$27,90"
CONVIVENDO COM O ALZHEIMER: UMA PERSPECTIVA HOLÍSTICA SOBRE A,"DORE$N7Ç4A,00","60,00%","R$29,60"
COOLHUNTERS: CACADORES DE TENDENCIAS NA MODA,"R$74,00","60,00%","R$29,60"
COPOS DE BAR E MESA: HISTORIA - SERVICO - VINHOS - COQUETEIS,"R$120,00","70,00%","R$36,00"
COPRODUÇÃO DE CINEMA COM A FRANÇA: MERCADO E INTERNACIONALI,"AÇRÃ$O67,00","60,00%","R$26,80"
"COR NO PROCESSO CRIATIVO, A: DA BAUHAUS A TEORIA D","R$137,00","60,00%","R$54,80"
CORELDRAW 2019,"R$113,00","70,00%","R$33,90"
CORELDRAW X8,"R$113,00","70,00%","R$33,90"
