Título,"Preço decapa",% Desconto,"Preço comdesconto"
"ENFERMAGEM EM PRONTO-SOCORRO, URGÊNCIA E EMERGÊNCIA: TÉCNIC","S RE$ P5R8Á,0T0ICA","PA5R0A,0 0LI%DA","CORM$2 O9, I0M0P"
ENFERMAGEM EM SAUDE MENTAL,"R$62,00","60,00%","R$24,80"
ENFERMAGEM M.C.EM UNIDADE DE TERAPIA INTENSIVA,"R$112,00","60,00%","R$44,80"
ENFRENTANDO O CANCER - CUIDADOS COM A IMAGEM PESSOAL,"R$62,00","60,00%","R$24,80"
"ENSAIOS SOBRE MODA, ARTE E GLOBALIZAÇÃO CULTURAL","R$89,00","70,00%","R$26,70"
"ENSINO EXCELENTE: ANOTAÇÕES E COMENTÁRIOS PARA ESTUDANTES, PA","S ER E$D4U2,C0A0D","RES50,00%","R$21,00"
ENTENDA PROPAGANDA - 101 PERGUNTAS QUE AS PESSOAS,"R$77,00","70,00%","R$23,10"
ENTRE VITRINAS DISTRIBUICAO E VISUAL MERCHANDISING NA MODA,"R$133,00","70,00%","R$39,90"
EPIDEMIOLOGIA,"R$82,00","70,00%","R$24,60"
EQUIPAMENTO FOTOGRAFICO: TEORIA E PRATICA,"R$90,00","70,00%","R$27,00"
EQUIPAMENTO INSTRUMENTAL DE PROTESE DENTARIA,"R$127,00","70,00%","R$38,10"
ESCOLA DE DESIGN: PROJETOS DESAFIADORES DE ESCOLAS DO MUNDO T,"DOR$107,00","70,00%","R$32,10"
ESPESSANTES NA CONFEITARIA: TEXTURAS E SABORES,"R$167,00","60,00%","R$66,80"
"ESPIRITO DO CHOCOLATE, O - LADUREE","R$199,00","60,00%","R$79,60"
"ESSENCIAL DA COR NO DESIGN, O","R$79,00","60,00%","R$31,60"
"ESSENCIAL DA ILUSTRACAO, O","R$79,00","60,00%","R$31,60"
"ESSENCIAL EM CERVEJAS E DESTILADOS, O","R$74,00","70,00%","R$22,20"
ESTE SEXO QUE NÃO É SÓ UM SEXO: SEXUALIDADE E STATUS SOCIAL DA,"ULHR$E6R6,00","60,00%","R$26,40"
ESTERILIZAÇÃO E MEDIDAS DE BIOSSEGURANÇA: EM CENTROS DE MATERI,"ISR E$ E4S5T,0E0RILI","AÇ6Ã0O,0 E0 %OU","RORS$ E1S8T,A00BEL"
ESTETICA E CIRURGIA PLASTICA,"R$90,00","70,00%","R$27,00"
ESTRATEGIAS PARA A MIDIA DIGITAL 2.0,"R$185,00","70,00%","R$55,50"
ESTRATEGIAS PARA ATUACAO EM COMERCIO EXTERIOR,"R$84,00","60,00%","R$33,60"
ESTRELAS NO CEU DA BOCA: ESCRITOS SOBRE CULINARIA,"R$98,00","70,00%","R$29,40"
ESTUDAR A MODA,"R$83,00","70,00%","R$24,90"
ESTUDO DO OLHO HUMANO APLICADO A OPTOMETRIA,"R$115,00","60,00%","R$46,00"
ESTUDOS CULTURAIS: UMA ABORDAGEM PRATICA,"R$49,00","70,00%","R$14,70"
ETICA E MEIO AMBIENTE,"R$83,00","60,00%","R$33,20"
EUTONIA: O SABER DO CORPO,"R$75,00","70,00%","R$22,50"
EXCEL 2016,"R$109,00","70,00%","R$32,70"
EXCEL 2016 AVANCADO,"R$124,00","70,00%","R$37,20"
EXCEL 2019,"R$92,00","70,00%","R$27,60"
EXCEL 2019 AVANÇADO,"R$98,00","70,00%","R$29,40"
EXCEL BASICO PARA O MUNDO DO TRABALHO,"R$48,00","70,00%","R$14,40"
EXITO PROFISSIONAL: CONHECIMENTOS E ATITUDES,"R$63,00","70,00%","R$18,90"
EXPORTAÇÕES BRASILEIRAS: FATORES EXPLICATIVOS DA PARTICIPAÇÃO D,"S MR$IC6R6O,0 E0 P","QU7E0N,0A0S% EM","RERS$A1S9,80"
FAÇA A FESTA E SAIBA O PORQUÊ,"R$115,00","70,00%","R$34,50"
FARINHA DE MANDIOCA: O SABOR BRASILEIRO E AS RECEITAS DA BAHIA,"R$66,00","70,00%","R$19,80"
"FARINHA, FEIJAO E CARNE SECA - UM TRIPE CULINARIO","R$68,00","60,00%","R$27,20"
FARMACOTECNICA ALOPATICA E HOMEOPATICA: DO CONHECIMENTO A R,"ALRIZ$A6C0A,0O0","60,00%","R$24,00"
FAROFA,"R$68,00","50,00%","R$34,00"
FERRAMENTAS PARA GESTAO DE RESULTADOS,"R$40,00","50,00%","R$20,00"
"FESTAS E RECEPÇÕES: GASTRONOMIA, ORGANIZAÇÃO E CERIMONIAL","R$48,00","50,00%","R$24,00"
FESTAS EM MINIATURA: COMIDINHAS SALGADAS PARA MUITAS OCASIOES,"R$146,00","60,00%","R$58,40"
FESTAS EM MINIATURA: DOCINHOS PARA COMER COM AS MAOS EM QUA,"QRU$E1R2 O0,C0A0SI","O 70,00%","R$36,00"
FLORESTA DE CACAU E CHOCOLATE,"R$263,00","60,00%","R$105,20"
FORMACAO DE PROFESSORES E ESCOLA NA CONTEMPORANEIDADE,"R$68,00","70,00%","R$20,40"
FOTOGRAFIA DIGITAL: UMA INTRODUÇÃO,"R$127,00","70,00%","R$38,10"
FOTOGRAFIA: UM GUIA PARA SER FOTÓGRAFO EM UM MUNDO ONDE TO,"OSR $FO87T,O00GR","FAM60,00%","R$34,80"
FUNDAMENTOS DA IMUNOHEMATOLOGIA ERITROCITARIA,"R$116,00","60,00%","R$46,40"
FUNDAMENTOS DA SAUDE: AS BASES PARA UMA ATENÇÃO HUMANIZADA,"R$53,00","60,00%","R$21,20"
FUNDAMENTOS DE ACUSTICA AMBIENTAL,"R$58,00","70,00%","R$17,40"
FUNDAMENTOS TECNICOS DA ADMINISTRACAO,"R$74,00","60,00%","R$29,60"
FUNIL DE VENDAS: UM JEITO FÁCIL PARA VOCÊ REALIZAR BONS NEGÓCIOS,"R$44,00","60,00%","R$17,60"
GAIA: DE MITO A CIENCIA,"R$58,00","60,00%","R$23,20"
GARDE MANGER: A ARTE E O OFICIO DA COZINHA FRIA,"R$309,00","50,00%","R$154,50"
GASTRONOMIA E HISTORIA DOS HOTEIS-ESCOLA SENAC SAO,"R$229,00","70,00%","R$68,70"
GASTRONOMIA NO BRASIL E NO MUNDO,"R$82,00","60,00%","R$32,80"
GEOPOLITICA DO TURISMO,"R$74,00","70,00%","R$22,20"
GESTÃO COMPORTAMENTAL DE VIDA E CARREIRA: O QUE A MITOLOGIA G,"EGRA$ 5N0O,0S0 E","SIN5A0,00%","R$25,00"
"GESTAO DA GASTRONOMIA: CUSTOS, FORMACAO DE PRECOS, GERENCIA","ENRT$O7 6E, 0P0LA","EJA6M0,E0N0T%O","O LRU$C3R0O,40"
GESTAO DA INOVACAO E GERACAO DE VALOR EM PEQUENAS E MEDIAS E,"PRRE$S4A0S,00","60,00%","R$16,00"
GESTAO DE FARMACIA HOSPITALAR,"R$133,00","60,00%","R$53,20"
"GESTAO DE IMAGEM: PROPOSITO, PLANO DE CARREIRA E EXITO PROFISSI","NARL$56,00","60,00%","R$22,40"
GESTAO DE MUDANCAS: ENCARE A MUDANCA DE OUTRO JEITO,"R$51,00","60,00%","R$20,40"
GESTAO DE NEGOCIOS DE ALIMENTACAO: CASOS E SOLUCOES,"R$62,00","50,00%","R$31,00"
GESTÃO DE PESSOAS: CONSULTORIA INTERNA DE RECURSOS HUMANOS,"R$40,00","60,00%","R$16,00"
GESTAO DE PESSOAS: PRATICAS DE GESTAO DA DIVERSIDADE NAS ORGANI,"ACRO$4E0S,00","50,00%","R$20,00"
GESTAO DE PESSOAS: PRATICAS DE RECRUTAMENTO E SELECAO POR COM,"ETRE$N4C0I,A0S0","60,00%","R$16,00"
GESTÃO DE PESSOAS: PRÁTICAS DE RECURSOS HUMANOS NA ERA DIGITAL,"R$40,00","60,00%","R$16,00"
GESTAO DE PESSOAS: PRATICAS EM TREINAMENTO E DESENVOLVIMENTO,"R$40,00","60,00%","R$16,00"
GESTAO DE REDES DE CONHECIMENTO,"R$109,00","60,00%","R$43,60"
GESTAO DE TALENTOS,"R$65,00","50,00%","R$32,50"
"GESTAO DE TRIBUTOS NA EMPRESA MODERNA, A","R$78,00","70,00%","R$23,40"
GESTAO DO CONHECIMENTO: A MUDANCA DE PARADIGMAS EMPRESARIA,"S NRO$6 S8E,C0U0L","XX7I0,00%","R$20,40"
"GESTAO DO PPRA PARA O ESOCIAL, A","R$106,00","70,00%","R$31,80"
"GLOBALIZACAO, LOGISTICA E TRANSPORTE AEREO","R$95,00","70,00%","R$28,50"
GLOSSARIO DE TERMOS TECNICOS EM TI,"R$101,00","70,00%","R$30,30"
GOVERNANCA AMBIENTAL GLOBAL - OPÇÕES & OPORTUNIDAD,"R$97,00","70,00%","R$29,10"
"GRANDE HOTEL: CA D ORO, A HISTORIA DE SUCESSO DE UMA CULTURA H","TERLE$I7R6A, 0C0EN","EN7A0R,0IA0%","R$22,80"
GRANDES LIDERES DA HISTORIA,"R$62,00","70,00%","R$18,60"
GUIA BASICO PARA ADM. DA MANUTENCAO HOTELEIRA,"R$78,00","70,00%","R$23,40"
GUIA COMPLETO DA COR,"R$146,00","60,00%","R$58,40"
"GUIA DA ÉTICA PARA O MUNDO DOS NEGÓCIOS, O","R$42,00","50,00%","R$21,00"
GUIA DE BOAS PRÁTICAS: PRODUZINDO ALIMENTOS COM SEGURANÇA,"R$28,90","50,00%","R$14,45"
GUIA DE ESTILO PARA CANDIDATOS AO PODER - E PARA QUEM JA CHEGO,"LAR$87,00","70,00%","R$26,10"
GUIA DE ESTILO WEB,"R$93,00","70,00%","R$27,90"
GUIA DE FOTOGRAFIA DIGITAL,"R$91,00","70,00%","R$27,30"
GUIA DE PRODUTOS COSMETICOS,"R$104,00","60,00%","R$41,60"
GUIA DE TURISMO: O PROFISSIONAL E A PROFISSAO,"R$120,00","70,00%","R$36,00"
"GUIA DO EMPREENDEDOR, O: OS ""PORQUÊS"" FUNDAMENTAIS QUE DETER","INR$A4M2 ,O00 SU","ES5S0O,00%","R$21,00"
"GUIA DO MOCHILEIRO,O - UM ROTEIRO PELA BOLÍVIA","R$50,00","50,00%","R$25,00"
GUIA GLOBAL DE DESENHO DE RUAS,"R$92,00","50,00%","R$46,00"
GUIA PRATICO DE MANUTENCAO DE IMPRESSORA A JATO DE TINTA,"R$66,00","70,00%","R$19,80"
GUIA PRATICO EM MEDICINA NUCLEAR,"R$105,00","70,00%","R$31,50"
HABITAR HIBRIDO: SUBJETIVIDADES E ARQUITETURA DO LAR NA ERA DIGI,"ALR$92,00","50,00%","R$46,00"
HAMBURGUER: UMA HISTORIA GLOBAL,"R$64,00","70,00%","R$19,20"
HERANCA COMPARTILHADA,"R$146,00","70,00%","R$43,80"
"HIGIENE OCUPACIONAL: AGENTES BIOLÓGICOS, QUÍMICOS E FÍSICOS","R$199,00","60,00%","R$79,60"
HISTORIA DOS ESPORTES,"R$98,00","60,00%","R$39,20"
HISTORIA GLOBAL DA ARQUITETURA,"R$249,00","50,00%","R$124,50"
HISTORIA SOCIAL DA MODA,"R$98,00","70,00%","R$29,40"
HOJE E DIA DE FEIRA,"R$113,00","70,00%","R$33,90"
"HORA DO LANCHE, A: RECEITAS E TECNICAS DE PREPARO, ROTINAS DE TR","BARLH$5O2 E,0 A0TE","DI7M0E,0N0T%O -","DMR$IN15IS,T6R0A"
HORIZONTES PARA A LIDERANCA: PARA ONDE NOS LEVAM NOSSOS MODE,"OSR,$ C4R5E,0N0CA","E A6C0O,0E0S%","R$18,00"
HORTA EM VASOS: 30 PROJETOS PASSO A PASSO PARA CULTIVAR HORTALI,"ASR,$ F9R9U,0T0AS","ER6V0A,0S0%","R$39,60"
HOTÉIS LITERÁRIOS: VIAGEM AO REDOR DA TERRA,"R$91,00","70,00%","R$27,30"
HOTEL: PLANEJAMENTO E PROJETO,"R$113,00","60,00%","R$45,20"
HOTELARIA A LUZ DO DIREITO DO TURISMO,"R$69,00","70,00%","R$20,70"
HTML 5 E CSS3,"R$75,00","70,00%","R$22,50"
HUMANIZANDO NASCIMENTOS E PARTOS,"R$79,00","70,00%","R$23,70"
IDADE BIOLOGICA - COMPORTAMENTO HUMANO E RENOVACAO,"R$136,00","70,00%","R$40,80"
IMAGEM MASCULINA (VERSÃO POCKET): GUIA PRÁTICO PARA O HOMEM,"ONRT$E4M0,P0O0R","NE6O0,00%","R$16,00"
IMAGEM MASCULINA: GUIA PRATICO PARA O HOMEM CONTEMPORANEO,"R$77,00","50,00%","R$38,50"
IMAGENS DA HOTELARIA NA CIDADE DE SAO PAULO - PANORAMA DOS ES,"ABRE$L7E4C,I0M0E","TOS7 0A,T0E0 %OS","NORS$ 12928,200"
"IMBROGLIO DO CLIMA, O","R$68,00","60,00%","R$27,20"
INCLUSAO DIGITAL E EMPREGABILIDADE,"R$63,00","70,00%","R$18,90"
INCOMODADOS QUE MUDEM O MUNDO HISTÓRIAS DE QUEM FEZ (E FAZ),"O TRE$R4C0E,0IR0O","ETO50R, 0N0O% BR","SILR,$ O2S0,00"
INOVACAO EM MERCADOS EMERGENTES,"R$44,00","60,00%","R$17,60"
INSERINDO O BRASIL NO MUNDO,"R$62,00","70,00%","R$18,60"
INTERNET - NAVEGANDO E SE COMUNICANDO NA WEB,"R$75,00","70,00%","R$22,50"
INTERPRETACOES DO GOSTO POR MONICA RANGEL,"R$140,00","60,00%","R$56,00"
"INTERTERRITORIALIDADE: MIDIAS, CONTEXTOS E EDUCACAO","R$55,00","70,00%","R$16,50"
INTERVENCOES URBANAS NA AMERICA LATINA: VIVER NOS CENTRO DAS C,"DARD$E8S6,00","70,00%","R$25,80"
"INTRIGA, A: RETROSPECTO DE INTRICADOS ACONTECIMENTOS HISTORICO","E SRU$7A9S, 0C0ON","EQ7U0E,0N0C%IAS","O RB$R2A3S,I7L0 IM"
INTRODUÇÃO À ALIMENTAÇÃO COMPLEMENTAR PARA CRIANÇAS ALÉRGI,"ASR$56,00","50,00%","R$28,00"
INTRODUÇÃO A FINANÇAS: FUNDAMENTOS E PRÁTICAS,"R$73,00","50,00%","R$36,50"
INTRODUÇÃO À SOCIOLOGIA DO LAZER,"R$61,00","70,00%","R$18,30"
INTRODUCAO AO CALCULO DE LENTES OFTALMICAS,"R$129,00","70,00%","R$38,70"
JARDIM URBANO,"R$115,00","60,00%","R$46,00"
JARDINAGEM PROFISSIONAL TECNICAS PARA O BOM CULTIVO DA TERRA,"R$47,00","50,00%","R$23,50"
"JOGOS DIGITAIS, GAMIFICAÇÃO E AUTORIA DE JOGOS NA EDUCAÇÃO","R$58,00","50,00%","R$29,00"
JORNALISMO E DESINFORMACAO,"R$55,00","70,00%","R$16,50"
KITUTU - HISTÓRIAS E RECEITAS DA ÁFRICA NA FORMAÇÃO DAS COZINHAS,"DOR B$5R8A,S0I0L","60,00%","R$23,20"
LACERDA X WAINER - O CORVO E O BESSARABIANO,"R$62,00","70,00%","R$18,60"
LAZER E RECREACAO NA HOTELARIA,"R$71,00","70,00%","R$21,30"
LAZERES: PARA FAZER MELHOR É PRECISO COMPREENDER,"R$44,00","60,00%","R$17,60"
LIBERDADE FINANCEIRA AO ALCANCE DE TODOS,"R$84,00","60,00%","R$33,60"
LIDERANCA E UMA QUESTAO DE ATITUDE,"R$60,00","60,00%","R$24,00"
"LIGHTROOM CLASSIC E LIGHTROOM: EDITE, ORGANIZE E PUBLIQUE PELO","OMRP$U53T,A0D0O","E P6E0L,O00 C%EL","LAR$21,20"
LINKANIA: UMA TEORIA DE REDES,"R$51,00","70,00%","R$15,30"
LITERATURA E MUSICA,"R$69,00","70,00%","R$20,70"
LIVRO DA ADEGA,"R$199,00","70,00%","R$59,70"
"LIVRO DAS AREAS VERDES, O","R$139,00","60,00%","R$55,60"
LIVRO: UMA HISTORIA VIVA,"R$90,00","60,00%","R$36,00"
LOGICA DE PROGRAMACAO,"R$199,00","70,00%","R$59,70"
"LOGISTICA: PRATICAS, TECNICAS E PROCESSOS DE MELHORIAS","R$69,00","60,00%","R$27,60"
"LOMO LIFE: O FUTURO E ANALOGICO - AS CAMERAS, A HISTORIA","R$122,00","60,00%","R$48,80"
LUGAR COMUM - AUTO-AJUDA DE DECORACAO E ESTILO,"R$100,00","70,00%","R$30,00"
"MAGIA DO IMPERIO DISNEY, A","R$90,00","60,00%","R$36,00"
MAMOGRAFIA: POSICIONAMENTO E CONTROLE DE QUALIDADE,"R$65,00","50,00%","R$32,50"
MANUAL DE ADMINISTRACAO DE PESSOAL,"R$121,00","70,00%","R$36,30"
"MANUAL DE ANIMACAO: MANUAL DE METODOS, PRINCIPIOS E FORMULA","PRA$R1A6 A9,N0I0M","DO5R0E,0S0 C%LAS","ICOR$S8, 4D,E5 0CO"
"MANUAL DE NEGOCIACAO COMPLEXA: AMEACAS, MENTIRAS, INSULTOS...","ERT$O5D9O,0S0 E","ECN6I0C,A00S %PAR","ERN$F2R3E,N60TA"
"MANUAL DE PRODUCAO DE COMERCIAIS: LUZ, CAMERA, CRIACAO","R$64,00","70,00%","R$19,20"
MANUAL DO BAR,"R$115,00","70,00%","R$34,50"
MANUAL DO MARKETING DE GUERRILHA: SOLUÇÕES INTELIGENTES E EFIC,"ZERS$ P6A2R,0A0 V","NCE7R0 ,A0 0C%ON","ORRR$E1N8C,6IA0"
MANUAL DO ROTEIRO PARA COMERCIAIS: TRANSFORMANDO IDEIAS EM,"RARN$D6E9S, 0F0IL","ES 70,00%","R$20,70"
MANUAL MINIMO DO ATOR,"R$120,00","70,00%","R$36,00"
MANUAL PRATICO DE CONFEITARIA SENAC,"R$144,00","50,00%","R$72,00"
MANUAL PRATICO DE COZINHA SENAC,"R$144,00","50,00%","R$72,00"
MANUAL PRATICO DE PANIFICACAO SENAC,"R$132,00","50,00%","R$66,00"
MANUAL REALMENTE PRATICO PARA ELABORACAO DE PLANO DE MARKE,"INGR$50,00","50,00%","R$25,00"
MANUTENCAO DE MICROCOMPUTADORES NA PRATICA - LIVRO,"R$90,00","70,00%","R$27,00"
"MAO LIVRE, A: A LINGUAGEM VISUAL","R$89,00","60,00%","R$35,60"
MAQUIAGEM,"R$114,00","60,00%","R$45,60"
"MAQUIAGEM: TECNICAS, REFERENCIA E ATUACAO PROFISSIONAL","R$78,00","70,00%","R$23,40"
MARCIO SCAVONE CSF 18,"R$41,00","70,00%","R$12,30"
MARKETING DE SERVICOS FINANCEIROS,"R$48,00","70,00%","R$14,40"
MARKETING DESCOMPLICADO,"R$52,00","50,00%","R$26,00"
MARKETING DO ENTRETENIMENTO,"R$98,00","70,00%","R$29,40"
MARKETING E DIVULGACAO DA PEQUENA EMPRESA,"R$48,00","70,00%","R$14,40"
"MARKETING PARA TURISMO, HOSPITALIDADE E EVENTOS: UMA ABORDAG","MR $G1L4O0B,0A0L E","DIG5I0T,A0L0%","R$70,00"
MARKETING: UMA VISAO CRITICA,"R$62,00","70,00%","R$18,60"
MARMITA CHIC E SAUDAVEL,"R$169,00","70,00%","R$50,70"
"MAS, AFINAL, O QUE E ESSA TAL ORGANIZACAO?","R$84,00","70,00%","R$25,20"
MASSAS GOURMET,"R$107,00","70,00%","R$32,10"
MASSOTERAPIA: PRINCÍPIOS E PRÁTICAS ORIENTAIS E OCIDENTAIS,"R$87,00","50,00%","R$43,50"
MATEMATICA FINANCEIRA SEM SEGREDOS,"R$46,00","60,00%","R$18,40"
MATEMATICA NO DIA A DIA,"R$53,00","70,00%","R$15,90"
MATERIAIS SUSTENTAVEIS: PROCESSOS E PRODUCAO,"R$121,00","60,00%","R$48,40"
MATERIOLOGIA: O GUIA CRIATIVO DE MATERIAIS E TECNOLOGIAS,"R$171,00","70,00%","R$51,30"
MEDO DO CONHECIMENTO CONTRA O RELATIVISMO E O CONSTRUTIVISM,"R$46,00","60,00%","R$18,40"
MEIO AMBIENTE & BOTANICA SMA 12,"R$40,00","70,00%","R$12,00"
MEIO AMBIENTE & CEMITERIO - SMA 15,"R$40,00","70,00%","R$12,00"
MEIO AMBIENTE & CONSUMISMO SMA 08,"R$40,00","70,00%","R$12,00"
MEIO AMBIENTE & ECONOMIA SMA 17,"R$40,00","70,00%","R$12,00"
MEIO AMBIENTE & ECOVILAS SMA 21,"R$40,00","70,00%","R$12,00"
MEIO AMBIENTE & ESCOLA SMA 18,"R$40,00","70,00%","R$12,00"
MEIO AMBIENTE & EVOLUCAO HUMANA SMA 19,"R$40,00","70,00%","R$12,00"
MEIO AMBIENTE & FLORESTA SMA 11,"R$40,00","70,00%","R$12,00"
MEIO AMBIENTE & GENERO SMA 16,"R$40,00","70,00%","R$12,00"
MEIO AMBIENTE & NATUREZA SMA 13,"R$40,00","70,00%","R$12,00"
MEIO AMBIENTE & QUIMICA SMA 20,"R$40,00","70,00%","R$12,00"
MEIO AMBIENTE & TEOLOGIA SMA 14,"R$40,00","70,00%","R$12,00"
MEIO AMBIENTE E MOBILIDADE URBANA - SMA 22,"R$45,00","60,00%","R$18,00"
"MELHORES MENUS DE GORDON RAMSAY, OS","R$140,00","70,00%","R$42,00"
MEMORIAS DE UM PROFESSOR DE ANTIGAMENTE,"R$38,00","60,00%","R$15,20"
MENOPAUSA BEM VIVIDA: O GUIA DEFINITIVO PARA SE SENTIR BEM E RA,"IANRT$E8 2N,A00 PR","-M6E0N,0O0P%AUS","ER D$E3P2O,8I0S D"
"MESA DO MESTRE CERVEJEIRO, A: DESCOBRINDO OS PRAZERES DAS CERV","JARS$ E1 D47A,S0 0C","MID6A0,S0 V0E%RD","DERI$R5A8S,80"
"MESAS DO PODER, AS: DOS BANQUETES GREGOS AO ELISEU","R$86,00","70,00%","R$25,80"
METODOLOGIA DE DESENVOLVIMENTO DE COMPETENCIAS,"R$78,00","60,00%","R$31,20"
MEU CORACAO COROADO: MESTRE ESPEDITO SELEIRO,"R$165,90","50,00%","R$82,95"
MEU PRIMEIRO JANTAR VEGETARIANO: 141 RECEITAS PARA SE TORNAR U,"VRE$G12E1T,A0R0IA","O 6F0E,L0I0Z%","R$48,40"
MICROPODER: A FORCA DO CIDADAO NA ERA DIGITAL,"R$86,00","70,00%","R$25,80"
MICROSOFT PROJECT 2016,"R$104,00","70,00%","R$31,20"
MÍDIAS DIGITAIS: COMO VENDER PRODUTOS E SERVIÇOS PELA INTERNET,"R$48,00","50,00%","R$24,00"
MINDFULNESS PARA PROFISSIONAIS DE EDUCAÇÃO - PRÁTICAS PARA O BE,"-ERS$T6A2R,0 N0O","RA5B0A,0LH0%O E","A RV$ID3A1, 0P0ESS"
"MINHAS RECEITAS DE BACALHAU, AS: 500 RECEITAS","R$177,00","50,00%","R$88,50"
"MISTURA MORENA, COZINHA TROPICAL BRASILEIRA","R$169,00","60,00%","R$67,60"
MISTURANDO SABORES: RECEITAS E HARMONIZACAO DE ERVAS E ESPECIA,"IARS$63,00","50,00%","R$31,50"
MITOS DA NUTROLOGIA: 101 DÚVIDAS QUE VOCÊ SEMPRE QUIS SABER AC,"RCRA$ 5D9A,0 A0LI","EN5T0A,0Ç0Ã%O","R$29,50"
MOBILIDADE URBANA E CIDADANIA,"R$58,00","60,00%","R$23,20"
MOBILINEA: DESIGN DE UM ESTILO DE VIDA (1959 - 1975),"R$109,00","60,00%","R$43,60"
MODA & INCONSCIENTE: OLHAR DE UMA PSICANALISTA,"R$68,00","70,00%","R$20,40"
MODA ARTESANAL BRASILEIRA NA VISAO DE UM PESONAL STYLIST,"R$82,00","70,00%","R$24,60"
MODA E ARTE: RELEITURA NO PROCESSO DE CRIACAO,"R$90,00","60,00%","R$36,00"
MODA E HISTORIA: AS INDUMENTARIAS DAS MULHERES DE FE,"R$63,00","50,00%","R$31,50"
"MODA E SEU PAPEL SOCIAL, A","R$120,00","70,00%","R$36,00"
"MODA E SEUS DESAFIOS, A: 50 QUESTOES FUNDAMENTAIS","R$66,00","70,00%","R$19,80"
MODA E SOCIABILIDADE,"R$86,00","70,00%","R$25,80"
MODA EM 360 GRAUS,"R$106,00","70,00%","R$31,80"
MODA SOB MEDIDA: GUIA PRATICO DE MODA PARA A VIDA REAL,"R$83,00","60,00%","R$33,20"
MODA VINTAGE: 20 MOLDES DOS ANOS 1960,"R$97,00","70,00%","R$29,10"
MODELAGEM DE CALCADOS: TECNICAS E PASSO A PASSO,"R$76,00","60,00%","R$30,40"
MODELAGEM PLANA FEMININA - METODOS DE MODELAGEM,"R$61,00","70,00%","R$18,30"
MODELAGEM PLANA MASCULINA - METODOS DE MODELAGEM,"R$63,00","60,00%","R$25,20"
"MODELO DA COMPETENCIA - Trajetoria historica, desa","R$106,00","70,00%","R$31,80"
MODELOS E FERRAMENTAS DE GESTAO AMBIENTAL: DESAFIO E PERSPECT,"VARS$ P1A27R,A0 0AS","OR6G0A,N00IZ%AC","ESR$50,80"
MODERNIST CUISINE: A FOTOGRAFIA DA CULINARIA CONTEMPORANEA,"R$399,00","70,00%","R$119,70"
MOLDES FEMININOS: NOCOES BASICAS,"R$49,00","60,00%","R$19,60"
MOVEL MODERNO NO BRASIL,"R$90,00","60,00%","R$36,00"
MUDE DE ALIMENTAÇÃO E SALVE O PLANETA: O PLANO OMD,"R$80,00","60,00%","R$32,00"
MUITO MAIS QUE COMBUSTIVEL,"R$49,00","60,00%","R$19,60"
"MUNDO DA COZINHA, O: PERFIL PROFISSIONAL, TÉCNICAS DE TRABALHO","MRER$C51A,D0O0","60,00%","R$20,40"
"MUNDO DO BARTENDER, O","R$98,00","50,00%","R$49,00"
"MUNDO NA COZINHA, O: HISTORIA, IDENTIDADE, TROCAS","R$92,00","70,00%","R$27,60"
"NA MESA DA BAIANA: RECEITAS, HISTÓRIAS, TEMPEROS E ESPÍRITO TIPICA","ERN$T1E0 9B,A0I0A","OS60,00%","R$43,60"
NA MESMA SINTONIA,"R$47,00","70,00%","R$14,10"
NA MODA SEM ERRO,"R$86,00","70,00%","R$25,80"
NA TRILHA DE MACUNAIMA: OCIO E TRABALHO NA CIDADE,"R$93,00","70,00%","R$27,90"
NAO CONTEM LEITE - RECEITAS PARA ALERGICOS A CASEINA E INTOLERAN,"ESR A$ 8LA4,C0T0OS","50,00%","R$42,00"
NAS SOMBRAS DE UM SONHO,"R$89,00","70,00%","R$26,70"
"NATURAL: SIMPLES, SAUDÁVEL E SABOROSO - SOBREMESAS","R$100,00","60,00%","R$40,00"
NATURALMENTE SEM GLUTEN,"R$121,00","70,00%","R$36,30"
NEM GARFO NEM FACA,"R$79,00","70,00%","R$23,70"
NOBU OCIDENTAL,"R$127,00","70,00%","R$38,10"
NOCOES DE PREVENCAO E CONTROLE DE PERDAS EM SEGURA,"R$140,00","70,00%","R$42,00"
NORMAS VANCOUVER: GUIA PARA ELABORACAO DE TRABALHOS ACADEM,"CORS$30,00","70,00%","R$9,00"
NOS E A NATUREZA: UMA INTRODUCAO AS RELACOES HOMEM-AMBIENTE,"R$105,00","70,00%","R$31,50"
"NOSSO PEIXE DE CADA DIA, O: 50 RECEITAS DE PEIXES E FRUTOS DO MAR","R$71,00","70,00%","R$21,30"
"NOVAS FRONTEIRAS DA DESIGUALDADE, AS STS","R$190,00","70,00%","R$57,00"
"NOVO MANUAL DE FOTOGRAFIA, O: GUIA COMPLETO PARA TODOS OS FO","MRA$T1O64S,00","60,00%","R$65,60"
NR 12 SEGURANÇA NO TRABALHO EM MÁQUINAS E EQUIPAMENTOS: GER,"NCRI$A8N5D,0O0 RI","CO5S0,00%","R$42,50"
NUTRICAO APLICADA E ALIMENTACAO SAUDAVEL,"R$164,00","60,00%","R$65,60"
"NUTRICAO, DIETETICA E BOA COZINHA: SOLUCOES CRIATIVAS PARA RESTR","CARO$ A7L8I,M00EN","AR6E0S,00%","R$31,20"
O QUE TEM NA GELADEIRA?,"R$99,00","50,00%","R$49,50"
OFFICE 2016 PARA APRENDIZAGEM COMERCIAL,"R$64,00","70,00%","R$19,20"
OPERADOR DE CAIXA: PROFISSIONAL ESTRATÉGICO,"R$46,00","60,00%","R$18,40"
