"",,,,L ist,a,d,Fes,e,Li,t,a,vr,V,os,irt,L,u i,v,,aro,l,d,,o d a,,,,U 2sp,,02,,1
"",,,,Preço de,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cód.,Título Cód. de Barras,Autor,,,,,,,Preço com desconto,,,,,,,,,,,,,,,,,,,,,,,
"",,,,Capa,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981,Congresso da Virada e o Serviço Social Hoj,:9788524927515,Maria Liduina de Oliveir,"eRS$il v6a5,00","R$ 32,50"
11400,Conhecimento prudente para uma vida de,e9n7t8e8 -5 '2u4m9 0d9is8c3u2rs,Boaventura de Sousa Sa,"toRs$ 125,00","R$ 62,50"
13524,Conscientização,9788524924279,Paulo Freire,"R$ 63,00","R$ 31,50"
12517,Conselhos gestores e participação sociopo,ít9ic7a88524917639,Maria da Gloria Gohn,"R$ 46,00","R$ 23,00"
12080,Contando o Hino Nacional,9788524915314,Marcos Vinícius Lúcio,"R$ 47,00","R$ 23,50"
12563,Contos de mistério & assombros,9788524918704,Nelson Albissú,"R$ 46,00","R$ 23,00"
13024,Contos encantados de Hans Christian And,rs9e7n88524920714,Luiz Antonio Aguiar,"R$ 49,00","R$ 24,50"
14193,CONTRARREFORMAS ou REVOLUÇÃO,9788524927645,Maria Lucia Teixeira Ga,"ciaR$ 72,00","R$ 36,00"
13412,Conversa com professores - do fundamen,al9 à7 8p8ó5s2-g4r9a2d3u5a0ç0ã,Newton Cesar Balzan,"R$ 78,00","R$ 39,00"
13952,Coordenação do trabalho pedagógico: do,r9o7je8t8o5 p2o4l9ít2ic7o3-24,Celso dos S. Vasconcell,"sR$ 76,00","R$ 38,00"
13244,Coordenador pedagógico e a formação co,t9ín7u8a8 5d2o4 d9o2c2e9n3t0e,aIs aneide Domingues,"R$ 63,00","R$ 31,50"
13048,"Cor do tempo quando foge, A - uma histór",a9 d7o8 8p5re2s4e9n2t1e6 C9r8ô,iBcaosa ventura de Sousa Sa,"toRs$ 115,00","R$ 57,50"
12637,Corpo em movimento na educação infanti,9788524919060,Vilma Lení Nista-Piccolo,"R$ 71,00","R$ 35,50"
13895,"Corporeidade, jogo, linguagem - a Educaç",o9 F7ís8i8ca5 2n4o9s2 a7n0o2s7,Mauro Betti,"R$ 71,00","R$ 35,50"
12142,Cortez - a saga de um sonhador,9788524916014,Teresa Sales,"R$ 59,00","R$ 29,50"
12667,Cotidiano: conhecimento e crítica,9788524919022,José Paulo Netto,"R$ 41,00","R$ 20,50"
12084,"Coyuntura actual, latinoamericana y mun",ia9l 7- 8t8en52d4e9n1ci5a2s1 y5,Carlos Montaño,"R$ 92,00","R$ 46,00"
12651,"Criança e seu desenvolvimento, A - perspe",t9iv7a8s8 p5a2r4a9 s1e8 2d5is4c,t Ziri lam a de Moraes Ramo,"deR O$l i6v3e,i0ra0","R$ 31,50"
12646,"Criança na fase inicial da escrita, A - a alfa",e9ti7z8a8çã5o2 4c9o1m8o6 81,Ana Luiza Bustamante S,"oRlk$a 63,00","R$ 31,50"
14334,"Crianças, educação e o direito à cidade:",9786555550795,Marcia Aparecida Gobbi,"R$ 65,00","R$ 32,50"
12643,"Crise das ciências humanas, A",9788524919190,Hilton Japiassu,"R$ 71,00","R$ 35,50"
14165,Crise do capital e fundo público: implicaçõ,"s9 p7a8r8a5 o2 4t9ra2b7a5l9h1o,",o Esl aine Rossetti Behring,"R$ 78,00","R$ 39,00"
12673,Crise do socialismo e ofensiva neoliberal,9788524919329,José Paulo Netto,"R$ 45,00","R$ 22,50"
13521,Crítica da estrutura da escola,9788524924255,Vitor Henrique Paro,"R$ 71,00","R$ 35,50"
11100,"Crítica da razão indolente, A - contra o de",pe9r7d8í8ci5o2 d4a9 0e7x3p8e8ri,n Bcoia ventura de Sousa Sa,"toRs$ 89,00","R$ 44,50"
12400,Cuiabá - centro da América do Sul,9788524917554,Pedro Carlos Nogueira,"elixR$ 41,00","R$ 20,50"
13386,Cultura da crise e seguridade social,9788524923203,Ana Elizabete Mota,"R$ 73,00","R$ 36,50"
10104,Cultura e democracia - o discurso compet,n9te7 8e8 o5u2t4r9a1s 1fa9l0a3s,Marilena Chaui,"R$ 77,00","R$ 38,50"
13875,Cultura visual - imagens na modernidade,9788524927034,Iara Lis Schiavinatto,"R$ 59,00","R$ 29,50"
11768,"Curitiba - aqui, muito pinhão",9788524912566,Márcia Széliga,"R$ 41,00","R$ 20,50"
12679,Currículo na contemporaneidade - incerte,a9s 7e8 d8e5s2a4f9io1s9176,Regina Leite Garcia,"R$ 78,00","R$ 39,00"
13066,Curso de Direito do Serviço Social - (Acom,a9n7h8a8 C5D24) 921735,Carlos Simões,"R$ 105,00","R$ 52,50"
13701,Curso de pedagogia - Avanços e limites ap,s9 a7s8 D85ir2e4tr9iz2e5s6 72,Umberto de Andrade Pi,"toR$ 63,00","R$ 31,50"
13949,Cursos de pedagogia: inovações na forma,ão97 d8e8 p5r2o4f9e2s7so4r7e8s,Selma Garrido Pimenta,"R$ 65,00","R$ 32,50"
13980,Customização Curricular no Ensino Médio,9788524927409,Roberto Rafael Dias da,"ilvaR$ 63,00","R$ 31,50"
12632,Da África e sobre a África - textos de lá e d,9c7á88524919039,Ninfa Parreiras,"R$ 76,00","R$ 38,00"
13209,Da autoridade pedagógica à amizade intel,c9tu7a8l8 u5m24a9 p2l2a0ta1f5o,m Jual io Groppa Aquino,"R$ 65,00","R$ 32,50"
13718,Da cabeça aos pés,9788524925979,Flávia Côrtes,"R$ 57,00","R$ 28,50"
13038,Da escuta de textos à leitura,9788524921704,Élie Bajard,"R$ 46,00","R$ 23,00"
11136,Da fala para a escrita - atividades de retex,u9a7liz8a8ç5ã2o4907715,Luiz Antônio Marcuschi,"R$ 46,00","R$ 23,00"
12942,Da relação com o saber às práticas educat,va9s788524920509,Bernard Charlot,"R$ 75,00","R$ 37,50"
13892,"Descoberta, A",9788524927140,Jonas Ribeiro,"R$ 41,00","R$ 20,50"
13034,Descobrindo a arqueologia - o que os mor,o9s 7p8o8d5e2m49 n2o1s6 c4o3n,aLru is Pezo Lanfranco,"R$ 71,00","R$ 35,50"
13679,Descortesia e cortesia - Expressão de cult,ra9s788524925689,Ana Lúcia Tinoco Cabral,"R$ 76,00","R$ 38,00"
12759,Desenvolvimentismo e construção de heg,m9o7n8i8a5 -2 c4r9e1s9ci8m2e4,t oA na Elizabete Mota,"R$ 69,00","R$ 34,50"
13270,Desenvolvimento de comunidade e partici,a9ç7ã8o8524923104,Maria Luiza de Souza,"R$ 72,00","R$ 36,00"
12254,"Desenvolvimento humano - história, conc",it9o7s8 e8 5p2o4lê9m16ic5a6s4,Maria Cristina Soares d,"GoRu$v 5e1a,00","R$ 25,50"
12698,Desenvolvimento humano? E eu com isso,9788524919435,Joubert José Lancha,"R$ 55,00","R$ 27,50"
12850,Destruição em massa - geopolítica da fom,9788524920288,José Paulo Netto,"R$ 76,00","R$ 38,00"
13422,Desvendando os segredos do texto,9788524923517,Ingedore G. Villaça Koc,"R$ 65,00","R$ 32,50"
13957,Deu limerique na casa do bicho,9788524927539,Alexandre de Castro Go,"eRs $ 45,00","R$ 22,50"
12841,"Dia em que minha avó envelheceu, O",9788524920257,Lúcia Fidalgo,"R$ 46,00","R$ 23,00"
14184,"Diabo na Corte, O",9788524927652,Frei Betto,"R$ 49,00","R$ 24,50"
12852,Didática,9788524916038,José Carlos Libâneo,"R$ 75,00","R$ 37,50"
13576,Didática da língua espanhola no ensino m,d9io788524924989,LIGIA PAULA COUTO,"R$ 63,00","R$ 31,50"
13616,Dimensão subjetiva do processo educacio,"a9l,7 A88524925061",Ana M. Bahia Bock,"R$ 73,00","R$ 36,50"
13645,Dimensão técnico-operativa no Serviço So,"ia9l7, 8A8 -5  2d4e9s2a5fi2o2s 1",Yolanda Guerra,"R$ 65,00","R$ 32,50"
13716,Dinossauros,9788524925917,Flávia Côrtes,"R$ 65,00","R$ 32,50"
12302,Dinossauros do Brasil,9788524915895,Luisa Massarani,"R$ 52,00","R$ 26,00"
13269,Direito ao ambiente como direito à vida -,e9s7a8fi8o5s 2p4a9r2a 3a0 e7d4u,aAçidãao  Maria Monteiro Sil,"a R$ 72,00","R$ 36,00"
12688,Direito social e a assistência social na soci,"d9a7d8e8 b5r2a4si9le1i9ra7,0 O1",Berenice Rojas Couto,"R$ 65,00","R$ 32,50"
13255,Direitos humanos e concepções contemp,râ9n7e8a8s524922923,Jefferson Lee de Souza,"uizR$ 76,00","R$ 38,00"
14237,Direitos Humanos na América Latina:,9786555550498,Soraya Barreto Januário,"R$ 81,00","R$ 40,50"
12988,"Direitos humanos, democracia e desenvol",im97e8n8to524921377,Boaventura de Sousa Sa,"toRs$ 52,00","R$ 26,00"
12889,"Direitos sociais e sua regulamentação, Os",c9o7le8t8â5n2e4a9 d2e0 5le4i7s,Luiz Antonio Miguel Fer,"eiRra$ 105,00","R$ 52,50"
13371,Diretor escolar - educador ou gerente?,9788524923166,Vitor Henrique Paro,"R$ 46,00","R$ 23,00"
13773,Discurso - Tessituras de linguagem e traba,h9o788524925801,Maria da Glória di Fanti,"R$ 68,00","R$ 34,00"
14238,Discursos transviados:,9786555550115,Rodrigo Borba,"R$ 62,00","R$ 31,00"
13119,"Discursos, identidades e letramentos - ab",rd9a7g8e8n5s2 d4e9 2a1n7á5lis9e,d Me aria Aparecida Resen,"e ORt$t o6n8i,00","R$ 34,00"
13367,Ditadura e Serviço Social - uma análise do,e9r7v8iç8o5 S2o4c9i2a3l n1o80 B,a Jsoisl é Paulo Netto,"R$ 81,00","R$ 40,50"
13771,Diversidade sexual e de gênero e o serviço,s9o7ci8a8l 5n2o4 s9o2c6io2j8u0rí,iGcouilherme Gomes Ferre,"raR$ 62,00","R$ 31,00"
13221,Docência no Ensino Superior,9788524922145,Léa das Graças Camarg,"s ARn$a s7t5a,s0io0u","R$ 37,50"
12903,"Doutrina de segurança nacional e o ""milag","e9 e7c8o8n5ô2m49ic2o0""3 56",Carlos Giannazi,"R$ 68,00","R$ 34,00"
14190,ECA e a Proteção Integral de Crianças e Ad,l9e7s8ce6n5t5e5s550047,Eunice Teresinha Fáver,"R$ 65,00","R$ 32,50"
12732,Economia política - uma introdução crítica,9788524919794,José Paulo Netto,"R$ 72,00","R$ 36,00"
12829,Ecopedagogia e cidadania planetária,9788524920080,Cruz Prado,"R$ 54,00","R$ 27,00"
13117,Educação ambiental - dialogando com Pau,o9 F7r8e8ir5e24921865,Carlos Frederico Bernar,"o LRo$u 6r3ei,r0o0","R$ 31,50"
13926,Educação Ambiental: questões de vida,9788524927294,Carlos Frederico Bernar,"o LRo$u 6r3ei,r0o0","R$ 31,50"
13237,Educação como exercício do poder - crític,a9o7 8se8n5s2o4 9c2o2m8u8m6,mVi tor Henrique Paro,"R$ 45,00","R$ 22,50"
12250,Educação continuada na era digital,9788524916366,Maria Helena Bettega,"R$ 46,00","R$ 23,00"
12747,Educação de jovens e adultos - prática pe,ag9ó7g8i8c5a2 e4 919886,Vera Capucho,"R$ 59,00","R$ 29,50"
12416,"Educação de jovens e adultos - teoria, prá",ic9a7 e8 8p5ro2p4o9s1t7a127,José Eustáquio Romão,"R$ 57,00","R$ 28,50"
13268,"Educação de jovens e adultos sujeitos, sab",r9e7s8 e8 5p2rá4t9ic2a3s081,José Rubens Lima Jardili,"oR$ 68,00","R$ 34,00"
12748,Educação do campo como direito humano,9788524919916,Angela Monteiro Pires,"R$ 61,00","R$ 30,50"
12238,Educação e a crise do capitalismo real,9788524916168,Gaudêncio Frigotto,"R$ 71,00","R$ 35,50"
11173,Educação e atualidade brasileira,9788524908279,Paulo Freire,"R$ 65,00","R$ 32,50"
