ISBN,DESCRIÇÃO,AUTOR,"PREÇODE CAPA","PREÇOCOMDESC.(50%)"
9788586590894,ABELARDO E HELOISA,JOSE CARLOS ESTEVAO,"R$   39,00","R$   19,50"
9786587017129,"CRÔNICAS, TAOKEY?",CARLOS EDUARDO NOVAES,"R$   39,90","R$   19,95"
9786586618235,INFIDELIDADES FINANCEIRAS,MARA LUQUET,"R$   45,00","R$   22,50"
9788584930319,"REPERCUSSAO GERAL: BALANCO EPERSPECTIVAS","CARVALHO FILHO, JOSE DOS SANTOS","R$   47,00","R$   23,50"
9788562938153,AÇÃO POLÍTICA EM HANNAH ARENDT,EDSON TELES,"R$   49,00","R$   24,50"
9786587017242,"BALADA POR ANITA GARIBALDI E OUTRASHISTÓRIAS CATA",DEONÍSIO DA SILVA,"R$   49,00","R$   24,50"
9788562938115,"FUNDAMENTOS DA TEORIA POLÍTICA DEROSSEAU",ROLF KUNTZ,"R$   49,00","R$   24,50"
9788562938146,"O CONCEITO DE SOBERANIA NA FILOSOFIAMODERNA",ALBERTO RIBEIRO GONÇALVES DE BARROS,"R$   49,00","R$   24,50"
9788562938122,O MAL,LUÍS CÉSAR OLIVA,"R$   49,00","R$   24,50"
9788562938139,SARTRE E O HUMANISMO,FRANKLIN LEOPOLDO E SILVA,"R$   49,00","R$   24,50"
9786587017150,O SINAL DA ÁGUIA,CARLOS NEJAR,"R$   49,90","R$   24,95"
9786586618426,TIRANOS,ERNANI BUCHMANN,"R$   49,90","R$   24,95"
9788584930791,"ATUACAO DA COMISSAO DE VALORESMOBILIARIOS, A","D'AVILA, DANIELA PERETTI","R$   51,00","R$   25,50"
9788584931392,CONTRATOS PUBLICOS E DIREITO PRIVADO....,KLEBER LUIZ ZANCHIM,"R$   54,00","R$   27,00"
9788584934072,AGENTES INFILTRADOS - 2 ED,"WOLFF, RAFAEL","R$   55,00","R$   27,50"
9788584933907,COMBINACAO DE NEGOCIOS,"JACOB, MAURO DA CRUZ","R$   55,00","R$   27,50"
9786587017068,DIAS CONTADOS,JOSÉ MATTOS,"R$   55,00","R$   27,50"
9788584933921,"LIMITES DA MULTA DEVIDA PORDESCUMPRIMENTO, OS","CRESTANI, WILLIAM ROBERTO","R$   55,00","R$   27,50"
9788562938276,A LIBERDADE EM SARTRE,THANA MARA DE SOUZA,"R$   59,00","R$   29,50"
9788562938269,A PAZ NA TEORIA POLITICA DE HOBBES,LÍGIA PAVAN BAPTISTA,"R$   59,00","R$   29,50"
9788586590740,BLAISE PASCAL CONVERSAO E APOLOGETICA,"GOUHIER, HENRI","R$   59,00","R$   29,50"
9788584933990,COMPLIANCE CONCORRENCIAL,"MARIO G. SCHAPIRO; SARAH MORGANNAMATOS","R$   59,00","R$   29,50"
9788594700070,"CONHECIMENTO CIENTIFICO, O - 1 ED","COSTA, NEWTON DA","R$   59,00","R$   29,50"
9788562937217,CRM (CUSTOMER RELATIONSHIP MANAGEMENT),LUIZ CLAUDIO ZENONE,"R$   59,00","R$   29,50"
9788562938252,DARWIN E A SELEÇÃO NATURAL,PEDRO PAULO PIMENTA,"R$   59,00","R$   29,50"
9788586590269,"DOS INFORTUNIOS DA IGUALDADE AO GOZO DALIBERDADE",CELIA GALVAO QUIRINO,"R$   59,00","R$   29,50"
9788586590672,EM BUSCA DE UM LUGAR AO SOL,IVO DA SILVA JUNIOR,"R$   59,00","R$   29,50"
9786556270401,"ENSINO JURIDICO E INOVACAO - DICASPRATICAS E EXPE","MARINA FEFERBAUM, CLIO NUDELRADOMYSLER","R$   59,00","R$   29,50"
9788586590191,ESSES LIVROS QUE SE LEEM COM UMA SO MAO,JEAN-MARIE GOULEMOT,"R$   59,00","R$   29,50"
9786587017327,FINANÇAS COM A FORMIGA EMÍLIA,MARA LUQUET; ELIANA CARDOSO,"R$   59,00","R$   29,50"
9788562938351,GOETHE,PEDRO FERNANDES GALÉ,"R$   59,00","R$   29,50"
9788562938245,ILUMINISMO,MARIA DAS GRAÇAS DE SOUZA; MILTON MEIRA,"R$   59,00","R$   29,50"
9788584935802,"LANCAMENTO POR HOMOLOGACAO EDECADENCIA",MARCOS DONIZETI SAMPAR,"R$   59,00","R$   29,50"
9786586618150,LIBERDADE POLÍTICA,ALBERTO RIBEIRO GONÇALVES DE BARROS,"R$   59,00","R$   29,50"
9786587017044,MEMORIAS DE UM CIRURGIAO-BARBEIRO,HEITOR ROSA,"R$   59,00","R$   29,50"
9788562937347,"MIDIA TRAINING- COMO USAR AS MIDIASSOCIAIS...",HERODOTO BARBEIRO,"R$   59,00","R$   29,50"
9786587019093,NEGOCIAÇÃO PLUG & PLAY,MARCELA CASTRO,"R$   59,00","R$   29,50"
9788586590818,NIETZSCHE ABAIXO DO EQUADOR,SCARLETT MARTON ORG.,"R$   59,00","R$   29,50"
9788586590504,NOVOS ESTUDOS HUMEANOS - ED.NACIONAL,JOAO PAULO MONTEIRO,"R$   59,00","R$   29,50"
9788598233451,PLATAO E A ARTE DE SEU TEMPO,"SCHUHL, PIERRE MAXIME","R$   59,00","R$   29,50"
9788586590665,"RAZAO EM EXERCICIO, A - 1 ED","NOVAES FILHO, MOACYR AYRES","R$   59,00","R$   29,50"
9788594700087,"REPUBLICANISMO INGLES - SIDNEY E ASEMANTICA DA L.","BARROS, ALBERTO RIBEIRO DE","R$   59,00","R$   29,50"
9786587017013,STEFAN ZWEIG DEVE MORRER,DEONÍSIO DA SILVA,"R$   59,00","R$   29,50"
9788586590962,TEMPO VERDADE E ACAO,"BARBOSA FILHO, BALTHAZAR","R$   59,00","R$   29,50"
9788584931262,OBRIGACOES ALTERNATIVAS,MARINA VESSONI LABATE LACAZ,"R$   60,00","R$   30,00"
9788584932863,CLÁUSULA DE ELEIÇÃO DE FORO ESTRANGEIRO,MILENA CECILIA DOS SANTOS ARBIZU,"R$   61,00","R$   30,50"
9788584931507,"CASO DO MATEMATICO HOMICIDA, O - 2 ED","RODRIGUEZ, VICTOR GABRIEL","R$   64,00","R$   32,00"
9788584931248,DIREITO PENAL DO INIMIGO E O TERRORISMO,"VALENTE, MANUEL MONTEIRO GUEDES","R$   64,00","R$   32,00"
9788584930487,"EMPRESAS SOCIAIS: UMA ABORDAGEMSOCIETARIA","SOUZA, ALINE GONCALVES DE","R$   64,00","R$   32,00"
9788584931514,"ESTABILIDADE DAS DECISOES NO CONTROLEDE CONST., A","THAMAY, RENNAN FARIA KRUGER","R$   64,00","R$   32,00"
9789896942182,"DA GESTAO TRADICIONAL A GESTAOCONTEMPORANEA",MANUEL ALBERTO RAMOS MACAES,"R$   64,35","R$   32,18"
9789896942267,"ESTRATEGIAS E PROCESSOS DE INTERN. - VOLVI",MANUEL ALBERTO RAMOS MACAES,"R$   64,35","R$   32,18"
9789896942328,"GESTAO FINANCEIRA, ORCAMENTACAO ECOMTR.- VOL.IX",MANUEL ALBERTO RAMOS MACAES,"R$   64,35","R$   32,18"
9789896942335,PESSOAS E GESTAO DE EQUIPAS - VOL. X,MANUEL ALBERTO RAMOS MACAES,"R$   64,35","R$   32,18"
9789896942243,"PLANEAMENTO, ESTRATEGIA E TOMADA DEDEC. - VOL IV",MANUEL ALBERTO RAMOS MACAES,"R$   64,35","R$   32,18"
9789896942199,VANTAGEM COMPETITIVA E CRIACAO DE VALOR,MANUEL ALBERTO RAMOS MACAES,"R$   64,35","R$   32,18"
9788584934010,"APLICABILIDADE E LIMITES DAS CLÁUSULAS DENAO CON.",ALEXANDRE DAVID SANTOS,"R$   65,00","R$   32,50"
"",DEADLOCK PROVISIONS - RESOLUCAO,,,,,
9788584932207,,MARCELO DOURADO COX,R$,"65,00",R$,"32,50"
"",CONTRATUAL DE CONF,,,,,
9788584932443,DIREITO TRIBUTARIO E HEURISTICAS,"TOMKOWSKI, FABIO GOULART",R$,"65,00",R$,"32,50"
9788562937194,ESTRATÉGIA BASEADA EM DESIGN,GUILHERME FOWLER A. MONTEIRO,R$,"65,00",R$,"32,50"
9789724027746,"MISSAO DE IBIAPABA, A","VIEIRA, PADRE ANTONIO",R$,"65,00",R$,"32,50"
9789724068121,PORTUGAL: TODAS AS CORES,"COELHO, RICARDO",R$,"65,40",R$,"32,70"
"","COMPUTAÇÃO, COMÉRCIO ELETRÔNICO E",,,,,
9788584932528,,ALICE M. C. S.; VITOR T. P. M.; MARIANA,R$,"66,00",R$,"33,00"
"",PRESTAÇÃO DE S.,,,,,
9786556272924,AGENTES INFILTRADOS - 3 ED,RAFAEL WOLFF,R$,"69,00",R$,"34,50"
9789899027411,ARSÈNE LUPIN,MAURICE LEBLANC,R$,"69,00",R$,"34,50"
"",ATEU VIRTUOSO MATERIALISMO MORAL EM,,,,,
9788586590429,,"PIVA, PAULO JONAS DE LIMA",R$,"69,00",R$,"34,50"
"","DIDEROT, O",,,,,
9788586590498,"BUSCA DA VERDADE, A","MALEBRANCHE, NICOLAS",R$,"69,00",R$,"34,50"
9788586590788,"DOM DA LEI KANT E O ENIGMA DA ETICA, O","ROGOZINSKI, JACOB",R$,"69,00",R$,"34,50"
"",ESTUDOS APLIC. DE DIREITO EMPRES - LL.C. 6,,,,,
9786556270760,,PAMELA ROMEU ROQUE,R$,"69,00",R$,"34,50"
"",ED,,,,,
"",ESTUDOS APLIC. DE DIREITO EMPRES - LL.C. ED,,,,,
9788584935062,,PAMELA ROMEU ROQUE,R$,"69,00",R$,"34,50"
"",4,,,,,
"",ESTUDOS APLIC. DE DIREITO EMPRES - LL.C. ED.,,,,,
9788584935666,,PAMELA ROMEU ROQUE,R$,"69,00",R$,"34,50"
"",5,,,,,
"",FALAR PARA LIDERAR - NINGUEM CHEGA LA,,,,,
9788562937415,,HERODOTO BARBEIRO,R$,"69,00",R$,"34,50"
"",SEM FALAR ..,,,,,
"",FUSOES E AQUISICOES - REGIME JURIDICO DO,,,,,
9788584935741,,VICTOR LYRA GUIMARAES LUZ,R$,"69,00",R$,"34,50"
"",AGIO,,,,,
9788586590771,HISTORIA E POLITICA EM MAQUIAVEL,"ARANOVITCH, PATRICIA FONTOURA",R$,"69,00",R$,"34,50"
"",INTERVENCAO JUDICIAL NA ADMINISTRACAO DE,,,,,
9788584934393,,"LUIS FELIPE SPINELLI,JOAO P.SCALZIL, ROD",R$,"69,00",R$,"34,50"
"",SOCIEDADE,,,,,
"",JULGAMENTO EM NOTRE DAME - A SAGA DE,,,,,
9786587017051,,HEITOR ROSA,R$,"69,00",R$,"34,50"
"",UMA MEDICA..,,,,,
"",JUSTICA - DOS SISTEMAS AS REDES.,"ALBERTO FEBBRAJO, FERNANDO RISTER DE",,,,
9786556270043,,,R$,"69,00",R$,"34,50"
"",PARADIGMAS DA MOD,SOU,,,,
9786586618679,MANUAL DE DEBATE POLÍTICO,KIM KATAGUIRI,R$,"69,00",R$,"34,50"
9786587019192,METANOIA LAB,ANDREA IORIO,R$,"69,00",R$,"34,50"
