"LISTA DE LIVROS  - Festa Virtualdo Livroda USP 2021"
TÍTULO,PREÇO CAPA,"PREÇO COMDESCONTO"
Mandalas De Bolso 9,"R$ 24,90","R$ 8,72"
Mandalas De Circo,"R$ 44,90","R$ 15,72"
Mandalas De Princesas,"R$ 44,90","R$ 15,72"
Mandalas De Viagem,"R$ 34,90","R$ 12,22"
Mandalas Do Coração,"R$ 49,90","R$ 17,47"
Mandalas Do Tibet: A Arte Da Iluminação,"R$ 34,90","R$ 12,22"
Mandalas Hindus,"R$ 34,90","R$ 12,22"
Mandalas Mágicas 1,"R$ 24,90","R$ 8,72"
Mandalas Mágicas 2,"R$ 24,90","R$ 8,72"
Mandalas Modernistas: A Arte Catalã,"R$ 44,90","R$ 15,72"
Mandalas Para As Mães,"R$ 34,90","R$ 12,22"
Mandalas Para Crianças,"R$ 49,90","R$ 17,47"
Manual Para Sonhar: Treine-Se Para Sonhar,"R$ 59,90","R$ 29,95"
Mãos A Obra: Aeroporto,"R$ 99,90","R$ 49,95"
Mãos A Obra: Bombeiros,"R$ 99,90","R$ 49,95"
Mãos à Obra: Construção,"R$ 99,90","R$ 49,95"
Mãos à Obra: Navio Pirata,"R$ 119,90","R$ 59,95"
Mar De Tinta E Ouro:  A Leitora,"R$ 54,90","R$ 27,45"
Mar De Tinta E Ouro:  A Oradora,"R$ 59,90","R$ 29,95"
Maria Antonieta E Os Gnomos,"R$ 39,90","R$ 19,95"
Maze Runner: A Cura Mortal,"R$ 49,90","R$ 24,95"
Maze Runner: Arquivos,"R$ 29,90","R$ 14,95"
Maze Runner: Correr Ou Morrer,"R$ 49,90","R$ 24,95"
Maze Runner: O Código Da Febre,"R$ 49,90","R$ 24,95"
Maze Runner: Ordem De Extermínio,"R$ 49,90","R$ 24,95"
Maze Runner: Prova De Fogo,"R$ 49,90","R$ 24,95"
"Me Abraça, Cachorrinho","R$ 54,90","R$ 27,45"
"Me Abraça, Gatinho","R$ 54,90","R$ 27,45"
"Me Abraça, Leãozinho","R$ 54,90","R$ 27,45"
"Me Abraça, Pandinha","R$ 54,90","R$ 27,45"
Medley ou os Dias em que Aprendi a Voar,"R$ 49,90","R$ 24,95"
Memória Falsa,"R$ 42,90","R$ 15,02"
Menina feita de Estrelas,"R$ 49,90","R$ 24,95"
"Menina Que Parou O Transito, A","R$ 39,90","R$ 19,95"
Mensageira Da Sorte,"R$ 44,90","R$ 22,45"
Mente Milionária,"R$ 42,90","R$ 21,45"
Meu Dadinho De Prosa: Boa Noite,"R$ 54,90","R$ 27,45"
Meu Dadinho De Prosa: Vrum- Vrum,"R$ 54,90","R$ 27,45"
Meu Livro De Bichos Extraordinários,"R$ 59,90","R$ 29,95"
Meu Livro De Formas: Dinos,"R$ 59,90","R$ 29,95"
Meu Livro De Formas: Na Selva,"R$ 59,90","R$ 29,95"
Meu Livro De Formas: No Espaço,"R$ 59,90","R$ 29,95"
Meu Livro De Formas: No Oceano,"R$ 59,90","R$ 29,95"
Meu Livro de Joias de Madeira,"R$ 109,90","R$ 54,95"
Meu Livro de Pulseiras Descoladas,"R$ 109,90","R$ 54,95"
Meu Pai é o Melhor,"R$ 39,90","R$ 19,95"
Meu Pai Era Um Cara Legal,"R$ 39,90","R$ 19,95"
"Meu Pai, Meu Heroi","R$ 29,90","R$ 14,95"
Meu Super Livro para Apavorar Monstros,"R$ 54,90","R$ 27,45"
Minha Amiga Terra,"R$ 64,90","R$ 32,45"
Minha Mãe E A Melhor Mãe,"R$ 34,90","R$ 17,45"
Minha Maleta de Artista: Animais,"R$ 109,90","R$ 54,95"
Minha Maleta de Artista: Bailarinas,"R$ 109,90","R$ 54,95"
Minha Maleta de Artista: Filhotes,"R$ 109,90","R$ 54,95"
Minha Maleta de Artista: Máscaras De Princesa,"R$ 109,90","R$ 54,95"
Minha Maleta de Artista: Pintando com Areais Coloridas,"R$ 109,90","R$ 54,95"
Minha Maleta de Artista: Pintura A Dedo,"R$ 109,90","R$ 54,95"
Minha Maleta De Artista: Princesas,"R$ 109,90","R$ 54,95"
Minha vida passada a limpo,"R$ 42,90","R$ 21,45"
Minipanelas,"R$ 99,90","R$ 34,97"
Minitortas: Cozinhar - Decorar - Apreciar,"R$ 54,90","R$ 19,22"
"Mistério Dos Cavalos Alados, O","R$ 39,90","R$ 13,97"
Mitologia Das Flores,"R$ 39,90","R$ 19,95"
Mococo,"R$ 36,90","R$ 12,92"
Mohea e a Dança da Rainha (Coleção Minimiki),"R$ 19,90","R$ 9,95"
"Money Mindfulness - Como Ganhar, guardar e Multiplicar o seuDinheiro","R$ 42,90","R$ 21,45"
"Mulheres têm a Força – Como se Empoderar, turbinar suaautoconfiança e viver melhor","R$ 49,90","R$ 24,95"
Na Ponta Dos Pés,"R$ 42,90","R$ 15,02"
Na Sua Pele,"R$ 39,90","R$ 13,97"
Não Namore Rosa Santos,"R$ 49,90","R$ 24,95"
Não Se Estresse!,"R$ 29,90","R$ 14,95"
Nasci para Brilhar,"R$ 49,90","R$ 24,95"
Nevernight: A Sombra Do Corvo,"R$ 64,90","R$ 32,45"
Notas Quentes,"R$ 39,90","R$ 13,97"
Notas Suicidas De Belas Garotas,"R$ 42,90","R$ 21,45"
"Novo Normal, O","R$ 49,90","R$ 24,95"
Nyxia,"R$ 49,90","R$ 24,95"
O Homem Mais Rico do Mundo,"R$ 42,90","R$ 21,45"
O Jardim Secreto de Akiko (Coleção Minimiki),"R$ 19,90","R$ 9,95"
O Pacto de Três Graces,"R$ 54,90","R$ 27,45"
O Quadro,"R$ 49,90","R$ 24,95"
O que tem lá em casa?,"R$ 46,90","R$ 23,45"
O que tem lá fora?,"R$ 46,90","R$ 23,45"
"Obrigada, Mãe","R$ 29,90","R$ 14,95"
Os Estranhos Fascínios de Noah Hypnotik,"R$ 54,90","R$ 27,45"
"Pai, Escrevi um Livro Sobre Você","R$ 34,90","R$ 17,45"
"Pai, Você E Tudo Pra Mim","R$ 29,90","R$ 14,95"
Paixão E Liberdade,"R$ 44,90","R$ 15,72"
Palavras em Azul Profundo,"R$ 46,90","R$ 23,45"
Papai Ao Meu Lado,"R$ 36,90","R$ 18,45"
Para a melhor Mãe do Mundo,"R$ 29,90","R$ 14,95"
Para Meu Grande Amor,"R$ 29,90","R$ 14,95"
Para Meu Superpai!,"R$ 29,90","R$ 14,95"
Para Meu Supervô!,"R$ 29,90","R$ 14,95"
Para Meus Netos Com Amor,"R$ 29,90","R$ 14,95"
Para Minha Amiga,"R$ 29,90","R$ 14,95"
Para Minha Filha Que Cresceu (Capa Dura),"R$ 29,90","R$ 14,95"
Para Minha Super Vó!,"R$ 29,90","R$ 14,95"
Para Minha Supermãe!,"R$ 29,90","R$ 14,95"
Para O Amor Da Minha Vida,"R$ 34,90","R$ 17,45"
Para O Melhor Pai Do Mundo,"R$ 29,90","R$ 14,95"
Para O Melhor Vovô Do Mundo,"R$ 29,90","R$ 14,95"
Parabéns Pra Você!,"R$ 29,90","R$ 10,47"
Paranoia,"R$ 44,90","R$ 15,72"
Passa lá em Casa,"R$ 46,90","R$ 23,45"
Patrulha Canina: Missão Tripla,"R$ 54,90","R$ 27,45"
Patrulha Canina: Mundo Maravilhoso,"R$ 54,90","R$ 27,45"
Peça a Peça: Dinossauros,"R$ 34,90","R$ 17,45"
Peça a Peça: Sítio,"R$ 34,90","R$ 17,45"
Peça a Peça: Terra dos Contos de Fadas,"R$ 34,90","R$ 17,45"
Peça a Peça: Veículos,"R$ 34,90","R$ 17,45"
Peixes: O Signo Romântico,"R$ 19,90","R$ 9,95"
"Peixinho e o Oceano, O","R$ 59,90","R$ 29,95"
Penso Em Você,"R$ 29,90","R$ 10,47"
Perdão Mortal,"R$ 44,90","R$ 22,45"
Piratas (Colecão Cadê?),"R$ 39,90","R$ 19,95"
Presente De Um Poeta,"R$ 39,90","R$ 19,95"
"Presente Para Minha Avó, Um","R$ 29,90","R$ 14,95"
"Presente Para Minha Filha, Um (Capa Lilás)","R$ 29,90","R$ 14,95"
"Presente Para Minha Irmã, Um","R$ 29,90","R$ 14,95"
"Presente Para Minha Mãe, Um - Edição Atualizada","R$ 29,90","R$ 14,95"
Preso A Você,"R$ 44,90","R$ 15,72"
Princesas (Coleção Cadê?),"R$ 39,90","R$ 19,95"
Princesas Usam Calças,"R$ 42,90","R$ 21,45"
Princesas: Meu Primeiro Livro De Desenhos,"R$ 54,90","R$ 27,45"
Principe Cativo: O Escravo,"R$ 48,90","R$ 24,45"
Principe Cativo: O Guerreiro,"R$ 48,90","R$ 24,45"
Principe Cativo: O Rei,"R$ 48,90","R$ 24,45"
"Procura-Se! Carlinhos Coelho, O Ladrão De Livros","R$ 49,90","R$ 24,95"
Quase 1.000 Absurdos De Todos Os Tempos,"R$ 39,90","R$ 13,97"
Quase 1.000 Dados Nojentos Para Saber Que Este Mundo é Imundo,"R$ 39,90","R$ 13,97"
"Que Existe Em Você, O","R$ 36,90","R$ 12,92"
"Que Tem Para Hoje, Mamãe?, O","R$ 74,90","R$ 26,22"
"Quico, O Mico Nanico, Peso Mosquito","R$ 36,90","R$ 12,92"
Rangolis Da Índia,"R$ 34,90","R$ 12,22"
Rangolis Magicos: Para Conectar-Se Com A Terra,"R$ 34,90","R$ 12,22"
Rapunzel (Reconto),"R$ 44,90","R$ 22,45"
Regras Do Jogo: A Doutrina Da Morte,"R$ 44,90","R$ 15,72"
"Rei Da Palha, O","R$ 49,90","R$ 24,95"
