DOM CASMURRO,MACHADO DE ASSIS,"R$ 51,90","R$ 25,95"
DROODLES,DANILO GENTILI,"R$ 35,90","R$ 17,95"
E DESAPARECEMOS UM NO OUTRO,IVAN JAF,"R$ 39,90","R$ 19,95"
EDUCACAO PARA UM MUNDO MELHOR,MARC PRENSKY,"R$ 49,90","R$ 24,95"
ELEFANTE TOMA BANHO NA BANHEIRA?,FRED EHRLICH,"R$ 25,90","R$ 12,95"
EM BUSCA DA MELECA PERDIDA,FATIMA MESQUITA,"R$ 37,90","R$ 18,95"
EM FORMA COM O SEU BEBE,MYRIAN CLARK,"R$ 47,90","R$ 23,95"
ENCICLONERDIA - ALMANAQUE DE CULTURA NERD,LUIS FLAVIO FERNANDES E ROSANA RI,"SR$ 49,90","R$ 24,95"
ENCICLOPEDIA DOS CRAQUES,MARCELO DUARTE E MARIO MENDES,"R$ 81,90","R$ 40,95"
ENTRE: A ARTE E SUA,DIANA TUBENCHLAK E RENATA SANT'A,"NAR$ 46,90","R$ 23,45"
ESQUADRAO CURIOSO - CACADORES DE FAKE NEWS,MARCELO DUARTE,"R$ 35,90","R$ 17,95"
ESSA TAL PROCLAMACAO DA REPUBLICA,EDISON VEIGA,"R$ 36,90","R$ 18,45"
ESTAMOS NO LIVRO ERRADO!,RICHARD BYRNE,"R$ 41,90","R$ 20,95"
ESTE LIVRO COMEU O MEU CAO!,RICHARD BYRNE,"R$ 41,90","R$ 20,95"
ESTE LIVRO ESTA FORA DE CONTROLE!,RICHARD BYRNE,"R$ 41,90","R$ 20,95"
EU ACREDITO! - ATLETICO CAMPEAO DA LIBERTADORES,RADIO ITATIAIA,"R$ 39,90","R$ 19,95"
EU ESTOU AQUI,MAISA ZAKZUK,"R$ 43,90","R$ 21,95"
EU ME LEMBRO DO VOVO HERME,LUCILIA GARCEZ,"R$ 39,90","R$ 19,95"
EU ME POSSUO,STELLA FLORENCE,"R$ 43,90","R$ 21,95"
EU NAO TENHO MEDO,TODD PARR,"R$ 38,90","R$ 19,45"
EU SOU RICARDO BOECHAT,EDUARDO BARAO E PABLO FERNANDE,"R$ 52,90","R$ 26,45"
"FALAR E FACIL, QUERO VER LATIR",CAIO MATTOSO,"R$ 38,90","R$ 19,45"
FERNANDO SABINO NA SALA DE AULA,FERNANDO SABINO,"R$ 36,90","R$ 18,45"
FLOP - A HISTORIA DE UM PEIXINHO JAPONES NA CHINA,LAURENT CARDON,"R$ 39,90","R$ 19,95"
FOFILOFA,REGINA SOLER,"R$ 39,90","R$ 19,95"
FORMAS DE PENSAR O DESENHO,EDITH DERDYK,"R$ 53,90","R$ 26,95"
FRANKENSTEIN E OUTROS MORTOS-VIVOS,"IVAN, MANUEL, ROSANA E SHIRLEY","R$ 36,90","R$ 18,45"
FUNK,JULIA BEZERRA E LUCAS REGINATO,"R$ 38,90","R$ 19,45"
FUTEBOL E COM A RADIO BANDEIRANTES - CORINTHIANS,SALOMAO ESPER,"R$ 39,90","R$ 19,95"
FUTEBOL E COM A RADIO BANDEIRANTES - PALMEIRAS,MAURO BETING,"R$ 39,90","R$ 19,95"
FUTEBOL E COM A RADIO BANDEIRANTES - SANTOS,MILTON NEVES,"R$ 39,90","R$ 19,95"
FUTEBOL E COM A RADIO BANDEIRANTES - SAO PAULO,JOSE PAULO DE ANDRADE,"R$ 39,90","R$ 19,95"
FUTEBOL SEM FRONTEIRAS - RETRATOS DA BOLA AO REDO,CAIO VILELA,"R$ 47,90","R$ 23,95"
FUTEBOL: ARTE DOS PES A CABECA,RENATA SANT ANNA,"R$ 46,90","R$ 23,45"
GASPAR - O LOBO QUE TINHA MEDO DE LOBO,FREDERIQUE AGNES,"R$ 35,90","R$ 17,95"
"GEORGE CLOONEY, POR FAVOR, CASE-SE COM MINHA MAE",SUSIN NIELSEN,"R$ 38,90","R$ 19,45"
GIRAFA TEM TORCICOLO? E OUTRAS PERGUNTAS DO MUND,GUILHERME DOMENICHELLI,"R$ 44,90","R$ 22,45"
HAICAIS ANIMAIS,FRED DI GIACOMO,"R$ 39,90","R$ 19,95"
HINOS DE TODOS OS PAISES DO MUNDO (COM CD),TIAGO JOSE BERG,"R$ 69,90","R$ 34,95"
"HINOS, BANDEIRAS E BRASOES DO BRASIL",TIAGO JOSE BERG,"R$ 112,60","R$ 56,30"
HISTORIAS DE BOCA,CRISTIANE VELASCO,"R$ 52,90","R$ 26,45"
HISTORIAS DO TEMPO EM QUE OS ANIMAIS FALAVAM,ANA CAROLINA CARVALHO,"R$ 39,90","R$ 19,95"
HISTORIAS SECRETAS,VARIOS AUTORES,"R$ 45,90","R$ 22,95"
HORA DO LANCHE,ANDREA CURTIS,"R$ 39,90","R$ 19,95"
INDEPENDENCIA OU MORTE,JULIANA DE FARIA,"R$ 37,90","R$ 18,95"
INDEPENDENCIA OU ZERO!,MARCELO DUARTE,"R$ 35,90","R$ 17,95"
INFOGRAFICOS DAS COPAS,GUSTAVO LONGHI DE CARVALHO E RO,"OLRF$O 4 R3,O90","R$ 21,95"
INFOGRAFICOS OLIMPICOS,MARCELO DUARTE,"R$ 43,90","R$ 21,95"
IRACEMA,JOSE DE ALENCAR,"R$ 41,90","R$ 20,95"
J. S. BACH,ANNA OBIOLS,"R$ 37,90","R$ 18,95"
JINGLE E A ALMA DO NEGOCIO,FABIO BARBOSA DIAS,"R$ 69,90","R$ 34,95"
JOAO CABECA DE FEIJAO,DARIO UZAM,"R$ 38,90","R$ 19,45"
JOGO SUJO - MD,MARCELO DUARTE,"R$ 47,90","R$ 23,95"
JOGO SUJO - O MUNDO SECRETO DA FIFA,ANDREW JENNINGS,"R$ 65,90","R$ 32,95"
KUNUMI GUARANI,WERA JEGUAKA MIRIM,"R$ 37,90","R$ 18,95"
LA DOCE,GUSTAVO GRABIA,"R$ 44,90","R$ 22,45"
LADROES DE BOLA,RODRIGO MATTOS,"R$ 41,90","R$ 20,95"
"LAMBIDAS, ROSNADOS E MORDIDAS",TONI BRANDAO,"R$ 36,90","R$ 18,45"
LEAGUE OF LEGENDS,CLAUDIO PRANDONI,"R$ 33,90","R$ 16,95"
LEO - O PASSARO QUE TINHA MEDO DE ALTURA,FREDERIQUE AGNES,"R$ 35,90","R$ 17,95"
LER ANTES DE SABER LER,ANA CAROLINA CARVALHO E JOSCA AI,"INER $B A4R1,O90","KHR$ 20,95"
LER E UMA GOSTOSURA,TODD PARR,"R$ 38,90","R$ 19,45"
LICO E LECO - INVENCOES,AINO HAVUKAINEN E SAMI TOIVONEN,"R$ 43,90","R$ 21,95"
LICO E LECO - PROFISSOES,AINO HAVUKAINEN E SAMI TOIVONEN,"R$ 43,90","R$ 21,95"
LICOES DE GRAMATICA P/ QUEM GOSTA DE LITERATURA,VARIOS,"R$ 36,90","R$ 18,45"
LIMERIQUES TRAVA-LINGUAS,VIVIANE VEIGA TAVORA,"R$ 37,90","R$ 18,95"
LINHA DO TEMPO - UMA VIAGEM PELA HISTORIA DA HUMAN,CLAUDIA DE CASTRO LIMA,"R$ 45,90","R$ 22,95"
LOBISOMEM E OUTROS SERES DA ESCURIDAO,"FLAVIA, MANUEL, REGINA E SHIRLEY","R$ 36,90","R$ 18,45"
LOUCURAS DE CHOCOLATE,SIMONE IZUMI,"R$ 87,90","R$ 43,95"
LUGAR DE BICHO,VIVIANE VEIGA TAVORA,"R$ 38,90","R$ 19,45"
"MAMAE, EU SUPER TE AMO",LISA WHITFIELD,"R$ 33,90","R$ 16,95"
MAMMA MIA!,DANIEL COURI,"R$ 45,90","R$ 22,95"
MANGUEBEAT,JULIA BEZERRA E LUCAS REGINATO,"R$ 38,90","R$ 19,45"
MANUAL PARA UMA VIDA CRAFT,ANDREA ONISHI E CLAUDIA FAJKARZ,"R$ 45,90","R$ 22,95"
MARCELO - O PORCO QUE TINHA MEDO DE SUJEIRA,FREDERIQUE AGNES,"R$ 35,90","R$ 17,95"
MARIA SABIDA E JOAO DO UIA,CRISTIANE VELASCO,"R$ 37,90","R$ 18,95"
MARIA SABIDA E JOAO DO UIA (COM CD),CRISTIANE VELASCO,"R$ 39,90","R$ 19,95"
ME DA UM ABRACO,CLARA GAVILAN,"R$ 37,90","R$ 18,95"
MEIO AMBIENTE - UMA INTRODUCAO PARA CRIANCAS,MICHAEL E DENNIS DRISCOLL,"R$ 67,90","R$ 33,95"
MEMORIAS DE UM SARGENTO DE MILICIAS,MANUEL ANTONIO DE ALMEIDA,"R$ 45,90","R$ 22,95"
MEMORIAS POSTUMAS DE BRAS CUBAS,MACHADO DE ASSIS,"R$ 51,90","R$ 25,95"
MEMORIAS POSTUMAS DO BURRO DA INDEPENDENCIA,MARCELO DUARTE,"R$ 39,90","R$ 19,95"
MENININHO,GABRIELA ROMEU,"R$ 44,90","R$ 22,45"
MENINOS MALABARES - RETRATOS DO TRABALHO INFANTIL,BRUNA RIBEIRO E TIAGO QUEIROZ LUC,"ANRO$ 43,90","R$ 21,95"
MENSAGEM,FERNANDO PESSOA,"R$ 38,90","R$ 19,45"
MEU AVO AFRICANO,CARMEN LUCIA CAMPOS,"R$ 39,90","R$ 19,95"
MEU AVO ALEMAO,MARTIN WILLE,"R$ 39,90","R$ 19,95"
MEU AVO ARABE,MAISA ZAKZUK,"R$ 39,90","R$ 19,95"
MEU AVO CHINES,DONGYAN WANG,"R$ 39,90","R$ 19,95"
MEU AVO ESPANHOL,JOAO ANZANELLO CARRASCOZA,"R$ 39,90","R$ 19,95"
MEU AVO GREGO,ALEXANDRE KOSTOLIAS,"R$ 39,90","R$ 19,95"
MEU AVO ITALIANO,THIAGO IACOCCA,"R$ 39,90","R$ 19,95"
MEU AVO JAPONES,JULIANA DE FARIA,"R$ 39,90","R$ 19,95"
MEU AVO JUDEU,HENRIQUE SITCHIN,"R$ 39,90","R$ 19,95"
MEU AVO PORTUGUES,MANUEL FILHO,"R$ 39,90","R$ 19,95"
MEU AZAR COM AS MULHERES,RAFAEL CORTEZ,"R$ 32,90","R$ 16,45"
MEU MUSEU,MAISA ZAKZUK,"R$ 35,90","R$ 17,95"
MEU PANINHO,LESLIE PATRICELLI,"R$ 43,90","R$ 21,95"
MEU PEQUENO BOTAO DE ROSA,MANUEL FILHO,"R$ 37,90","R$ 18,95"
MIMI - A CORUJA QUE TINHA MEDO DE ESCURO,FREDERIQUE AGNES,"R$ 35,90","R$ 17,95"
MINECRAFT DE A A Z,SERGIO MIRANDA,"R$ 33,90","R$ 16,95"
MISTERIO NA FLORESTA AMAZONICA,GUILHERME DOMENICHELLI,"R$ 36,90","R$ 18,45"
MITOLOGIA GREGA - UMA INTRODUCAO PARA CRIANCAS,HEATHER ALEXANDER,"R$ 67,90","R$ 33,95"
MIUDO,SHIRLEY SOUZA,"R$ 33,90","R$ 16,95"
MOONSHOTS NA EDUCACAO,ESTHER WOJCICKI,"R$ 41,90","R$ 20,95"
MORDILLO FUTEBOL & CARTUNS,GUILLERMO MORDILLO,"R$ 75,90","R$ 37,95"
MOZART,ANNA OBIOLS,"R$ 37,90","R$ 18,95"
"MTV, BOTA ESSA P#@% PRA FUNCIONAR",ZICO GOES,"R$ 42,90","R$ 21,45"
MULHERES QUE BRILHAM,MARIA CANDIDA,"R$ 42,90","R$ 21,45"
MUNDO - UMA INTRODUCAO PARA CRIANCAS,HEATHER ALEXANDER,"R$ 67,90","R$ 33,95"
NA CAMA COM BRUNA SURFISTINHA,BRUNA SURFISTINHA,"R$ 44,90","R$ 22,45"
NA CORRERIA,SHIRLEY SOUZA,"R$ 36,90","R$ 18,45"
NA TERRA DOS LIVROS,QUINT BUCHHOLZ,"R$ 38,90","R$ 19,45"
NEGOCIOS CRIATIVOS,PHYDIA DE ATHAYDE,"R$ 44,90","R$ 22,45"
NERD QUIZ,LUIS FLAVIO FERNANDES E ROSANA RI,"SR$ 33,90","R$ 16,95"
NEYMAR JR. DE A A Z,NEYMAR,"R$ 31,90","R$ 15,95"
NO CORACAO DA AMAZONIA,MANUEL FILHO,"R$ 41,90","R$ 20,95"
NO PAIS DAS PLACAS MALUCAS,JOSE EDUARDO CAMARGO E L. SOARE,"R$ 33,90","R$ 16,95"
NOITE FELIZ,MAISA ZAKZUK,"R$ 38,90","R$ 19,45"
NOS DUAS,CLARICE ALPHEN,"R$ 45,90","R$ 22,95"
NUNCA DEIXE DE SONHAR,VARIOS,"R$ 28,90","R$ 14,45"
NUNCA SUBESTIME UMA MULHERZINHA,FERNANDA TAKAI,"R$ 37,90","R$ 18,95"
O AMULETO PERDIDO E OUTRAS LENDAS AFRICANAS,MAGDALENE SACRAINE,"R$ 43,90","R$ 21,95"
O ARQUIVO DE HITLER,PATRICK DELAFORCE,"R$ 41,90","R$ 20,95"
O BILHETE PREMIADO,PAULO GALVAO,"R$ 37,90","R$ 18,95"
O BLOCO,MARCELLO ARAUJO,"R$ 43,90","R$ 21,95"
O BRASIL DAS PLACAS,JOSE EDUARDO CAMARGO E L. SOARE,"R$ 53,90","R$ 26,95"
O BURRO CARREGADO DE SAL - FABULAS CLASSICAS E BR,SILVANA SALERNO,"R$ 47,90","R$ 23,95"
O CASO DA MENINA SONHADORA,DANIEL MARTINS DE BARROS,"R$ 33,90","R$ 16,95"
O CAVALO PERFEITO,ELIZABETH LETTS,"R$ 65,90","R$ 32,95"
O CENTAURO GUARDIAO,CHRISTIAN DAVID,"R$ 44,90","R$ 22,45"
O COELHO SEM ORELHAS,KLAUS BAUMGART E TIL SCHWEIGER,"R$ 45,90","R$ 22,95"
O CORPO DAS GAROTAS,JAIRO BOUER,"R$ 33,90","R$ 16,95"
O CORPO DOS GAROTOS,JAIRO BOUER,"R$ 33,90","R$ 16,95"
O CORTICO,ALUISIO AZEVEDO,"R$ 47,90","R$ 23,95"
O DIA EM QUE ME TORNEI... ATLETICANO,FRED PAIVA,"R$ 27,90","R$ 13,95"
O DIA EM QUE ME TORNEI... BOTAFOGUENSE,MAURICIO STYCER,"R$ 27,90","R$ 13,95"
O DIA EM QUE ME TORNEI... COLORADO,RICARDO FREIRE,"R$ 27,90","R$ 13,95"
O DIA EM QUE ME TORNEI... CORINTIANO,MARCELO DUARTE,"R$ 27,90","R$ 13,95"
O DIA EM QUE ME TORNEI... CRUZEIRENSE,SAMUEL ROSA,"R$ 27,90","R$ 13,95"
O DIA EM QUE ME TORNEI... FLAMENGUISTA,WALTER DE MATTOS JR.,"R$ 27,90","R$ 13,95"
O DIA EM QUE ME TORNEI... FLUMINENSE,BETO SILVA,"R$ 27,90","R$ 13,95"
O DIA EM QUE ME TORNEI... GREMISTA,SERGIO XAVIER,"R$ 27,90","R$ 13,95"
O DIA EM QUE ME TORNEI... PALMEIRENSE,MAURO BETING,"R$ 27,90","R$ 13,95"
O DIA EM QUE ME TORNEI... SANTISTA,VLADIR LEMOS,"R$ 27,90","R$ 13,95"
O DIA EM QUE ME TORNEI... SAO-PAULINO,SELTON MELLO,"R$ 27,90","R$ 13,95"
O DIA EM QUE ME TORNEI... VASCAINA,TERESA CRISTINA,"R$ 27,90","R$ 13,95"
O DOCE VENENO DO ESCORPIAO,BRUNA SURFISTINHA,"R$ 44,90","R$ 22,45"
O ESCURO QUE MORA DENTRO DO ESCURO,ANNA CLAUDIA RAMOS,"R$ 39,90","R$ 19,95"
O FILHO DO CACADOR - E OUTRAS HISTORIAS-DILEMA,ANDI RUBINSTEIN E MADALENA MONTE,"ROR$ 36,90","R$ 18,45"
O FINO DA BOSSA,JULIA BEZERRA E LUCAS REGINATO,"R$ 38,90","R$ 19,45"
O GAROTO SCRABBLE,SUSIN NIELSEN,"R$ 39,90","R$ 19,95"
O GRANDE AMIGO,KATIA CANTON,"R$ 36,90","R$ 18,45"
O GUIA DAS CURIOSAS,MARCELO DUARTE E INES DE CASTRO,"R$ 72,90","R$ 36,45"
O GUIA DO ENXOVAL DO BEBE NOS ESTADOS UNIDOS,PRISCILA GOLDENBERG,"R$ 38,90","R$ 19,45"
O GUIA DOS CURIOSINHOS - FOLCLORE,MARCELO DUARTE,"R$ 44,90","R$ 22,45"
O GUIA DOS CURIOSINHOS - SUPER-HEROIS,MARCELO DUARTE,"R$ 44,90","R$ 22,45"
