ISBN,PRODUTO,AUTOR,PREÇO,"PREÇOUSP"
"",FARMACOLOGIA HUMANA,,,
9788578081003,,"SOARES, VINICIUS H.P.","159,00","79,5"
"",BASICA,,,
"",FAZ BEM PRA QUE? - A CIENCIA,"CORONA, JANE;",,
9788577563241,,,"59,00","29,5"
"",POR TRAS DOS ALIMENTO,"CORONA, NARA",,
"","FAZENDA, A: SAO LUIZ DA BOA",,,
9788577562015,,"RODRIGUEZ, LILIANA","110,00",55
"",SORTE E O CICLO DO CAF,,,
9788587864192,FEIJAO,"BARBARA, DANUSIA","120,00",60
"",,"BARBARA, DANUSIA;",,
9788587864680,FEIJAO - EDICAO COMPACTA,,"35,00","17,5"
"",,"PAGANO, SERGIO",,
"",FINANCAS CORPORATIVAS:,,,
9788522118212,,"LUZIO, EDUARDO","89,90","44,95"
"",TEORIA E PRATICA,,,
"",,"SCHENINI, PAULO",,
"",FINANCAS PARA NAO-,,,
9788577560745,,"HENRIQUE; BONAVITA,","39,90","19,95"
"",FINANCISTAS,,,
"",,J.R.,,
"",FUNDAMENTOS DO TURISMO,,,
9788522115396,,"IGNARRA, LUIZ RENATO","89,00","44,5"
"",(5396),,,
"",FUSOES E AQUISICOES EM ATO,,,
9788522118229,,"LUZIO, EDUARDO","99,90","49,95"
"",- GUIA PRATICO: GERACAO,,,
"",GESTAO DE NEGOCIOS EM,"PEREIRA, MARIA DE",,
9788578081461,,,"64,00",32
"",ESTETICA,FATIMA LIMA (ORG.),,
9788577560721,GESTAO DO VALOR DA MARCA,"TOMIYA, EDUARDO","38,00",19
"",GUIA PRATICO DE DESIGN,,,
9788577564439,,"HALUCH, ALINE","49,00","24,5"
"",EDITORIAL | CRIANDO LIVROS,,,
"",HISTORIA E MEMORIA - FACES,,,
9788578081621,,"MARCHIORI, MARLENE","36,00",18
"",DA CULTURA DA COMUNICAO,,,
"","HISTORIAS, LENDAS E",,,
"",,"SALDANHA, ROBERTA",,
9788577563319,CURIOSIDADES DA,,"69,00","34,5"
"",,MALTA,,
"",CONFEITARIA E,,,
"","HISTORIAS, LENDAS E",,,
"",,"SALDANHA, ROBERTA",,
9788577560981,CURIOSIDADES DA,,"69,00","34,5"
"",,MALTA,,
"",GASTRONOMIA,,,
"","HISTORIAS, LENDAS E",,,
"",,"SALDANHA, ROBERTA",,
9788577563586,CURIOSIDADES DAS BEBIDAS,,"69,00","34,5"
"",,MALTA,,
"",ALCOO,,,
"",HOMENS E MODA NO SECULO,,,
9788577564736,,"QUEIROZ, MARIO","49,90","24,95"
"",XXI,,,
"",HUMANIZACAO DA SAUDE E DO,"GIORDANI, ANNECY",,
9788578081805,,,"39,00","19,5"
"",CUIDADO,TOJEIRO,,
"",IMAGEM PROFISSIONAL - SERIE,,,
9788522114351,,"COOPER, ANN A.","25,90","12,95"
"",PROFISSIONAL,,,
"",INTERFACES E TENDENCIAS DA,,,
9788578081164,,"PINTO, JULIO","44,00",22
"",COMUNICACAO,,,
"",LA MERE BRAZIER: A MAE DA,,,
9788577563258,BRAZIER EUGENIE,,"99,00","49,5"
"",COZINHA FRANCESA MODERNA,,,
"",LE SAINT HONORE - RECEITAS,,,
9788587864802,"BARBARA, DANUSIA",,"119,90","59,95"
"",ORIGINAIS,,,
"",LIDERANCA E COMUNICACAO,,,
9788578081751,"MARCHIORI, MARLENE",,"49,00","24,5"
"",INTERNA - FACES DA CULTURA,,,
"",LINGUAGEM E DISCURSO -,,,
9788578081768,"FACES DA CULTURA MARCHIORI, MARLENE",,"49,00","24,5"
"",COMUNICACA,,,
"","CHRISTOVAM, ALINE",,,
"",MANUAL DE FISICA E,,,
9788578081324,CABRAL MARINHEIRO ;,,"56,00",28
"",PROTECAO RADIOLOGICA,,,
"","MACHADO, OSV",,,
"",MANUAL DE SEGURANCA E,,,
"","JUNIOR, COSMO PALASIO",,,
9788578082048,SAUDE NO TRABALHO: NORMAS,,"64,00",32
"",DE MORAES,,,
"",RE,,,
"",MANUAL DO CERIMONIAL,,,
"","ESTEVES , CRISTIANE DE",,,
9788577563982,SOCIAL: DA CONCEPCAO AO,,"44,00",22
"",SOUZA COSTA,,,
"",POS-E,,,
9788577564743,"MANUAL DO FREELA BELTRAO, ANDRE",,"49,90","24,95"
"","MARKETING PARA NAO BONAVITA, J.R.; DURO,",,,
9788577560301,,,"116,00",58
"",MARKETEIROS JORGE,,,
"","TERRA, CAROLINA",,,
9788578081140,MIDIAS SOCIAIS... E AGORA?,,"29,00","14,5"
"",FRAZON,,,
"","MINIDICIONARIO DE ENOLOGIA SALDANHA, ROBERTA",,,
9788577561971,,,"39,00","19,5"
"",EM 6 IDIOMAS MALTA,,,
"",MODA E ARTE NA REINVENCAO,,,
9788560166473,"XIMENES, MARIA ALICE",,"39,90","19,95"
"",DO CORPO FEMININO DO SEC,,,
"",MODA EM JORNAL - PATRICIA,,,
9788587864499,"VEIGA, PATRICIA",,"117,00","58,5"
