"",,,Preço com
TÍTULO ISBN,,Preço de capa,desconto
De alfaias a zabumbas,9788535619140,"20,90","10,45"
Descoberta da Joaninha (A),9788535621150,"17,20","8,60"
Dez sacizinhos,9788535645859,"33,00","16,50"
Dicionário engraçado,9788535632255,"25,00","12,50"
"Ding, a gotinha",9788535627596,"12,50","6,25"
"Ding, a grande aventura",9788573114102,"11,00","5,50"
"Do fim ao começo falando sobre perdas, luto e morte",8535608591,"10,00","5,00"
Do tamanho certinho,978535630671,"10,00","5,00"
Doce de cada um (O),9788535632156,"13,80","6,90"
Dois amigos (Os),9788535634143,"16,30","8,15"
Dois amigos (Os)  com braile,9788535631029,"25,50","12,75"
Dom Quixote,9788535639322,"45,00","22,50"
Donana e Titonho,9788535643954,"32,50","16,25"
Dorina viu  com braile,9788535634228,"32,50","16,25"
Drácula  Bram Stoker,9788535639056,"45,00","22,50"
Édipo Rei  Sófocles,9788535636710,"42,50","21,25"
Em asas de borboleta... em bolhas de sabão,9788535634723,"32,30","16,15"
"Em nome da mãe, em nome do pai",9788535633153,"22,80","11,40"
"Enfim, atleta!",9788535640939,"28,50","14,25"
Enquanto João Garrancho dorme  com braile,9788535637311,"33,90","16,95"
Enquanto seu lobo não vem,9788535632699,"10,00","5,00"
Era uma vez duas casas,9788535640984,"25,90","12,95"
Era uma vez...,9788535630794,"23,50","11,75"
Espantamoscas (O),9786558080787,"32,50","16,25"
Esquisita aranha Rita (A),9788535635294,"16,30","8,15"
Estratégias criativas de aprendizagem,9788535639209,"12,00","6,00"
Eu sou o galo,9788535639551,"24,90","12,45"
Eva,9788535629743,"46,80","23,40"
Falando com as estrelas,9788535627473,"25,50","12,75"
Felipe e Farrapo,9788535624335,"10,00","5,00"
Festa do Pijama,9788535635744,"24,50","12,25"
Firirim finfim  com braile,9788535620719,"36,30","18,15"
Flauta poderosa,9788535626483,"13,20","6,60"
"Formigarra, Cigamiga",9788535634938,"27,50","13,75"
Fortuna,9788535634235,"22,50","11,25"
Frans Krajcberg: a obra que não queremos ver,9788535634754,"53,70","26,85"
Frutapão,9788535636659,"22,10","11,05"
Fusquinha corderosa (O),9788535636352,"22,50","11,25"
Galinho apressado (O),9788535629873,"16,00","8,00"
Garoto da cadeira de rodas voadora (O),9788535632354,"14,30","7,15"
Gatinho fofoqueiro (O),9788535643169,"21,50","10,75"
Gato de botas e outras histórias (O),9788535601114,"37,30","18,65"
Gato Pirado (O),9788535629279,"13,80","6,90"
"Gláucio, o caracol enrolado",8535602259,"16,30","8,15"
Gosto de poesia,9786558080893,"35,80","17,90"
Grande esmeralda (A),9788535603705,"42,50","21,25"
Grande problema da vaca Letícia (O),9788535629583,"17,20","8,60"
Grande rabanete (O),9788535645972,"25,30","12,65"
História de canto e encanto,9788535626476,"13,20","6,60"
História de feiura,9788535626490,"13,20","6,60"
História de gato,9788535624656,"13,20","6,60"
História de lobo,9788535623253,"13,20","6,60"
História de terror,9788535632200,"13,20","6,60"
História de um nome,9788535633634,"13,20","6,60"
História de uma ervilha,9788535638783,"13,20","6,60"
História molhada,9788535639025,"13,20","6,60"
História que ficou na memória,9788535635638,"10,00","5,00"
História sonolenta,9788535626506,"13,20","6,60"
Histórias aumentadas (conforme são contadas...),9788535632613,"28,00","14,00"
Histórias da África,9788535604870,"51,80","25,90"
Histórias de além mar,9788535634457,"24,70","12,35"
Histórias do avô,9788535623420,"30,00","15,00"
Histórias do Brasil,8535611126,"12,50","6,25"
Histórias sopradas em vento,9788535644487,"49,50","24,75"
Hora de brincar,9788535635195,"24,50","12,25"
Hora de dormir,9788535635737,"24,50","12,25"
Improváveis amigos,9788535635508,"17,80","8,90"
"Inácio, o rato sortudo",9788535629019,"17,80","8,90"
Inútil a árvore,9788535619447,"13,20","6,60"
"Ipaty, o curumim da selva",9788535627008,"25,00","12,50"
Jogo das palavras mágicas (O),9788535633788,"26,20","13,10"
"Joselito, o elefante que estudava",9788535629965,"18,10","9,05"
"Jubonaldo, o Leão",9788535630992,"18,00","9,00"
Julgamento do cachorro (O),9788535637755,"22,10","11,05"
Karingana wa Karingana,9788535629989,"21,20","10,60"
Kisomserá?,9788535633924,"34,50","17,25"
Lagarta que tinha medo de voar (A),9788535635157,"25,30","12,65"
Lazarilho das crianças,9788535629330,"45,00","22,50"
Lenda do teatro de sombras (A),9788535645606,"36,80","18,40"
Lendas brasileiras  Centrooeste e Sul,9788535610147,"40,00","20,00"
"Lendas brasileiras  Norte, Nordeste e Sudeste",8535606564,"40,00","20,00"
Lendas do Japão,9788535629309,"31,40","15,70"
Letras sapecas  cada letra no seu lugar!,9788535625363,"23,00","11,50"
Lino,9788535643640,"31,90","15,95"
Livro (O),9788535614114,"22,50","11,25"
Livro das Origens (O),9788535629828,"45,00","22,50"
Livro de Laura (O),9788535634990,"19,50","9,75"
Lua no céu e ela na terra (A),9788535624700,"20,00","10,00"
Lua noite e dia,9788535645132,"38,50","19,25"
Lugares de Maria (Os),9788535627411,"40,00","20,00"
Lygia Clark linhas vivas,9788535635133,"53,70","26,85"
Mafuá dos magafamágicos,9788535618907,"27,50","13,75"
Mágicas palavras,9788535612820,"33,90","16,95"
Mago maluco (O),9788535623277,"16,30","8,15"
Mahâbhârata,9788535626513,"35,00","17,50"
Manias,9788535637526,"18,10","9,05"
"Maria, a incorrigível",9788535637465,"13,50","6,75"
Maroca e Deolindo,9788535628845,"53,70","26,85"
Matasete (O),9788535636307,"13,20","6,60"
Medo do escuro,9788535620917,"13,20","6,60"
Menina que contava (A),9788535636208,"35,00","17,50"
Menino e o plátano (O),9788535636345,"22,10","11,05"
Menino que descobriu Brasília (O),9788535634914,"19,20","9,60"
Menino que não mascava chiclê (O),9788535625837,"20,00","10,00"
"Menino que tinha medo, mas muito medo (O)",9788535644432,"35,80","17,90"
Menino que via com as mãos (O)  braile,9788535630206,"22,50","11,25"
Mentiras caipiras,9788535625578,"23,00","11,50"
Mergulho do Rei (O),9788535630077,"20,00","10,00"
Mestre Vitalino,9788535636666,"16,80","8,40"
"Meu dentinho, seu dentão",9788535628739,"11,90","5,95"
Michillo poeta da natureza,9788535629286,"26,50","13,25"
Minhoca dorminhoca (A),9788535619461,"21,50","10,75"
Minhoca dorminhoca em apuros (A),9788535639162,"26,50","13,25"
Mira Schendel: atravessura,9788535634280,"45,00","22,50"
Mistério da mamãe (O),9788535619010,"10,00","5,00"
Misteriosa caixa do contador de histórias (A),9788535638325,"12,00","6,00"
Mitos e lendas do folclore do Brasil,9788535634075,"29,00","14,50"
Mundo começa na cabeça (O),9788535627558,"24,90","12,45"
Mundo pra que te quero,9788535626971,"37,30","18,65"
Muro (O),9788535637649,"18,40","9,20"
Músicos de Bremen (Os),9788535645989,"22,80","11,40"
"Não às drogas, sim à paz!",9788535612462,"10,00","5,00"
Naquele ano,9788535643343,"21,90","10,95"
Natal de Fred (O),9788535622089,"11,50","5,75"
Natal de Nkem (O),9788535637571,"22,10","11,05"
Ninguém nasce genial,9788535630961,"12,60","6,30"
No mundo do faz de conta,9788535630350,"40,00","20,00"
Novelas exemplares de Miguel de Cervantes,9788535634488,"30,50","15,25"
Novos casos do detetive bolotinha,9788535639575,"24,90","12,45"
Num mundo perfeito,9788535630145,"20,70","10,35"
Numa fração de segundos,9788535644173,"25,80","12,90"
Olho e o lugar (O) - Regina Silveira,9788535623505,"51,80","25,90"
Olhos de estrelas e outros contos para jovens,9788535622478,"20,00","10,00"
Olhos para ver o que Deus faz,9788535630503,"14,80","7,40"
"Onde existe amor, Deus aí está",9788535639186,"32,50","16,25"
Outros contos africanos para crianças brasileiras,9788535629866,"23,00","11,50"
Ouvindo as conchas do mar,9788535635515,"25,90","12,95"
Pacífico o gato,9788535629910,"16,00","8,00"
Pacote que tava no pote (O),9788535612134,"17,80","8,90"
Palavras,9786558080534,"28,50","14,25"
Palavras mágicas e boas maneiras,9788535645668,"18,50","9,25"
Papagaio gaiato (O),9788535640717,"28,80","14,40"
Páscoa no galinheiro,9788535637144,"23,50","11,75"
Passa passará,9788535646115,"31,90","15,95"
Patinho Feio,9788535644630,"24,50","12,25"
Pedra do conhecimento (A),9788535626469,"33,90","16,95"
Pedro da praia,9788535635843,"10,00","5,00"
Pela manhã parte o trem,9788535625196,"21,50","10,75"
Pequeno dicionário poéticohumorístico ilustrado,9788535638714,"54,90","27,45"
Pequeno príncipe (O),9788535642087,"39,90","19,95"
Pequeno príncipe (O)  simples,9788535643411,"12,00","6,00"
Piabinha do rio das Velhas (A),9788535631722,"29,00","14,50"
Picolé de mangarosa,8535616969,"13,20","6,60"
Pipa e o menino (A),9788535605013,"17,40","8,70"
Poemas de céu,9788535644265,"23,50","11,75"
Poemas do tempo,9788535635607,"23,80","11,90"
Poesia dos pés à cabeça,9788535634716,"42,50","21,25"
Policarpo Quaresma das crianças,9788535626551,"53,70","26,85"
Pretinha de Neve e os sete gigantes,9788535634402,"25,00","12,50"
Princesa pum d`amor (A),9788535646290,"36,00","18,00"
Qual a palavra?,9788535629972,"21,90","10,95"
Quando chove a cântaros / Cuando llueve a cántaros,9788535629903,"15,30","7,65"
Quando chove e faz sol,9788535634525,"12,00","6,00"
Quando eu digo digo digo,9788535610512,"27,50","13,75"
"Quando um não quer, dois não brigam",9788535637380,"20,50","10,25"
Quanto segredo!,9788535635836,"35,00","17,50"
Quarteto musical,9788535633627,"13,20","6,60"
Quatro amigos,9788535631715,"16,00","8,00"
Quatro patinhas no muro  com braile,9788535644470,"39,50","19,75"
Que alegria!,97885356263339,"35,00","17,50"
Que é preciso para voar? (O),9788535645965,"29,90","14,95"
Que eu quero (O),9788535631654,"15,00","7,50"
