Título,Autor,"Preço decapa","Preço comdesconto"
"PHOINIX, N.18 VOL.2 (2012)","Laboratório de História Antiga, UFRJ","R$29,90","14,95"
CAMINHOS DE BARRO E O ARTESANATO COM FIBRA DE BAN,"Jonas Alexandre, Alinne Faial e Idamara Rizzo","R$20,70","10,35"
"RELAÇÕES ÉTNICO RACIAIS E O FUTEBOL DO RJ, AS",José Jairo Vieira,"R$49,90","24,95"
COMO TER SUCESSO NOS NEGOCIOS SEM UM PÊNIS,Karen Salmansohn,"R$70,75","35,38"
"SEXUALIZAÇÃO DO CRIME NO BRASIL, A",ALESSANDRA DE ANDRADE RINALDI,"R$55,01","27,51"
"PHOINIX, N.17 VOL.1 (2011)","Laboratório de História Antiga, UFRJ","R$29,90","14,95"
TRABALHO E DESENVOLVIMENTO REGIONAL,José Ricardo Ramalho e Marco Aurélio Santana,"R$58,00","29,00"
PRIVAÇÃO DE LIBERDADE OU ATENTADO À DIGNIDADE,"RRicardo Rezende Figueira, et alii","R$92,00","46,00"
CULTURA MATERIAL NAS (SUB) CULTURAS JUVENIS,"Cláudia Pereira e Joana Beleza, organizadoras","R$56,00","28,00"
"VIOLÊNCIA: BRICOLAGEM, MEMÓRIA, ESCRITA",Francisco Ramos de Farias et alii,"R$49,90","24,95"
"PHOINIX, N.16 VOL.1 (2010)",Laboratório de História Antiga - UFRJ,"R$29,90","14,95"
"PRESENTE DO FILÓSOFO, O",Leonardo Mees e Romulo Pizzolante,"R$58,00","29,00"
UMA INTRODUCAO A PSICOLOGIA PSICANALÍTICA DO SELF,Beatriz Breves,"R$31,90","15,95"
SE CONSELHO FOSSE BOM...,Alexandre Maia e Chaves,"R$36,58","18,29"
"PHOINIX, N.18 VOL.1 (2012)","Laboratório de História Antiga, UFRJ","R$29,90","14,95"
MEDIAÇÃO ENTRE AS CIÊNCIAS SOCIAIS E A EDUCAÇÃO..,"Antonio Jorge Gonçalves Soares, et alii","R$54,00","27,00"
"PHOINIX, N.17 VOL.2 (2011)","Laboratório de História Antiga, UFRJ","R$29,90","14,95"
FORCA SINDICAL A CENTRAL NEOLIBERAL,Vito Giannotti,"R$50,40","25,20"
JOGO DE ESPELHOS - EDIÇÃO REVISTA E AMPLIADA,Everardo Rocha,"R$39,70","19,85"
ARQUITETURA DE GRIFE NA CIDADE CONTEMPORÂNEA,Márcio Moraes Valença,"R$49,90","24,95"
TRABALHO ESCRAVO CONTEMPORÂNEO: UM DEBATE,"Ricardo Rezende Figueira, et alii","R$68,83","34,42"
VIAGEM COM O PRESIDENTE ELEITO,Joel Silveira,"R$39,00","19,50"
ATE QUE ENFIM... ASTROLOGIA!,Jacobb Gonik,"R$33,10","16,55"
DEUS FORA DO ESPELHO,Jonas Rezende,"R$46,70","23,35"
SALMOS PARA O CORAÇÃO,Jonas Rezende,"R$26,00","13,00"
CRIATIVIDADE DE GUERRILHA,Jay Conrad Levinson,"R$59,90","29,95"
RAMIFICAÇÕES ULTRAMARINAS,"Carlos Leonardo Kelmer Mathias, et alii","R$59,90","29,95"
"D.ZICA - TEMPERO, AMOR E ARTE",Nilcemar Nogueira,"R$44,00","22,00"
INVESTIMENTOS EM INFRAESTRUTURA,"Luiz Eduardo T. Brandão, Eduardo L. Gomes, Orgs.","R$73,60","36,80"
MEIOS DE COMUNICACAO COMO EXTENSOES,Adriana Bacellar Leite e Santos,"R$34,00","17,00"
ESCRAVIDÃO: MOINHO DE GENTES NO SÉCULO XXI,Ricardo Rezende Figueira et alli,"R$89,00","44,50"
"REPÚBLICA DOS MENINOS, A",Diogo Lyra,"R$70,37","35,19"
EDUCAÇÃO MEMÓRIA HISTÓRIA,"Francisco Ramos de Farias, Leandro Garcia Pinho","R$59,90","29,95"
ESTUDOS EM NEGÓCIOS,"Walter Ness, Roger Volkema, organizadores","R$60,38","30,19"
COINCIDENCIAS DA VIA LACTEA,Francisco Theophilo,"R$48,30","24,15"
BARCAROLA: A MORTE SEM CHARME NEM DISFARCES,Jonas Rezende,"R$64,22","32,11"
COMBATENDO A DISCRIMINAÇÃO,Jacksohn Grossmann,"R$49,60","24,80"
DECISÕES DE INVESTIMENTOS,Antonio Carlos Figueiredo Pinto et alii,"R$76,13","38,07"
ESTUDOS EM NEGÓCIOS III,"Adriana V.Garibaldi de Hilau, T.Diana L.v.A de Mac","R$67,60","33,80"
PIADAS DE SACANEAR CORINTIANO,Luís Pimentel,"R$19,00","9,50"
"INCAS, OS",Fernando Ribeiro,"R$55,20","27,60"
LINGUAGENS E FORMAS DE PODER NA ANTIGUIDADE,"Neyde Theml, organizadora","R$56,60","28,30"
"MANOBRAS DA INFORMACAO,AS",João Batista de Abreu,"R$64,22","32,11"
"SONHO EXILADO,O",Mauricio Paiva,"R$64,22","32,11"
"CRISE DO EMPREGO, A",Paulo C. Moura,"R$65,76","32,88"
PRESTES,"Dênis de Moraes, Francisco Viana","R$68,06","34,03"
"CONEXÃO CORAÇÃO, A",Ana Abrantes,"R$43,90","21,95"
HISTERIA NA MIDIA,Raquel Paiva,"R$36,80","18,40"
MOVIMENTOS SOCIAIS DE SAÚDE NO BRASIL,Daniela Tranches de Melo,"R$62,69","31,35"
"PHOINIX, N.14 (2008)",Laboratório de História Antiga - UFRJ,"R$29,90","14,95"
"ESTUDOS SOCIEDADE E AGRICULTURA, NÚMERO 21",Luiz Flavio de C. Costa e Raimundo Santos,"R$25,30","12,65"
"UTOPIA SURGINDO NO MEIO DE NOS, A",Luiz Alberto Gomes de Souza,"R$62,69","31,35"
"PHOINIX, N.13 (2007)",Laboratório de História Antiga - UFRJ,"R$29,90","14,95"
ATLETAS NA GRÉCIA ANTIGA,Fábio de Souza Lessa,"R$53,00","26,50"
ESTUDOS EM NEGÓCIOS IV,"Margarida Gutierrez e Helene Bertrand, Orgs.","R$68,00","34,00"
"LIVRO DA SABEDORIA, O",Allimard Winami,"R$26,00","13,00"
