ISBN,TÍTULO,EDITORA,ASSUNTO,AUTOR,"PREÇO DECAPA","PREÇO NAFEIRA (50%)",LINK
"",,,Internacionais,RIBEIRO DA,,,demais-CUNHA-PAULO-RIBEIRO-DA-EDITORA-UNES/p
"",,,,,,,https://www.livrariaunesp.com.br/Acordos-comerciais-
"",,,Política e Relações,"BOJIKIAN, NEUSA",,,
9788571399884,Acordos comerciais internacionais,Editora Unesp,,,"R$ 60,00","R$ 30,00",internacionais-BOJIKIAN-NEUSA-MARIA-PEREIRA-EDITORA-
"",,,Internacionais,MARIA PEREIRA,,,
"",,,,,,,UNESP/p
"",,,,,,,https://www.livrariaunesp.com.br/Adeus-a-razao-
9788539300457,Adeus à razão,Editora Unesp,Artes,"FEYERABEND, PAUL","R$ 79,00","R$ 39,50",
"",,,,,,,FEYERABEND-PAUL-EDITORA-UNESP/p
"",,,,,,,https://www.livrariaunesp.com.br/Administracao-poder-e-
"","Administração, poder e ideologia –",,Política e Relações,"TRAGTENBERG,",,,
9788571395916,,Editora Unesp,,,"R$ 49,00","R$ 24,50",ideologia-–-3a-edicao-TRAGTENBERG-MAURICIO-EDITORA-
"",3a edição,,Internacionais,MAURICIO,,,
"",,,,,,,UNES/p
"",,,,"PRATTA, MARCIA",,,https://www.livrariaunesp.com.br/Adolescentes-e-jovens-
9788571398344,Adolescentes e jovens... em ação!,Editora Unesp,Sociologia,APARECIDA,"R$ 49,00","R$ 24,50",em-acao--PRATTA-MARCIA-APARECIDA-BERTOLUCCI-
"",,,,BERTOLUCCI,,,EDITORA-UNESP/p
"",,,,,,,https://www.livrariaunesp.com.br/afinacao-do-mundo-2a-
9788539301287,"afinação do mundo - 2a edição, A",Editora Unesp,Filosofia,R. MURRAY SCHAFER,"R$ 75,00","R$ 37,50",
"",,,,,,,edicao-A-R-MURRAY-SCHAFER-EDITORA-UNESP/p
"",,,,,,,https://www.livrariaunesp.com.br/Afinidades-
"",Afinidades revolucionárias - 2a,,Política e Relações,,,,
9788539307869,,Editora Unesp,,"BESANCENOT, OLIVIER","R$ 40,00","R$ 20,00",revolucionarias-2a-edicao-BESANCENOT-OLIVIER-EDITORA-
"",edição,,Internacionais,,,,
