ISBN,TÍTULO,EDITORA,ASSUNTO,AUTOR,"PREÇO DE CAPA","PREÇO NA FEIRA (50%)",LINK
"",,,,,,,https://www.livrariaunesp.com.br/cultivo-do-cafe-nas-
"",cultivo do café nas bocas do sertão,,,"MESSIAS, ROSANE",,,
9788571394698,,Editora Unesp,História,,"R$ 48,00","R$ 24,00",bocas-do-sertao-paulista-O-MESSIAS-ROSANE-CARVALHO-
"","paulista, O",,,CARVALHO,,,
"",,,,,,,EDITORA-UNESP/p
"",,,,,,,https://www.livrariaunesp.com.br/Cultura-e-comunicacao-
9788539305162,Cultura e comunicação,Editora Unesp,Comunicação,"CAUNE, JEAN","R$ 56,00","R$ 28,00",
"",,,,,,,CAUNE-JEAN-EDITORA-UNESP/p
9788539301782,Cultura e materialismo,Editora Unesp,"Política e RelaçõesInternacionais","WILLIAMS, RAYMOND","R$ 78,00","R$ 39,00",https://www.livrariaunesp.com.br/Cultura-e-materialismo-,
"",,,,,,,WILLIAMS-RAYMOND-EDITORA-UNESP/p,
9788571396999,Cultura letrada,Editora Unesp,Educação e Pedagogia,"ABREU, MARCIA","R$ 28,00","R$ 14,00","https://www.livrariaunesp.com.br/Cultura-letrada-ABREU-MARCIA-EDITORA-UNESP/p",
9788539304103,"Cultura letrada e cultura oral no Riode Janeiro dos vice-reis",Editora Unesp,História,"SILVA, MARIA BEATRIZNIZZA DA","R$ 62,00","R$ 31,00","https://www.livrariaunesp.com.br/Cultura-letrada-e-cultura-oral-no-Rio-de-Janeiro-dos-vice-reis-SILVA-MARIA-BEATRIZ-NIZZA-DA-EDITORA-UNES/p",
9788571398856,Culturas juvenis,Editora Unesp,Sociologia,"CATANI, AFRANIOMENDES","R$ 26,00","R$ 13,00","https://www.livrariaunesp.com.br/Culturas-juvenis-CATANI-AFRANIO-MENDES-EDITORA-UNESP/p",
9788539301881,D. B. Elkonin,Editora Unesp,Biografias,"LAZARETTI, LUCINEIAMARIA","R$ 35,00","R$ 17,50",https://www.livrariaunesp.com.br/D-B-Elkonin-LAZARETTI-,
"",,,,,,,LUCINEIA-MARIA-EDITORA-UNESP/p,
9788539306480,Da Alemanha,Editora Unesp,Filosofia,"STAEL, MADAME DE","R$ 128,00","R$ 64,00","https://www.livrariaunesp.com.br/Da-Alemanha-STAEL-MADAME-DE-EDITORA-UNESP/p",
9788539304233,Da feminilidade oitocentista,Editora Unesp,História,"VERONA, ELISA MARIA","R$ 30,00","R$ 15,00","https://www.livrariaunesp.com.br/Da-feminilidade-oitocentista-VERONA-ELISA-MARIA-EDITORA-UNESP/p",
9788571397378,Da Internet ao Grid,Editora Unesp,"Literatura, Ficção e Romance","NOVAES, SERGIO F.","R$ 28,00","R$ 14,00","https://www.livrariaunesp.com.br/Da-Internet-ao-Grid-NOVAES-SERGIO-F-EDITORA-UNESP/p",
9788539304059,Da Interpretação,Editora Unesp,Filosofia,ARISTOTELES,"R$ 52,00","R$ 26,00","https://www.livrariaunesp.com.br/Da-Interpretacao-ARISTOTELES-EDITORA-UNESP/p",
9788539301584,Da liberdade do cristão - 2a edição,Editora Unesp,Linguística,"LUTERO, MARTINHO","R$ 38,00","R$ 19,00",https://www.livrariaunesp.com.br/Da-liberdade-do-cristao,
"",,,,,,,2a-edicao-LUTERO-MARTINHO-EDITORA-UNESP/p,
9788539300327,"Da Monarquia à República - 9aedição",Editora Unesp,"Política e RelaçõesInternacionais","COSTA, EMILIA VIOTTIDA","R$ 94,00","R$ 47,00","https://www.livrariaunesp.com.br/Da-Monarquia-a-Republica-9a-edicao-COSTA-EMILIA-VIOTTI-DA-EDITORA-UNESP/p",
9788571397682,Da música - 2a edição,Editora Unesp,Antropologia,"SEKEFF, MARIA DELOURDES","R$ 46,00","R$ 23,00","https://www.livrariaunesp.com.br/Da-musica-2a-edicao-SEKEFF-MARIA-DE-LOURDES-EDITORA-UNESP/p",
9788539304943,Da palavra,Editora Unesp,Filosofia,BHARTRHARI,"R$ 48,00","R$ 24,00","https://www.livrariaunesp.com.br/Da-palavra-BHARTRHARI-EDITORA-UNESP/p",
9788539304738,Da sedução e outros perigos,Editora Unesp,Artes,"MARQUETTI, FLAVIAREGINA","R$ 79,00","R$ 39,50","https://www.livrariaunesp.com.br/Da-seducao-e-outros-perigos-MARQUETTI-FLAVIA-REGINA-EDITORA-UNESP/p",
9788539300334,Da senzala à colônia - 5a edição,Editora Unesp,"Política e RelaçõesInternacionais","COSTA, EMILIA VIOTTIDA","R$ 94,00","R$ 47,00",https://www.livrariaunesp.com.br/Da-senzala-a-colonia-5a,
"",,,,,,,edicao-COSTA-EMILIA-VIOTTI-DA-EDITORA-UNESP/p,
9788539306237,Dao De Jing,Editora Unesp,Filosofia,LAOZI,"R$ 158,00","R$ 79,00","https://www.livrariaunesp.com.br/Dao-De-Jing-LAOZI-EDITORA-UNESP/p",
9788571395480,Dar a vida e cuidar da vida,Editora Unesp,Sociologia,"SCAVONE, LUCILA","R$ 58,00","R$ 29,00","https://www.livrariaunesp.com.br/Dar-a-vida-e-cuidar-da-vida-SCAVONE-LUCILA-EDITORA-UNESP/p",
9788539305957,"Darwin e a evolução explicada aosnossos netos",Editora Unesp,"Ciências Biológicas, Exatas,Naturais e da Terra","PICQ, PASCAL","R$ 37,00","R$ 18,50","https://www.livrariaunesp.com.br/Darwin-e-a-evolucao-explicada-aos-nossos-netos-PICQ-PASCAL-EDITORA-UNESP/p",
9788539305698,De Hegel a Nietzsche,Editora Unesp,Filosofia,"LOWITH, KARL","R$ 99,00","R$ 49,50","https://www.livrariaunesp.com.br/De-Hegel-a-Nietzsche-LOWITH-KARL-EDITORA-UNESP/p",
9788539306565,De minha vida,Editora Unesp,Biografias,"GOETHE, JOHANNWOLFGANG VON","R$ 172,00","R$ 86,00",https://www.livrariaunesp.com.br/De-minha-vida-GOETHE,
"",,,,,,JOHANN-WOLFGANG-VON-EDITORA-UNESP/p,,
9788571397996,De tramas e fios - 2a edição,Editora Unesp,Educação e Pedagogia,"MARISA TRENCH DEOLIVEIRAFONTERRADA","R$ 66,00","R$ 33,00","https://www.livrariaunesp.com.br/De-tramas-e-fios-2a-edicao-MARISA-TRENCH-DE-OLIVEIRA-FONTERRADA-EDITORA-UNESP/p",
9788539300860,De um ponto de vista lógico,Editora Unesp,Filosofia,"QUINE, WILLARD VANORMAN","R$ 58,00","R$ 29,00","https://www.livrariaunesp.com.br/De-um-ponto-de-vista-logico-QUINE-WILLARD-VAN-ORMAN-EDITORA-UNESP/p",
9788571396210,De volta ao Lago de Leite,Editora Unesp,Antropologia,"LASMAR, CRISTIANE","R$ 68,00","R$ 34,00","https://www.livrariaunesp.com.br/De-volta-ao-Lago-de-Leite-LASMAR-CRISTIANE-EDITORA-UNESP/p",
9788539307654,Debates feministas,Editora Unesp,Sociologia,"BENHABIB, SEYLA","R$ 59,00","R$ 29,50","https://www.livrariaunesp.com.br/Debates-feministas-BENHABIB-SEYLA-EDITORA-UNESP/p",
9788571391659,"década de 1920 e as origens doBrasil moderno, A",Editora Unesp,"Política e RelaçõesInternacionais","DE LORENZO, HELENACARVALHO","R$ 68,00","R$ 34,00","https://www.livrariaunesp.com.br/decada-de-1920-e-as-origens-do-Brasil-moderno-A-DE-LORENZO-HELENA-CARVALHO-EDITORA-UNESP/p",
9788579835544,"DEMARCADORES E OBJETOS EMCAMPANHA","CulturaAcadêmica",História,"CASTRO, CARLOSGOMES DE","R$ 35,00","R$ 17,50","https://www.livrariaunesp.com.br/DEMARCADORES-E-OBJETOS-EM-CAMPANHA-CASTRO-CARLOS-GOMES-DE-CULTURA-ACADEMICA/p",
9788571393875,"democracia cristã no Brasil, A",Editora Unesp,"Política e RelaçõesInternacionais","BUSETTO, AUREO","R$ 56,00","R$ 28,00","https://www.livrariaunesp.com.br/democracia-crista-no-Brasil-A-BUSETTO-AUREO-EDITORA-UNESP/p",
9788539305001,Democracia e representação,Editora Unesp,"Política e RelaçõesInternacionais","MIGUEL, LUIS FELIPE","R$ 64,00","R$ 32,00","https://www.livrariaunesp.com.br/Democracia-e-representacao-MIGUEL-LUIS-FELIPE-EDITORA-UNES/p",
9788539306084,Democracia e segredo,Editora Unesp,"Política e RelaçõesInternacionais","BOBBIO, NORBERTO","R$ 32,00","R$ 16,00","https://www.livrariaunesp.com.br/Democracia-e-segredo-BOBBIO-NORBERTO-EDITORA-UNESP/p",
9788571395657,Democracia ou bonapartismo,Editora Unesp,"Política e RelaçõesInternacionais","LOSURDO, DOMENICO","R$ 76,00","R$ 38,00","https://www.livrariaunesp.com.br/Democracia-ou-bonapartismo-LOSURDO-DOMENICO-EDITORA-UNESP/p",
9788571393509,Demócrito,Editora Unesp,Biografias,"CARTLEDGE, PAUL","R$ 22,00","R$ 11,00",https://www.livrariaunesp.com.br/Democrito-CARTLEDGE-,
PAUL-EDITORA-UNESP/p,,,,,,,,
"",,,Política e Relações,"GUMBRECHT, HANS",,,https://www.livrariaunesp.com.br/Depois-de-1945-
9788539305216,Depois de 1945,Editora Unesp,,,"R$ 62,00","R$ 31,00",
"",,,Internacionais,ULRICH,,,GUMBRECHT-HANS-ULRICH-EDITORA-UNESP/p
"",,,,,,,https://www.livrariaunesp.com.br/Depois-do-sucesso-
9788571391574,Depois do sucesso,Editora Unesp,Sociologia,"PAHL, RAY","R$ 58,00","R$ 29,00",
"",,,,,,,PAHL-RAY-EDITORA-UNESP/p
"",,,,"JOHNSON,",,,https://www.livrariaunesp.com.br/Derrida-JOHNSON-
9788571393448,Derrida,Editora Unesp,Biografias,,"R$ 22,00","R$ 11,00",
"",,,,CHRISTOPHER,,,CHRISTOPHER-EDITORA-UNESP/p
"",,,,,,,https://www.livrariaunesp.com.br/desafios-da-escrita-Os-
9788571393905,"desafios da escrita, Os",Editora Unesp,História,"CHARTIER, ROGER","R$ 38,00","R$ 19,00",
"",,,,,,,CHARTIER-ROGER-EDITORA-UNESP/p
"",Desafios da sociedade,,,,,,https://www.livrariaunesp.com.br/Desafios-da-sociedade-
9788539305452,,Editora Unesp,Biografias,"DUPAS, GILBERTO","R$ 52,00","R$ 26,00",
"",contemporânea,,,,,,contemporanea-DUPAS-GILBERTO-EDITORA-UNESP/p
"",,,,,,,https://www.livrariaunesp.com.br/Descartes-
9788571392458,Descartes,Editora Unesp,Biografias,"COTTINGHAM, JOHN","R$ 22,00","R$ 11,00",
"",,,,,,,COTTINGHAM-JOHN-EDITORA-UNESP/p
"",,,,,,,https://www.livrariaunesp.com.br/Desconcentracao-
"",Desconcentração produtiva,,Política e Relações,,,,
9788571398313,,Editora Unesp,,"CANO, WILSON","R$ 62,00","R$ 31,00",produtiva-regional-do-Brasil-–-1970-2005-CANO-WILSON-
"",regional do Brasil – 1970-2005,,Internacionais,,,,
"",,,,,,,EDITORA-UNESP/p
"",,,,"LANDIM, PAULA DA",,,https://www.livrariaunesp.com.br/Desenho-de-paisagem-
9788571395503,Desenho de paisagem urbana,Editora Unesp,Arquitetura e Urbanismo,,"R$ 44,00","R$ 22,00",
"",,,,CRUZ,,,urbana-LANDIM-PAULA-DA-CRUZ-EDITORA-UNESP/p
"",,,,,,,https://www.livrariaunesp.com.br/desenvolvimento-da-
"",desenvolvimento da criança - 3a,,,"LEITE, DANTE",,,
9788539300044,,Editora Unesp,Educação e Pedagogia,,"R$ 82,00","R$ 41,00",crianca-3a-edicao-O-LEITE-DANTE-MOREIRA-EDITORA-
"","edição, O",,,MOREIRA,,,
"",,,,,,,UNES/p
"",,,,,,,https://www.livrariaunesp.com.br/Desenvolvimento-do-
"",Desenvolvimento do procedimento,,"Administração, Economia e","DUARTE, JOAO",,,
9788571395398,,Editora Unesp,,,"R$ 58,00","R$ 29,00",procedimento-licitatorio-com-CD-DUARTE-JOAO-RIBEIRO-
"",licitatório (com CD),,Empreendedorismo,RIBEIRO MATHIAS,,,
"",,,,,,,MATHIAS-EDITORA-UNES/p
"",Desenvolvimento e mudança,,"Ciências Biológicas, Exatas,",,,,https://www.livrariaunesp.com.br/Desenvolvimento-e-
9788539300259,,Editora Unesp,,BANCO MUNDIAL,"R$ 78,00","R$ 39,00",
"",climática,,Naturais e da Terra,,,,mudanca-climatica-BANCO-MUNDIAL-EDITORA-UNESP/p
"",,,Política e Relações,,,,https://www.livrariaunesp.com.br/Desenvolvimento-em-
9788571394049,Desenvolvimento em crise,Editora Unesp,,"CARNEIRO, RICARDO","R$ 79,00","R$ 39,50",
"",,,Internacionais,,,,crise-CARNEIRO-RICARDO-EDITORA-UNESP/p
"",,,Política e Relações,,,,https://www.livrariaunesp.com.br/Desenvolvimento-para-
9788571396906,Desenvolvimento para céticos,Editora Unesp,,"LOPES, CARLOS","R$ 72,00","R$ 36,00",
"",,,Internacionais,,,,ceticos-THEISOHN-THOMAS-EDITORA-UNESP/p
"",Desequilíbrios regionais e,,,,,,https://www.livrariaunesp.com.br/Desequilibrios-regionais-
"",,,Política e Relações,,,,
9788571397675,concentração industrial no Brasil –,Editora Unesp,,"CANO, WILSON","R$ 82,00","R$ 41,00",e-concentracao-industrial-no-Brasil-–-3a-edicao-CANO-
"",,,Internacionais,,,,
"",3a edição,,,,,,WILSON-EDITORA-UNESP/p
"",,,,,,,https://www.livrariaunesp.com.br/desespero-humano-O-
9788539300730,"desespero humano, O",Editora Unesp,Psicologia e Psicanálise,"KIERKEGAARD, SØREN","R$ 60,00","R$ 30,00",
"",,,,,,,KIERKEGAARD-SØREN-EDITORA-UNES/p
"",,,Política e Relações,,,,https://www.livrariaunesp.com.br/Desigualdades-e-
9788539306329,Desigualdades e democracia,Editora Unesp,,"MIGUEL, LUIS FELIPE","R$ 72,00","R$ 36,00",
"",,,Internacionais,,,,democracia-MIGUEL-LUIS-FELIPE-EDITORA-UNES/p
9788571395008,"despertar da sensibilidade naEducação, O",Editora Unesp,Educação e Pedagogia,"STORI, NORBERTO","R$ 38,00","R$ 19,00","https://www.livrariaunesp.com.br/despertar-da-sensibilidade-na-Educacao-O-STORI-NORBERTO-EDITORA-UNESP/p",
9788539307890,Deveres e deleites,Editora Unesp,Biografias,"TODOROV, TZVETAN","R$ 86,00","R$ 43,00","https://www.livrariaunesp.com.br/Deveres-e-deleites-TODOROV-TZVETAN-EDITORA-UNESP/p",
9788539300600,"dia em que adiaram o Carnaval, O",Editora Unesp,"Política e RelaçõesInternacionais","SANTOS, LUISCLAUDIO VILLAFAÑEG.","R$ 60,00","R$ 30,00","https://www.livrariaunesp.com.br/dia-em-que-adiaram-o-Carnaval-O-SANTOS-LUIS-CLAUDIO-VILLAFANE-G-EDITORA-",
"",,,,,,,UNES/p,
9788539300709,"diabo e o fetichismo da mercadoriana América do Sul, O",Editora Unesp,Sociologia,"TAUSSIG, MICHAEL T.","R$ 78,00","R$ 39,00","https://www.livrariaunesp.com.br/diabo-e-o-fetichismo-da-mercadoria-na-America-do-Sul-O-TAUSSIG-MICHAEL-T-EDITORA-UNESP/p",
9788539305339,"dialética invertida e outros ensaios,A",Editora Unesp,"Política e RelaçõesInternacionais","COSTA, EMILIA VIOTTIDA","R$ 56,00","R$ 28,00","https://www.livrariaunesp.com.br/dialetica-invertida-e-outros-ensaios-A-COSTA-EMILIA-VIOTTI-DA-EDITORA-UNESP/p",
9788539303571,"Dialogismo e ironia em SãoBernardo, de Graciliano Ramos",Editora Unesp,Linguística,"GONCALVES, ROGERIOGUSTAVO","R$ 38,00","R$ 19,00",https://www.livrariaunesp.com.br/Dialogismo-e-ironia-em,
"",,,,,,,Sao-Bernardo-de-Graciliano-Ramos-GONCALVES-ROGERIO-,
"",,,,,,,GUSTAVO-EDITORA-UNESP/p,
9788539304004,Diálogo ciceroniano,Editora Unesp,Filosofia,"ROTERDA, ERASMO DE","R$ 56,00","R$ 28,00","https://www.livrariaunesp.com.br/Dialogo-ciceroniano-ROTERDA-ERASMO-DE-EDITORA-UNESP/p",
9788539306817,Diante do extremo,Editora Unesp,História,"TODOROV, TZVETAN","R$ 88,00","R$ 44,00","https://www.livrariaunesp.com.br/Diante-do-extremo-TODOROV-TZVETAN-EDITORA-UNESP/p",
9788539306961,Dias Gomes,Editora Unesp,Artes,"COSTA, INA CAMARGO","R$ 44,00","R$ 22,00",https://www.livrariaunesp.com.br/Dias-Gomes-COSTA-INA,
"",,,,,,,CAMARGO-EDITORA-UNESP/p,
9788539306893,"Dicionário analítico do Ocidentemedieval - Volumes 1 e 2",Editora Unesp,História,"LE GOFF, JACQUES","R$ 298,00","R$ 149,00","https://www.livrariaunesp.com.br/Dicionario-analitico-do-Ocidente-medieval-Volumes-1-e-2-LE-GOFF-JACQUES-EDITORA-UNESP/p",
9788571399877,Dicionário crítico do feminismo,Editora Unesp,Sociologia,"HIRATA, HELENA","R$ 72,00","R$ 36,00","https://www.livrariaunesp.com.br/Dicionario-critico-do-feminismo-HIRATA-HELENA-EDITORA-UNESP/p",
9788579833991,"DICIONÁRIO DE INGLÊS JURÍDICO -DICTIONARY OF LEGAL ENGLISH","CulturaAcadêmica",Educação e Pedagogia,"FARIA, GENTIL DE","R$ 80,00","R$ 40,00",https://www.livrariaunesp.com.br/DICIONARIO-DE-INGLES,
"",,,,,,,"JURIDICO-DICTIONARY-OF-LEGAL-ENGLISH-FARIA-GENTIL-DE-CULTURA-ACADEMICA/p",
9786557110232,Dicionário de música,Editora Unesp,Filosofia,"ROUSSEAU, JEAN-JACQUES","R$ 58,00","R$ 29,00","https://www.livrariaunesp.com.br/Dicionario-de-musica-ROUSSEAU-JEAN-JACQUES-EDITORA-UNESP/p",
9788539307364,"Dicionário de políticas públicas - 3aedição",Editora Unesp,"Política e RelaçõesInternacionais","GIOVANNI, GERALDODI","R$ 155,00","R$ 77,50","https://www.livrariaunesp.com.br/Dicionario-de-politicas-publicas-3a-edicao-GIOVANNI-GERALDO-DI-EDITORA-UNESP/p",
"",,,,,,,https://www.livrariaunesp.com.br/Dicionario-de-
"",,,,"LACERDA, ROBERTO",,,
9788571395251,Dicionário de provérbios - 2a edição,Editora Unesp,Linguística,,"R$ 174,00","R$ 87,00",proverbios-2a-edicao-LACERDA-ROBERTO-CORTES-DE-
"",,,,CORTES DE,,,
"",,,,,,,EDITORA-UNESP/p
"",,,,,,,https://www.livrariaunesp.com.br/Dicionario-de-
"",,,Política e Relações,"SAINT-PIERRE,",,,
9788539307531,Dicionário de Segurança e Defesa,Editora Unesp,,,"R$ 154,00","R$ 77,00",Seguranca-e-Defesa-SAINT-PIERRE-HECTOR-LUIS-EDITORA-
"",,,Internacionais,HECTOR LUIS,,,
"",,,,,,,UNES/p
"",,,,,,,https://www.livrariaunesp.com.br/Dilemas-do-pos-
"",Dilemas do pós-modernismo na,,,,,,
9788539303793,,Editora Unesp,Artes,"VICTORINO, LILIAN","R$ 48,00","R$ 24,00",modernismo-na-cultura-de-massa-VICTORINO-LILIAN-
"",cultura de massa,,,,,,
"",,,,,,,EDITORA-UNESP/p
"",,,,"SCHLUNZEN JUNIOR,",,,https://www.livrariaunesp.com.br/dimensoes-do-nao-ver-
9788539301195,"dimensões do não ver, As",Editora Unesp,Educação e Pedagogia,,"R$ 36,00","R$ 18,00",
"",,,,KLAUS,,,As-SCHLUNZEN-JUNIOR-KLAUS-EDITORA-UNESP/p
"",,,,,,,https://www.livrariaunesp.com.br/Dinamica-do-
"",Dinâmica do capitalismo Pós-,,Política e Relações,,,,
9788571398153,,Editora Unesp,,"LIMA, MARCOS COSTA","R$ 62,00","R$ 31,00",capitalismo-Pos-Guerra-Fria-LIMA-MARCOS-COSTA-
"",Guerra Fria,,Internacionais,,,,
"",,,,,,,EDITORA-UNES/p
"",,,,,,,https://www.livrariaunesp.com.br/Diploma-de-brancura-
9788571396524,Diploma de brancura,Editora Unesp,Sociologia,"DAVILA, JERRY","R$ 80,00","R$ 40,00",
"",,,,,,,DAVILA-JERRY-EDITORA-UNESP/p
"",Diplomacia e defesa na gestão,,,,,,https://www.livrariaunesp.com.br/Diplomacia-e-defesa-na-
"",,,Política e Relações,"WINAND, ERICA",,,
9788539306381,Fernando Henrique Cardoso (1995-,Editora Unesp,,,"R$ 76,00","R$ 38,00",gestao-Fernando-Henrique-Cardoso-1995-2002-WINAND-
"",,,Internacionais,CRISTINA ALEXANDRE,,,
"",2002),,,,,,ERICA-CRISTINA-ALEXANDRE-EDITORA-UNESP/p
"",,,Política e Relações,,,,https://www.livrariaunesp.com.br/Direita-e-Esquerda-3a-
9788539300815,Direita e Esquerda - 3a edição,Editora Unesp,,"BOBBIO, NORBERTO","R$ 48,00","R$ 24,00",
"",,,Internacionais,,,,edicao-BOBBIO-NORBERTO-EDITORA-UNESP/p
"",,,Política e Relações,,,,https://www.livrariaunesp.com.br/direito-de-voto-O-
9788539305735,"direito de voto, O",Editora Unesp,,"KEYSSAR, ALEXANDER","R$ 128,00","R$ 64,00",
"",,,Internacionais,,,,KEYSSAR-ALEXANDER-EDITORA-UNESP/p
"",,,Política e Relações,,,,https://www.livrariaunesp.com.br/Direito-e-poder-
9788571398511,Direito e poder,Editora Unesp,,"BOBBIO, NORBERTO","R$ 64,00","R$ 32,00",
"",,,Internacionais,,,,BOBBIO-NORBERTO-EDITORA-UNESP/p
"",,,,"MACHADO, JULIANA",,,https://www.livrariaunesp.com.br/Direito-etica-e-
"",,,"Ciências Biológicas, Exatas,",,,,
9788571398603,"Direito, ética e biossegurança",Editora Unesp,,ARAUJO LEMOS DA,"R$ 58,00","R$ 29,00",biosseguranca-MACHADO-JULIANA-ARAUJO-LEMOS-DA-
"",,,Naturais e da Terra,,,,
"",,,,SILVA,,,SILVA-EDITORA-UNESP/p
"",,,,,,,https://www.livrariaunesp.com.br/Direitos-dos-povos-
"",Direitos dos povos indígenas em,,,"CUNHA, MANUELA",,,
9788539307159,,Editora Unesp,Direito,,"R$ 76,00","R$ 38,00",indigenas-em-disputa-CUNHA-MANUELA-CARNEIRO-DA-
"",disputa,,,CARNEIRO DA,,,
"",,,,,,,EDITORA-UNESP/p
"",,,,,,,https://www.livrariaunesp.com.br/Diretrizes-de-
"",,,,"FUGITA, OSCAR",,,
9786557110294,Diretrizes de laparoscopia urológica,Editora Unesp,Saúde e Medicina,,"R$ 98,00","R$ 49,00",laparoscopia-urologica-FUGITA-OSCAR-EDUARDO-
"",,,,EDUARDO HIDETOSHI,,,
"",,,,,,,HIDETOSHI-EDITORA-UNESP/p
"",,,,,,,https://www.livrariaunesp.com.br/Discurso-de-odio-
9786557110577,Discurso de ódio,Editora Unesp,Sociologia,"BUTLER, JUDITH","R$ 52,00","R$ 26,00",
"",,,,,,,BUTLER-JUDITH-EDITORA-UNESP/p
"",,,,,,,https://www.livrariaunesp.com.br/Discurso-do-metodo---
9788539307555,Discurso do método & Ensaios,Editora Unesp,Filosofia,"DESCARTES, RENE","R$ 128,00","R$ 64,00",
"",,,,,,,Ensaios-DESCARTES-RENE-EDITORA-UNESP/p
"",,,,,,,https://www.livrariaunesp.com.br/distintas-margens-da-
"",distintas margens da escrita,,,"DIAS, MARIA HELOISA",,,
9788539301324,,Editora Unesp,Biografias,,"R$ 58,00","R$ 29,00",escrita-literaria-As-DIAS-MARIA-HELOISA-MARTINS-
"","literária, As",,,MARTINS,,,
"",,,,,,,EDITORA-UNESP/p
"",,,,,,,https://www.livrariaunesp.com.br/Diversidade-do-
"",Diversidade do campesinato:,,Política e Relações,"GODOI, EMILIA",,,
9788571399556,,Editora Unesp,,,"R$ 56,00","R$ 28,00",campesinato-expressoes-e-categorias-Vol-I-GODOI-EMILIA-
"",expressões e categorias - Vol. I,,Internacionais,PIETRAFESA DE,,,
"",,,,,,,PIETRAFESA-DE-EDITORA-UNESP/p
"",,,,,,,https://www.livrariaunesp.com.br/Diversidade-do-
"",Diversidade do campesinato:,,Política e Relações,"GODOI, EMILIA",,,
9788571399686,,Editora Unesp,,,"R$ 56,00","R$ 28,00",campesinato-expressoes-e-categorias-Vol-II-GODOI-EMILIA-
"",expressões e categorias - Vol. II,,Internacionais,PIETRAFESA DE,,,
"",,,,,,,PIETRAFESA-DE-EDITORA-UNESP/p
"",,,,,,,https://www.livrariaunesp.com.br/Diversidade-etnica-
"","Diversidade étnica, conflitos",,Política e Relações,,,,
9788571398412,,Editora Unesp,,"VIGEVANI, TULLO","R$ 34,00","R$ 17,00",conflitos-regionais-e-direitos-humanos-VIGEVANI-TULLO-
"",regionais e direitos humanos,,Internacionais,,,,
"",,,,,,,EDITORA-UNESP/p
"",,,,"SHIODA, CECILIA KIMIE",,,https://www.livrariaunesp.com.br/Do-Caminho-da-arte-
9788539305025,Dô - Caminho da arte,Editora Unesp,Artes,,"R$ 38,00","R$ 19,00",
"",,,,JO,,,SHIODA-CECILIA-KIMIE-JO-EDITORA-UNESP/p
"",,,,"NOGUEIRA, ROBERTO",,,https://www.livrariaunesp.com.br/Do-fisico-ao-medico-
9788571397552,Do físico ao médico moderno,Editora Unesp,Saúde e Medicina,,"R$ 52,00","R$ 26,00",
"",,,,PASSOS,,,moderno-NOGUEIRA-ROBERTO-PASSOS-EDITORA-UNESP/p
"",,,,,,,https://www.livrariaunesp.com.br/Do-lugar-de-onde-se-ve-
"",,,,"CAMARGO, CARLOS",,,
9788571398146,Do lugar de onde se vê,Editora Unesp,Artes,,"R$ 36,00","R$ 18,00",CAMARGO-CARLOS-AVELINO-DE-ARRUDA-EDITORA-
"",,,,AVELINO DE ARRUDA,,,
"",,,,,,,UNESP/p
"",,,,,,,https://www.livrariaunesp.com.br/dobra-e-o-vazio-A-
9788539307326,"dobra e o vazio, A",Editora Unesp,Artes,"ROMAGNOLO, SERGIO","R$ 46,00","R$ 23,00",
"",,,,,,,ROMAGNOLO-SERGIO-EDITORA-UNESP/p
"",,,Política e Relações,,,,https://www.livrariaunesp.com.br/Doce-violencia-
9788539304691,Doce violência,Editora Unesp,,"EAGLETON, TERRY","R$ 79,00","R$ 39,50",
"",,,Internacionais,,,,EAGLETON-TERRY-EDITORA-UNESP/p
"",,,,,,,https://www.livrariaunesp.com.br/Docencia-pesquisa-e-
"",,Cultura,,"MORAES, DISLANE",,,
9788579830594,"Docência, pesquisa e aprendizagem",,Educação e Pedagogia,,"R$ 30,00","R$ 15,00",aprendizagem-MORAES-DISLANE-ZERBINATTI-CULTURA-
"",,Acadêmica,,ZERBINATTI,,,
"",,,,,,,ACADEMICA/p
"",,,,,,,https://www.livrariaunesp.com.br/dodecafonismo-tardio-
9788539300914,"dodecafonismo tardio de Adorno, O",Editora Unesp,Filosofia,"BAGGIO, IGOR","R$ 59,00","R$ 29,50",
"",,,,,,,de-Adorno-O-BAGGIO-IGOR-EDITORA-UNESP/p
"",,,,,,,https://www.livrariaunesp.com.br/dois-problemas-
"",dois problemas fundamentais da,,,,,,
9788539304981,,Editora Unesp,Filosofia,"POPPER, KARL","R$ 104,00","R$ 52,00",fundamentais-da-teoria-do-conhecimento-Os-POPPER-
"","teoria do conhecimento, Os",,,,,,
"",,,,,,,KARL-EDITORA-UNESP/p
"",,,,,,,https://www.livrariaunesp.com.br/Donas-mineiras-do-
"",,,,"SILVA, MARIA BEATRIZ",,,
9788539306954,Donas mineiras do período colonial,Editora Unesp,História,,"R$ 58,00","R$ 29,00",periodo-colonial-SILVA-MARIA-BEATRIZ-NIZZA-DA-
"",,,,NIZZA DA,,,
"",,,,,,,EDITORA-UNES/p
"",,,,,,,https://www.livrariaunesp.com.br/Dos-ritmos-ao-caos-
9788571391062,Dos ritmos ao caos,Editora Unesp,Educação e Pedagogia,"BERGE, PIERRE","R$ 68,00","R$ 34,00",
"",,,,,,,POMEAU-YVES-EDITORA-UNESP/p
9788571393738,"doutrina dos modos de percepção eo conceito de abstração na filosofiade Espinosa, A",Editora Unesp,Filosofia,"TEIXEIRA, LIVIO","R$ 56,00","R$ 28,00",https://www.livrariaunesp.com.br/doutrina-dos-modos-de-
