LISTA - FEIRA USP 2021
NOME DO LIVRO,AUTOR,"PREÇO DECAPA","DESCONTO50%"
"PROMETEU, OS HOMENS E OUTROS MITOS 4A EDIÇÃO",Menelaos Stephanides,"R$ 36,00","R$ 18,00"
REI ÉDIPO,Flávio Ribeiro de Oliveira,"R$ 60,00","R$ 30,00"
RELATO DE UM CATIVO DE GUERRA,Stratis Doukas,"R$ 24,00","R$ 12,00"
SCHRODINGER E HEISENBERG 2A. ED,Antônio F. R. de Toledo Piza,"R$ 36,00","R$ 18,00"
SENDO SE É: A TESE DE PARMÊNIDES,Néstor Luiz Cordero,"R$ 72,00","R$ 36,00"
SOBRE A ÉTICA NICOMAQUEIA DE ARISTÓTELES,Marco Zingano,"R$ 72,00","R$ 36,00"
SOBRE A METAFÍSICA DE ARISTÓTELES,Org. Marco Zingano/Autores diversos,"R$ 72,00","R$ 36,00"
SOPRO DAS MUSAS FUNDAMENTO FILOSÓFICO DA MÚSICA,André Balboni,"R$ 46,80","R$ 23,40"
TÊNIS,Suzana Silva,"R$ 26,40","R$ 13,20"
"TESEU, PERSEU E OUTROS MITOS 4 EDIÇÃO",Menelaos Stephanides,"R$ 36,00","R$ 18,00"
UMA VIAGEM À GRÉCIA,Stylianos Tsirakis,"R$ 36,00","R$ 18,00"
VÔLEI,Patricio Casco,"R$ 26,40","R$ 13,20"
WATSON E CRICK,Ricardo Ferreira,"R$ 36,00","R$ 18,00"
