Título,Autor,"Preço decapa","Preço comdesconto"
"LEGALIZACAO DA CLASSE OPERARIA, A",BERNARD EDELMAN,"R$ 53,00","R$ 26,50"
"LINGUAGEM DO IMPERIO, A",DOMENICO LOSURDO,"R$ 63,00","R$ 31,50"
"LOUCURA DA RAZAO ECONOMICA, A",DAVID HARVEY,"R$ 59,00","R$ 29,50"
"LUTA DE CLASSES, A",DOMENICO LOSURDO,"R$ 85,00","R$ 42,50"
LUTE COMO UMA PRINCESA,VITA MURROW,"R$ 75,00","R$ 37,50"
MAL ESTAR SOFRIMENTO E SINTOMA,CHRISTIAN INGO LENZ DUNKER,"R$ 85,00","R$ 42,50"
MANIFESTO COMUNISTA,MARX E ENGELS,"R$ 43,00","R$ 21,50"
MANIFESTO COMUNISTA E TESES DE ABRIL,MARX E LENIN,"R$ 27,00","R$ 13,50"
MARX - UMA BIOGRAFIA EM QUADRINHOS,"MAIER, CORINE E SIMON, ANNE","R$ 49,00","R$ 24,50"
MARX E A CRITICA DO MODO DE REPRESENTACAO CAPITALISTA,JORGE GRESPAN,"R$ 65,00","R$ 32,50"
MARX E ENGELS COMO HISTORIADORES DA LITERATURA,GYORGY LUKAKS,"R$ 63,00","R$ 31,50"
MARX NAS MARGENS,KEVIN B. ANDERSON,"R$ 77,00","R$ 38,50"
MARX PELOS MARXISTAS,ANDRE ALBERT (ORG),"R$ 69,00","R$ 34,50"
"MARXISMO OCIDENTAL, O",DOMENICO LOSURDO,"R$ 55,00","R$ 27,50"
MATUSALEM DE FLORES,CARLOS NEJAR,"R$ 49,00","R$ 24,50"
MESMO A NOITE SEM LUAR TEM LUA,LOURENCO DIAFERIA,"R$ 49,00","R$ 24,50"
MUNDO CRUEL,DANIELA MARTAGON; ELLEN DUTHIE,"R$ 49,00","R$ 24,50"
NENÉM OUTRA VEZ,MARIA RITA KEHL; LAERTE,"R$ 45,00","R$ 22,50"
"NO ENTANTO, ELA SE MOVE",IURI TONELO,"R$ 69,00","R$ 34,50"
"NOVA RAZAO DO MUNDO, A",PIERRE DARDOT,"R$ 79,00","R$ 39,50"
"OBRA DE SARTRE, A",ISTVAN MESZAROS,"R$ 73,00","R$ 36,50"
"ODIO COMO POLÍTICA, O",ESTHER SOLANO (ORG.),"R$ 18,00","R$ 9,00"
OUTUBRO,CHINA MIEVILLE,"R$ 67,00","R$ 33,50"
PAISAGEM DE OUTONO,LEONARDO PADURA,"R$ 55,00","R$ 27,50"
