"",,LISTA DE LIVROS,
"",,"Festa Virtual do Livroda USP 2021",
TÍTULO,AUTOR (A),PREÇO CAPA,"PREÇO COMDESCONTO"
CONFLITO E COOPERAÇÃO ENTRE GERAÇÕES,JOSÉ CARLOS FERRIGNO,"35,00","17,00"
CONTACAO DE  H ISTORIAS,FÁBIO HENRIQUE NUNES MEDEIROS E TAIZA MA,"85,00","42,00"
CANÇÃO,ZUZA HOMEM DE MELO,"88,00","44,00"
CORPO VIVO: REEDUCACAO DO MOVIMENTO 2 ED,IVALDO BERTAZZO,"80,00","40,00"
CULTIVANDO DIFERENCAS,MICHÈLE LEMONT E MARCEL FOURNIER,"60,00","30,00"
CULTURA E AÇÃO CULTURAL,NEWTON CUNHA,"30,00","15,00"
CULTURA POPULAR E ALTA CULTURA,HERBERT J. GANS,"60,00","30,00"
CURADORIA: O PODER DA SELEÇÃO,MICHAEL BHASKAR,"72,00","36,00"
DA ARGILA A NUVEM -  1a ED - V.2,YANN SORDET,"44,00","22,00"
DA MESMA MATERIA QUE OS SONHOS,MAURO MALDONATO,"40,00","20,00"
DIARIO DA CALIFORNIA,EDGAR MORIN,"45,00","22,00"
DIDATICA DA PARTICIPAÇAO,VICTOR J. VENTOSA,"55,00","27,00"
DIMENSOES DA CULTURA: POLITICAS PUBLICAS,ISAURA BOTELHO,"70,00","35,00"
"DIREITO, ARTE E LIBERDADE",CRISTIANE OLIVIERI E EDSON NATALE,"65,00","32,00"
ECONOMIA DO PATRIMONIO CULTURAL,FRANÇOISE BENHAMOU,"46,00","23,00"
ECOS DO BRASIL,BENJAMIN ABDALA JUNIOR,"70,00","35,00"
ECOSOFIA,MICHEL MAFFESOLI,"48,00","24,00"
ELOGIO DO POLÍTICO,VINCENT PEILLON,"55,00","27,00"
ENCICLOPEDIA DO CINEMA BRASILEIRO,FERNÃO PESSOA RAMOS e LUIZ FELIPE MIRAND,"199,00","99,00"
ENCONTROS COM ARIANE MNOUCHKINE 2aED,JOSETTE FÉRAL,"52,00","26,00"
ENCONTROS COM SHAKESPEARE,RON DANIELS,"70,00","35,00"
ERA O HOTEL CAMBRIDGE,CARLA CAFFÉ,"70,00","35,00"
ESPAÇO EM OBRA,GUILHERME WISNIK,"65,00","32,00"
ESPORTE PARA IDOSOS,MARIA APARECIDA CECILIANO,"30,00","15,00"
ÉTICA URGENTE,FERNANDO SAVÁTER,"47,00","18,00"
EVANDRO CARLOS JARDIM - V.1,"FABIANA DE BARROS, MARCIA ZOLADZ E MICHEL","70,00","35,00"
"FALA DE BICHO, FALA DE GENTE: CANT",CRISTINA MARTINS FARGETTI,"70,00","35,00"
FAROIS NO CAOS,ADEMIR ASSUNÇÃO,"30,00","15,00"
FASES DA VIDA,IVALDO BERTAZZO,"85,00","42,00"
"FERNANDA MONTENEGRO: ITINERÁRIOFOTOBIOGRÁFICO",FERNANDA MONTENEGRO,"160,00","80,00"
FERNANDO LEMOS HILDA HILST,FERNANDO LEMOS,"50,00","25,00"
FILMAR O QUE NAO SE VE,PATRICIO GUZMÁN,"75,00","37,00"
FOTOGRAFIA DE PALCO - 2a EDICAO,LENISE PINHEIRO,"130,00","65,00"
FOTOGRAFIA DE PALCO II,LENISE PINHEIRO,"130,00","65,00"
FRECHAL QUILOMBO PIONEIRO BRASIL,CHRISTINE LEIDGENS,"70,00","35,00"
GEMAS DA TERRA,DENISE MILAN e OLGÁRIA MATOS,"20,00","10,00"
GENTE HUMILDE - VIDA E MUSICA DE GAROTO,JORGE MELLO,"30,00","15,00"
GERAÇÃO 00-A NOVA FOTOGRAFIA BRASILEIRA,EDER CHIODETTO,"79,00","39,00"
GERALDO DE BARROS E A FOTOGRAFIA,HELOISA ESPADA,"160,00","80,00"
"GESTO ORIENTADO- REEDUCAÇÃO DOMOVIMENTO",IVALDO BERTAZZO,"80,00","40,00"
GRUPO GALPÃO: TEMPOS DE VIVER,EDUARDO MOREIRA,"88,00","44,00"
"HELENA IGNEZ, ATRIZ EXPERIMENTAL",PEDRO GUIMARÃES E SANDRO DE OLIVEIRA,"65,00","32,00"
HERANCA COMPARTILHADA,MATHEW SHIRTS E JOÃO KULCSAR,"49,00","24,00"
HIEROFANIA-TEATRO SEGUNDO ANTUNES FILHO,SEBASTIÃO MILARÉ,"40,00","20,00"
HISTORIA DO TEATRO BRASILEIRO - VOL. II,JACOB GUINSBURG e JOÃO ROBERTO FARIA,"95,00","47,00"
HISTORIA DOS CAXINAUAS POR ELES MESMOS,ELIANE CAMARGO E DIEGO VILLAR,"50,00","25,00"
IDENTIDADE DAS NAÇÕES: UMA BREVE,PETER FURTADO,"68,00","34,00"
IMAGINAI O TEATRO DE GABRIEL VILLELA,DIB CARNEIRO NETO E RODRIGO AUDI,"110,00","55,00"
"IMAGINARIOS, ESTRANHAMENTOS URBANOS",ARMANDO SILVA,"59,00","29,00"
INTELIGÊNCIAS MÚLTIPLAS,HERMES FERREIRA BALBINO,"49,00","24,00"
INTERVENCOES URBANAS - ARTE/CIDADE,NELSON BRISSAC PEIXOTO,"90,00","36,00"
ISAAC JULIEN,VÁRIOS AUTORES,"50,00","25,00"
ISMAIL XAVIER:UM PENSADOR DO.....,"FATIMARLEI LUNARDELLI, HUMBERTO PEREIRA D","60,00","30 ,00"
ISSO - GERALDO DE BARROS,FABIANA DE BARROS,"110,00","55,00"
KAZUO E YOSHITO OHNO,EMÍDIO LUISI,"110,00","55,00"
LAZER DE PERTO E DE DENTRO,JOSÉ GUILHERME CANTOR MAGNANI E ENRICO S,"60,00","30,00"
LAZER NO BRASIL:GRUPOS DE PESQUISA,RICARDO RICCI UVINHA,"60,00","30,00"
LAZER: PERSPECTIVAS INTERNACIONAIS,KARLA A. HENDERSON E ATARA SIVAN,"65,00","32,00"
LENDO E RELENDO,WALNICE NOGUEIRA GALVÃO,"90,00","45,00"
LEVI-STRAUSS,EMMANUELLE LOYER,"130,00","65,00"
LITERATURA EXPANDIDA,ANA PATO,"35,00","17,00"
MACKSEN LUIZ ET ALLI,MACKSEN LUIZ,"90,00","45,00"
MAIO DE 68 E SUAS REPERCUSSÕES,KRISTIN ROSS,"65,00","32,00"
MARATONA DE DRAMATURGIA,"ISABEL DIEGUES, JOSÉ FERNANDO AZEVEDO E K","48,00","24,00"
MARIANNE PERETT -  A OUSADIA DA INVENÇÃO,TACTIANA BRAGA,"220,00","110,00"
"MAXIMA ARTE, MINIMA ARTE",TRISTAN MANCO,"109,00","54,00"
"MEMORIA DA AMNESIA: POLITICAS DOESQUECIMENTO",GISELLE BEIGUELMAN,"95,00","47,00"
MEMORIAS INAPAGAVEIS,AGUSTÍN PÉREZ RUBIO,"86,00","43,00"
MEMÓRIAS SERTANISTAS,FELIPE MILANEZ,"70,00","35,00"
MERCADOS E FEIRAS LIVRES EM SÃO PAULO,FRANCIS MANZONI,"65,00","32,00"
MEU ALFABETO:ENSAIOS DE LITERATURA,JULIA KRISTEVA,"44,00","22,00"
MEU NOME NÃO É PIXOTE,ED ANDERSON MASCARENHAS,"60,00","30,00"
MICHEL ARNOULT DESIGN E UTOPIA,ETHEL LEON,"95,00","47,00"
MITOLOGIA UM GUIA DOS MUNDOS IMAGINARIOS,CHRISTOPHER DELL,"140,00","70,00"
MNU - MOVIMENTO NEGRO UNIFICADO,"ENNIO BRAUNS, GEVANILDA SANTOS E JOSÉ AD","80 ,00","40,00"
MUTACOES - A INVENCAO DAS CRENCAS,ADAUTO NOVAES,"45,00","22,00"
MUTAÇÕES - AINDA SOB A TEMPESTADE,ADAUTO NOVAES,"87,00","43,00"
MUTACOES - ELOGIO A PREGUIÇA,ADAUTO NOVAES,"45,00","22,00"
MUTACOES - EXPERIENCIA DO PENSAMENTO,ADAUTO NOVAES,"45,00","22,00"
MUTACOES - NOVAS CONFIG. MUNDO,ADAUTO NOVAES,"45,00","18,00"
MUTACOES - O FUTURO NÃO É MAIS O QUE ERA,ADAUTO NOVAES,"45,00","22,00"
MUTACOES - O SILÊNCIO E A PROSA DO MUNDO,ADAUTO NOVAES,"45,00","22,00"
MUTAÇOES CONFIGURAÇOES MUNDO 2 ED,ADAUTO NOVAES,"69,00","34,00"
MUTAÇÕES OUTRA MARGEM DA POLÍTICA,ADAUTO NOVAES,"80,00","40,00"
MUTAÇOES: ENTRE DOIS MUNDOS,ADAUTO NOVAES,"76,00","38,00"
MUTAÇÕES: FONTES PASSIONAIS DA VIOLÊNCIA,ADAUTO NOVAES,"70,00","35,00"
MUTACOES: O NOVO ESPIRITO UTOPICO,ADAUTO NOVAES,"76,00","38,00"
MUTAÇÕES:DISSONÂNCIAS DO PROGRESSO,ADAUTO NOVAES,"70,00","35,00"
NA BASE DO FAROL NAO HA LUZ,MAURO MALDONATO,"50,00","25,00"
NA HORA DA DECISAO,MAURO MALDONATO,"50,00","25,00"
NA PONTA DA LINGUA,PETER BROOK,"45,00","22,00"
NÃO EXISTE AMOR PERFEITO,FRANCIS WOLFF,"36,00","18,00"
"NOTAS PARA UMA DEFINIÇÃO DO LEITOR DOLEITOR IDEAL",ALBERTO MANGUEL,"65,00","32,00"
NOTAS SOBRE PISCATOR,JUDITH MALINA,"55,00","27,00"
NOVA HIST DO CINEMA BRASILEIRO V.1,FERNÃO PESSOA RAMOS E SHEILA SCHVARZMA,"92,00","46,00"
NOVA HIST DO CINEMA BRASILEIRO V.2,FERNÃO PESSOA RAMOS E SHEILA SCHVARZMA,"92,00","46,00"
UMA NOVA INTRODUÇAO À ARTE DO SECULO XX,JEAN-PHILIPPE DOMECQ,"55,00","27,00"
WALTER SMETAK - O ALQUIMISTA DOS SONS,MARCO ANTONIO SCARASSATTI,"49,00","19,00"
"O ATORMENTADOR: MINHAS IDEIAS SOBRETEATRO",PHILIPPE GAULIER,"60,00","30,00"
O AUTOR NO CINEMA,JEAN-CLAUDE BERNARDET E FRANCIS VOGNER,"6 2,00","31,00"
O CAPITALISMO SE DESLOCA,LADISLAU DOWBOR,"55,00","27,00"
O QUE É CENOGRAFIA?,PAMELA HOWARD,"72,00","36,00"
O QUE E UM LIVRO?,JOÃO ADOLFO HANSEN,"32,00","16,00"
O SOCIAL EM TEMPOS DE INCERTEZA,GEORGES BALANDIER,"75,00","37,00"
O TAPA NO ARENA: REPERTORIO EM IMAGENS,CLAUDINEI NAKASONE,"95,00","47,00"
O TEATRO DE VICTOR GARCIA,JEFFERSON DEL RIOS,"40,00","20,00"
O TEATRO DOS MORTOS,JORGE DUBATTI,"56,00","28,00"
O TEMPO DOS INCONCILIÁVEIS,ABDELWAHAB MEDDEB,"80,00","40,00"
ÓCIO ESTÉTICO VALIOSO,MARIA LUISA AMIGO FERNANDÉZ DE ARROYABE,"65,00","32,00"
ÓCIO VALIOSO PARA ENVELHECER BEM,MANUEL CUENCA CABEZA,"55,00","27,00"
OLAFUR ELIASSON: SEU CORPO DA OBRA,JOCHEN VOLZ,"40,00","20,00"
OS SERTÕES 2a EDIÇÃO,EUCLIDES DA CUNHA,"109,00","54,00"
PANDEMIA CRÍTICA: INVERNO 2020,PETER PÁL PELBART,"85,00","42,00"
PANDEMIA CRÍTICA: OUTONO 2020,PETER PÁL PELBART,"85,00","42,00"
"VIDEOBRASIL PANORAMAS DO SUL OBRASSELECIONADAS",ASSOCIAÇÃO VIDEOBRASIL,"80,00","40,00"
PANTANAL,JOÃO FARKAS,"150,00","75,00"
PASSAGENS DE TEMPO,MAURO MALDONATO,"40,00","20,00"
PATRIMÔNIO COLONIAL LATINO-AMERICANO,PERCIVAL TIRAPELI,"115,00","57,00"
"PLANEJAMENTO E AVALIAÇÃO DE PROJETOSCULTURAIS",DAVID ROSSELLÓ CEREZUELA,"55,00","27,00"
PLURAL E COMUM,VICENZO CICCHELLI,"74,00","37,00"
POLITICA CULTURAL E ECONOMIA DA CULTURA,JOSÉ CARLOS DURAND,"39,00","19,00"
"PONTOS DE VISTA: ARTISTAS E SEUSREFERENCIAIS",SIMON GRANT,"65,00","32,00"
"POR TODOS OS CAMINHOS: PONTOS CULTURANA AMÉRICA LATINA",CÉLIO TURINO,"90,00","45,00"
"PÓS-FOTOGRAFIA, PÓS-CINEMA",BEATRIZ FURTADO E PHILIPPE DUBOIS,"70,00","35,00"
"PRAZERES E PECADOS DO SEXO NA HISTORIADO BRASIL",PAULO SÉRGIO DO CARMO,"72,00","36,00"
"PROGRAMA CURUMIM - MEMORIAS, COTIDIANO",MARGARETH BRANDINI PARK E RENATA SIEIRO F,"60,00","30,00"
PROTAGONISMO NEGRO EM SÃO PAULO,PETRONIO DOMINGOS,"50,00","25,00"
QUANDO MARINA ABRAMOVIC MORRER,JAMES WESTCOTT,"80,00","40,00"
EDICAO,JAMES WESTCOTT,"80,00","40,00"
QUER JOGAR?,ADRIANA KLISYS e CARLOS DALA STELLA,"50,00","25,00"
RAIZES ERRANTES - 2a EDICAO,MAURO MALDONATO,"40,00","20,00"
REFLEXÃO COMO RESISTÊNCIA,"AUGUSTO MASSI, ERWIN TORRALBO GIMENEZ, M","94,9 0","47,00"
REFLEXOES SOBRE SHAKESPEARE,PETER BROOK,"35,00","17,00"
REGISTRO DE UMA VIVÊNCIA,LUCIO COSTA,"160,00","80,00"
RETRATOS LATINO-AMERICANOS,SERGIO MICELI E JORGE MYERS,"95,00","47,00"
ROBERT LEPAGE,RENATE KLETT,"60,00","30,00"
RODRIGO BROTERO LEFÈVRE E A VANGUARDA,MIGUEL ANTONIO BUZZAR,"110,00","55,00"
RUBENS MATUCK: TUDO E SEMENTE,ROSELI NAKAGAWA,"140,00","70,00"
SAPIENTIA: UMA ARQUEOLOGIA DE SABERES,CHRISTOPH WULF E NORVAL BAITELLO JUNIOR,"68,00","34,00"
"SENTIR, PERCEBER E AGIR",BONNIE BAINBRIDGE COHEN,"90,00","45,00"
SÉRGIO MAMBERTI: SENHOR DO MEU TEMPO,SERGIO MAMBERTI E DIRCEU ALVES JUNIOR,"98,00","49,00"
SETIMA ARTE: UM CULTO MODERNO,ISMAIL XAVIER,"60,00","30,00"
SOBRE A MORTE,MAURICE GODELIER,"80,00","40,00"
SOCIOFOBIA,CÉSAR RENDUELES,"50,00","25,00"
SOCIOLOGIA DA CULTURA,MATTHIEU BÉRA E YVON LAMY,"56,00","28,00"
SOCIOLOGIA DAS PRATICAS CULTURAIS,PHILIPPE COULANGEON,"49,00","24,00"
"TARSILA DO AMARAL, A MODERNISTA",NADIA BATTELLA GOTLIB,"100,00","50,00"
TEATRO SESC ANCHIETA,ALEXANDRE MATE,"100,00","50,00"
"TEATRO, LITERATURA, PESSOAS",JEFFERSON DEL RIOS,"95,00","47,00"
TEMAS PARA A DANCA BRASILEIRA,SIGRID NORA,"30,00","15,00"
TEORIA CULTURAL E CULTURA POPULAR,JOHN STOREY,"69,00","34,00"
TEORIA DOS DIREITOS CULTURAIS 2aED,HUMBERTO CUNHA FILHO,"50,00","25,00"
TERRA COMUNAL - MARINA ABRAMOVIC + MAI,JOCHEN VOLZ E JÚLIA REBOUÇAS,"90,00","45,00"
TERTULIA - O AUTOR COMO LEITOR,TIAGO NOVAES,"40,00","20,00"
THEATRE DU SOLEIL CINQUENTA ANOS,BÉATRICE PICON-VALLIN,"130,00","65,00"
TOM ZÉ: O ÚLTIMO TROPICALISTA,PIETRO SCARAMUZZO,"90,00","45,00"
TRAVESSIAS IMAGINÁRIAS: LITERATURA,MIRNA QUEIROZ,"75,00","37,00"
TURISMO E PATRIMONIO CULTURAL -2a EDIÇÃO,FLÁVIA ROBERTA COSTA,"55,00","27,00"
TURISMO LEGITIMADO,HELIO HINTZE,"80,00","40,00"
UM ANO SÍSIFO,EDGAR MORIN,"45,00","22,00"
UM CIRCO DE RINS E FÍGADOS,GERARD THOMAS,"95,00","47,00"
UMA ÁRVORE DA MÚSICA BRASILEIRA,ELISA MORI E GUGA STROETER,"90,00","45,00"
UMA HISTÓRIA DAS SEXUALIDADES,SYLVIE STEINBERG,"90,00","45,00"
VIDEOBRASIL 3 DECADAS DE VIDEO ARTE,TETÉ MARTINHO E SOLANGE FARKAS,"82,00","41,00"
VIOLÃO CANÇÃO,CHICO SARAIVA,"60,00","30,00"
VIOLOES DO BRASIL,MYRIAM TAUBKIN,"50,00","25,00"
VOZES DO BRASIL:ENTREVISTAS REUNID,PATRICIA PALUMBO,"95,00","47,00"
