"CÓDIGOBARRAS",QT.,DESCRIÇÃO,VENDIDOS,"PREÇOCAPA","PREÇOC/ DESCONTO"
9788570414984,10,"OUTR@S CARIOCAS, @S - INTERPELACOES, EXPERIENCIAS",E-  IDENTI,"ARD$E  S  2 H0O,0M0","ERRO$T 1IC0,A0S0 N"
9788542300550,25,"PACTO AUTOBIOGRAFICO, O - DE ROUSSEAU A INTERNET",-,"R$     69,00","R$ 34,50"
9788542302974,20,"PARADOXO DE VIENA: MEMORIAS, O",-,"R$     59,00","R$ 29,50"
9788542301588,10,PARTICIPACAO E CONTROLE SOCIAL EM SANEAMENTO BAS,C- O,"R$     65,00","R$ 32,50"
9788542302226,50,PASSAGENS (BOX COM 3 VOLUMES),-,"R$   220,00","R$ 110,00"
9788570419095,5,PASSEIO A DIAMANTINA,-,"R$     52,00","R$ 26,00"
9788570418777,10,PASSEIO A OURO PRETO,-,"R$     48,00","R$ 24,00"
9788570418388,5,PASSEIO A SABARA,-,"R$     48,00","R$ 24,00"
9788570418753,20,"PEDRA E O TEMPO, A - ARQUITETURA COMO PATRIMONIO C",-LTURAL,"R$   145,00","R$ 72,50"
9788542302561,30,PERCURSOS DA POESIA BRASILEIRA - DO SECULO XVIII AO,-XI,"R$     59,80","R$ 29,90"
"CÓDIGOBARRAS",QT.,DESCRIÇÃO,VENDIDOS,"PREÇOCAPA","PREÇOC/ DESCONTO"
9788570419002,15,PETER LUND E AS GRUTAS COM OSSOS EM LAGOA SANTA,-,"R$     90,00","R$ 45,00"
9788570418647,3,"PETROGRAFIA MACROSCOPICA DAS ROCHAS IGNEAS, SEDI",-ENTAR,"SR E$ M  1E4T8A,0M0","RFRIC$A 7S4 ,-0 R0E"
9788542301663,5,"POESIA CONTEMPORANEA - VOZ, IMAGEM, MATERIALIDADE",-,"R$     34,00","R$ 17,00"
9788570416032,5,POETAS DO ATLANTICO - FERNANDO PESSOA E O MODERNI,-MO AN,"LOR-$A  M   5E5R,0IC0","NOR$ 27,50"
9788542301915,5,POLITICA EXTERNA NA NOVA REPUBLICA - OS PRIMEIROS 3,-ANOS,"R$     47,00","R$ 23,50"
9788570419538,5,POLITICA PUBLICA E GESTAO DE SERVICOS DE SANEAMENT,O-  - EDIC,"OR A$M   1P4L0I,A0D0","R$ 70,00"
9788553128013,10,POR QUE OS ANIMAIS ENTRAM EM EXTINCAO?,-,"R$     22,00","R$ 11,00"
9788553128174,10,POR QUE SONHAMOS?,-,"R$     33,00","R$ 16,50"
9788570419033,10,"POS-COLONIALISMO, IDENTIDADE E MESTICAGEM CULTURA",- - A LITE,"ART$U   R  4A1 ,D0E0","ORLE$  2S0O,5Y0IN"
9788553128082,10,PRA QUE SERVE A ARTE?,-,"R$     22,00","R$ 11,00"
9786580010004,20,"PRESENCA DO ESPIRITO DE MINAS, A: A UFMG E O DESENV",-LVIMEN,"OR D$E     M 29IN,0A0S","GERR$A 1IS4,50"
9788553128181,10,"PRINCIPE GIRINO, O",-,"R$     25,00","R$ 12,50"
9788570419446,20,PRODUCAO DA FALA,-,"R$     65,00","R$ 32,50"
9788542300758,3,PRODUCAO DE  CONHECIMENTO EM ESTUDOS DO LAZER -,-ARADOX,"SR,$ L  I M  4I8T,E00S","PRO$S 2S4IB,0I0LID"
9788542301793,25,QUANDO AS IMAGENS TOMAM POSICAO - O OLHO DA HISTO,"-IA, I","R$     60,00","R$ 30,00"
9788570419668,10,"QUATRO PARTES DO MUNDO, AS - HISTORIA DE UMA MUNDI",-LIDADE,"R$   140,00","R$ 70,00"
9788553128068,10,QUEM INVENTOU O LAPIS?,-,"R$     22,00","R$ 11,00"
9788570412911,10,QUIMICA NA CABECA - EXPERIENCIAS ESPETACULARES PA,A-  VOCE,"ARZ$E R     4E5M,0 C0","SAR O$U 2 2N,5A0 ES"
9788542301380,10,"RAPOSA DE CIMA E A RAPOSA DE BAIXO, A",-,"R$     42,00","R$ 21,00"
9788570414816,10,REBELDES LITERARIOS DA REPUBLICA - HISTORIA E IDENTI,-ADE NA,"IORN$A   L 3 N0O,0 0A","MARN$A 1Q5U,0E0 B"
9788570415363,10,REFORMA POLITICA NO BRASIL,-,"R$     15,00","R$ 7,50"
9788542302509,30,"REMONTAGENS DO TEMPO SOFRIDO: O OLHO DA HISTORIA,",-II,"R$     60,00","R$ 30,00"
9788542300444,15,REPENSANDO A LOGICA - UMA INTRODUCAO A FILOSOFIA D,- LOGICA,"R$     52,00","R$ 26,00"
9788542302318,20,REPUBLICA E DEMOCRACIA  - IMPASSES DO BRASIL CONTE,-PORAN,"OR$     64,90","R$ 32,45"
9788570416629,10,"RETRATO NA RUA, O - MEMORIAS E MODERNIDADES NA CID",-DE PLA,"ERJA$ D  A  35,00","R$ 17,50"
9788570417978,20,"RETRATOS EM CLARICE LISPECTOR - LITERATURA, PINTUR",-E FOTO,"RRA$F  I A  36,00","R$ 18,00"
9788570419613,10,ROCHAS - IGNEAS E METAMORFICAS TEXTURAS E ESCRITU,-AS,"R$     85,00","R$ 42,50"
9788542300819,10,"RUA DA LITERATURA E A LITERATURA DA RUA, A",-,"R$     58,00","R$ 29,00"
9788542302592,10,SABERES AMBIENTAIS: DESAFIOS PARA O CONHECIMENTO,-ISCIPLI,"AR$      45,00","R$ 22,50"
9788542302028,10,"SEGREDO DO ARQUITETO, O - PERDAO POR NAO LHE ABRI",A- R,"R$     37,00","R$ 18,50"
9788542301021,10,"SEGUIDORES DE MAXWELL, OS",-,"R$     62,00","R$ 31,00"
9788570417060,5,SER-TAO NATUREZA - A NATUREZA EM GUIMARAES ROSA,-,"R$     36,00","R$ 18,00"
9788570419200,10,SOBRE A RELACAO DAS ARTES PLASTICAS COM A NATURE,A-,"R$     23,00","R$ 11,50"
9788570418982,20,SOBRE A TRADUCAO,-,"R$     24,00","R$ 12,00"
9788542300642,5,"SONS DO ROSARIO, OS - O CONGADO MINEIRO DOS ARTUR",-S E JAT,"BRA$     49,00","R$ 24,50"
9788542300666,10,TANGO - A MUSICA DE UMA CIDADE,-,"R$     65,00","R$ 32,50"
"CÓDIGOBARRAS",QT.,DESCRIÇÃO,VENDIDOS,"PREÇOCAPA","PREÇOC/ DESCONTO"
9788570419187,10,"TENSOES DO LUGAR, AS - HIDRELETRICAS, SUJEITOS E LIC",N- CIAME,"TRO$ A   M  4B6I,E00N","ALR$ 23,00"
9788570419873,10,TEORIA DA NAO CONCEITUALIDADE,-,"R$     35,00","R$ 17,50"
9788585266202,15,TERMOS-CHAVE DA ANALISE DO DISCURSO,-,"R$     33,00","R$ 16,50"
9788542301458,10,TESTAMENTO DE MARTIM AFONSO DE SOUSA E DE DONA A,-A PIMEN,"ERL$  N   O 8 8A,0C0E","VOR $D 4O4 S,0E0TO"
9788570413178,40,"TOQUE DE CLASSICOS, UM - MARX - DURKHEIM - WEBER - R",-VISTA E,"RTU$ A  L  5IZ1A,0D0","R$ 25,50"
9788542300727,10,TRADUZIR O DESEJO - PSICANALISE E LINGUAGEM,-,"R$     52,00","R$ 26,00"
9788553128075,10,UM DIA LUMINOSO,-,"R$     22,00","R$ 11,00"
9788542303155,50,UMA QUESTAO DE DISCIPLINA: ENTREVISTAS COM JEAN-BA,-TISTE A,"ARD$I E   U 53,00","R$ 26,50"
9788542302059,10,VERDADE ORDINARIA E VERDADE SUPREMA NO PENSAMEN,-O NAGA,"JRU$N  A   56,00","R$ 28,00"
9788570417077,3,VISCONDE DO URUGUAI - CENTRALIZACAO E FEDERALISMO,N- O BRAS,"LR 1$8 2  3  5-1,80606","R$ 25,50"
9788570419347,10,"VISIVEL E O INTELIGIVEL, O - ESTUDOS SOBRE A PERCEPCA",-  E O PE,"SRA$M   E  3N2T,0O0","A FRIL$O 1S6,O0F0IA"
9788570418500,10,VOZES PLURAIS - FILOSOFIA DA EXPRESSAO VOCAL,-,"R$     59,00","R$ 29,50"
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"CÓDIGOBARRAS",QT.,DESCRIÇÃO,VENDIDOS,"PREÇOCAPA","PREÇOC/ DESCONTO"
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"CÓDIGOBARRAS",QT.,DESCRIÇÃO,VENDIDOS,"PREÇOCAPA","PREÇOC/ DESCONTO"
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"CÓDIGOBARRAS",QT.,DESCRIÇÃO,VENDIDOS,"PREÇOCAPA","PREÇOC/ DESCONTO"
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"CÓDIGOBARRAS",QT.,DESCRIÇÃO,VENDIDOS,"PREÇOCAPA","PREÇOC/ DESCONTO"
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"CÓDIGOBARRAS",QT.,DESCRIÇÃO,VENDIDOS,"PREÇOCAPA","PREÇOC/ DESCONTO"
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"CÓDIGOBARRAS",QT.,DESCRIÇÃO,VENDIDOS,"PREÇOCAPA","PREÇOC/ DESCONTO"
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,,-,,
"",,-,,,
"",,-,,,
"",,-,,,
"",,-,,,
"",,-,,,
