"CÓDIGOBARRAS",QT.,DESCRIÇÃO,VENDIDOS,"PREÇOCAPA","PREÇOC/ DESCONTO"
9788542300307,20,CATALOGO DE VERBOS DO PORTUGUES BRASILEIRO - CLA,S- IFICAC,"OR V$E  R   7B2A,0L0 S","GURN$ D36O,0 A0 D"
9788542301335,20,"CERAMICA NO BRASIL, A - SISTEMATIZACAO BIBLIOGRAFICA",-- 4VOL.,"R$     40,00","R$ 20,00"
9788542300222,5,"CHAMADO DA CIDADE, O - ENSAIOS SOBRE A URBANIDADE",-,"R$     52,00","R$ 26,00"
9788542301762,10,CHICO BUARQUE - RECORTES E PASSAGENS,-,"R$     42,00","R$ 21,00"
9788553128167,10,"CHOPIN, O CUPIM",-,"R$     30,00","R$ 15,00"
9788542301618,5,CIDADE DE LOBOS - A REPRESENTACAO DE TERRITORIOS,A- RGINAI,"NRA$  O  B 44R,A00 D","RRU$B 2E2N,0S0 FI"
9788570417800,10,CIDADE UNIVERSITARIA DA UFMG - HISTORIA E NATUREZA,-,"R$     72,00","R$ 36,00"
9788542302035,10,CIDADES E CULTURA POLITICA NAS AMERICAS,-,"R$     47,00","R$ 23,50"
9788570419064,15,CIENCIA DA INFORMACAO E BIBLIOTECONOMIA - NOVOS CO,-TEUDO,"ER E$ S  P  3A0C,0O0","DER A$ T1U5A,0C0A"
9788570417497,5,CIENCIA NA TELA - EXPERIMENTOS NO RETROPROJETOR,-,"R$     37,00","R$ 18,50"
9788542302530,10,CIENCIAS DA NATUREZA NA EDUCACAO INFANTIL,-,"R$     50,00","R$ 25,00"
9788570418340,20,"CINCO PARADOXOS DA MODERNIDADE, OS",-,"R$     43,00","R$ 21,50"
9788542300277,15,"COGNICAO, CIENCIA E VIDA COTIDIANA",-,"R$     46,00","R$ 23,00"
9788570416797,5,COMPREENDENDO E AVALIANDO - PROJETOS DE SEGURAN,-A PUBLI,"AR$     51,00","R$ 25,50"
9788542302615,20,COMUNICACAO (INTER)CULTURAL EM INTERACAO,-,"R$     64,00","R$ 32,00"
9788570419989,5,COMUNISTAS BRASILEIROS - CULTURA POLITICA E PRODUC,-O CULT,"RRA$L     58,00","R$ 29,00"
9788570419163,5,"CONGRESSO POR ELE MESMO, O - AUTOPERCEPCOES DA",L-ASSE P,"LRIT$I C   A 4 6B,R00A","ILERI$R A23,00"
9788570419682,10,CONSTITUICOES NACIONAIS E POVOS INDIGENAS,-,"R$     40,00","R$ 20,00"
9788570417190,5,CONSTRUCOES DO PORTUGUES DO BRASIL DA GRAMATICA,-AO DISC,"RS$O     53,00","R$ 26,50"
9788570418685,3,"CONTATOS LINGUISTICOS NO BRASIL, OS",-,"R$     65,00","R$ 32,50"
9788542300215,10,"CONVENIENCIA DA CULTURA, A - USOS DA CULTURA NA ER",-GLOBAL,"R$     68,00","R$ 34,00"
9788570418869,5,CONVERSACOES - DE ARTE E DE CIENCIAS,-,"R$     58,00","R$ 29,00"
9788570419439,3,C-ORAL - BRASIL I - CORPUS DE REFERENCIA DO PORTUGU,-S BRASI,"ERIR$O     F 6A9,L0A0","O INR$F O34R,M50AL"
9788542302417,5,CORPO SEM CABECA: O TIPOGRAFO-EDITOR E A PETALOGI,-A,"R$     54,00","R$ 27,00"
9788542301397,15,"CORPO, ARTE E TECNOLOGIA",-,"R$     66,00","R$ 33,00"
9788542300413,5,CORPOS PAGAOS- USOS NA CULTURA BRASILEIRA -1960-19,0-,"R$     48,00","R$ 24,00"
9788542301632,15,CORRENTES ATUAIS DO PENSAMENTO ARQUIVISTICO,-,"R$     68,00","R$ 34,00"
"CÓDIGOBARRAS",QT.,DESCRIÇÃO,VENDIDOS,"PREÇOCAPA","PREÇOC/ DESCONTO"
9788542301250,10,CORRESPONDENCIA DE DRUMMOND & ALCEU,-,"R$     55,00","R$ 27,50"
9788570414427,5,"COSMOPOLITISMO DO POBRE, O - CRITICA LITERARIA E CRI",-ICA CUL,"URR$A  L   47,00","R$ 23,50"
9788570419149,5,CRIME E CIDADES,-,"R$     60,00","R$ 30,00"
9788542301090,5,CRIME E TRANSGRESSAO NA LITERATURA E NAS ARTES,-,"R$     42,00","R$ 21,00"
9788570418371,5,CRITICA E COLECAO,-,"R$     47,00","R$ 23,50"
9788542302738,20,CULTURA E EDUCACAO NA AMERICA PORTUGUESA,-,"R$     40,00","R$ 20,00"
9788570416094,10,DA ARTE - UMA LEITURA DO GORGIAS DE PLATAO,-,"R$     35,00","R$ 17,50"
9788542300284,50,DA DIASPORA - IDENTIDADES E MEDIACOES CULTURAIS,-,"R$     62,00","R$ 31,00"
9788570417633,5,DA FABRICACAO DE MONSTROS,-,"R$     30,00","R$ 15,00"
9788553128006,10,DE ONDE VEM A AGUA DOS RIOS?,-,"R$     22,00","R$ 11,00"
9788542301694,10,"DEMOCRACIA DIGITAL - PUBLICIDADE, INSTITUICOES E CON",-RONTO,"ORL$I T  I C 7O0,00","R$ 35,00"
9788570418319,50,"DEMONIO DA TEORIA, O - LITERATURA E SENSO COMUM",-,"R$     49,00","R$ 24,50"
9788570417046,3,DESENCONTROS DA MODERNIDADE NA AMERICA LATINA - L,T- ERATU,"AR E$  P  O 69L,I0T0I","A NRO$  S3E4,C5U0L"
9788570413024,10,DESENVOLVIMENTO E APRENDIZAGEM,-,"R$     27,00","R$ 13,50"
9788570417749,20,DESENVOLVIMENTO E CONFLITOS AMBIENTAIS,-,"R$     55,00","R$ 27,50"
9788542301571,10,DESIGN E CRIME (E OUTRAS DIATRIBES),-,"R$     49,00","R$ 24,50"
9788570417565,20,DESOCIDENTADA - EXPERIENCIA LITERARIA EM TERRA INDI,-ENA,"R$     22,00","R$ 11,00"
9788570419729,50,DIANTE DO TEMPO -  HISTORIA DA ARTE E ANACRONISMO D,-S IMAG,"NRS$     65,00","R$ 32,50"
9788570419927,5,DICIONARIO DO DIALETO RURAL NO VALE DO JEQUITINHON,-A MINAS,"GRE$R  A  I 6S5,00","R$ 32,50"
9788542300697,15,"DITADURAS MILITARES - BRASIL, ARGENTINA, CHILE E URU",U- AI,"R$     49,00","R$ 24,50"
9788542302646,20,DO ENGENHO A MESA: CULTURA MATERIAL E INDUSTRIA R,R- AL NA,"GR$IC   U  5L4T,U00R","FARM$ I2L7IA,0R0 D"
9788542302066,5,DOM QUIXOTE - ENCENACOES TIPOGRAFICAS,-,"R$     37,00","R$ 18,50"
9788542300321,15,DOSSIE BERNARD LAHIRE,-,"R$     62,00","R$ 31,00"
9788542300338,5,DOSSIE NIKLAS LUHMANN,-,"R$     56,00","R$ 28,00"
9788542301946,5,"DRAMA ETICO NA OBRA DE GRACILIANO RAMOS, O -  LEITU",A- S A PA,"TRIR$  D  E  4 3JA,0C0","UERS$ D 2E1R,5R0ID"
9788542300499,5,EDICAO E REVOLUCAO - LEITURAS COMUNISTAS NO BRASIL,E-  NA FR,"NRC$A     68,00","R$ 34,00"
9788542301991,5,EDICAO E SOCIABILIDADES INTELECTUAIS  - A PUBLICACAO,-AS OBR,"SR $C O   M 54P,L9E0","ASR D$E 2 R7,U45I B"
9788570418678,5,EDWARD P. THOMPSON - HISTORIA E FORMACAO,-,"R$     25,00","R$ 12,50"
9788542302110,5,"ENCENACAO DO SUJEITO E COSMOGONIA ANDINOS, A - CE",A- R VELL,"JRO$ E   Y  4U9Y,0A0","HKRA$N I24,50"
9788570419415,5,ENGENHARIA - HISTORIA EM CONSTRUCAO,-,"R$     89,00","R$ 44,50"
9788542300604,15,ENSAIOS SOBRE A AUTOFICCAO,-,"R$     42,00","R$ 21,00"
9788570419019,5,"ENSINO DE LINGUA - DAS REFORMAS, DAS INQUIETACOES",-DOS DE,"ARF$IO   S  68,00","R$ 34,00"
9788542301441,10,ENSINO DE QUIMICA MEDIADO PELA TICS,-,"R$     55,00","R$ 27,50"
9788542302639,10,ENTRE SERTOES: COMUNISMO E CAMPESINATO NA OBRA D,- BERNA,"DRO$ E   L 3I5S,00","R$ 17,50"
9788542301953,5,ENTRE TEXTOS E PRETEXTOS  - A PRODUCAO ESCRITA DE,-RIANCA,"ER $A D   U 60L,T0O0","NAR P$ E3R0,S0P0E"
9788570419934,10,ENTRENOTAS - COMPREENSOES DE PESQUISA,-,"R$     37,00","R$ 18,50"
"CÓDIGOBARRAS",QT.,DESCRIÇÃO,VENDIDOS,"PREÇOCAPA","PREÇOC/ DESCONTO"
9788542302783,20,"ERA DAS CARTAS, A",-,"R$     42,00","R$ 21,00"
9788542300581,3,ESCRITA VIRTUAL NA ADOLESCENCIA A - UMA LEITURA PSI,A- NALITIC,"R$     70,00","R$ 35,00"
9788542302097,5,ESCRITOS SOBRE METAFISICA E ARTE,-,"R$     25,00","R$ 12,50"
9788542300116,20,"ESPELHO DE HERODOTO, O - ENSAIO SOBRE A REPRESENT",-CAO DO,"ORU$T  R  O 58,00","R$ 29,00"
9788570415738,15,ESTANCIAS - A PALAVRA E O FANTASMA NA CULTURA OCID,-NTAL,"R$     45,00","R$ 22,50"
9788570419880,10,ESTILINGUE - HISTORIAS DE UM MENINO,-,"R$     35,00","R$ 17,50"
9788570419866,3,ESTRADAS DA VIDA - TERRA E TRABALHO NAS FRONTEIRAS,A- GRICO,"ARS$ D  O   5 J6E,0Q0","ITINRH$O 2N8,H00A E"
9788570419521,10,ETICA DA TEOLOGIA DA LIBERTACAO E O ESPIRITO DO SOCI,-LISMO,"OR M$ S  T  3, 5A,00","R$ 17,50"
9788570419712,5,ETIENNE DECROUX E A ARTESANIA DE ATOR - CAMINHADA,-PARA A,"ORB$E  R   7A6N,0IA0","R$ 38,00"
9788542300437,5,EXPANSOES CONTEMPORANEAS- LITERATURA E OUTRAS F,-RMAS,"R$     34,00","R$ 17,00"
9788570419194,3,"FAMILIA, ESCOLA E JUVENTUDE - OLHARES CRUZADOS BRA",-IL - POR,"URG$ A  L  60,00","R$ 30,00"
9788542301083,3,FEIJAO-PRETO E DIAMANTES - O BRASIL NA OBRA DE ELIZA,-ETH BIS,"ORP$     42,00","R$ 21,00"
9788570418623,20,FENOMENOLOGIA DA OBRA LITERARIA - REVISTA,-,"R$     47,00","R$ 23,50"
9788570419088,3,"FIGURAS DA VIOLENCIA - ENSAIOS SOBRE NARRATIVA, ETIC",- E MUSI,"AR P$ O   P 4U2,L0A0","R$ 21,00"
9788570413109,10,"FILOSOFOS E A MENTIRA, OS",-,"R$     23,00","R$ 11,50"
