"",Título,Autor,"Preçocapa","Preço c/desconto",ISBN,
"100 MELHORES LENDAS DO FOLCLORE BRASILEIRO, AS",A. S. FRANCHINI,"54,90","27,45",9788525420879,,
100 RECEITAS COM LATA - POCKET,JOSE ANTONIO PINHEIRO MACHADO,"19,90","9,95",9788525418128,,
100 RECEITAS DE ARROZ - POCKET,ANINHA COMAS,"19,90","9,95",9788525413321,,
100 RECEITAS DE CARNES - POCKET,SILVIO LANCELLOTTI,"22,90","11,45",9788525413918,,
100 RECEITAS DE MASSAS LIGHT - POCKET,MARIA HELENA TONETTO,"18,90","9,45",9788525420886,,
100 RECEITAS DE SOBREMESAS - POCKET,CELIA PINTO RIBEIRO,"19,90","9,95",9788525410313,,
100 SEGREDOS DE LIQUIDIFICADOR - POCKET,JOSE ANTONIO PINHEIRO MACHADO,"19,90","9,95",9788525420848,,
111 AIS - POCKET,DALTON TREVISAN,"19,90","9,95",9788525410283,,
111 POEMAS PARA CRIANCAS,SERGIO CAPPARELLI,"36,90","18,45",9788525412898,,
160 RECEITAS DE MOLHOS - POCKET,SILVIO LANCELLOTTI,"19,90","9,95",9788525409935,,
"18 DE BRUMARIO DE LUIS BONAPARTE, O - POCKET",KARL MARX,"25,90","12,95",9788525439352,,
1961 O GOLPE DERROTADO,FLAVIO TAVARES,"54,90","27,45",9788525424563,,
1964 O GOLPE - CONVENCIONAL (Flavio Tavares),FLAVIO TAVARES,"59,90","29,95",9788525430960,,
200 SONETOS - POCKET,LUIS VAZ DE CAMOES,"19,90","9,95",9788525408914,,
222 RECEITAS - ANONYMUS GOURMET - POCKET,JOSE ANTONIO PINHEIRO MACHADO,"25,90","12,95",9788525438119,,
30 FABULAS CONTEMPORANEAS PARA CRIANCAS,SERGIO CAPPARELLI,"29,00","14,5",9788525418265,,
33 CIBERPOEMAS E UMA FABULA VIRTUAL,SERGIO CAPPARELLI,"24,00",12,9788525405814,,
"36 ESTRATAGEMAS: MANUAL SECRETO DA ARTE DA GUERRA,OS - POCKET",EDICAO DE JEAN LEVI,"23,90","11,95",9788525434609,,
50 DISCURSOS QUE MARCARAM O MUNDO MODERNO -,ANDREW BURNET,"59,90","29,95",9788525436832,,
60 POETAS TRAGICOS - CONVENCIONAL,SERGIO FARACO,"34,90","17,45",9788525434395,,
71 SEGUNDOS - O JOGO DE UMA VIDA,LUIZ ZINI PIRES,"24,00",12,9788525416339,,
9 MESES VISTOS POR DENTRO - CONVENCIONAL,EDUARD GRATACOS,"58,90","29,45",9786556661841,,
99 CORRUIRAS NANICAS - POCKET,DALTON TREVISAN,"19,90","9,95",9788525412331,,
A DE ASSOCIACAO VL.1 - CONVENCIONAL,ERIK L'HOMME,"26,90","13,45",9788525433367,,
A DE ASSOCIACAO VL.2 - CONVENCIONAL,PIERRE BOTTERO,"26,90","13,45",9788525433374,,
ABADIA DE NORTHANGER - POCKET,JANE AUSTEN,"26,90","13,45",9788525424648,,
ABOBRINHAS DA BRASILONIA - POCKET,GLAUCO VILAS BOAS,"19,90","9,95",9788525417251,,
"ABRACO, O - CONVENCIONAL",EOIN MCLAUGHLIN,"46,90","23,45",9786556661568,,
ADEGA IMAGINARIA seguido de O RELINCHO CAVALO,ARMINDO TREVISAN,"39,00","19,5",9788525429612,,
ADULTERIOS - CONVENCIONAL,WOODY ALLEN,"29,90","14,95",9788525430472,,
"ADVERSARIO SECRETO, O - CONVENCIONAL (HQ)",AGATHA CHRISTIE,"49,90","24,95",9788525438607,,
"ADVERSARIO SECRETO, O - POCKET",AGATHA CHRISTIE,"34,90","17,45",9788525439086,,
AFORISMOS PARA A SABEDORIA DE VIDA - POCKET,ARTHUR SCHOPENHAUER,"26,90","13,45",9788525437181,,
