"",,,,,EDITORA ALAÚDE,,,
"",,,,,,Preço de,CUPOM,
ISBN,Título,,Autor(es),,Categoria,capa,FESTADOLIVROUSP21,Página do produto em www.alaude.com.br (clique ou copie e cole)
9788578815974,Delícias da Izabel,Izabel Alvares,Gastronomia,"R$ 84,00","R$ 42,00",https://www.alaude.com.br/produto/delicias-da-izabel-26
9788578815905,Depressão não é fraqueza,"Leandro Teles, Dr.",Bem-estar | Saúde | Autoajuda,"R$ 39,90","R$ 19,95",https://www.alaude.com.br/produto/depressao-nao-e-fraqueza-17
9788578815080,Desafios culinários,Coordenação Ed. Alaúde,Gastronomia,"R$ 69,90","R$ 34,95",https://www.alaude.com.br/produto/desafios-culinarios-77
9788578810870,Desvendando mistérios,Osho,Bem-estar | Autoajuda | Mindfulness e meditação,"R$ 35,00","R$ 17,50",https://www.alaude.com.br/produto/desvendando-misterios-188
9788578810375,DKW,Rogério de Simone | Paulo Cesar Sandler,Automobilismo,"R$ 98,00","R$ 49,00",https://www.alaude.com.br/produto/dkw-205
9788578816179,Encontre a sua verdade,Osho,Bem-estar | Autoajuda,"R$ 42,00","R$ 21,00",https://www.alaude.com.br/produto/encontre-a-sua-verdade-293
9788578811792,Essencial,David Côté | Mathieu Gallant,Veganismo | Vegetarianismo | Gastronomia,"R$ 82,00","R$ 41,00",https://www.alaude.com.br/produto/essencial-139
9788578812898,Fabulosos,Organização Alaúde,Gastronomia,"R$ 135,00","R$ 67,50",https://www.alaude.com.br/produto/fabulosos-237
9786586049077,Faça sua cerveja,John  Krochune | Mike Warren,Gastronomia,"R$ 99,00","R$ 49,50",https://www.alaude.com.br/produto/faca-sua-cerveja-301
9788578815196,Façam a revolução,Dalai Lama | Sofia Stril-Reve,Bem-estar | Autoajuda | Infantojuvenil | Juvenil,"R$ 25,00","R$ 12,50",https://www.alaude.com.br/produto/facam-a-revolucao-44
9788578810788,Festa vegetariana,Celia Brooks Brown,Vegetarianismo | Gastronomia,"R$ 64,90","R$ 32,45",https://www.alaude.com.br/produto/festa-vegetariana-187
9788578815257,Flor de sal,Gabi Mahamud,Veganismo | Vegetarianismo | Gastronomia,"R$ 42,00","R$ 21,00",https://www.alaude.com.br/produto/flor-de-sal-83
9788578814281,Fru-fruta,Pati Bianco,Veganismo | Vegetarianismo | Gastronomia,"R$ 42,00","R$ 21,00",https://www.alaude.com.br/produto/fru-fruta-102
9788578812010,Hamburguinhos,Thomas Feller,Gastronomia,"R$ 49,90","R$ 24,95",https://www.alaude.com.br/produto/hamburguinhos-309
9788578814328,Herbivoraz,Julia Guedes,Veganismo | Vegetarianismo | Gastronomia,"R$ 42,00","R$ 21,00",https://www.alaude.com.br/produto/herbivoraz-62
9788578812577,Indispensável,Dunja Gulin,Veganismo | Vegetarianismo | Gastronomia,"R$ 74,00","R$ 37,00",https://www.alaude.com.br/produto/indispensavel-254
9788578814144,Ingredientes caseiros veganos,Miyoko Schinner,Veganismo | Vegetarianismo | Gastronomia,"R$ 66,00","R$ 33,00",https://www.alaude.com.br/produto/ingredientes-caseiros-veganos-92
9788578811365,Jaguar E-type,Nigel Thorley,Automobilismo,"R$ 82,00","R$ 41,00",https://www.alaude.com.br/produto/jaguar-e-type-137
9788578810436,Karmann-Ghia,Paulo Cesar Sandler,Automobilismo,"R$ 63,00","R$ 31,50",https://www.alaude.com.br/produto/karmann-ghia-208
9788578811372,Kombi,Richard Copping,Automobilismo,"R$ 82,00","R$ 41,00",https://www.alaude.com.br/produto/kombi-136
9788578811938,Lamborghini,Richard Dredge,Automobilismo,"R$ 82,00","R$ 41,00",https://www.alaude.com.br/produto/lamborghini-267
9788578814564,Larousse da cerveja,Ronaldo Morado,Gastronomia,"R$ 150,00","R$ 75,00",https://www.alaude.com.br/produto/larousse-da-cerveja-66
9788578814335,Larousse da confeitaria,Instituto Le Cordon Bleu,Gastronomia,"R$ 270,00","R$ 135,00",https://www.alaude.com.br/produto/larousse-da-confeitaria-64
9788578815899,Larousse das sobremesas infalíveis,Coordenação Ed. Larousse,Gastronomia,"R$ 169,90","R$ 84,95",https://www.alaude.com.br/produto/larousse-das-sobremesas-infaliveis-18
9788578815943,Larousse do chocolate,Instituto Le Cordon Bleu,Gastronomia,"R$ 200,00","R$ 100,00",https://www.alaude.com.br/produto/larousse-do-chocolate-23
9786586049343,Larousse dos óleos essenciais,Thierry Folliard,Bem-estar | Saúde | Autoajuda,"R$ 109,90","R$ 54,95",https://www.alaude.com.br/produto/larousse-dos-oleos-essenciais-319
9788578813048,Larousse dos pães,Éric Kayser,Gastronomia,"R$ 130,00","R$ 65,00",https://www.alaude.com.br/produto/larousse-dos-paes-230
9788578813550,Leites e manteigas vegetais,Melissa King,Veganismo | Vegetarianismo | Gastronomia,"R$ 49,90","R$ 24,95",https://www.alaude.com.br/produto/leites-e-manteigas-vegetais-116
9788578810023,Lugar de médico é na cozinha,"Alberto Peribanez Gonzalez, Dr.",Bem-estar | Saúde | Veganismo | Vegetarianismo,"R$ 60,00","R$ 30,00",https://www.alaude.com.br/produto/lugar-de-medico-e-na-cozinha-4
9786586049206,Meditação total,Deepak Chopra,Bem-estar | Autoajuda | Mindfulness e meditação,"R$ 45,00","R$ 22,50",https://www.alaude.com.br/produto/meditacao-total-317
9788578810474,Memórias sobre rodas (volume 2),Fábio Steinbruch,Automobilismo,"R$ 110,00","R$ 55,00",https://www.alaude.com.br/produto/memorias-sobre-rodas-(volume-2)-209
9788578812119,MGB MGC & MGB GT V8,David Knowles,Automobilismo,"R$ 82,00","R$ 41,00",https://www.alaude.com.br/produto/mgb-mgc--mgb-gt-v8-241
9786586049183,Mindfulness para o dia a dia,Jan Chozen Bays,Bem-estar | Autoajuda | Mindfulness e meditação,"R$ 44,00","R$ 22,00",https://www.alaude.com.br/produto/mindfulness-para-o-dia-a-dia-306
9788578811136,Mini,Graham Robson,Automobilismo,"R$ 82,00","R$ 41,00",https://www.alaude.com.br/produto/mini-162
9788578811426,Naturalíssima,Tatiana Cardoso,Vegetarianismo | Gastronomia,"R$ 110,00","R$ 55,00",https://www.alaude.com.br/produto/naturalissima-173
9788578811273,O Brasil na fórmula 1,Alexandre Armando  Vasconcellos,Automobilismo,"R$ 69,90","R$ 34,95",https://www.alaude.com.br/produto/o-brasil-na-formula-1-154
9788578815301,O cérebro ansioso,"Leandro Teles, Dr.",Bem-estar | Saúde | Autoajuda,"R$ 39,90","R$ 19,95",https://www.alaude.com.br/produto/o-cerebro-ansioso-37
9788578811198,O cérebro de Buda,Rick Hanson,Bem-estar | Autoajuda | Mindfulness e meditação,"R$ 45,00","R$ 22,50",https://www.alaude.com.br/produto/o-cerebro-de-buda-165
9788578813154,O futuro da arquitetura em 100 construções,Marc Kushner,Atualidades,"R$ 55,00","R$ 27,50",https://www.alaude.com.br/produto/o-futuro-da-arquitetura-em-100-construcoes-232
9788578815059,O grande livro da Palmirinha,Palmirinha Onofre,Gastronomia,"R$ 190,00","R$ 95,00",https://www.alaude.com.br/produto/o-grande-livro-da-palmirinha-80
9788578812676,O grande livro dos sucos,Pat Crocker,Bem-estar | Saúde | Vegetarianismo,"R$ 69,90","R$ 34,95",https://www.alaude.com.br/produto/o-grande-livro-dos-sucos-260
9788578814557,O lado invisível da economia,Katrine Marçal,Atualidades,"R$ 35,00","R$ 17,50",https://www.alaude.com.br/produto/o-lado-invisivel-da-economia-65
9788578813468,O poder das pequenas mudanças,Margaret Heffernan,Atualidades,"R$ 42,00","R$ 21,00",https://www.alaude.com.br/produto/o-poder-das-pequenas-mudancas-114
9788578815882,O poder do acaso,Kio Stark,Atualidades,"R$ 29,90","R$ 14,95",https://www.alaude.com.br/produto/o-poder-do-acaso-24
9788578816155,O poder meta-humano,Deepak Chopra,Bem-estar | Autoajuda | Mindfulness e meditação,"R$ 45,00","R$ 22,50",https://www.alaude.com.br/produto/o-poder-meta-humano-33
9788578815998,O que podemos aprender com os gatos,Neil Somerville,Bem-estar | Autoajuda,"R$ 35,00","R$ 17,50",https://www.alaude.com.br/produto/o-que-podemos-aprender-com-os-gatos-29
9788578815967,O rio fervilhante,Andres Ruzo,Atualidades,"R$ 35,00","R$ 17,50",https://www.alaude.com.br/produto/o-rio-fervilhante-31
9788578815837,Os guardiões do ser,Eckhart Tolle,Bem-estar | Autoajuda,"R$ 45,00","R$ 22,50",https://www.alaude.com.br/produto/os-guardioes-do-ser-55
9786586049091,Os novos desafios do cérebro,"Leandro Teles, Dr.",Bem-estar | Saúde,"R$ 49,90","R$ 24,95",https://www.alaude.com.br/produto/os-novos-desafios-do-cerebro-290
