"Festa do Livro da USP - virtual 2021Edições Loyola",,,
ISBN,TÍTULO,AUTOR,PREÇO
9788515033126,"Arquitetura sagrada no Brasil - Sua evolução até as vésperasdo Concílio Vaticano II",GABRIEL DOS SANTOS FRADE,"40,50"
9788515000388,"Arrancar máscaras! Abandonar papéis! - A comunicaçãopessoal em 25 passos","POWELL, John","17,75"
9788515043484,"Arte de ajudar  (A) - Atitudes fundamentais noaconselhamento pastoral",Alexandre Awi Mello,"15,50"
9788515012282,Arte sacra,"PASTRO, Claudio","5,08"
9788515033966,"Arte, política e educação em Walter Benjamin","D'ANGELO, Martha","8,58"
9788515038824,As Fundações - Leitura orante e missionária,PATRICIO SCIADINI,"15,58"
9788515043002,Assistência espiritual aos doentes: o que e como fazer?,"BALDESSIN, Anísio","6,00"
9788515035441,Assistência religiosa aos doentes - Aspectos bíblicos,"BALDESSIN, Anísio","6,48"
9788515037735,Assistência religiosa aos doentes - Aspectos práticos,"BALDESSIN, Anísio","6,48"
9788515044719,Atos dos Apóstolos - O caminho da Palavra,"KONINGS, Johan M. Herman Josef","12,00"
9788515004676,Atos dos apóstolos (Os),"FABRIS, Rinaldo","45,00"
9788515013074,Autobiografia de Santa Margarida Maria Alacoque,,"7,50"
9788515017782,"Autoestima do professor (A) - Manual de reflexão e açãoeducativa","VOLI, Franco","14,35"
9788515032488,"Ave-Maria (A) - História, conteúdo, controvérsias","OSSANNA, Tullio Faustino","6,83"
9788515006236,Avestruz futebolista (A),"FELDMAN, Cláudio","1,25"
9788515040094,"Bacon, Galileu e Descartes - O renascimento da filosofia grega","SPINELLI, Miguel","23,10"
9788588158955,Banquete do Cordeiro (O) - A missa segundo um convertido,"HAHN, Scott","18,75"
9788515026814,Barbazul (O),"ALVES, Rubem","8,93"
9788515044016,Beber na fonte do amor,EZEQUIEL DAL POZZO,"9,00"
9788515030798,Beleza e a justiça dos 12 passos (A) - Uma visão pética,"BURNS, John E.","10,33"
9788515032471,"Bíblia e Alcorão - O que os une, o que os separa","GNILKA, Joachim","20,50"
9788515034079,Bíblia e direito - O espírito das leis,"MIES, Françoise","12,00"
9788515038787,Bíblia e filosofia - As luzes da razão,"MIES, Françoise","20,75"
9788515034161,Bíblia e hermenêutica hoje,"PELLETIER, Anne-Marie","14,35"
9788515036707,"Bíblia e religiões - Judaísmo, cristianismo, islamismo","MIES, Françoise","14,53"
9788515015849,Bíblia na Igreja (A),"FITZMYER, Joseph A.","7,53"
9788515014521,"Bíblia não é um livro, é uma pessoa (A)","FLORES, José H. Prado","2,98"
9788515038107,Bíblia não serve só para rezar (A),"SILVA, Cassio Murilo da","10,00"
9788515022649,Bioética - Alguns desafios,"BARCHIFONTAINE, Christian de Paul de","17,33"
9788515024650,Bioética e biodireito - Uma introdução,"PIÑEIRO, Walter Esteves","8,05"
9788515038381,Bioética e direitos humanos,"OLIVEIRA, Aline Albuquerque S. de","21,18"
9788515032037,Bioética e longevidade humana,"BARCHIFONTAINE, Christian de Paul de","34,83"
