Hemus,,,
Título,Autor,Preço de Capa,Preço com Desconto
DE VOLTA AS CIVILIZACOES PERDIDAS,QUIXE CARDINALE,"74,40","37,20"
DECISOES FATAIS,GEN WERNER KREIPE E OUTROS,"105,60","52,80"
DENTES DE DRAGAO,UPTON SINCLAIR,"88,80","44,40"
Desenho arquitetônico contemporâneo,Frank R. Dagostino,"205,20","102,60"
DESENHO ELETROTECNICO E ELETROMECANICO,GINO DEL MONACO / VITTORIO RE,"153,60","76,80"
Desenho Técnico,D. E. Maguire e C. H. Simmons,"116,40","58,20"
Desenho técnico industrial,W. Schneider,"170,40","85,20"
Desenho Técnico Mecânico - Volume 1,"Giovanni Manfe, Rino Pozza e Giovanni Scarato","126,00","63,00"
Desenho Técnico Mecânico - Volume 2,"Giovanni Manfe, Rino Pozza e Giovanni Scarato","148,80","74,40"
Desenho Técnico Mecânico - Volume 3,"Giovanni Manfe, Rino Pozza e Giovanni Scarato","148,80","74,40"
Desenvolvimento de chapas,Ch. Lobjois,"159,60","79,80"
DIALOGOS,PLATAO,"81,60","40,80"
DIÁRIO DE UM ESCRITOR,FIÓDOR M. DOSTOIÉVSKI,"75,00","37,50"
DICIONARIO DA PINTURA MODERNA,DIVERSOS,"126,00","63,00"
Dicionário de eletrônica Inglês-Português,Giacomo Gardini e Norberto Pau,"206,40","103,20"
DICIONARIO DE MATEMATICA,DIVERSOS,"93,60","46,80"
Discurso sobre o método,Rene Descartes,"70,80","35,40"
Do contrato social,Jean Jacques Rousseau,"90,00","45,00"
Dos delitos e das penas,Cesare Beccaria,"66,00","33,00"
Dos sumérios a Babel,Federico A. Arborio Mella,"141,60","70,80"
DOUTOR OX (O),JULIO VERNE,"36,00","18,00"
ELEMENTOS ARQUITETONICOS,PHILIPPE DESLANDES,"163,20","81,60"
Elementos básicos caldeiraria,Vandir Marreto,"144,00","72,00"
ELEMENTOS BASICOS DE AR CONDICIONADO,RAUL PERAGALLO TORREIRA,"94,00","47,00"
Elementos de máquinas,Luis Pareto,"109,20","54,60"
ELETRICIDADE E ELETRODOMESTICOS,SANTIAGO PEY ESTRANY,"74,40","37,20"
ELETRICIDADE GERAL - DISPOS E APLICAC,M G SAY,"189,60","94,80"
Eletricidade Geral. Fundamentos,M. G. Say,"177,60","88,80"
Eletricidade Geral: eletrotécnica,M. G. Say,"196,80","98,40"
Eletricidade industrial,G. Martino,"248,40","124,20"
ELETRONICA APLICADA,L W TURNER,"184,80","92,40"
ELETRONICA DIGITAL,SERGIO GARUE,"93,60","46,80"
ELETRONICA INDUSTRIAL - SERVOMECANISMOS,GIANFRANCO FIGINI,"126,00","63,00"
Eletrônica Industrial: circuitos e aplicações,Gianfranco Figini,"168,00","84,00"
ELETRONICA: TODOS OS COMPONENTES,MARCO ANTONIO MARQUES DE SOUZA,"103,20","51,60"
Elogio da loucura,Erasmo de Roterdam,"80,40","40,20"
ENCANAMENTOS E ALVENARIA,SANTIAGO PEY ESTRANY,"74,40","37,20"
Enciclopédia das ervas e plantas medicinais,Rene Morgan,"222,00","111,00"
Energia nuclear,Raymond L. Murray,"139,20","69,60"
Energia Solar e Fontes Alternativas,Wolfgang Palz,"170,40","85,20"
Energia Solar: utilização e empregos práticos,Emilio Cometta,"72,00","36,00"
ENIGMA DAS PIRAMIDES (O),J ALVAREZ LOPES,"69,60","34,80"
ENIGMA DE TEOTIHUACAN (O),P GUIRAO,"50,40","25,20"
ENIGMA DO DESAPARECIMENTO DOS DINOSSAUROS,J BLASCHKE,"43,20","21,60"
ENIGMA DOS MAPAS DE PIRI REIS (O),P GUIRAO,"44,40","22,20"
ESCOLA DOS ROBINSONS (A),JULIO VERNE,"55,20","27,60"
ESCRAVAS DO DIABO (AS),GEORGES J DEMAIX,"86,40","43,20"
ESPANHOL POR IMAGENS (O),IA RICHARDS/R METCALF/C GIBSON,"93,60","46,80"
ESPECIE HUMANA (A),HILAIRE CUNY,"78,00","39,00"
ESTAMPAS (AS) - A ELETROEROSAO OS MOLDES,R MEROZ / M CUENDET,"112,80","56,40"
Estampos de corte,Osmar de Brito,"104,40","52,20"
Estampos de formar,Osmar de Brito,"130,80","65,40"
ESTRANHO MUNDO DOS PROFETAS,GERARD DE SEDE,"74,40","37,20"
Estruturas metálicas,C A Lauand e M Pugliesi,"448,80","224,40"
ETERNO ADAO (O),JULIO VERNE,"39,60","19,80"
EXEMPLOS DE ARQUITETURA,PHILIPPE DESLANDES,"163,20","81,60"
Expedição Moana,Bernard Gorsky,"193,20","96,60"
EXTRATERRESTRES NA HISTORIA (OS),JACQUES BERGIER,"64,80","32,40"
FANFARRAO (O),MICHEL ZEVACO,"61,20","30,60"
FANTASIA E LOGICA NA MATEMATICA,LUIGI CAMPEDELLI,"55,20","27,60"
FANTASTICA BARREIRA DE CORAL (A),BERNARD GORSKY,"110,40","55,20"
FAROL NO FIM DO MUNDO (O),JULIO VERNE,"58,80","29,40"
FATO DE SER HUMANO (O) - PSICOLOGIA EXPERIMENTAL,ELTON B. MCNEIL,"100,80","50,40"
"Ferramentas de corte, dobra e repuxo",Sergio da Cruz,"141,60","70,80"
FLORAIS DO DR BACH (OS),ANTONIETA BARREIRA CRAVO,"70,80","35,40"
Fluídos térmicos,Raul Peragallo Torreira,"140,40","70,20"
FORMULARIO DE ELETRONICA,FRANCISCO R VASSALLO,"69,60","34,80"
Formulário do engenheiro,Mott Souders,"207,60","103,80"
FORMULARIO DO MECANICO,ROBERT ROUILLER,"69,60","34,80"
FORNOS ELETRICOS,LUIGI DI STASI,"146,40","73,20"
FRANCES POR IMAGENS (O),I A RICHARDS/C ILSLEY/C GIBSON,"93,60","46,80"
Frutas e ervas que curam,Antonieta C. Barreira Cravo,"190,80","95,40"
GAIA CIENCIA,FRIEDRICH WILHELM NIETZSCHE,"94,80","47,40"
GERMINAL,EMILE ZOLA,"122,40","61,20"
GINASTICA A ARTE DO MOVIMENTO,CARLA STRAUSS,"93,60","46,80"
GINASTICA FEMININA,N PITHAN E SILVA,"50,40","25,20"
GUERRA PELOS ALIMENTOS (A),WALDEN BELLO,"69,60","34,80"
GUIA DO OUTRO MUNDO,ORNELLA VOLTA,"62,40","31,20"
Heidi,Johanna Spyri,"67,20","33,60"
HIDROGINASTICA,JOSEPH A KRASEVEC/DIANE C GRIM,"87,60","43,80"
História da Filosofia,Wilhelm Dilthey,"74,40","37,20"
História da Gestapo - Tráficos e Crimes,Jacques,"150,00","75,00"
HISTORIA DE SIMBAD O MARUJO,ANONIMO,"33,00","16,50"
HISTORIA DE UM SOLDADO,JACK LONDON,"45,60","22,80"
