"",,,,,,,,,,
"",Festa Virtual do Livro da USP 2021,,,,,,,,,
"",ISBN,,Descrição,,Autor,,Preço R$,,C/ Desc,
9788595710269,68 - Como Incendiar Um País,Erick Corrêa / Maria Teresa Mhereb,"54,90","27,45",,,,,,
9786586691221,A Abolição do Trabalho,Bob Black / Bruno Borges,"39,90","19,95",,,,,,
9786586691061,A Alma que Caiu do Corpo,André Toral,"59,90","29,95",,,,,,
9788563137661,A arte de viver para as novas gerações,Raoul Vaneigem,"49,90","24,95",,,,,,
9788595710214,A Arte de Voar - 2° Edição,Antonio Altarriba / Kim,"64,90","32,45",,,,,,
9788563137463,A Clavícula de Salomão,Org: Samuel Lidell Mathers,"64,90","32,45",,,,,,
9788595710566,A Louca do Sagrado Coração,"Alejandro Jodorowsky, Moebius","89,90","44,95",,,,,,
9786586691443,A Praga Escarlate,JACK LONDON,"29,90","14,95",,,,,,
9788563137074,A mente suja de Robert Crumb,Robert Crumb,"119,90","59,95",,,,,,
9788563137296,A revoada dos galinhas verdes,Fúlvio Abramo,"39,90","19,95",,,,,,
9788563137616,A Sereia de Mongaguá,Thiago Moraes Martins / Marcos Paulo Marques,"59,90","23,96",,,,,,
9788595710245,A Terra dos Filhos,Gipi,"99,90","49,95",,,,,,
9788595710085,A Vida Secreta de Londres,"Oscar Zarate (organização), Alan Moore, Neil Gaiman, Dave McK","a  n  ,  I a7i4n, S90in","la  ir  ,  W  2o9o,9d6ro",,,,,,
9788563137340,Agonia de um Padre Casado,Dom Gurgel,"44,90","17,96",,,,,,
9788595710221,Aleister Crowley,Martin Hayes; RH Stewart,"64,90","32,45",,,,,,
9788595710641,Além de Palomar,Gilbert Hernandez,"89,90","44,95",,,,,,
9788595710139,Angola Janga,Marcelo D'Salete,"89,90","44,95",,,,,,
9788595710382,Ar Condicionado,Gustavo Piqueira,"49,90","24,95",,,,,,
9788595710511,Armadilha da Identidade,"Asad Haider, Leo Vinicius Liberato","39,90","19,95",,,,,,
9786586691139,As Almas do Povo Negro,W.E.B. Du Bois,"54,90","27,45",,,,,,
9788595710184,Asa Quebrada,Antonio Altarriba /Kim,"64,90","32,45",,,,,,
9788563137210,Autocracia,Woodrow Phoenix,"49,90","19,96",,,,,,
9788595710153,Ayako,Osamu Tezuka,"139,90","69,95",,,,,,
9788595710726,Beco do Rosário,Ana Luiza Koehler,"44,90","22,45",,,,,,
9788595710702,Berlim,Berlim,"139,90","69,95",,,,,,
9788563137142,Black Blocs,Francis Dupuis-Déri,"44,90","17,96",,,,,,
9786586691375,Black Dogs,Ho Che Anderson,"69,90","34,95",,,,,,
9786586691412,Blues,Robert Crumb,"74,90","37,45",,,,,,
9788595710320,Blues For Lady Day – A História De Billie Holiday,Paolo Parisi,"54,90","27,45",,,,,,
9788595710160,BR 111,"Fábio Mallart (Organização), Rafael Godoi (Organização) Luís Br","s il i n  o  3(e4d,9it0or",",  F  r a  n 1c3is,9co6",,,,,,
9788595710405,Breganejo Blues,Bruno Azevêdo,"34,90","17,45",,,,,,
9788563137548,Bulldogma,Wagner Willian,"64,90","32,45",,,,,,
9788563137425,Burroughs,João Pinheiro,"54,90","27,45",,,,,,
"",9786586691429,CAIXA: KING/BLACK DOGS,Ho Che Anderson,"179,90","89,95",,,,,
9788563137227,Caligari!,Alexandre Teles,"69,90","27,96",,,,,,
9788563137319,Caravaggio – A Morte da Virgem,Milo Manara,"94,90","47,45",,,,,,
"",,Caravaggio – O Perdão,Milo Manara,"94,90","47,45",,,,,
9788595710399,Carolina - 3° Edição,João Pinheiro e Sirlene Barbosa,"54,90","27,45",,,,,,
9788563137364,Cidadão N,Danyael Lopes,"44,90","17,96",,,,,,
9788563137531,Coltrane,Paolo Parisi,"54,90","27,45",,,,,,
9788563137159,Como você pode rir de uma coisa dessas?,Dagsson,"34,90","17,45",,,,,,
9788563137739,Couro de Gato,Carlos Patati; João Sánchez,"54,90","27,45",,,,,,
9788563137418,Cravo na Carne. Fama e fome - o Faquirismo Feminino no B,aAslbilerto de Oliveira / Alberto Camarero,"54,90","27,45",,,,,,
9788595710207,Cumbe – Edição ampliada,Marcelo D'Salete,"59,90","29,95",,,,,,
9786586691290,Delivery Fight! - A luta contra os patrões sem rosto,Callum Cant,"44,90","22,45",,,,,,
9788595710115,Desaplanar,Nick Sousanis,"89,90","44,95",,,,,,
9786586691160,Deserama,Marcello Quintanilha,"49,90","24,95",,,,,,
9788595710191,Deus aos Domingos,Rafael Campos Rocha,"39,90","19,95",,,,,,
9788595710146,Diastrofismo Humano,Gilbert Hernandez,"89,90","44,95",,,,,,
"",,Discurso sobre o Colonialismo,Aimé Césaire,"39,90","19,95",,,,,
"",,Divina Valéria,ALBERTO CAMARERO E  ALBERTO DE OLIVEIRA,"120,00","60,00",,,,,
9788563137289,Do Inferno,Alan Moore e Eddie Campbel,"139,90","69,95",,,,,,
9786586691153,Domex,Gustavo Piqueira,"44,90","22,45",,,,,,
9788563137623,Encruzilhada,Marcelo D'Salete,"49,90","24,95",,,,,,
9788595710665,Entre o Encardido o Branco e o Branquissimo,Lia Vainer,"44,90","22,45",,,,,,
9786586691436,"Escuta, Formosa Márcia",Marcello Quintanilha,"99,90","49,95",,,,,,
9786586691122,Eu Fui um Garoto Gorila,Fábio Vermelho,"54,90","27,45",,,,,,
9786586691108,Fun,Paolo Bacilieri,"99,90","49,95",,,,,,
9788563137555,Ghetto Brother,Julian Voloj / Claudia Ahlering,"59,90","29,95",,,,,,
