1984 - A DISTOPIA DO INDIVÍDUO,,,,,
EDUCAÇÃO A DISTÂNCIA: outros,,,,,
"tempos, outros espaços",Karla Saraiva,R$,"35,00",R$,"17,50"
EDUCAÇÃO E COOPERAÇÃO,,,,,
NOS ASSENTAMENTOS DO MST,Maria Antonia de Souza,R$,"25,00",R$,"12,50"
EDUCAÇÃO FÍSICA ESCOLAR:,,,,,
saberes e projetos,Silvia C. M. Finck (Org.),R$,"32,00",R$,"16,00"
EDUCAÇÃO NO BRASIL E NA,,,,,
ARGENTINA: escritos de história,"Claudio Suasnábar, Névio de",,,,
intelectual,Campos (Orgs.),R$,"44,00",R$,"22,00"
EMANCIPAÇÃO E SERVIÇO,,,,,
SOCIAL: a potencialidade da,,,,,
prática profissional - 2.ed.,Danuta E. Cantoia Luiz,R$,"33,00",R$,"16,50"
ENSINAR E APRENDER,,,,,
MATEMÁTICA: possibilidades para,Celia Finck Brandt e Méricles,,,,
a prática educativa,Thadeu Moretti (orgs.),R$,"56,00",R$,"28,00"
ENSINO DE HISTÓRIA E,,,,,
EDUCAÇÃO: olhares em,,,,,
convergência - Vol. I,Luis Fernando Cerri (Org.),R$,"28,00",R$,"14,00"
"","Ana Heloísa Molina, Luis Fernando",,,,
ENSINO DE HISTÓRIA E,"Cerri, Maria Aparecida Leopoldino",,,,
EDUCAÇÃO: olhares em,T. Toledo e Nádia Gaiofatto,,,,
convergência - Vol. II,Gonçalves (Orgs.),R$,"37,00",R$,"18,50"
ESTADO E DEMOCRACIA:,,,,,
pluralidade de questões,Lucia Cortes da Costa (Org.),R$,"35,00",R$,"17,50"
FAXINAL TAQUARI DOS,,,,,
RIBEIROS: diálogos,,,,,
"interdisciplinares, sustentabilidade e",Silvia Méri Carvalho e Nicolas,,,,
etnoconhecimento,Floriani (orgs.),R$,"64,00",R$,"32,00"
FICÇÃO HISTÓRICA: teoria e,,,,,
critica,Marilene Weinhardt,R$,"33,00",R$,"16,50"
FICÇÕES CONTEMPORÂNEAS:,,,,,
história e memória,Marilene Weinhardt (org.),R$,"45,00",R$,"22,50"
"FILOSOFIA, EDUCAÇÃO E",,,,,
CONHECIMENTO: subjetividade e,,,,,
intersubjetividade em Kant e,,,,,
Habermas,Carlos Willians Jaques Morais,R$,"25,00",R$,"12,50"
FISIOLOGIA VEGETAL: teoria e,,,,,
experimentos - 2.ed,Elvira Sampaio,R$,"35,00",R$,"17,50"
FORMAS ROCHOSAS DO,,,,,
PARQUE ESTADUAL DE VILA,,,,,
VELHA,Mário Sérgio de Melo,R$,"45,00",R$,"22,50"
"FRONTEIRAS DE GÊNERO: corpos,",Losandro Antônio Tedeschi e Karina,,,,
feminismos e história das mulheres,Bidaseca (orgs.),R$,"55,00",R$,"27,50"
"",Heliana Cioccia Campiteli e Vicente,,,,
FUNÇÕES,Coney Campiteli,R$,"25,00",R$,"12,50"
"GÊNERO, MÍDIA & LUTAS","Graziela Bianchi, Karina Janz",,,,
SOCIAIS,"Woitowicz, Paula Melani Rocha",R$,"55,00",R$,"27,50"
GEOGRAFIA FÍSICA DO ESTADO,,,,,
DO PARANÁ - 4.ed.,Reinhard Maack,R$,"60,00",R$,"30,00"
GRILHÕES INVISÍVEIS: as,,,,,
"dimensões da ideologia, as",,,,,
condições de subalternidade e a,"Anita Helena Schlesener, Gisele",,,,
educação em Gramsci,"Masson, Maria José Dozza Subtil",,,,
"",(orgs.),R$,"55,00",R$,"27,50"
GUIA DE AVALIAÇÃO DA,,,,,
QUALIDADE DE VIDA E,,,,,
QUALIDADE DE VIDA NO,,,,,
TRABALHO,Bruno Pedroso e Luiz Alberto Pilatti,R$,"39,00",R$,"18,50"
HISTORIA DA INTELIGÊNCIA,,,,,
BRASILEIRA VOL I,Wilson Martins,R$,"45,00",R$,"22,50"
HISTORIA DA INTELIGÊNCIA,,,,,
BRASILEIRA VOL II,Wilson Martins,R$,"45,00",R$,"22,50"
HISTORIA DA INTELIGÊNCIA,,,,,
BRASILEIRA VOL III,Wilson Martins,R$,"45,00",R$,"22,50"
HISTORIA DA INTELIGÊN.,,,,,
BRASILEIRA VOL IV,Wilson Martins,R$,"45,00",R$,"22,50"
HISTORIA DA INTELIGÊNCIA,,,,,
BRASILEIRA VOL V,Wilson Martins,R$,"45,00",R$,"22,50"
HISTORIA DA INTELIGÊNCIA,,,,,
BRASILEIRA VOL VI,Wilson Martins,R$,"45,00",R$,"22,50"
HISTORIA DA INTELIGÊNCIA,,,,,
BRASILEIRA VOL VII,Wilson Martins,R$,"45,00",R$,"22,50"
HISTÓRIA DO PARANÁ 10.ed.,Ruy Christovam Wachowicz,R$,"55,00",R$,"27,50"
IMAGEM CONTESTADA: a guerra,,,,,
do contestado pela escrita do diário,,,,,
da tarde (1912 - 1916),Karina Janz Woitowicz,R$,"46,00",R$,"23,00"
INCLUSÃO DIGITAL E,,,,,
CIDADANIA: as possibilidades e as,,,,,
"ilusões da ""solução"" tecnológica",Maria Lucia Becker,R$,"34,00",R$,"17,00"
IRRIGAÇÃO POR GOTEJAMENTO,,,,,
NA PRODUÇÃO DE ALAMO:,"Clinton C. Shock, André B. Pereira,",,,,
boletim técnico,Erik B. Feibert e Rebecca J. Flock,R$,"8,00",R$,"4,00"
