ISBN,Título,Autor,Valor Capa,Valor
"",,,,com desconto
9788565888264,LETRAS E POLITICAS NO PARANA,"BEGA, MARIA TARCISA SILVA","R$      55,00","R$         27,50"
8573350520,LIBERDADE SUBJETIVA E ESTADO NA FIL.POLIT.DE HEGEL,"RAMOS, CESAR AUGUSTO","R$      33,00","R$         16,50"
9788573352153,LINGUAGEM E DISCURSO,"CORSERILI, EUGENIO. LAMAS,ÓSCAR LOU","ERD$A   L  A 5M4A,0S0","R$         27,00"
9788573352924,LINGUISTICA CHOMSKYANA E IDEOLOGIA SOCIAL,"PONZIO, AUGUSTO","R$      37,00","R$         18,50"
9788584800001,"LITERATURAS EM TRANSITO, TEORIAS PEREGRINAS","JASINSKI, ISABEL","R$      35,00","R$         17,50"
9788584801398,LUTERIA: COLETANEA DE TERMOS TECNICOS,"PEREIRA, RODRIGO MATEUS","R$      90,00","R$         45,00"
9788573352726,LUTOS COLETIVOS E CRIACAO SOCIAL,"METRAUX, JEAN-CLAUDE","R$      48,00","R$         24,00"
8573351179,MANUAL DE IDENTIFICACAO DE MOLUSCOS BIVALVES DA FAMILIA DOS TEREDINIDEOS E,"MCUOLNLTERRA,D AONSA  NCOLA LUITDOIAR ADLE  BPRAAUSLA","R$      31,00","R$         15,50"
9788584800025,MANUAL DE NORMALIZACAO DE DOCUMENTOS CIENTIFICOS,UFPR SIBI,"R$      50,00","R$         25,00"
9788584800988,"MARGEM DO(S) CANONE(S) II, A","TRINDADE, ALEXANDRO DANTAS","R$      35,00","R$         17,50"
9788565888424,"MARGEM DO(S) CANONE(S), A","TRINDADE, ALEXANDRO DANTAS","R$      35,00","R$         17,50"
9788565888929,MARINAS (2003/04) PARA PIANO,"CROWL,HARRY","R$      40,00","R$         20,00"
9788573352849,MARXISMO COMO CIENCIA SOCIAL,"CODATO, ADRIANO NERVO","R$      42,00","R$         21,00"
9788565888912,"MEDIDA DO EXAGERO E O APOCALIPSE CRISTAO, A","RANZI, CAETANO FISCHER","R$      30,00","R$         15,00"
9788573352788,MEDINDO A DIVERSIDADE BIOLOGICA,"MAGURRAN, ANNE E.","R$      65,00","R$         32,50"
9788565888080,MEMORIA DO ARQUITETO,"BERRIEL, ANDREA","R$      40,00","R$         20,00"
9788584800773,MEMORIA HISTORICA DE MORRETES,"CAVAZZANI, ANDRE LUIZ MOSCALESKI","R$      45,00","R$         22,50"
9788565888400,MEMORIAS DE MORTE E OUTRAS MEMORIAS,"HOROCHOVSKI, MARISETE TERESINHA HO","FRM$A  N   N 32,00","R$         16,00"
9788573352481,MENTES EM MUSICA,"ILARI, BEATRIZ SENOI","R$      30,00","R$         15,00"
8573350490,"MESMOS CRIMES, OUTROS DISCURSOS?","WEINHARDT, MARILENE","R$      33,00","R$         16,50"
8570414544,"METODOLOGIA DE DESIGN, UMA - APLICADA AO DESENVOLVIMENTO DE TECNOLOGIA AS","MISATLILVIAN ,P SAARNAD PROAR STUAEDL..I. VIEIRA","R$      29,00","R$         14,50"
8573351748,METODOS DE ESTUDOS EM BIOLOGIA DA CONSERVACAO E MANEJO DA VIDA SILVESTRE,"-C 2Ua LELDEINC,A LOAURY JR.","R$      75,00","R$         37,50"
9786587448084,"METROPOLE IMAGINARIA, A","FONSECA, ANDRE AZEVEDO DA","R$      40,00","R$         20,00"
9788584801008,MIGRACOES NA AMERICA LATINA CONTEMPORANEA: PROCESSOS E EXPERIENCIAS HUM,"SNAANSTOS, GISLENE","R$      30,00","R$         15,00"
9788573352702,MODELO DA ESTRATEGIA ARGUMENTATIVA,"CASTRO, MONICA RABELLO DE","R$      27,00","R$         13,50"
9788573352214,"MODERNIDADE NO SOTAO, A","OSINSKI, DULCE R. B.","R$      35,00","R$         17,50"
9788573352207,MODOS DE SER LEITOR,"FOUCAMBERT, JEAN","R$      30,00","R$         15,00"
9788584801718,"MOMENTO COMTIANO, O: REPUBLICA E POLITICA NO PENSAMENTO DE AUGUSTO COMTE","LACERDA, GUSTAVO BISCAIA DE","R$      70,00","R$         35,00"
9786587448183,"MORFOLOGIA DISTRIBUIDA E AS PECAS DE FLEXAO, A","MARANTZ, ALEC","R$      40,00","R$         20,00"
9788584801206,MOSTRA SYLVIO BACK 8.0: FILMES NOUTRA MARGEM,"KAMINSKI, ROSANE","R$        1,00","R$           0,50"
9788584801947,"MULHERES, GENERO E ESTUDOS CLASSICOS: UM DIALOGO ENTRE ESPANHA E BRASIL","SANCHES, MANEL GARCIA","R$    180,00","R$         90,00"
9788573351910,MULTIPLAS FACES DO EDUCAR,"DINIS, NILSON","R$      22,00","R$         11,00"
9788584801282,MUNDO RURAL E RURALIDADES,"BRANDENBURG, ALFIO","R$      45,00","R$         22,50"
9788565888318,MUSEU DOS INSTRUMENTOS MUSICAIS ( MIMU),"FILHO, JUAREZ BERGMANN","R$      30,00","R$         15,00"
8573350091,NA POETICA DA HISTORIA,AUTOR,"R$      30,00","R$         15,00"
9788584800100,NANOELEMENTOS DA MESOECONOMIA,"PESSALI, HUASCAR FIALHO","R$      28,00","R$         14,00"
9788584800292,"NATURALISTA E OUTROS ANIMAIS, UM","SCHALLER, GEORGE B.","R$      80,00","R$         40,00"
9788584800308,NIILISMO E GRANDE POLITICA EM NIETZSCHE,"BOAS, JOAO PAULO S. VILAS","R$      30,00","R$         15,00"
9788573353051,NILO CAIRO,"SIGOLO, RENATA PALANDRI","R$      32,00","R$         16,00"
9788573352184,NOMES POPULARES DE INSETOS E ACAROS DO BRASIL,"BUZZI, ZUNDIR JOSE","R$      45,00","R$         22,50"
9788584801671,"NOVO TRATADO DE ACOMPANHAMENTO PARA CRAVO, ORGAO E OUTROS INSTRUMENT","SL,A DMEB EMROTN, SMIEOUNRS IDEEU RS ADIEN TS ALAINMTBERT","R$      45,00","R$         22,50"
9788565888097,"OASIS DE SOMBRA E LUZ EM CADA ESCOLA, UM","ANTONIO, RICARDO CARNEIRO","R$      35,00","R$         17,50"
9788584800957,"OBEDIENCIA, AUTORITARISMO E FORO INTERIOR","BREPOHL, MARION","R$      45,00","R$         22,50"
9788573351828,OLHARES E QUESTOES,RAISA MIGUEL,"R$      35,00","R$         17,50"
9788565888325,OLHARES SOBRE A AMERICA,"NEIRA, HERNÁN","R$      25,00","R$         12,50"
9788573351811,"OPERA DO MENDIGO, A","GALINDO, CAETANO WALDRIGUES","R$      30,00","R$         15,00"
9788573352825,"OUTROS DOS OUTROS, OS","LIMA, EDILENE COFFACI","R$      35,00","R$         17,50"
9788573352160,"PAISAGEM COMO CIFRA DE HARMONIA, A",FERNANDO ALIATA,"R$      28,00","R$         14,00"
9788584801091,PAISAGEM SONORA DO BOI DE MAMAO PARANAENSE: UMA GEOGRAFIA EMOCIONAL,"FURLANETTO, BEATRIZ HELENA","R$      30,00","R$         15,00"
9788565888677,PAISAGENS CULTURAIS,"ANDREOTTI, GIULIANA","R$      50,00","R$         25,00"
9788573352801,PAISAGENS DA FENOMENOLOGIA FRANCESA,"MARQUES, RODRIGO VIEIRA E FILHO, RON","LRD$O   M   A40N,Z00I","R$         20,00"
9788573352177,PALCOS E JORNAIS,"COSTA, MARTA M.","R$      52,00","R$         26,00"
9788573352139,PARA PENSAR OUTRA AGRICULTURA,ANGELA DUARTE DAMASCENO FERREIRA,"R$      28,00","R$         14,00"
9788584800186,"PARENTES, VITIMAS, SUJEITOS: PERSPECTIVAS ANTROPOLOGICAS SOBRE RELACOES E","BTERVEI LHAUQMUAAN, OCSIM EE IAN BIMAARIBSATO","R$      49,00","R$         24,50"
8573350679,PARQUE ESTADUAL PICO DO MARUMBI,"STRUMINSKI, EDSON","R$      28,00","R$         14,00"
9788565888387,PARTICIPACAO E QUALIDADE EM EDUCACAO DA INFANCIA,"FRITOLI, LUIZ ERNANI","R$      40,00","R$         20,00"
9788584800810,"PARTIDO TRABALHISTA BRASILEIRO NO PARANA (1945-1965), O","BATISTELLA, ALESSANDRO","R$      46,00","R$         23,00"
18075088,"PLANEJAMENTO, IMPLANTACAO E MANEJO DE TRILHAS EM UNIDADES DE CONSERVACA","LECHNER, LARRY","R$      27,00","R$         13,50"
9788584800223,PODER E RELIGIOSIDADE,"BREPOHL, MARION","R$      38,00","R$         19,00"
9788573352498,POESIA E PARATEXTO,"CAETANO, RODNEY","R$      35,00","R$         17,50"
9788573353006,POLITICA EXTERNA RELACOES DIPLOMATICAS NA ANTIGUIDADE TARDIA,"ZETOLA, BRUNO MIRANDA","R$      35,00","R$         17,50"
9788584801817,POLÍTICAS DE MEMÓRIA E EXPERIÊNCIAS DE (DES)EXÍLIO,"BREPOHL, MARION","R$      40,00","R$         20,00"
9788565888127,POR SAO JORGE! POR SAO TIAGO!,"GUIMARAES, MARCELLA LOPES","R$      42,00","R$         21,00"
9788565888172,PORTUGUESAS NA DIASPORA,"BOSCHILIA, ROSELI","R$      34,00","R$         17,00"
9788565888011,"POUCOS, MUITOS, TODOS","COSTA, PIETRO","R$      45,00","R$         22,50"
9788573352818,PRAGMATICA E FILOSOFIA DE MENTE I,"DASCAL, MARCELO","R$      32,00","R$         16,00"
9788584800339,PRATICAS DO FILME ETNOGRAFICO,"GUERIOS, PAULO","R$      30,00","R$         15,00"
9786587448114,"PRESIDENTE, O","BERNHARD, THOMAS","R$      40,00","R$         20,00"
9788565888615,PROCESSOS DE CRIACAO DE UNIDADES DE CONSERVACAO NA FLORESTA COM ARAUCA,"OIALISVEIRA, EMERSON ANTONIO","R$      35,00","R$         17,50"
9788565888233,PROFESSORA JULIA WANDERLEY,"ARAUJO, SILVETE APARECIDA CRIPPA","R$      35,00","R$         17,50"
9788584800506,PROJETO E PAISAGEM URBANA: ENSAIOS DE PROJETO PARA A AREA CENTRAL DE CURI,"IRBOASANELI, ALESSANDRO FILLA","R$      45,00","R$         22,50"
9788573352405,PSICOLOGIA DO GENERO,"FAVERO, MARIA HELENA","R$      52,00","R$         26,00"
9788573352979,PSIQUISMO E VIDA,"FONSECA, EDUARDO RIBEIRO DA","R$      52,00","R$         26,00"
8573350970,"QUE E EDUCACAO DEMOCRATICA?, O","MOGILKA,MAURICIO","R$      27,00","R$         13,50"
9788584801152,"REABILITACAO NAS ATAXIAS: ORIENTACAO MULTIPROFISSIONAL AOS PACIENTES, CUIDA","ZORNETSA ,E M PARROISFEIS BSUIOENAOIS","R$    100,00","R$         50,00"
9788565888066,REFLEXOES UFPR 100 ANOS,"LEITE, RENATO LOPES","R$      40,00","R$         20,00"
9788584801015,RELATO DA JORNADA DE PEDRO DE ORSUA A OMAGUA E A EL DORADO: CRONICA DE LO,"NEE DIREA A, GHEURIRNRÁEN","R$      90,00","R$         45,00"
9788584800179,REPRODUCAO ASSISTIDA POST MORTEM: ASPECTOS JURIDICOS DE FILIACAO E SUCESS,"QRUIOEIROZ, JULIANE FERNANDES","R$      45,00","R$         22,50"
9788565888431,"REVERSO DA CURA, O","MOLIANI, MARIA MARCE","R$      30,00","R$         15,00"
9788584800926,REVISOES EM ZOOLOGIA: MATA ATLANTICA,"MONTEIRO, EMYGDIO LEITE DE ARAUJO","R$      50,00","R$         25,00"
12626,REVISTA TINTEIRO No2,UFPR,"R$      10,74","R$           5,37"
9788573350708,REVOLUCAO E CULTURA EM GRAMSCI - EDICAO REVISADA,"SCHLESENER, ANITA HELENA","R$      45,00","R$         22,50"
8573350024,ROBERTO GOMES,AUTOR,"R$      14,00","R$           7,00"
9788565888882,SABER SOBREVIVER: A (O)MISSÃO DA FILOLOGIA,"ETTE, OTTMAR","R$      45,00","R$         22,50"
9788565888905,SABERES DA MANUTENCAO,"NUNES, ENON LAERCIO","R$      34,00","R$         17,00"
9788584800261,"SABERES, PAISAGENS E TERRITORIOS RURAIS DA AMERICA LATINA","BARRERA-BASSOLS, NARCISO","R$      50,00","R$         25,00"
8573351365,SALOMAO E AS MULHERES - ED. FAC-SIMILAR,"LIMA, JORGE DE","R$      35,00","R$         17,50"
9788573350289,SAUDADE DO MATAO,"URBAN, TERESA","R$      50,00","R$         25,00"
9788565888776,SAUDE E SISTEMA UNICO DE SAUDE,"RASIA, JOSE MIGUEL","R$      35,00","R$         17,50"
9788573353044,SENTIDOS E SENSIBILIDADES,"OLIVEIRA, MARCUS AURELIO TABORDA","R$      32,00","R$         16,00"
9788565888004,SENTIMENTOS NA HISTORIA,"BREPOHL, MARION ET AL. (ORGS.)","R$      35,00","R$         17,50"
8585132116,SERGIO RUBENS SOSSELLA,"GUIMARAES, DENISE","R$      14,00","R$           7,00"
858513299X,SERICICULTURA,"CONDESSA, LUCIMARA CANALLI","R$      12,00","R$           6,00"
9788584800322,SETE DECADAS DO CURSO DE MATEMATICA DA UFPR,"SANTOS, CARLOS HENRIQUE DOS","R$      25,00","R$         12,50"
9788584800421,SETOR DE EDUCACAO E CURSO DE PEDAGOGIA NA UNIVERSIDADE FEDERAL DO PARAN,"V (I1E9I3R8A-,2 C01A4R):L HOIS TEODRUIARSD, MOEMORIAS E DES","FRI$O  S    C 3O5,N0T0","MRP$O  R   A  N  1E7O,5S0"
9788584800391,SHAKESPEARE SOB MULTIPLOS OLHARES,"CAMATI, ANNA STEGH","R$      56,00","R$         28,00"
9788565888813,SINDROME DO X FRAGIL,"FRANCO, VITOR","R$      30,00","R$         15,00"
8573350946,SOCIEDADE E PODER NA BAIXA IDADE MEDIA PORTUGUESA,"REGINA,FATIMA FERNANDES","R$      45,00","R$         22,50"
9788565888707,SOCIO ECOLOGISMO DOS POVOS DO SUL,"SOUZA-LIMA, JOSE EDMILSON DE,","R$      55,00","R$         27,50"
9788584801275,"SOM DO FILME, O: UMA INTRODUCAO","CARREIRO, RODRIGO","R$      50,00","R$         25,00"
9788584800995,SONORIDADES BRASILEIRAS: METODOS PARA FLAUTA DOCE SOPRANO,"WEILAND, RENATE","R$      40,00","R$         20,00"
9788584801534,SUITE ANTIGA BRASILEIRA,"CROWL,HARRY","R$      40,00","R$         20,00"
9788584801107,TEATRO EM FRANCES: QUANDO O MEIO NAO E A MENSAGEM,"TORRES, WALTER LIMA","R$      50,00","R$         25,00"
8573351357,TEATRO REUNIDO,"CARDOSO, LUCIO","R$      45,00","R$         22,50"
9788573351378,TECNICAS DE ESTUDO DO SISTEMA NERVOSO CENTRAL,S MENESES MURILO,"R$      43,00","R$         21,50"
9788565888226,TEORIA CRITICA DO JUIZO DE IMPUTABILIDADE CRIMINAL,"VELO, JOE TENNYSON","R$      35,00","R$         17,50"
8573351411,TEORIA DA COMUNICACAO NA AMERICA LATINA: DA HERANCA CULTURAL A CONSTRUCA,"C DOES TUAM, AR IODSEAN MTIADRAIDAE C P. RDOALPLRAIA","R$      33,00","R$         16,50"
9788584801138,TEORIAS E POLITICAS DE GENERO NA CONTEMPORANEIDADE,"TAMANINI, ROSELI","R$      25,00","R$         12,50"
9788584800940,"TERMOS DA POLÍTICA: COMUNIDADE, IMUNIDADE, BIOPOLÍTICA","ESPOSITO, ROBERTO","R$      40,00","R$         20,00"
9788584801084,TERRITORIOS DE TRADICOES E DE FESTAS,"ALMEIDA, MARIA GERALDA DE","R$      45,00","R$         22,50"
9788565888103,"TESTEMUNHO DA POESIA, O","MITOSZ, CZESTAW","R$      42,00","R$         21,00"
9788584800452,TEXTOS SOBRE CURITIBA INVESTIGAÇÕES SOBRE A CIDADE E SEUS ARREDORES,"ROSANELI, ALESSANDRO FILLA","R$      45,00","R$         22,50"
9788565888806,THOMAS BERNHARD E SEUS SERES VITAIS,"BOHUNOVSKY, RUTH","R$      65,00","R$         32,50"
9788584801411,TIESTES,"SENECA, LUCIO ANEU","R$      45,00","R$         22,50"
9788565888417,TOPICOS DE FILOSOFIA FRANCESA CONTEMPORANEA,"CARDIM, LEANDRO NEVES","R$      35,00","R$         17,50"
8573351071,TORNANDO OS PARQUES EFICIENTES,"TERBORGH, JOHN","R$      58,00","R$         29,00"
9788573351897,TRABALHO E CAPITAL EM TRANSITO,ARAUJO MARIA SILVIA,"R$      38,00","R$         19,00"
9788584801022,"TRAMA NA HISTORIA, UMA: A CRIANCA NO PROCESSO DE ESCOLARIZACAO PRIMARIA NA","A UNLJTOISM,A JSU ADREECZA DTAUSC HDION SPKEIR DIODSO IMPERIA","R$      40,00","R$         20,00"
9788584801039,TRATADO SOBRE OS MODOS DE SIGNIFICAR OU GRAMATICA ESPECULATIVA DE TOMAS,"BEE ECRCFAURRIT, ALESSANDRO JOCELITO","R$      50,00","R$         25,00"
9788573352313,TRAVESSEIRO DE PEDRA,"MERCER, VÂNIA REGINA","R$      64,00","R$         32,00"
9788565888462,TRAVESSIA UMA HISTORIA DE AMOR,"SEGHERS, ANNA","R$      40,00","R$         20,00"
9788584800971,"TRINCHEIRAS, RESISTENCIAS E UTOPIAS PEDAGOGICAS: ESCOLAS ALTERNATIVAS EM C","KRUITNIZBLAE D, UMRAARNIAT ER OAS DAI TCAHDAUVREAS MILITAR","R$      40,00","R$         20,00"
9788573352733,"TRIPLICE FRONTEIRA, A","MACAGNO, LORENZO","R$      42,00","R$         21,00"
97885658881344,UFPR 100 ANOS,"SIQUEIRA, M¦RCIA DALLEDONE","R$      60,00","R$         30,00"
97885665888202,UFPR CENTENARIO,"SIQUEIRA, M¦RCIA DALLEDONE","R$      50,00","R$         25,00"
9901,USO PUBLICO EM UNIDADES DE CONSERVACAO- ANO 02 No2 OUTUBRO/2004,AUTOR,"R$      15,00","R$           7,50"
8573351284,"VERDADE, AMOR, RAZAO, MERECIMENTO","FILIZOLA, ANAMARIA","R$      31,00","R$         15,50"
9788584801145,"VILLA-LOBOS, UM COMPENDIO: NOVOS DESAFIOS INTERPRETATIVOS","DUDEQUE, NORTON","R$      75,00","R$         37,50"
9788565888035,XADREZ E EDUCACAO,"SILVA, WILSON DA (ORG.)","R$      35,00","R$         17,50"
9788584800124,XADREZ PARA TODOS,"SILVA, WILSON DA","R$      30,00","R$         15,00"
8573351330,ZUBBLEMEND TO ALLE...MANHA - BARAO DE ITARARE,"CAPELA, CARLOS EDUARDO SCHMIDT","R$      35,00","R$         17,50"
