ISBN,Título,Autor,Valor Capa,Valor
"",,,,com desconto
8573351195,"CIDADE, AMBIENTE E DESENVOLVIMENTO","MENDONCA, FRANCISCO","R$      40,00","R$         20,00"
857335013X,CIDADES EDUCADORAS,"ZAINKO, MARIA AMELIA SABBAG","R$      26,00","R$         13,00"
9788573352962,CIDADES NOVAS DO CAFE,"ROSANELI, ALESSANDRO FILLA","R$      45,00","R$         22,50"
9788565888240,CIENCIA DO HOMEM E SENTIMENTO DA NATUREZA,"SALLAS, ANA LUISA FAYET","R$      47,00","R$         23,50"
8573350040,CIENCIA E SOCIEDADE,"NACHBIN, LEOPOLDO","R$      30,00","R$         15,00"
8573350784,CIFRAS DE MUSICA PARA SALTERIO,"BUDASZ, ROGERIO","R$      49,00","R$         24,50"
8573350717,CLIMA E CRIMINALIDADE,"MENDONCA, FRANCISCO","R$      28,00","R$         14,00"
9788584801800,"COLAPSO: CAPITALISMO TERMINAL, TRANSICAO ECOSSOCIAL, ECOFASCISMO","TAIBO, CARLOS","R$      30,00","R$         15,00"
9788584800070,COLETANEA DE TERMOS TECNICOS DE ENTOMOLOGIA  ED. 2,"BUZZI, ZUNDIR JOSE","R$      35,00","R$         17,50"
9788573352528,"COMEDIA NOVA DA GRECIA E DE ROMA, A",HUNTER R. L.,"R$      35,00","R$         17,50"
9788565888396,COMENTARIO DE TEXTO FILOSOFICO,"ROGUE, EVELYNE","R$      30,00","R$         15,00"
9788573351859,"COMICO, O","GALINDO, CAETANO WALDRIGUES","R$      37,00","R$         18,50"
9788584800377,COMO SE FAZ UMA NOVELA,"UNAMUNO, MIGUEL DE","R$      25,00","R$         12,50"
8573351187,CONCERTO PARA PIANO E ORQUESTRA 1981,"MENDES, GILBERTO","R$      25,00","R$         12,50"
9788565888059,CONCURSO CAMPUS CABRAL,"DIAS, MARIA LUIZA MARQUES","R$      60,00","R$         30,00"
9788573352368,CONCURSO DE COMPOSICAO MUSICAL  HILDEGARD SOBOLL MARTINS,"RINALDI, ARTUR; SULPÍCIO, ELIANA; GOTTS","RH$IL  D   , 2F8A,B50I","R$         14,25"
9788573353082,"CONDICAO DE ESTRANGEIRO LITERATURA E EXILIO EM FRANCISCO AYALA, A","JASINSKI, ISABEL","R$      28,00","R$         14,00"
9788573351842,"CONFEDERACAO DOS TAMOIOS,A",MAGALHAES DE GONÇALVES JOSE DOMIN,"ORS$      70,00","R$         35,00"
9788565888219,CONSERVACAO DA BIODIVERSIDADE,"PERES, CARLOS A.","R$      80,00","R$         40,00"
9788588912120,CONSERVANDO A NATUREZA DO BRASIL,"PADUA, MARIA TEREZA JORGE","R$      70,00","R$         35,00"
9788584801367,CONSTITUICAO DE 88: TRINTA ANOS DEPOIS,"HOLLANDA, CRISTINA B.","R$      40,00","R$         20,00"
8573350954,"CONTEUDO DA IMAGEM, O","GONZALES, JOSE ANTONIO MOREIRO","R$      33,00","R$         16,50"
8573351721,CONVERSAS SOBRE FINANCIAMENTO DA EDUCACAO NO BRASIL,"GOUVEIA, ANDREA BARBOSA","R$      39,00","R$         19,50"
8573350539,CURITIBA E O MITO DA CIDADE MODELO,"OLIVEIRA, DENNISON DE","R$      32,00","R$         16,00"
