ISBN13,GTIN,"Status dedisponibilidade",Autor,Outros c,Tníttruiblouidores,"Altura (cm)","Largura (cm)","Profundidade (cm)",Peso,Formato,Preço R$,Classificação Thema
9788572325332,9788572325332,Disponível,"Caminha, Adolfo",,Bom-crioulo,18,"11,5","0,9",110,Livro brochura (paperbac,") R$ 28,90",FB - Ficção: geral & literária
9788544002469,9788544002469,Disponível,"Austen, Jane",,Box Jane Austen - 3 Volumes - Em,"a, M21an",field1 4Park,e Abad7ia de N,"r1t.h0a0n0g,e0r0",LCiavprao Bbrochura (paperbac,")R$ 209,70",FB - Ficção: geral & literária
9788544002483,9788544002483,Disponível,"Austen, Jane",,Box Jane Austen - 3 Volumes - Razã,e 2S1en,"ibili1d4ade,",Orgulho5 e Prec,"n1c.0e0it0o, 0e0",eLrisvuraos ãboro -c Bhurorac h(puaraperbac,")R$ 209,70",FB - Ficção: geral & literária
9788572323635,9788572323635,Disponível,"Machado, Antônio de Alcân",ara,"Brás, Bexiga e Barra Funda",18,"11,5","0,7",150,Livro brochura (paperbac,") R$ 28,90",FR - Literatura romântica
9788544000052,9788544000052,Disponível,"Souza, Cruz e",,Broquéis: Faróis / Últimos Sonetos,18,"11,5","1,5",230,Livro brochura (paperbac,") R$ 28,90",DC - Poesia
9788572329668,9788572329668,Disponível,"Jacobs, Joseph",(Ilustrad,"rB) rCuaxmasa, nbhrou,x Aosle ex aons dfreeit;i ç(Tosra mduatios rc)r uL",ihs b2qa1uuee r,e I pnoê1sd4 eAm.,"magina1r,1",180,Livro brochura (paperbac,") R$ 39,90",
9788572327411,9788572327411,Disponível,"Pessoa, Fernando",,Cancioneiro,18,"11,5",1,180,Livro brochura (paperbac,") R$ 28,90",DC - Poesia
9788544000304,9788544000304,Disponível,Voltaire,(Traduto,")C Oânlidviediroa,,  oRue og iOnat iCméislima ode",18,"11,5",1,110,Livro brochura (paperbac,") R$ 28,90",
9788544000076,9788544000076,Disponível,Voltaire,(Traduto,")C Oânlidviediroa,,  oRue og iOnat iCméislima ode",21,14,"1,4",230,Livro brochura (paperbac,") R$ 59,90",
9788572328470,9788572328470,Disponível,"London, Jack",(Traduto,")C Aanlbinuoqsu ebrrqaunec,o Msarcelo",18,"11,5","0,9",160,Livro brochura (paperbac,") R$ 28,90",FB - Ficção: geral & literária
9788572325882,9788572325882,Disponível,"Cunha, Euclides da",,Canudos,18,"11,5","0,9",150,Livro brochura (paperbac,") R$ 28,90",NHK - História das Américas
9788572324724,9788572324724,Disponível,"Durão, Santa Rita",,Caramuru,18,"11,5","1,3",190,Livro brochura (paperbac,") R$ 28,90",DC - Poesia
9788572329965,9788572329965,Disponível,"Caminha, Pero Vaz de",,Carta de Pero Vaz de Caminha,18,"11,5","0,4",100,Livro brochura (paperbac,") R$ 28,90",NHK - História das Américas
9788572327350,9788572327350,Disponível,"Gonzaga, Tomás Antônio",,Cartas chilenas,18,"11,5","0,8",140,Livro brochura (paperbac,") R$ 28,90",
9788572329774,9788572329774,Disponível,"Azevedo, Aluísio",,Casa de pensão,18,"11,5","1,5",220,Livro brochura (paperbac,") R$ 28,90",FR - Literatura romântica
9788572327862,9788572327862,Disponível,"Rohden, Huberto",,Catecismo da Filosofia e Outros Opú,cu1lo8s,"11,5","0,6",120,Livro brochura (paperbac,") R$ 28,90",
9788572325790,9788572325790,Disponível,Aristóteles,(Traduto,")C Mataetgao, rJioasé Veríssimo Teixeira da",18,"11,5","0,7",130,Livro brochura (paperbac,") R$ 28,90",QD - Filosofia
9788544001004,9788544001004,Disponível,"Weber, Max",(Traduto,")C Ciêanscainao ev ap,o Mlítaicrcao Antonio",18,"11,5","0,7",120,Livro brochura (paperbac,") R$ 28,90",JP - Política & governo
9788572324281,9788572324281,Disponível,"Barreto, Lima",,Clara dos Anjos,18,"11,5","0,8",130,Livro brochura (paperbac,") R$ 28,90",FR - Literatura romântica
9788544001752,9788544001752,Disponível,"Lovecraft, H. P.",(Traduto,")C Eosntteovses, Lenita Maria Rimoli; (Trad",to2r)1 P,"rto, 1A4lda","1,2",190,Livro capa dura (hardcov,"r) R$ 69,90",
9788572326513,9788572326513,Disponível,"Queirós, Eça de",,Contos,18,"11,5",1,140,Livro brochura (paperbac,") R$ 28,90",FR - Literatura romântica
9788572329217,9788572329217,Disponível,Inglês de Sousa,,Contos amazônicos,18,"11,5","0,9",120,Livro brochura (paperbac,") R$ 28,90",NHK - História das Américas
9788544000328,9788544000328,Disponível,"Quiroga, Horacio",(Ilustrad,"rC) oOnltiovse idrae,  aJmanoarí ndae;  l(oTurcaudruat oer d) eM moorer","eo, 2R1en",ta14,"1,2",260,Livro brochura (paperbac,") R$ 59,90",FYB - Contos
9788544001288,9788544001288,Disponível,"Poe, Edgar Allan",(Traduto,")C Fointttiopsa ldei,  aEmlioarn e;  t(eTrrroardutor) Orberg",K2at3ia,ari1a6,"1,5",400,Livro capa dura (hardcov,"r) R$ 59,90",FB - Ficção: geral & literária
9788544001035,9788544001035,Disponível,"Poe, Edgar Allan",(Traduto,")C Fointttiopsa ldei,  sEulsipaennes; e( Ter taedrurotorr) Orberg",K2at3ia,ari1a6,2,460,Livro capa dura (hardcov,"r) R$ 59,90",
9788544000274,9788544000274,Disponível,"Lovecraft, H. P.",(Ilustrad,"rC) oCnatmosp does ,t Yerurorir :C Taommaorg Io; (Tradutor",Ca2s1tan,"eira1,4 Pau","o Céza1r,2",220,Livro brochura (paperbac,") R$ 39,90",FYB - Contos
9788544000977,9788544000977,Disponível,"Gaskell, Elizabeth; Doyle, A",(tThurar dCuoton,")nC G;o Buntimeorsac dreãe, e Atse,m rBrboárro:b sTaero;a mStoo kIIer, Bram;","ick1e4ns,",har2le1s; S,"ott, Wa1lter",200,Livro brochura (paperbac,") R$ 39,90",
