Título,Cod.,Preço
PALAVRAS QUE DANÇAM A BEIRA DO ABISMO,141,"R$      25,20"
PARABÉLUM,36,"R$      38,50"
PATRIMÔNIO AFETIVO,63,"R$      28,00"
PLANTOU PALAVRA COLHEU POESIA,82,"R$      30,80"
PRIMAS EM CORDEL,31,"R$      30,80"
PRODUÇÃO CULTURAL,45,"R$      31,50"
PSICOPATOLOGIA,176,"R$      21,00"
PSICOLOGIA DO MÉDICO,90,"R$      21,00"
RESERVA DE FELICIDADE,125,"R$      35,00"
ROYAL BRIAR - A FORTALEZA DOS ANOS 40,55,"R$      24,50"
SALA DE ESPERA,169,"R$      31,50"
SE VOCÊ FOSSE UM SACI,11,"R$      32,34"
SEGREDOS DA DEPRESSÃO,92,"R$      21,00"
SENHORA - COLEÇÃO ALENCARINA PERFIS DE MULHER,50,"R$      28,00"
SENTIMENTO OCEÂNICO,26,"R$      21,00"
SERENATA POESIAS,30,"R$      30,80"
SER-TÃO ÁGUA,177,"R$      14,00"
SOB O SOL DE SOBRAL,80,"R$      42,00"
SOBREVIVI... POSSO CONTAR 2a EDIÇÃO,67,"R$      43,40"
SUICIDIO EM FORTALEZA,175,"R$      21,00"
TAÍS DORÁ,182,"R$      14,00"
TEMPESTADE,64,"R$      17,50"
TERRA DO TIRIMBITIM,129,"R$      26,56"
TOQUE DE AVANÇAR - DESTINO: INDEPENDÊNCIA,185,"R$      35,00"
TRAÇOS E TROÇAS - COLEÇÃO NORDESTES,41,"R$      21,00"
TRÊS MULHERES NO DIVÃ DE FREUD,174,"R$      21,00"
UM CÃOZINHO CHAMADO TECO,136,"R$      26,56"
UM CARTÃO PARA AGRIPINO,76,"R$      29,26"
UM CERTO CONTATO COM A LUA,59,"R$      28,00"
UMA HISTÓRIA DAS COPAS DO MUNDO - FUT. E SOC. VOL. 1,73,"R$      59,50"
UMA HISTÓRIA DAS COPAS DO MUNDO - FUT. E SOC. VOL. 2,74,"R$      59,50"
URGÊNCIA E EMERGÊNCIA PSIQUIÁTRA,94,"R$      21,00"
"VOVÓ, ZEFINHA E EU",162,"R$      38,50"
"YOIO, O BODE CELEBRIDADE",184,"R$      29,26"
