9788578161392,739639,"GUERRA GUARANITICA, A",TERCEIRO NOME,https://www.martinsfontespaulista.com.br/a-guerra-guaranitica-739639/p
"",,HISTORIAS DE UM FOTOGRAFO,,
9788587556783,231338,VIAJANTE,TERCEIRO NOME,https://www.martinsfontespaulista.com.br/historias-de-um-fotografo-viajante-231338/p
9788578161026,701507,IMAGEM VIOLÊNCIA,TERCEIRO NOME,https://www.martinsfontespaulista.com.br/imagem-violencia-701507/p
9786587618135,941957,"INDESEJADOS, OS",TERCEIRO NOME,https://www.martinsfontespaulista.com.br/os-indesejados-941957/p
9788578161354,734831,IRERÊ DA SILVA,TERCEIRO NOME,https://www.martinsfontespaulista.com.br/irere-da-silva-734831/p
9788578161194,724078,ITAMAR ASSUMPÇAO,TERCEIRO NOME,https://www.martinsfontespaulista.com.br/itamar-assumpcao-724078/p
9788578160852,681202,JARDIM BOTÂNICO DE SÃO PAULO,TERCEIRO NOME,https://www.martinsfontespaulista.com.br/jardim-botanico-de-sao-paulo-681202/p
"",,"JOÃO, O MENINO MAIS RICO DO",,
9788578161538,756417,MUNDO,TERCEIRO NOME,https://www.martinsfontespaulista.com.br/joao--o-menino-mais-rico-do-mundo-756417/p
9788578160883,684487,LITORAL E VALE DO PARAIBA,TERCEIRO NOME,https://www.martinsfontespaulista.com.br/litoral-e-vale-do-paraiba-684487/p
9788578161514,754762,"LULI, UMA GATINHA DE CIDADE",TERCEIRO NOME,https://www.martinsfontespaulista.com.br/luli--uma-gatinha-de-cidade-754762/p
9788578161552,760495,"MÃO LIVRE DO VOVO, A",TERCEIRO NOME,https://www.martinsfontespaulista.com.br/a-mao-livre-do-vovo-760495/p
9788578161569,760493,"MÃO LIVRE DO VOVO, A (CAIXA)",TERCEIRO NOME,https://www.martinsfontespaulista.com.br/a-mao-livre-do-vovo--caixa--760493/p
9786587618111,934859,"MELHOR TELEVISÃO DO MUNDO, O",TERCEIRO NOME,https://www.martinsfontespaulista.com.br/a-melhor-televisao-do-mundo-934859/p
"",,METEOROLOGISTAS E PROFETAS DA,,
9788578162016,808670,CHUVA,TERCEIRO NOME,https://www.martinsfontespaulista.com.br/meteorologistas-e-profetas-da-chuva-808670/p
9788578161903,768976,MEU BISAVÔ,TERCEIRO NOME,https://www.martinsfontespaulista.com.br/meu-bisavo-768976/p
9788578160296,534972,MULHERES VIRANDO O JOGO,TERCEIRO NOME,https://www.martinsfontespaulista.com.br/mulheres-virando-o-jogo-534972/p
9788578160401,587384,NO INÍCIO DOS TEMPOS,TERCEIRO NOME,https://www.martinsfontespaulista.com.br/no-inicio-dos-tempos-587384/p
9788578160609,632334,"NOIVA DO CONDUTOR, A",TERCEIRO NOME,https://www.martinsfontespaulista.com.br/a-noiva-do-condutor-632334/p
9788578161262,721567,PAISAGENS AMERINDIAS,TERCEIRO NOME,https://www.martinsfontespaulista.com.br/paisagens-amerindias-721567/p
9788578161408,741542,PALMARE5,TERCEIRO NOME,https://www.martinsfontespaulista.com.br/palmares-741542/p
9788578161095,707486,PASSEIO PELA VIA LÁCTEA,TERCEIRO NOME,https://www.martinsfontespaulista.com.br/um-passeio-pela-via-lactea-707486/p
9788578161170,720387,PATRIMONIO ESCOLAR,TERCEIRO NOME,https://www.martinsfontespaulista.com.br/patrimonio-escolar-720387/p
9788578161989,794478,PAU-BRASIL,TERCEIRO NOME,https://www.martinsfontespaulista.com.br/pau-brasil-794478/p
9788587556073,255064,"PORTO PARA ELIZABETH BISHOP, UM",TERCEIRO NOME,https://www.martinsfontespaulista.com.br/um-porto-para-elizabeth-bishop-255064/p
9788578162078,844053,PROIBIDO ROUBAR NA QUEBRADA,TERCEIRO NOME,https://www.martinsfontespaulista.com.br/proibido-roubar-na-quebrada-844053/p
9788578161934,776431,"REI SOL E SEUS SÚDITOS, O",TERCEIRO NOME,https://www.martinsfontespaulista.com.br/o-rei-sol-e-seus-suditos-776431/p
9788578161927,768155,RELIGIÕES E CONTROVÉRSIAS PÚBLICAS,TERCEIRO NOME,https://www.martinsfontespaulista.com.br/religioes-e-controversias-publicas-768155/p
9788578160876,684837,REMINISCÊNCIAS DOS QUILOMBOS,TERCEIRO NOME,https://www.martinsfontespaulista.com.br/reminiscencias-dos-quilombos-684837/p
9786587618005,921531,"ROMANCE NA MODERNIDADE, 0",TERCEIRO NOME,https://www.martinsfontespaulista.com.br/o-romance-na-modernidade-921531/p
9788578160258,528344,SALMO 91,TERCEIRO NOME,https://www.martinsfontespaulista.com.br/salmo-91-528344/p
9788587556295,189555,SÃO PAULO DE PIRATININGA,TERCEIRO NOME,https://www.martinsfontespaulista.com.br/sao-paulo-de-piratininga---de-pouso-de-tropas-a-metropole-189555/p
9788587556332,229770,SÃO PAULO 1860-1960,TERCEIRO NOME,https://www.martinsfontespaulista.com.br/sao-paulo-1860-1960---a-paisagem-humana-229770/p
"",,SIMBOLISMO E PROFECIA NA CIDADE,,
9788587556370,255074,DE SÃO PAULO,TERCEIRO NOME,https://www.martinsfontespaulista.com.br/simbolismo-e-profecia-na-cidade-de-sao-paulo-255074/p
"",,SÍMBOLOS RELIGIOSOS EM,,
9788578161378,735149,CONTROVÉRSIA,TERCEIRO NOME,https://www.martinsfontespaulista.com.br/simbolos-religiosos-em-controversia-735149/p
9788578161415,737473,"SOPRADOR, O",TERCEIRO NOME,https://www.martinsfontespaulista.com.br/o-soprador-737473/p
9788578160999,699146,SORBETS E SORVETES,TERCEIRO NOME,https://www.martinsfontespaulista.com.br/sorbets-e-sorvetes-699146/p
9788578160029,521382,"SÚDITO,O",TERCEIRO NOME,https://www.martinsfontespaulista.com.br/o-sudito-521382/p
