"",,,
ReferenciaProdutoR$ Valor,"Cupom  Desc (*)PROMOUSP5021",,
9788599102527,"Comunicação, A","54,45","27,23"
9788580631777,Comunicologia - Reflexões sobr,"54,45","27,23"
9788533602489,"Conceito de natureza, O","72,60","36,30"
9788580632095,Conceitos fundamentais da hist,"r83,49","41,75"
9788533620834,Conciliar o mundo: A diplomaci,"62,92","31,46"
9788580630541,Confissão de Santo Agostinho –,"36,30","18,15"
9788580630725,Conquista do inútil,"59,29","29,65"
9788533622302,Conselhos a um jornalista,"59,29","29,65"
9788599102510,"Contingência, ironia e solidaried","95,59","47,80"
9788533617537,Contos Budistas,"72,60","36,30"
9788580630879,Contos da rua Brocá,"54,45","27,23"
9788533619371,Contos de escritoras brasileiras,"78,65","39,33"
9788599102985,Contos de Ionesco para crianças,"48,40","24,20"
9788533622425,Contos e lendas da Odisséia,"48,40","24,20"
9788533622470,Contos e lendas dos heróis da,"i48,40","24,20"
9788533620711,Conversas - 1948,"66,55","33,28"
9788580632637,"Coração, cabeça e estômago","72,60","36,30"
9788533613553,Correspondência de Abelardo e,"50,82","25,41"
9788580630114,"Courter, The | Defender of the f","36,30","18,15"
9788533605275,Criança e emoção – O Desenvol,"83,49","41,75"
9788561635732,"Criança na Palestina, Uma","36,30","18,15"
9788533620346,Crispim - A cruz de chumbo,"66,55","33,28"
9788580632217,Crítica da razão prática - Edição,"145,20","72,60"
9788533610521,Cuidando da família em crise,"78,65","39,33"
9788561635329,"Cultura gestual Japonesa, A – M","71,39","35,70"
9788533611474,Curar do mal de amor,"66,55","33,28"
9788580630053,Curious case of Benjamin Butto,"36,30","18,15"
9788580632484,Curso básico de psicanálise,"78,65","39,33"
9786555540116,Curso de gramática Langenschei,"47,19","23,60"
9788580633252,Curso de gramática Langenschei,"47,19","23,60"
9788580633221,Curso de gramática Langenschei,"d47,19","23,60"
9788580633320,Curso de gramática Langenschei,"d47,19","23,60"
9788580633269,Curso de gramática Langenschei,"d47,19","23,60"
9788580630220,Cyrano,"36,30","18,15"
9788533614611,Da dissimulação honesta,"47,19","23,60"
9788533609693,Das leis do espírito – Florilégio,"59,29","29,65"
9788533615908,Debaixo do grande céu,"48,40","24,20"
9788580633689,"Democracia na América, A: Leis","119,79","59,90"
9788561635800,Desassossego - Lisboa e Pessoa,"78,65","39,33"
9788533600362,Descoberta e aprendizagem da,"i59,29","29,65"
9788533614932,"Desencantadores, Os","47,19","23,60"
9788580633771,Design e comunicação visual,"96,80","48,40"
9788533623866,"Despertar do bebê, O - Práticas","71,39","35,70"
9788580630565,Dia muito louco do professor Ka,"36,30","18,15"
9788580633603,Diabo de cabelo branco e outro,"36,30","18,15"
9788533612938,Diabolim,"48,40","24,20"
9788533613652,Diálogo com Sammy: uma contr,"bu83,49","41,75"
9788561635718,Diálogos sobre música e teatro:,"59,29","29,65"
9788533614031,Dicionário das citações,"145,20","72,60"
9788533612518,Dicionário de obras filosóficas,"145,20","72,60"
9788533614512,Dicionário dos filósofos,"217,80","108,90"
9788561635565,Dicionário escolar Espanhol Pon,"36,30","18,15"
9788533621398,Dicionário escolar Inglês – Ingl,"32,89","16,45"
9788561635572,Dicionário escolar Inglês Pons -,"36,30","18,15"
9788580633641,"Dieta personalizada, A","60,39","30,20"
9788533601529,Dilemas,"59,29","29,65"
9788580631487,"Diógenes, o homem-cão – Coleç","36,30","18,15"
9788580631463,Dionísio areopagita e o nome d,"36,30","18,15"
9788580632378,"Direito da liberdade, O","71,39","35,70"
9788580632569,"Direito da sociedade, O","118,58","59,29"
9788580633818,"Direito dos povos, O","78,65","39,33"
9788533612815,Direito nas sociedades humana,",96,80","48,40"
9788533608986,Dispersão e memória no quotidi,"47,19","23,60"
9788533600782,Do mito ao romance (*),"78,65","39,33"
9788580633788,Do sentimento trágico da vida:,"80,96","40,48"
9788533608887,Doenças da próstata,"84,70","42,35"
9788580633801,Dois tratados sobre o governo,"108,90","54,45"
9788580630930,Don’t get me wrong: 1000 expr,"s59,29","29,65"
9788533621015,Duas comédias: Lisístrata e as t,"60,50","30,25"
9788533610941,Econômico,"53,24","26,62"
9788580631364,Educação e hereditariedade - Es,"54,45","27,23"
9788533619852,Educação literária como metáfo,"a78,65","39,33"
9788533617346,Educação: as falas dos sujeitos s,"78,65","39,33"
9788580630886,Elogio ao amor,"39,93","19,97"
9788580632507,Elogio ao teatro,"35,09","17,55"
9788599102305,Em busca de um mundo melhor,"84,70","42,35"
9788533621985,Embornal antologia poética,"72,60","36,30"
9788580631326,Emílio ou da educação,"99,00","49,50"
9788533620605,Eneida,"87,12","43,56"
9788599102206,Engenhoso fidalgo Dom Quixot,"66,55","33,28"
9788533622708,"Ensaios, Os - Livro II","127,05","63,53"
9788533614697,"Ensaios, Os - Livro III","114,95","57,48"
9788561635275,Entre os muros da escola,"50,82","25,41"
9788580630619,Eram três amigos,"35,09","17,55"
9788533600560,"Escalada do homem, A","133,10","66,55"
9788533621046,"Escola dos maridos, A | Marido","59,29","29,65"
9788533615618,Escritos históricos e políticos,"84,70","42,35"
9788580633467,"Escritos sobre Marx: dialética, e","42,90","21,45"
9788533607651,Espaço da oralidade na sala de,"50,82","25,41"
9788599102664,Espanhol em 30 dias: Aprenda u,"90,75","45,38"
9788580631241,Espanhol em 5 minutos diários:,"66,55","33,28"
9788580631180,Espanhol Essencial (+Cd de áudi,"66,55","33,28"
9788580633375,Español en un instante: Aprend,"71,39","35,70"
9788533623767,Esperando meu bebê,"133,10","66,55"
9788561635688,Essential grammar in use: Gram,"t131,89","65,95"
9788533614666,"Estações do corpo, As: Aprenda","64,90","32,45"
9788580633368,"Estações do corpo, As: Aprenda","64,90","32,45"
9788533623156,"Estado de direito, O - História, t","217,80","108,90"
9788580630718,Estética da emergência,"62,92","31,46"
9788580631081,Estética de laboratório,"47,19","23,60"
9788533622340,"Estrutura do comportamento, A","90,75","45,38"
9788533624047,Etapas do pensamento sociológ,"c133,10","66,55"
9788533622234,Ética e direito,"145,20","72,60"
9788599102923,Ética mínima - Introdução à filo,"o59,29","29,65"
9788580633184,Ética prática,"86,90","43,45"
9788561635619,Ética sem moral,"65,34","32,67"
9788533624412,Eu não existo sem você,"84,70","42,35"
9788580631470,"Eu, Jean-Jacques Rousseau – Co","36,30","18,15"
9788533621718,Exercícios filosóficos,"59,29","29,65"
9788533616035,Expressão e significado,"83,49","41,75"
9788580630572,"Fantasma de Karl Marx, O – Col","36,30","18,15"
9788580632590,"Fantástica fábrica de chocolate,","47,19","23,60"
9788580630428,Favelost,"48,40","24,20"
9788580632392,"Favor da terra e do humanismo,","30,25","15,13"
9788580632071,"Felicidade, desesperadamente,","36,30","18,15"
9788533608238,"Férias do pequeno Nicolau, As","59,29","29,65"
9788533616004,"Filhas e suas mães, As","78,65","39,33"
9788561635015,Filhos sem Deus - Ensinando a c,"48,40","24,20"
9788599102831,Filosofia clandestina - Cinco trat,"48,40","24,20"
9788561635398,Filosofia como política cultural,"71,39","35,70"
9788580631791,"Filosofia da dança, A","48,40","24,20"
9788533613751,"Filosofia das formas simbólicas,","107,69","53,85"
