isbn,TÍTULO Autora,SELO,CAPA,PROMO,,%
9788577994755,"BERLIM 1945 VOL.1 - 398 BEEVOR, ANTOBENSYT","39,9",,"19,95",,"-50,00%"
9788501402165,"BIBLIOTECARIA, A BELLE, RECORD","49,9",,"24,95",,"-50,00%"
9788501041753,"Boa noite a todos SILVESTRE, EDRNEECYORD","39,9",,"19,95",,"-50,00%"
9788501089830,"Boa Ventura! A corrida do FoIuGrUoE nIRoE BDrOas,i RlL U(E1C6OA9SR7D-1810)","59,9",,"29,95",,"-50,00%"
9788576849827,"BOWIE LEIGH, BEST","64,9",,"32,45",,"-50,00%"
9788520010259,"Brasil - Estados Unidos: A rBivAaNlidDaEdIReA e,m MeCOrIgNVeILnZItZeA (C1A9O50 B-1R79A8S,98IL)EIRA",,,"39,95",,"-50,00%"
9788520009444,"BRASIL COLONIAL, O - VOLJ 1OAO FRAGOSCOIV EIL OIZUATCRAOS BR9A9S,9ILEIRA",,,"49,95",,"-50,00%"
9788520011331,"BRASIL COLONIAL, O - VOLJ. O3AO FRAGOSCOIV EIL OIZUATCRAOS B1R2A9S,I9LEIRA",,,"64,95",,"-50,00%"
9788520013571,"BRASIL REPUBLICANO V.1: FOE RTREMEIRPAO, DJ.OE C DLIIVEBLIELGIRZAADLCOISA,MOL. (OBO R[9REA9GDS,.9I )RLEIVRIAST4A9],95",,,,,"-50,00%"
9788577533343,"BRASIL, SOCIEDADE EM MOSOVUIMZEAN, PTEODROPAZ E TERRA","64,9",,"32,45",,"-50,00%"
9788503008464,"BRASIL,NOVAS OPORTUNIDVAEDLLEOSS:EOC,O J.NP.VJ ROEESRIESD OE(C,LPOYROMER-PSDIAO.)L6,C9A,9RRO EL3E4T,R9I5CO",,,,,"-50,00%"
9788501115997,"BREVE HISTORIA BEM- MIOTO, RECORD","44,9",,"22,45",,"-50,00%"
9788503009195,"BREVE HISTORIA DO ISLA, SONN, JOSE","54,9",,"27,45",,"-50,00%"
9788577533176,"BRIZOLA RIBEIRO, PAZ E","64,9",,"32,45",,"-50,00%"
9788520012642,CADEIA DEBORA CIVILIZACA,"49,9",,"24,95",,"-50,00%"
9788577991891,"CADEIRA VAZIA, A -327 DEAVER, JEFFERDYICOES BESTB3O9L,9SO",,,"19,95",,"-50,00%"
9788574321394,"CAMARADAS - UMA SERVICE, DIFEL","139,9",,"69,95",,"-50,00%"
9788574321134,"CAO DO FILOSOFO, O GAITA, RAIMODNIFDEL","59,9",,"29,95",,"-50,00%"
9788576846055,"CAPITAL EROTICO HAKIM, BEST","74,9",,"37,45",,"-50,00%"
9788520004685,"CAPITAL, O - LIV. 1 - VOL. 2MARX, KARL CIVILIZACAO BR6A4S,9ILEIRA",,,"32,45",,"-50,00%"
9788577990603,"CARNE E PEDRA -057 SENNETT, EDICOES","54,9",,"27,45",,"-50,00%"
9788577994694,"CARTA AO REI D. MANUEL C- A3M93INHA, P. BVEASZT E  BRAGA, R3U4,B9EM",,,"17,45",,"-50,00%"
9788521902652,"CARTAS A CHE GUEVARA - SOA MDEURN,EDMOI,R TRPIANZT EA  TAENRORSA DE2P4O,9IS",,,"12,45",,"-50,00%"
9788520013076,"CARTAS A UM JOVEM CARDOSO, CIVILIZACA","44,9",,"22,45",,"-50,00%"
9788501111548,"CARTEIRO E O POETA, O SKARMETA, RECORD","59,9",,"29,95",,"-50,00%"
9788577992737,"CARTEIRO E O POETA, O -2S3K4ARMETA, AENDTIOCNOIEOS BESTB3O4L,9SO",,,"17,45",,"-50,00%"
9788520013670,"CARTOGRAFIAS DO BIRMAN, CIVILIZACA","114,9",,"57,45",,"-50,00%"
9788501109545,"CASAL QUE MORA AO LAPENA, RECORD","49,9",,"24,95",,"-50,00%"
9788520009130,"Casos Filosóficos COHEN, MARTCIINVILIZACAO BR6A4S,9ILEIRA",,,"32,45",,"-50,00%"
9788577994618,"CHAO EM CHAMAS - 391 RULFO, JUANEDICOES BESTB3O4L,9SO",,,"17,45",,"-50,00%"
9788577994359,"CHAVE DE CASA, A -344 LEVY, TATIANABE SSATL EM","34,9",,"17,45",,"-50,00%"
9788528605792,"CIENCIA COM MORIN, BERTRAND","89,9",,"44,95",,"-50,00%"
9786558470182,"CIGANO E OUTRAS HISTORLIASW, ORENCE, DJHOSE OLYMPIO39,9",,,"19,95",,"-50,00%"
9788520010655,"CLARICE LISPECTOR: UMA NLIATESRCAIMTUENRTAO PC,E IEVNVISLAAINZNADTCOEAO BR5A9S,9ILEIRA",,,"29,95",,"-50,00%"
9788501116178,"CLASSICAS DO PENSAMENTO SSTOEC, IVAELR: OMNRUIOCLHSAAE  R DSEOSRS FJ TE, EMBMILIN6AP9IOS,9MS OS SE3C4 X,9IX5",,,,,"-50,00%"
9788501109071,"COCAINA: A ROTA ABREU, RECORD","94,9",,"47,45",,"-50,00%"
9788576842699,"COLECIONADOR DE BES, BEST","69,9",,"34,95",,"-50,00%"
9788577990016,"COMA -002 COOK, ROBINBEST","34,9",,"17,45",,"-50,00%"
9788577994342,"COMO AGUA PARA CHOCOELSAQTUEI V- 3EL8,4 LAUEDRIACOES BESTB3O9L,9SO",,,"19,95",,"-50,00%"
9786557120927,"Como falar sobre cinema HORNADAY, ABNENST SELLER","49,9",,"24,95",,"-50,00%"
9788520008522,"COMPLEXO DE EDIPO, O -  KFARTEZU,DC HE AI MCUILVTIILPIZLAICCIDAOAD BER5 EA4DS,9ILPEICIRAA",,,"27,45",,"-50,00%"
9788520008522,"COMPLEXO DE EDIPO, O - KATZ, CIVILIZACA","54,9",,"27,45",,"-50,00%"
9788528617320,"CONCEITOS DE SOUZA, BERTRAND","74,9",,"37,45",,"-50,00%"
9788528615166,"CONSPIRACAO DO CABANAS, BERTRAND","89,9",,"44,95",,"-50,00%"
9788520006184,"CONSTRUCAO DA CARVALHO, CIVILIZACA","89,9",,,"44,95","-50,00%"
9788520010167,"CONSTRUCAO SOC DOS QUADRAT, CIVILIZACA","94,9",,,"47,45","-50,00%"
9788520008621,CONSTRUCAO SOC DOS ROLLEMBER CIVILIZACA,"84,9",,,"42,45","-50,00%"
9788577990580,"CONTAGIO -055 COOK, ROBINEDICOES BESTB3O9L,9SO",,,,"19,95","-50,00%"
9788577994601,"CONTOS DO ESCONDERIJOF -R 3A7N4K, ANNEBEST","29,9",,,"14,95","-50,00%"
9788577994298,"CONTOS EROTICOS DE PARVISIL -L3E3F7RANCHED, AICNONEES- MBEASRTIBE3O9L,9SO",,,,"19,95","-50,00%"
9788577994205,"CORRESPONDENCIA DE FRAQDUIEQIRUOE SM, ECNADB DESET,  A -323","34,9",,,"17,45","-50,00%"
9788577994229,"CORROSAO DO CARATER, AS E-N31N1ETT, RICEHDAIRCDOES BESTB3O4L,9SO",,,,"17,45","-50,00%"
9788520010327,"CORRUPCAO E SISTEMA FILGUEIRAS, CIVILIZACA","59,9",,,"29,95","-50,00%"
9788520010327,"CORRUPCAO E SISTEMA POFLILITGIUCOEI RNAOS ,B FRCEAIRVSNILAIZNADCOA OD EB RB5A9SR,9IRLEOISRA",,,,"29,95","-50,00%"
9788577991709,"CORTICO, O -146 AZEVEDO, ALUBIESSIOT","34,9",,,"17,45","-50,00%"
9788503010375,"Cortina de ferro REBELO, MARJQOUSE SOLYMPIO39,9",,,,"19,95","-50,00%"
9788577992072,"CRIANCA 44 -141 SMITH, EDICOES","34,9",,,"17,45","-50,00%"
9788501116291,"CRIANCAS DE ASPERGER SHEFFER, RECORD","64,9",,,"32,45","-50,00%"
9788577991907,"CRIME DO PADRE AMARO,Q OU -E2I2R1OS, ECAB DESET","39,9",,,"19,95","-50,00%"
9788520009598,CRISE DA ECONOMIA SANDRO CIVILIZACA,"84,9",,,"42,45","-50,00%"
9788520009598,"CRISE DA ECONOMIA GLOBSALN, DARO MEZCZAIVDILRIAZACAO BR8A4S,9ILEIRA",,,,"42,45","-50,00%"
9788520013281,"CRISE DAS ESQUERDAS, A MUANIS, CIVILIZACA","54,9",,,"27,45","-50,00%"
9788503008556,"Cristo De Lama - Romance SDAeN ATlOeSij,a JdOinAhOJoO FSEEL IOCLIOYM DPOISO44,9",,,,"22,45","-50,00%"
9788577531561,"CRITICA NO SUBSOLO,A GIRARD,REN PAZ E","54,9",,,"27,45","-50,00%"
9788501111302,"CRONICAS DO GOLPE - PENA, RECORD","39,9",,,"19,95","-50,00%"
9788501074300,"CULTURA DO NOVO SENNETT, RECORD","59,9",,,"29,95","-50,00%"
9788520008348,"CULTURA E A NOSSA PLATT, CIVILIZACA","49,9",,,"24,95","-50,00%"
9788501058256,"CV-PCC - A IRMANDADE AMORIM, RECORD","79,9",,,"39,95","-50,00%"
9788577993260,"DE PERTO NINGUEM E NORGMOLADLE -N25B7ERGE, DMICIROIEASN BESTB3O4L,9SO",,,,"17,45","-50,00%"
9788501076663,DECIMA TERCEIRA SETTERFIEL RECORD,"79,9",,,"39,95","-50,00%"
9788577993840,"DECLARANDO-SE CULPADOT U-3R4O7W, SCOTBTEST","39,9",,,"19,95","-50,00%"
9788520011645,"DEFICIT DE ATENCAO SILVEIRA, CIVILIZACA","54,9",,,"27,45","-50,00%"
9788528617559,DEGRADACAO DOS WESTPHALE BERTRAND,"64,9",,,"32,45","-50,00%"
9788520010204,"Deixa Que Eu Te Ame ARAUJO, ALCICOINVIELIZACAO BR4A4S,9ILEIRA",,,,"22,45","-50,00%"
9788520009079,DELEUZE E A DAVID- CIVILIZACA,"59,9",,,"29,95","-50,00%"
9788520009079,"DELEUZE E A PSICANALISE DAVID-MENACRIDV,I LMIZOANCIAQOU BER5A9S,9ILEIRA",,,,"29,95","-50,00%"
9788577991211,"DELIRIOS DE CONSUMO DEK IBNESCEKLYL AB,L SOOOPEMHD,I ECOOSE -S1 2B7ESTB3O9L,9SO",,,,"19,95","-50,00%"
9788577994137,"DEMIAN -316 HESSE, HERMBAENSNT","29,9",,,"14,95","-50,00%"
9788501085634,"DENTRO DOS ARQUIVOS BRENT, RECORD","64,9",,,"32,45","-50,00%"
9788520011140,"DERRIDA PEETERS, CIVILIZACA","139,9",,,"69,95","-50,00%"
9788501069412,"DESAFIO AMBIENTAL, O PORTO- RECORD","49,9",,,"24,95","-50,00%"
9788520012994,"DESORDEM MUNDIAL, A MONIZ CIVILIZACA","149,9",,,"74,95","-50,00%"
9788546501120,"DESVENDE O PODER DA PINHO, BEST","39,9",,,"19,95","-50,00%"
9788520006979,"DEUS DA IDADE MEDIA, LE GOFF, CIVILIZACA","54,9",,,"27,45","-50,00%"
9788577990658,"DIA DA TEMPESTADE, O -0P6I2LCHER, ROSBAEMSUT NDE","34,9",,,"17,45","-50,00%"
9788503009157,"Diário De Uma Viagem Da MBaAiaY ,D We IBLoLItAaMfJoOg HSoE A NO RCLYidMadPeIO D3e4 S,9.Paulo",,,,"17,45","-50,00%"
9788520012581,"DICIONARIO DA HISTORIA SOIMCAIASL, LDUOIZ S ACMNIVTBOIALNIZIAOCAO BR7A9S,9ILEIRA",,,,"39,95","-50,00%"
9788574320328,"DICIONARIO DE SCHAMBIL, BERTRAND","119,9",,,"59,95","-50,00%"
9788520011584,"DICTACONTRADICTA - N.0R9ABELLO, GUICLIHVEILRIMZAEC MAOA LBZR4OA9NS,9ILEIRA",,,,"24,95","-50,00%"
9788520011072,"DICTACONTRADICTA - RABELLO, CIVILIZACA","49,9",,,"24,95","-50,00%"
9788520012055,"DICTACONTRADICTA - MALZONI, CIVILIZACA","49,9",,,"24,95","-50,00%"
9788577530564,"DIDATICA DA GROSSI,EST PAZ E","39,9",,,"19,95","-50,00%"
9788577531363,"DIFICIL DEMOCRACIA ORG.,SERGI PAZ E","44,9",,,"22,45","-50,00%"
9788577534104,DIREITOS HUMANOS E MENDONCA PAZ E,"49,9",,,"24,95","-50,00%"
9788577991716,"DOM CASMURRO -164 ASSIS, MACHABDEOST D E","29,9",,"14,95",,"-50,00%"
9788528607055,"DOMINACAO BOURDIEU, BERTRAND","59,9",,"29,95",,"-50,00%"
9788577990375,"DOUTOR JIVAGO -038 PASTERNAK, BEODRICISOES BESTB5O9L,9SO",,,"29,95",,"-50,00%"
9788577992256,"DRAGAO VERMELHO -312 HARRIS, THOMEDAISCOES BESTB4O9L,9SO",,,"24,95",,"-50,00%"
9788577993543,"DUBLINENSES -308 JOYCE, JAMESBEST","34,9",,"17,45",,"-50,00%"
9788574321059,"ECONOMIA BANDIDA NAPOLEONI, DIFEL","64,9",,"32,45",,"-50,00%"
9788574320120,EDIPO REI SOFOCLES DIFEL,"49,9",,"24,95",,"-50,00%"
9788577994670,EDIPO REI E ANTIGONA - 4S1O3FOCLES BEST,"44,9",,"22,45",,"-50,00%"
9788503009270,"EGIPTOLOGO, O PHILLIPS, ARTJHOUSRE OLYMPIO79,9",,,"39,95",,"-50,00%"
9788503012423,"Eles e elas VERAS, MARIAJO CSHER OISLTYIMNAP ILOIN44S ,D9O REG2O2,45",,,,,"-50,00%"
9788520013892,"Eles não usam black-tie GUARNIERI, GCIAIVNILFIRZANCACEOS BCRO4A9S,9ILEIRA",,,"24,95",,"-50,00%"
9788521904465,"EM BUSCA DE NOVO FURTADO,C PAZ E","39,9",,"19,95",,"-50,00%"
9788501096692,"EM DEFESA DE JACOB LANDAY, RECORD","59,9",,"29,95",,"-50,00%"
9788520013625,"EM NOME DE QUEM? A DIP, CIVILIZACA","44,9",,"22,45",,"-50,00%"
9788520008409,"EM QUE ACREDITAM OS ASCTARMOPLIOGNO, SN?ICHIVOILLIAZASCAO BR4A4S,9ILEIRA",,,"22,45",,"-50,00%"
9788520008393,"EM QUE ACREDITAM OS MORRIS, CIVILIZACA","39,9",,"19,95",,"-50,00%"
9788501055279,"EM QUE CREEM OS QUE ECO, RECORD","59,9",,"29,95",,"-50,00%"
9788577994380,"EMINENCIA, A -346 WEST, MORRIESDICOES BESTB3O9L,9SO",,,"19,95",,"-50,00%"
9788577992669,"EMMA -271 AUSTEN, JANEBEST","39,9",,"19,95",,"-50,00%"
9788520010914,ENCRUZILHADAS DA WALTER CIVILIZACA,"74,9",,"37,45",,"-50,00%"
9788520009161,"ENIGMA DO POLITICO, O: POGREBINS CIVILIZACA","69,9",,"34,95",,"-50,00%"
9788520009161,"ENIGMA DO POLITICO, O: MPOAGRRXE CBOI NSTCRHACII ,VA TI LPHIOAZALMICTYAICOA  BMR6OA9SD,9IELERINRA",,,"34,95",,"-50,00%"
9788577993291,"ENSINA-ME A VIVER -332 HIGGINS, COLEINDICOES BESTB3O4L,9SO",,,"17,45",,"-50,00%"
9788577993994,"ERROS IRREVERSIVEIS -326TUROW, SCOTETDICOES BESTB3O9L,9SO",,,"19,95",,"-50,00%"
9788501085955,"ESCOLA DA LIDERANCA, DANESE, RECORD","59,9",,"29,95",,"-50,00%"
9788521902195,"Escola de mulheres ,MOLIERE PAZ E TERRA","29,9",,"14,95",,"-50,00%"
9788520012758,"ESCRAVIDAO E SALLES, CIVILIZACA","69,9",,"34,95",,"-50,00%"
9788576842224,"ESQUISITOLOGIA WISEMAN, BEST","54,9",,"27,45",,"-50,00%"
9788528616316,"ESTACAO INFINITA E FILHO, RUY BERTRAND","89,9",,"44,95",,"-50,00%"
9788520013960,"ESTADO POLICIAL: COMO BENJAMIN, CIVILIZACA","44,9",,"22,45",,"-50,00%"
9788520009505,"ESTADO POS- R R CASARA, CIVILIZACA","54,9",,"27,45",,"-50,00%"
9788577533657,"ESTADO, GOVERNO, BOBBIO,NO PAZ E","54,9",,"27,45",,"-50,00%"
9788521906858,"ESTADO, MERCADO E SOLA, PAZ E","84,9",,"42,45",,"-50,00%"
9788520007679,"ESTETICA DA MULTIDAO SZANIECKI, CIVILIZACA","49,9",,"24,95",,"-50,00%"
9788577992706,"ESTRANGEIRO, O -172 CAMUS, ALBEBRETST","29,9",,"14,95",,"-50,00%"
9788521906797,ESTRATEGIAS PARA UMA HOBSBAWM PAZ E,"74,9",,"37,45",,"-50,00%"
9788520010143,"ETICA [NOVA CAPA] VAZQUEZ, CIVILIZACA","54,9",,"27,45",,"-50,00%"
