isbn,TÍTULO Autora,SELO,CAPA,PROMO,,%
9788577991587,"GUARDIAO,O -179 KOONTZ, DEAENDICOES BESTB3O9L,9SO",,,,"19,95","-50,00%"
9788577992553,"GUERRA E PAIXAO (SAGA BAORRLOEND,I NLE 2S)L -IE 3ED66ICOES BESTB3O9L,9SO",,,,"19,95","-50,00%"
9788528615036,"GUERRA MUNDIAL, A SERRES,",DIFEL,"54,9",,"27,45","-50,00%"
9788528615036,"GUERRA MUNDIAL, A SERRES, MICHDEILFEL",,"54,9",,"27,45","-50,00%"
9788576849308,"HABILIDADE SOCIAL FEXEUS,",BEST,"49,9",,"24,95","-50,00%"
9788577533794,"HANNAH ARENDT: PENSAMLAEFNETRO,C, EPLESROSUPASZA EO T ER PROADER64,9",,,,"32,45","-50,00%"
9788520010594,"HANNAH ARENDT: JARDIM,",CIVILIZACA,"49,9",,"24,95","-50,00%"
9788520010594,"HANNAH ARENDT: PENSDOJARRAD DIMA ,C ERDISUEA CERI VDIELOI UZAMC ANO VBOR4A 9ISN,9IILCEIIORA",,,,"24,95","-50,00%"
9788577992065,"HANNIBAL -296 HARRIS,",EDICOES,"54,9",,"27,45","-50,00%"
9788577994519,"HANNIBAL, A ORIGEM DO MHAARLR -I S3,7 T8HOMBEASST",,"44,9",,"22,45","-50,00%"
9788577992713,"HEROIS COMUNS -263 TUROW, SCOTETDICOES BESTB3O9L,9SO",,,,"19,95","-50,00%"
9788528605044,"HGCB  4 - DISPERSAO E IGLESIAS,",BERTRAND,"99,9",,"49,95","-50,00%"
9788528605051,"HGCB  5 - REACOES E PETRONE,",BERTRAND,"99,9",,"49,95","-50,00%"
9788528605068,HGCB  6 - DECLINIO E FERNANDES,BERTRAND,"99,9",,"49,95","-50,00%"
9788528605037,"HGCB 1 - DO HOLANDA,",BERTRAND,"99,9",,"49,95","-50,00%"
9788501109040,"HIPOTESE HUMANA, A MUSSA,",RECORD,"54,9",,"27,45","-50,00%"
9788577990900,"HISTORIA CONCISA DA REVPOIPLEUSC, AROIC RHUASRESDAI C-0O8E4S BESTB3O9L,9SO 19,95",,"-50,00%"
9788501114662,"HISTORIA DA AMAZONIA SOUZA, RECORD 59,9 29,95",,"-50,00%"
9788501085726,"HISTORIA DO HOMEM, A AYDON, RECORD 79,9 39,95",,"-50,00%"
9788503010245,"HISTORIA DO POVO ARABESOURDEL, DOJMOISNEI QOULYEMPIO49,9 24,95",,"-50,00%"
9788520006443,"HISTORIA DOS LADURIE, CIVILIZACA 89,9 44,95",,"-50,00%"
9788577530267,"HISTORIA SOCIAL DO HOBSBAWM PAZ E 84,9 42,45",,"-50,00%"
9788501078247,"HISTORIAS DE RAMOS, GALERA 44,9 22,45",,"-50,00%"
9788577531233,"HITLER E O NAZISMO GEARY,RICH PAZ E 44,9 22,45",,"-50,00%"
9788503013796,"HOMEM INVISIVEL [NOVA ECLALPISAO]N, RALPCHIVILIZACAO BR6A4S,9ILEIRA 32,45",,"-50,00%"
9788501085504,"HOMEM MAIS CARRE, RECORD 64,9 32,45",,"-50,00%"
9788577994182,"HOMEM QUE SABIA JAVANBEASR ER EOTUOT,R LOIMSE ACDOICNOTEOSS B, EOS T-3B2O29L,9SO 14,95",,"-50,00%"
9788577994786,"HOMEM REVOLTADO, O - 4C1A8MUS, ALBEERDTICOES BESTB4O4L,9SO 22,45",,"-50,00%"
9788528624724,"Homo biologicus PIAZZA, PIER VBIENRCTERNAZNOD 69,9 34,95",,"-50,00%"
9788546501601,"HUMANOS PHILLIPS, BEST 54,9 27,45",,"-50,00%"
9788577993178,"ICONE -334 FORSYTH, FREBDEESRTI CK 39,9 19,95",,"-50,00%"
9788520011713,"IDADE MEDIA E O DINHEIRLOE,  GAOFF, JACQCUIVEISLIZACAO BR8A9S,9ILEIRA 44,95",,"-50,00%"
9788501403032,"IDENTICOS TUROW, RECORD 49,9 24,95",,"-50,00%"
9788501089052,"IDENTIDADE E VIEIRA, RECORD 54,9 27,45",,"-50,00%"
9788501105813,"Idolos STOHL, MARGGAARLEETRA RECOR3D9,9 19,95",,"-50,00%"
9788577991204,"ILHA DO DIA ANTERIOR, A E-1C6O3, UMBERTBOEST 49,9 24,95",,"-50,00%"
9788501073143,"IMAGINACAO RAZZO, RECORD 64,9 32,45",,"-50,00%"
9788520012727,"IMPASSES DA DEMOCRACIAV NROIT BZERRA,S LILEOCNIVAILRIDZAOCAO BR4A4S,9ILEIRA 22,45",,"-50,00%"
9788520008706,"IMPERIO DAS GOUVEA, CIVILIZACA 69,9 34,95",,"-50,00%"
9788520013045,"INTELECTUAIS HANSEN, CIVILIZACA 74,9 37,45",,"-50,00%"
9788520008560,"INTERPRETACAO DOS SONFHORSR, EAS -T  EAR C, AJOCIXIHVANI-LPIZRAECTAO D BORS3A 4DS,9EILSEEIJROAS 17,45",,"-50,00%"
9788520011966,"INTRODUCAO AO NARCISISNMICOE:A OS, A CMAROLRCO IDSV EIAL SUIZIGAUCASTOO BR3A9S,9ILEIRA 19,95",,"-50,00%"
9788501093509,"INVERNO RUSSO KALOTAY, RECORD 59,9 29,95",,"-50,00%"
9788577991747,"IRACEMA -310 ALENCAR, JOSEED DICEOES BESTB2O9L,9SO 14,95",,"-50,00%"
9788577533800,"ISRAEL: UMA HISTORIA SHAPIRA, PAZ E 129,9 64,95",,"-50,00%"
9788503011495,"Jack Kerouac: King Of The BMeIaLtEsS, BARRYJOSE OLYMPIO74,9 37,45",,"-50,00%"
9788574321257,"JACQUES LACAN, PASSADOR PORUEDSIENNETSECOD, EIFLEIZLABETH 54,9 27,45",,"-50,00%"
9788577992010,"JANE EYRE -231 BRONTE, CHAERDLOICTOTES BESTB3O9L,9SO 19,95",,"-50,00%"
9788520010921,"JANGO E EU, MEMORIAS GOULART, CIVILIZACA 74,9 37,45",,"-50,00%"
9788577991563,"JARDINEIRO FIEL,O -178 LE CARRE, JOHBNEST 39,9 19,95",,"-50,00%"
9788520010136,"JERUSALEM COLONIAL VAINFAS, RONCAIVLIDLOIZACAO BR8A4S,9ILEIRA 42,45",,"-50,00%"
9788520010563,"JOAO GOULART - UMA BIOFGERARFEIIARA, JORCGIVEILIZACAO B1R1A4S,I9LEIRA 57,45",,"-50,00%"
9788577992904,"JOGADOR, O -357 DOSTOIEVSKI,E FDIIOCDOOESR BESTB3O4L,9SO 17,45",,"-50,00%"
9788520009086,"Judaismo Para Todos SORJ, BERNARCDIVOILIZACAO BR5A4S,9ILEIRA 27,45",,"-50,00%"
9788501093547,"Justiça Bruta HIGGINS, JACKRECORD 59,9 29,95",,"-50,00%"
9788520011959,"Karmatopia: Uma Viagem AM IOndNiTaEIRO, KCAIRVLILAIZACAO BR4A9S,9ILEIRA 24,95",,"-50,00%"
9788520012628,"LACAN E LEVI-STRAUSS MARKOS CIVILIZACA 84,9 42,45",,"-50,00%"
9788520009529,"LEITOR DE GRAMSCI, O COUTINHO, CIVILIZACA 69,9 34,95",,"-50,00%"
9788520009246,"LEITOR DE MARX,O NETTO, CIVILIZACA 84,9 42,45",,"-50,00%"
9788577995134,"LEITOR, O - 402 SCHLINK, BERBNEHSATR D 24,9 12,45",,"-50,00%"
9788576844280,"LEMBRANDO ANNE GIE, MIEP/ BEST 59,9 29,95",,"-50,00%"
9788520011478,"LENIN: VIDA E OBRA BANDEIRA, CIVILIZACA 54,9 27,45",,"-50,00%"
9788501059949,"LIMITES SEM TRAUMA ZAGURY, RECORD 42,9 21,45",,"-50,00%"
9788501067166,"LINHAS TORTAS RAMOS, RECORD 79,9 39,95",,"-50,00%"
9788577990252,"LISTA DE SCHINDLER, A - KENEALLY, EDICOES 54,9 27,45",,"-50,00%"
9788574320892,"LITERATURA EM PERIGO, TODOROV, DIFEL 54,9 27,45",,"-50,00%"
9788577991082,"LIVREIRO DE CABUL, O -107SEIERSTAD, ASBNESET 34,9","17,45",,"-50,00%"
9788577531752,"LIVRO DO SILENCIO,O DEBORAH PAZ E 49,9","24,95",,"-50,00%"
9788501112132,"LIVRO DOS TITULOS, O CARDOSO, RECORD 54,9","27,45",,"-50,00%"
9788520007655,"LIVRO NEGRO DA MEYER, CIVILIZACA 109,9","54,95",,"-50,00%"
9788577991075,"LOBO DA ESTEPE, O -103 HESSE, HERMEADNINCOES BESTB3O4L,9SO","17,45",,"-50,00%"
9788577992829,"LOBO E A POMBA, O -303 WOODIWISS, EKDAITCHOLEESE BNE ES.TB3O9L,9SO","19,95",,"-50,00%"
9788577991990,"LUSIADAS, OS - 383 CAMOES, LUISE DVIACZO DEES BESTB3O9L,9SO","19,95",,"-50,00%"
9788568905708,"LYDEREZ SALOMAO, BEST 49,9","24,95",,"-50,00%"
9788577533244,"MAIS BELAS HISTORIAS SCHWAB, PAZ E 69,9","34,95",,"-50,00%"
9788576864035,"MALALA, UMA MENINA WINTER, VERUS 44,9","22,45",,"-50,00%"
9788520013830,"MAL-ESTAR NA BIRMAN, CIVILIZACA 84,9","42,45",,"-50,00%"
9788520008577,"MAL-ESTAR NA SAROLDI, CIVILIZACA 54,9","27,45",,"-50,00%"
9788520012604,"MANIFESTO PELA PSICANAPLLISOEN, MICHELCIVILIZACAO BR4A4S,9ILEIRA","22,45",,"-50,00%"
9788577992089,"MANSFIELD PARK -259 AUSTEN, JANEEDICOES BESTB3O9L,9SO","19,95",,"-50,00%"
9788576845409,"Manual Antibullying TEIXEIRA, GUSBTEASVTO SELLER 39,9","19,95",,"-50,00%"
9788576848684,"MANUAL ANTIDROGAS TEIXEIRA, BEST 39,9","19,95",,"-50,00%"
9788576846406,"MANUAL DOS TEIXEIRA, BEST 39,9","19,95",,"-50,00%"
9788577992386,"MARCHA DA INSENSATEZ, TAU -C2H97MAN, BAERDBICAOREAS W BE. STB6O4L,9SO","32,45",,"-50,00%"
9788577992119,"MARIA DE TODAS AS GRACSAASV -A1G49ET, LUCEIDAINCAOES BESTB2O4L,9SO","12,45",,"-50,00%"
9788503013482,"MARIA STUART [JO] ZWEIG, STEFAJNOSE OLYMPIO74,9","37,45",,"-50,00%"
9788577994168,"MARTELO DAS FEITICEIRASK, ROA -M 3E8R1, HEINEDRICHO,E JSA BMEESST BS5OP4RL,9SEONGER 2E7,45",,,"-50,00%"
9788577533541,"Mediterrâneos Invisíveis BUARQUE,CRIPSATZO EV ATMERRA 49,9","24,95",,"-50,00%"
9788577991242,"MELHORES CRONICAS, AS -S0A8B5INO, FERNEADNICDOES BESTB3O4L,9SO","17,45",,"-50,00%"
9788577991259,"MELHORES HISTORIAS, AS S-1A5B0INO, FERNBAENSDT O 29,9","14,95",,"-50,00%"
9788520007341,"MEMORIA DE ULISSES, A LUCCHESI, CIVILIZACA 79,9","39,95",,"-50,00%"
9788520007341,"MEMORIA DE ULISSES, A LUCCHESI, MACRIVCIOLIZACAO BR7A9S,9ILEIRA","39,95",,"-50,00%"
9788577992881,"MEMORIAL DE MARIA MOQUURAEI -R1O9Z5, RACEHDEICLOES BESTB3O4L,9SO","17,45",,"-50,00%"
9788520008652,"MEMORIAS DE UM KONDER, CIVILIZACA 59,9","29,95",,"-50,00%"
9788520008652,"MEMORIAS DE UM INTELEKCOTUNADLE CRO, LMEAUCNIDIVSRITLOAIZACAO BR5A9S,9ILEIRA","29,95",,"-50,00%"
9788577991532,"MEMORIAS DE UM SARGENALTMO EDIED AM, IMLICABINAEUS TE-1 L 4A0NTONIO29 D,9E","14,95",,"-50,00%"
9788577990955,"MENSAGEM -074 PESSOA, FERNEADNICDOOES BESTB3O4L,9SO","17,45",,"-50,00%"
9788501071293,"MENTIRA DAS URNAS, A DIAS, RECORD 49,9","24,95",,"-50,00%"
9788577994052,"MESTRE DOS MARES - 382O BRIAN, PATERDICIKCOES BESTB5O4L,9SO","27,45",,"-50,00%"
9788577992249,"METAMORFOSE, A - 362 KAFKA, FRANZBEST 29,9","14,95",,"-50,00%"
9788501401861,"METRICA (SLAMMED) HOOVER, GALERA 49,9","24,95",,"-50,00%"
9788528605990,"MEUS DEMONIOS MORIN, BERTRAND 79,9","39,95",,"-50,00%"
9788576841357,"MICROTENDENCIAS PENN, BEST 69,9","34,95",,"-50,00%"
9788521904380,"MITO DA PERLMAN,J PAZ E 74,9","37,45",,"-50,00%"
9788577992690,"MITO DE SISIFO, O -171 CAMUS, ALBEERDTICOES BESTB3O4L,9SO","17,45",,"-50,00%"
9788520009192,"MITOS CLASSICOS MARCH, CIVILIZACA 94,9","47,45",,"-50,00%"
9788520007280,"MITOS SOBRE A FUNDACAORA DPOHSA ELU,A RAYCIVILIZACAO BR8A4S,9ILEIRA","42,45",,"-50,00%"
9788520013847,"MODELOS DE LIPJHART, CIVILIZACA 99,9","49,95",,"-50,00%"
9788520011607,"MODERNIDADE NO JULGAMKOELNATKOO SWESMK IFC, ILIMVEIS,L ZAIZEAKCAO BR9A4S,9ILEIRA","47,45",,"-50,00%"
9788503013246,"MONA LISA: A MULHER POHRA TLREAS,S D DIOAN QNUJEOASDER OOLYMPIO64,9","32,45",,"-50,00%"
9788501114655,"Monet e a pintura das NinfKeIiNasG, ROSS RECORD 79,9","39,95",,"-50,00%"
9788577992447,"MORENINHA, A - 370 MACEDO, JOAEQDUICIMOE MS BAENSUTEB2LO9 DL,9SEO","14,95",,"-50,00%"
9788577992027,"MORRO DOS VENTOS UIVABNRTOENS,T OE,  -E1M42ILBYEST 39,9","19,95",,"-50,00%"
9788577991853,"MORTE DOS REIS, A (V.2) -2IG3G3ULDEN, COEDNINCOES BESTB3O9L,9SO","19,95",,"-50,00%"
9788577994793,"MORTE FELIZ, A - 419 CAMUS, ALBEERDTICOES BESTB3O4L,9SO","17,45",,"-50,00%"
9788503011419,"MOVIMENTOS BOPP, RAUL JOSE 49,9","24,95",,"-50,00%"
9786559240029,"MOXIE (CAPA FILME) MATHIEU, JENVNEIRFUERS","49,9","24,95",,"-50,00%"
9788501113825,"MULHER DO MEU CORRY, RECORD","54,9","27,45",,"-50,00%"
9788503013567,"MUNDO DO SEXO,O MILLER, JOSE","39,9","19,95",,"-50,00%"
9788528613568,"MUSEU ROY, BERTRAND","74,9","37,45",,"-50,00%"
9788577531042,"MUSSOLINI E A ITALIA BLINKHORN, PAZ E","54,9","27,45",,"-50,00%"
9788577531042,"MUSSOLINI E A ITALIA FASCBILSITNAKHORN,MPARZ TEI NTERRA","54,9","27,45",,"-50,00%"
9788577532063,NACOES E HOBSBAWM PAZ E,"64,9","32,45",,"-50,00%"
9788503011006,"Nassara Passado A Limpo DIDIER, CARLOJOS SVEA OSCLYOMNPCIEOL4O4S,9",,"22,45",,"-50,00%"
9788577990047,"NEGOCIADOR, O -005 FORSYTH, FREEDDEIRCIOCEKS BESTB4O4L,9SO",,"22,45",,"-50,00%"
9788503010733,"NERUDA PARA JOVENS NERUDA, JOSE","44,9","22,45",,"-50,00%"
9788577533404,"NIETZSCHE E A VERDADE MACHADO, PAZ E","44,9","22,45",,"-50,00%"
9788520009888,"Nietzsche, Vida Como ObraD DIAeS ,A RrtOeSA CIVILIZACAO BR5A4S,9ILEIRA",,"27,45",,"-50,00%"
9788520009222,"NIVEL, O WILKINSON, CIVILIZACA","64,9","32,45",,"-50,00%"
9788577991266,"NOME DA ROSA, O -300 ECO, UMBERTBOEST","49,9","24,95",,"-50,00%"
9788577532582,"Nós dois FREIRE, PAULOPAZ E TERRA","149,9","74,95",,"-50,00%"
9788576846178,"O ABC Da Mulher ModernaLOVETT, CLARBEE CSOT NSEVLILLEER, LI4Z 9H,9OGGAR2D4  , 9S5A",,,,"-50,00%"
9788520005224,"O Abre Alas AMARAL, MARCIAVI ALIDZAELCAIOD EBR3A4S,9ILEIRA",,"17,45",,"-50,00%"
9786557121030,"O bom contágio ROSHI, MONJBAE CSOT ESNELLER","34,9","17,45",,"-50,00%"
9788501082022,"O Fim Das Boas Maneiras MARCIANO, FREACNOCREDSCA","49,9","24,95",,"-50,00%"
9788501092540,"O fotógrafo TEZZA, CRISTORVEACORD","59,9","29,95",,"-50,00%"
9788520011720,"O Passado Que Não Passa PINTO, ANTONCIVOILIZACAO BR5A9S,9ILEIRA",,"29,95",,"-50,00%"
9788520013663,"O PODER DO ATOR: A TECNCIHCUAB CBHUUCBKB, UIVCAIKVN IELAMIZ A1C2A EOT ABPR7A4S,9ILEIRA",,"37,45",,"-50,00%"
9788520011317,"O que e que a baiana tem?C DAoYrMivMal IC, SaTymELCmLIVAi InLIaZ AerCaA dOo B rRá4Ad9Si,o9ILEIRA",,"24,95",,"-50,00%"
9788503010351,"O simples coronel madureiRrEBELO, MARJQOUSE SOLYMPIO34,9",,"17,45",,"-50,00%"
9788501400963,"O Tigre Na Sombra LUFT, LYA RECORD","29,9","14,95",,"-50,00%"
9788503010320,"O trapicheiro REBELO, MARJQOUSE SOLYMPIO84,9",,"42,45",,"-50,00%"
9788503010696,"O Vinho Da Juventude FANTE, JOHNJOSE OLYMPIO64,9",,"32,45",,"-50,00%"
9788501066923,"OESTE FRAGA, RECORD","34,9","17,45",,"-50,00%"
9788577993987,"OFENSAS PESSOAIS -348 TUROW, SCOTETDICOES BESTB3O9L,9SO",,"19,95",,"-50,00%"
9788528615548,OLHARES GEOGRAFICOS - ROSENDAHL BERTRAND,"49,9","24,95",,"-50,00%"
9788501008619,"OLHOS DE CAO AZUL MARQUEZ, RECORD","54,9","27,45",,"-50,00%"
9788576864516,"Onde o amor se esconde MAENAKA, VEVREIRDUIASNA","44,9","22,45",,"-50,00%"
9788501092182,"ORDEM NO CAOS WHYTE, RECORD","129,9","64,95",,"-50,00%"
9788577992652,"ORGULHO E PRECONCEITOA -U1S9T6EN, JANEBEST","34,9","17,45",,"-50,00%"
9788577992317,"ORIGEM DA FAMILIA, DA ENGELS, EDICOES","34,9","17,45",,"-50,00%"
9788576862000,"Os Seis Caminhos Do AmorDODSWORTHV, AERLEUXSEY","34,9","17,45",,"-50,00%"
9788587795472,OSHO TODOS OS DIAS OSHO VERUS,"59,9","29,95",,"-50,00%"
9788501093974,"OUTRO LADO DA MEIA- SHELDON, RECORD","59,9","29,95",,"-50,00%"
9788577994571,"PARA ALEM DO BEM E DO NMIEATLZ -S 4C1H5E, FRBIESDTR ICH","39,9","19,95",,"-50,00%"
9788577993857,"PARIS NAO ACABA NUNCAM -3I0LL1AN, BETTEYDICOES BESTB3O4L,9SO",,"17,45",,"-50,00%"
9788528603354,PASSAROS FERIDOS MCCULLOU BERTRAND,"79,9","39,95",,"-50,00%"
9788577532995,"PAULO FREIRE: UMA FREIRE, ANA PAZ E","129,9","64,95",,"-50,00%"
9788576842958,"PE DE PAGINA PARA LEADER, BEST","49,9","24,95",,"-50,00%"
9788520009031,"PECADO ORIGINAL DA HADDAD, CIVILIZACA","59,9","29,95",,"-50,00%"
9788520012611,"PELOS CAMINHOS DA HISTMORAIRAIZ, VASCOCIVILIZACAO BR5A9S,9ILEIRA",,"29,95",,"-50,00%"
9788501069696,"PENSAR E TRANSGREDIR LUFT, LYA RECORD","54,9","27,45",,"-50,00%"
9788501067319,PENSE COMO UM FREAK STEVEN RECORD,"59,9","29,95",,"-50,00%"
9788503010771,"Pentimento HELLMAN, LILJLOIASNE OLYMPIO49,9",,"24,95",,"-50,00%"
9788577991143,"PERFUME, O -081 SUSKIND, PATERDICICKOES BESTB3O9L,9SO",,"19,95",,"-50,00%"
9788503007535,"PERGUNTE AO PO FANTE, JOSE","64,9","32,45",,"-50,00%"
9788577992683,"PERSUASAO -272 AUSTEN, JANEEDICOES BESTB3O4L,9SO","17,45",,"-50,00%"
9788503012867,"PESCAR TRUTA NA BRAUTIGAN, JOSE 54,9","27,45",,"-50,00%"
9788577991181,"PESTE, A -082 CAMUS, ALBEERDTICOES BESTB3O4L,9SO","17,45",,"-50,00%"
9788577531295,"PETROLEO,O YERGIN,DAN PAZ E 149,9","74,95",,"-50,00%"
"","PHIL COLLINS: AINDA COLLINS, BEST",,,
9788546501199,"64,9","32,45",,"-50,00%"
"",ESTOU VIVO - UMA PHIL SELLER,,,
9788577990344,"PIANISTA, O -035 SZPILMAN, WELDADICYOSELSA WBESTB3O4L,9SO","17,45",,"-50,00%"
9788576846680,"PINTEREST E MARKETING HAYDEN, BEST 39,9","19,95",,"-50,00%"
9788577533213,"PODER DA CASTELLS, PAZ E 114,9","57,45",,"-50,00%"
9788577533350,"PODER DA IDENTIDADE CASTELLS, PAZ E 99,9","49,95",,"-50,00%"
9788576840664,"PODER DE DELEGAR, O GENETT, BEST 44,9","22,45",,"-50,00%"
9788577531325,"PODER POLITICO E (ORG.),BER PAZ E 44,9","22,45",,"-50,00%"
9788501115119,"POETA X, A ACEVEDO, GALERA 44,9","22,45",,"-50,00%"
9788520011829,"POR QUE A GUERRA?: SILVA, CIVILIZACA 69,9","34,95",,"-50,00%"
9788520007648,"PRAZER DA FILOSOFIA, O SOLOMON, ROCIBVEILRITZACAO BR7A9S,9ILEIRA","39,95",,"-50,00%"
9788501060693,"PRESENTE DE HITLER, O MEDAWAR, RECORD 74,9","37,45",,"-50,00%"
9788577990948,"PRIMO BASILIO, O -070 QUEIROS, ECAE DIECOES BESTB3O2L,9SO","16,45",,"-50,00%"
9788577990542,"PRINCIPE DAS MARES, O -0C5O1NROY, PATEDICOES BESTB6O9L,9SO","34,95",,"-50,00%"
9788577992836,"PRINCIPE, O -365 MAQUIAVEL BEST 34,9","17,45",,"-50,00%"
9788577530335,"PRINCIPE,O MAQUIAVEL,NPIACZO EL ATUERRA 34,9","17,45",,"-50,00%"
9788520009482,"PROBLEMA DOS DESCONHEACGIDLOETSO, ON:,U TMECRI EVRSIYLTIUZADCOA DOE B ER8TA4ICS,9IALEIRA","42,45",,"-50,00%"
9788577533411,"PROJETO DE DEMOCRACIAG, RUAMEBER, DAPVAIDZ E TERRA 64,9","32,45",,"-50,00%"
9788520012130,"PROJETO PARA PSICOLOGIBAE CZIERNRTAIF JICRA., BC- EIFVNRIELILIUZTDAOC NEA  ACO AN BRERL5UAO4R,S9OILCEIERNAC2IA7,45",,,"-50,00%"
9788546501205,"PROJETO STARTUP: DA TEIXEIRA, BEST 39,9","19,95",,"-50,00%"
9788574320861,"PROMESSA DA POLITICA, ARENDT, BERTRAND 59,9","29,95",,"-50,00%"
9788574320526,"PSICOLOGIA DA PIAGET E BERTRAND 54,9","27,45",,"-50,00%"
9788520010877,"PSICOLOGIA DAS GOLDENBER CIVILIZACA 39,9","19,95",,"-50,00%"
9788520010877,"PSICOLOGIA DAS MASSAS EG OANLDAELNISBEE DREG CE, IURVI-ICSLAIOZRLADICDOAO  BER 3MA9SU,9ILETIRDAO19,95",,,"-50,00%"
9788577531134,"PSICOPEDAGOGIA MARIA PAZ E 44,9","22,45",,"-50,00%"
9788577993161,"PUNHO DE DEUS, O - 364 FORSYTH, FREEDDEIRCIOCEKS BESTB3O9L,9SO","19,95",,"-50,00%"
9788528622454,"QUADROS GEOGRAFICOS GOMES, BERTRAND 54,9","27,45",,"-50,00%"
9786558470199,"Quarup CALLADO, ANJTOSNEI OLYMPIO89,9","44,95",,"-50,00%"
9788577990085,"QUEDA, A -009 CAMUS, ALBEERDTICOES BESTB3O4L,9SO","17,45",,"-50,00%"
9788520013113,"QUELE, A VOZ DA COR - MUNHOZ, CIVILIZACA 69,9","34,95",,"-50,00%"
9788577530809,"QUESTAO URBANA, A CASTELLS, MAPNAUZE EL TERRA 119,9","59,95",,"-50,00%"
9788503012904,"QUINZE,O (CAPA DURA) QUEIROZ, JOSE 69,9","34,95",,"-50,00%"
9788577992782,"RAINHA VITORIA - 380 STRACHEY, LYETDTOICNOES BESTB4O4L,9SO","22,45",,"-50,00%"
9788520010228,"RAIZES DO PRIVILEGIO MONTEIRO, CIVILIZACA 129,9","64,95",,"-50,00%"
9788577990313,"RAMSES: A DAMA DE ABU-JSAICMQB,E CLH (RVI.S 4T)IB A-E0NS3T2 39,9","19,95",,"-50,00%"
9788577990061,"RAMSES: O FILHO DA LUZ (JVA.C 1Q) ,- 0C0H7RISTIBAENST 39,9","19,95",,"-50,00%"
9788577990283,"RAMSES: O TEMPLO DE MIJLAHCOQE,S C DHER IASNTIEOADSNI C(VO.E2S)  -B0E2S9TB3O9L,9SO","19,95",,"-50,00%"
9788577992676,"RAZAO E SENSIBILIDADE -2A3U2STEN, JANEBEST 39,9","19,95",,"-50,00%"
9788520012765,"REFORMA ELEITORAL NO BFRAALSCIALO, JOAQCUIVIMILIZACAO BR4A4S,9ILEIRA","22,45",,"-50,00%"
9788520010853,"REFORMA POLITICA: O DEBMAUTER IILNLAOD DIAEV ACERILVAIGLIAZAOCAO BR4A4S,9ILEIRA","22,45",,"-50,00%"
9788501080103,"REI DO CINEMA, O VAZ, RECORD 59,9","29,95",,"-50,00%"
9788577992324,"REINO DE DEUS ESTA EM VTOOSL,S OT O-2I,1 L9IEVEDICOES BESTB3O9L,9SO","19,95",,"-50,00%"
9788501078179,"RELATOS DE SONHOS E NEVES, RECORD 49,9","24,95",,"-50,00%"
9788520009581,"RELEMBRANDO O QUE CARDOSO, CIVILIZACA 59,9","29,95",,"-50,00%"
9788577995165,"RELIQUIA, A - 416 QUEIROS, ECAB DESET 34,9","17,45",,"-50,00%"
9788528614619,"RESPOSTA, A STOCKETT, BERTRAND 89,9","44,95",,"-50,00%"
9788577992331,"RETRATO DE DORIAN GRAYW, OIL D-2E2, 2OSCAREDICOES BESTB3O4L,9SO 17,45",,"-50,00%"
9788520002544,"RETRATO DO ARTISTA QUAJNODYCOE J, OJAVMEMESCIVILIZACAO BR5A9S,9ILEIRA 29,95",,"-50,00%"
9788577993536,"RETRATO DO ARTISTA QUAJNODYCOE J, OJAVMEMES E-3D0IC2OES BESTB3O4L,9SO 17,45",,"-50,00%"
9788577993659,"REUNIAO DE POEMAS -355MATOS, GREGEODRICIO EDSE BESTB3O4L,9SO 17,45",,"-50,00%"
9788577994038,"REUNIAO DE POESIA -339 PRADO, ADELBIAEST 29,9 14,95",,"-50,00%"
9788501094001,"REVERSO DA MEDALHA, SHELDON, RECORD 69,9 34,95",,"-50,00%"
9788577531578,"REVIRAVOLTA DA FERRO,MAR PAZ E 44,9 22,45",,"-50,00%"
9788577533442,"REVOLTA DA CHIBATA MOREL, PAZ E 74,9 37,45",,"-50,00%"
9788520013649,"REVOLUCIONARIO E GAY GREEN, JAMECSIVILIZACAO BR7A9S,9ILEIRA 39,95",,"-50,00%"
9788577532889,"REVOLUCIONARIOS - HOBSBAWM PAZ E 69,9 34,95",,"-50,00%"
9788501109064,"RIDICULO POLITICO TIBURI,MAR RECORD 54,9 27,45",,"-50,00%"
9788577991013,"ROBINSON CRUSOE -091 DEFOE, DANIEELDICOES BESTB3O4L,9SO 17,45",,"-50,00%"
9788577012442,"RODAS DA VIDA JUDITH, NOVA ERA 94,9 47,45",,"-50,00%"
9788501077615,"ROSA DE STALINGRADO HALLE, JEAN- RECORD 89,9 44,95",,"-50,00%"
9788576862147,"Ruínas do tempo WALTER, JESSVERUS 44,9 22,45",,"-50,00%"
9788577992492,"SANDALIAS DO PESCADOR,W AESS -T 3, 5M6ORRIESDICOES BESTB3O4L,9SO 17,45",,"-50,00%"
9788501058836,"SAO FRANCISCO DE ASSIS LE GOFF, RECORD 94,9 47,45",,"-50,00%"
9788501098320,"SE HOUVER AMANHA - SHELDON, RECORD 59,9 29,95",,"-50,00%"
9788574321462,"SECULOS DE MORTIMER, BERTRAND 99,9 49,95",,"-50,00%"
9788501083302,"SEGREDO DE REPCHECK, RECORD 79,9 39,95",,"-50,00%"
9788520012239,"SEGUNDA GUERRA FRIA, ABANDEIRA, LUCIIZV AILLIBZAERCTAO  MB1RO2AN9S,I9ZLEIRA 64,95",,"-50,00%"
