"LACERDA, CARLOS","R$       5,00"
"LACERDA, CARLOS","R$       5,00"
"NABUCO, JOAQUIM","R$       5,00"
"SILVA, ELZAMIR GONZAGA","R$       5,00"
"SIMAS,PAULA","R$       5,00"
"PELIANO, JOSÉ CARLOS","R$       5,00"
"AVELLAR, HÉLIO DEALCANTARA","R$       5,00"
"AMPARO, DEISE MATOS DO","R$     44,00"
"AMPARO, DEISE MATOS DO |ALMEIDA, SANDRAFRANCESCA CONTE DE |BRASIL, KATIA TAROUQUELLAR. | CONCEIÇÃO, MARIA INÊSGANDOLFO | MARTY,FRANCOIS","R$     74,00"
"CARNEIRO, GRACIELLY EDINIZ, NORIS COSTA","R$     39,00"
"PAZ, JOSI","R$     38,00"
"LIMOEIRO, DANILO","R$     44,00"
ALEXANDRE RODRIGUES,,,,
AS ONDAS REVITALIZADORAS,,,,
DA CRIATIVIDADE NO ENSINO,Onã Silva  | Maria Cristina Soares,,,
DE ENFERMAGEM,Rodrigues,R$,"40,00","R$  20,00"
ASPECTOS ECONOMICOS DO,"STABLER, MIKE | SINCLAIR, M.",,,
TURISMO,THEA,R$,"50,00","R$  25,00"
ASSENTAMENTOS DE,,,,
REFORMA AGRÁRIA NO,,,,
"BRASIL, OS","SCHMIDT, BENÍCIO VIERO",R$,"5,00","R$2,50"
ASSIM QUE PASSAREM CINCO,,,,
ANOS: LENDA DO TEMPO,"GARCÍA LORCA, FREDERICO",R$,"5,00","R$2,50"
ATIVIDADES PRÁTICAS EM,,,,
EMBRIOLOGIA,"BARONEZA, JOSÉ EDUARDO",R$,"32,00","R$  16,00"
AUDIOCENAS INTERFACE,,,,
ENTRE CULTURA CLASSICA,,,,
DRAMATURGIA E,,,,
SONORIDADES,MARCUS MOTA,R$,"40,00","R$  20,00"
AUTÔMATOS GENIAIS A,,,,
MENTE COMO SISTEMA,,,,
EMERGENTE E,LUIZ HENRIQUE ARAUJO,,,
PERSPECTIVISTA,DUTRA,R$,"105,00","R$  52,50"
AVALIAÇAO EM MATEMATICA,,,,
CONTRIBUIÇAO DO FEEDBACK,,,,
PARA AS APRENDIZAGENS,CLEYTON HÉRCULES GONTIJO,R$,"40,00","R$  20,00"
BELEZA FOI FEITA PARA SER,,,,
"ROUBADA, A: ENSAIOS DE",,,,
JOSÉ ORTEGA Y GASSET,"ARAÚJO, RICARDO",R$,"55,00","R$  27,50"
BIOÉTICA COTIDIANA,"BERLINGUER, GIOVANNI",R$,"61,00","R$  30,50"
BIOÉTICA NO ESTADO,,,,
BRASILEIRO,"SWEDENGERBER, BARBOSA",R$,"35,00","R$  17,50"
BÍOS E TECHNÉ: ESTUDO,,,,
SOBRE A CONSTRUÇÃO DO,,,,
SISTEMA DE BIOTECNOLOGIA,,,,
PERIFÉRICO,"NEVES, FABRÍCIO MONTEIRO",R$,"61,00","R$  30,50"
BISMARCK,"PALMER, ALAN WARWICK",R$,"5,00","R$2,50"
BISMARCK E SEU TEMPO,"KENT, GEORGE O.",R$,"5,00","R$2,50"
BOSQUE DA MALDIÇÃO,,,,
(COLEÇÃO: POETAS DO,,,,
MUNDO),"PÁVLOVITCH, MIODRAG",R$,"5,00","R$2,50"
"BRASIL COMO PROBLEMA, O -",,,,
COLEÇÃO DARCY VOL. 2,DARCY RIBEIRO,R$,"17,00","R$8,50"
BRASIL E A SEGUNDA GUERRA,,,,
"MUNDIAL, O: TESTEMUNHO E",,,,
DEPOIMENTO DE UM SOLDADO,,,,
CONVOCADO,"FALCÃO, JOÃO",R$,"5,00","R$2,50"
BRASIL EM QUESTÃO: A,,,,
UNIVERSIDADE E A ELEIÇÃO,,,,
PRESIDENCIAL (VOL. I),"MORHY, LAURO. (ORG.)",R$,"5,00","R$2,50"
BRASIL EM QUESTÃO: A,,,,
UNIVERSIDADE E A ELEIÇÃO,,,,
PRESIDENCIAL (VOL. II),"MORHY, LAURO. (ORG.)",R$,"5,00","R$2,50"
BRASIL EM QUESTÃO: A,,,,
UNIVERSIDADE E O FUTURO,,,,
DO PAÍS,"MULHOLLAND, TIMOTHY.",R$,"54,00","R$  27,00"
BRASIL EM UM MUNDO EM,,,,
"TRANSIÇÃO, O","SOUTO MAIOR, LUIZ A. P.",R$,"5,00","R$2,50"
BRASIL SEDE DA MONARQUIA.,,,,
BRASIL REINO 1a PARTE;,,,,
HISTÓRIA ADMINISTRATIVA DO,,,,
BRASIL,MACEDO ROBERTO,R$,"5,00","R$2,50"
BRASÍLIA - CONTROVÉRSIAS,,,,
AMBIENTAIS (COLEÇÃO:,,,,
BRASÍLIA),"PAVIANI, ALDO (ORG.)",R$,"5,00","R$2,50"
BRASÍLIA - DIMENSÕES DA,"PAVIANI, ALDO (ORG.) |",,,
VIOLÊNCIA URBANA -,"BARRETO, FREDERICO",,,
REIMPRESSÃO 2015,FLÓSCULO PINHEIRO  |,,,
(COLEÇÃO: BRASÍLIA),"FERREIRA, IGNEZ BARBOSA",R$,"72,00","R$  36,00"
BRASÍLIA - IDEOLOGIA E,,,,
REALIDADE - ESPAÇO URBANO,,,,
EM QUESTÃO,"PAVIANI, ALDO (ORG.)",R$,"54,00","R$  27,00"
BRASÍLIA - MORADIA E,,,,
EXCLUSÃO (COLEÇÃO:,,,,
BRASÍLIA),"PAVIANI, ALDO (ORG.)",R$,"5,00","R$2,50"
BRASÍLIA 50 ANOS: ARTE E,"TEIXEIRA, JOÃO GABRIEL LIMA",,,
CULTURA,CRUZ,R$,"33,00","R$  16,50"
BRASÍLIA 50 ANOS: DA,,,,
CAPITAL A METRÓPOLE,"PAVIANI, ALDO (ORG.)",R$,"76,00","R$  38,00"
"BRASILIA 50+50  CIDADE,","DERNTL, Ma FERNANDA (ORG.)",,,
HISTÓRIA E PROJETO,"| SABOIA, LUCIANA (ORG.)",R$,"60,00","R$  30,00"
BRASÍLIA A METRÓPOLE EM,,,,
CRISE,"PAVIANI, ALDO (ORG.)",R$,"39,00","R$  19,50"
BRASÍLIA DIFERENTES,"DA COSTA, CLERIA BOTELHO |",,,
OLHARES SOBRE A CIDADE,"BARROSO, ELOÍSA PEREIRA",R$,"50,00","R$  25,00"
BRASÍLIA NA POESIA DE,,,,
"NICOLAS BEHR: IDEALIZAÇÃO,","FURIATI, GILDA MARIA",,,
UTOPIA E CRÍTICA,QUEIROZ,R$,"39,00","R$  19,50"
CADERNO DE POLICARPO,,,,
"QUARESMA, O: PEQUENA",,,,
COLEÇÃO DE VOCÁBULOS DE,,,,
"ORIGEM INDÍGENA, COM",,,,
SIGNIFICAÇÃO,"BATH, SERGIO",R$,"5,00","R$2,50"
CADERNOS DO CEAM:,,,,
TRANSIÇÃO DEMOCRÁTICA E,,,,
POLÍTICA SOCIAL NO BRASIL,"PAIVA, LEDA DEL CARO",R$,"15,00","R$7,50"
CÁLCULO 1 - DERIVADA E,,,,
INTEGRAL EM UMA VARIÁVEL,"PATRÃO, MAURO",R$,"50,00","R$  25,00"
CALIGRAMAS - 2 EDIÇÃO,"APOLLINAIRE, GUILLAUME  |",,,
REVISTA E AMPLIADA,FALEIROS ALVARO,R$,"68,00","R$  34,00"
"CAMINHO DA FILOSOFIA, O",,,,
(VOL I)1a REIMPRESSÃO,"RÖD, WOLFGANG.",R$,"66,00","R$  33,00"
"CAMINHO DA FILOSOFIA, O",,,,
(VOL II) DOS PRIMÓRDIOS ATÉ,,,,
O SÉCULO XX,"RÖD, WOLFGANG.",R$,"80,00","R$  40,00"
CAMINHOS E COLHEITA:,,,,
ENSINO E PESQUISA NA ÁREA,"STEVENS, CRISTINA MARIA",,,
DE INGLÊS DO BRASIL,TEIXEIRA,R$,"5,00","R$2,50"
CAMPESINATO E ESCRAVIDÃO,,,,
NO BRASIL - AGRICULTORES,,,,
LIVRES E POBRES NA,,,,
CAPITANIA GERAL DE,,,,
"PERNAMBUCO ( PALACIOS, GUILLERMO",,R$,"5,00","R$2,50"
"CAMPUS 40 ANOS LIMA, JAQUELINE",,R$,"33,00","R$  16,50"
"CÂNONE IMPERIAL, O KOTHE, FLÁVIO RENE",,R$,"5,00","R$2,50"
"CÂNONE REPUBLICANO, O",,,,
"(VOL. II) KOTHE, FLÁVIO RENE",,R$,"5,00","R$2,50"
Augusto César de Mendonça,,,,
Brasil | Juliana Petrocchi,,,,
CARACTERIZAÇÃO E Rodrigues | Grace Ferreira Ghesti,,,,
APLICAÇÃO DE BIOMASSA EM | Munique Gonçalves Guimarães |,,,,
TECNOLOGIAS DE Rafael Benjamin Werneburg,,,,
CONVERSÃO TERMOQUÍMICA Evaristo,,R$,"45,00","R$  22,50"
"CARANDIRU: A PRISÃO, O SARAIVA, MARIA ELIZABETH",,,,
PSIQUIATRA E O PRESO FONSECA,,R$,"5,00","R$2,50"
"CASA DE BERNARDA ALBA, A GARCÍA LORCA, FREDERICO",,R$,"5,00","R$2,50"
CASA NA OBRA DE JOÃO,,,,
"FILGUEIRAS LIMA, LELÉ, A VILELA, ADALBERTO",,R$,"180,00","R$  90,00"
"CASSIANO NUNES: POESIA E EVANGELISTA, MARIA DE",,,,
ARTE JESUS,,R$,"19,00","R$9,50"
CASTELLO BRANCO -,,,,
TESTEMUNHOS DE UMA,,,,
ÉPOCA (Temas Brasileiros,,,,
"volume 61) FILHO, LUIZ VIANA",,R$,"5,00","R$2,50"
"CEREBRO  EVOLUCAO E SARAIVA, PAULO ESPÍRITO",,,,
LINGUAGEM SANTO,,R$,"70,00","R$  35,00"
"GIERTH, KARL EIKE; ARAUJO,",,,,
CHAVE DE MINEROGRAFIA SYLVIA MARIA,,R$,"55,00","R$  27,50"
"CHESTERTON E O UNIVERSO PAINE, SCOTT RANDALL",,R$,"43,00","R$  21,50"
"CICATRIZES DO ATLAS, AS",,,,
(COLEÇÃO: POETAS DO,,,,
"MUNDO) JELLOUN, TAHAR BEN",,R$,"5,00","R$2,50"
"CICLO DA CONSTRUÇÃO, O HENDRIKS, CH. F.",,R$,"38,00","R$  19,00"
"CIDADÃO, ESTADO E",,,,
POLÍTICAS NO BRASIL,,,,
"CONTEMPORÂNEO FIGUEIREDO, WILMA DE M.",,R$,"5,00","R$2,50"
"CIDADE E A MODA, A: NOVAS",,,,
"PRETENSÕES, NOVAS",,,,
"DISTINÇÕES - RIO DE JANEIRO, RAINHO, MARIA DO CARMO",,,,
SÉCULO XIX TEIXEIRA,,R$,"27,00","R$  13,50"
CIDADES NOVAS Ricardo Trevisan,,R$,"40,00","R$  20,00"
CIÊNCIA E POLÍTICA SOB A,,,,
PERSPECTIVA DO REALISMO,,,,
UTÓPICO: ANÁLISE,,,,
HABERMASIANA DO DISCURSO,,,,
"ARGUMENTA MICHILES, CARLOS",,R$,"5,00","R$2,50"
"CIÊNCIA, PODER E ELITES:",,,,
Introdução ao pensamento de,,,,
Vilfredo Pareto,"SOUZA, RICARDO LUIZ",R$,"41,00","R$  20,50"
"CIÊNCIA, TECNOLOGIA E",,,,
FORMAÇÃO DE PROFESSORES,,,,
PARA O ENSINO,,,,
FUNDAMENTAL,"SANTOS, GILBERTO LACERDA",R$,"5,00","R$2,50"
CIENTIFICISMO E,,,,
SENSIBILIDADE ROMÂNTICA:,,,,
EM BUSCA DE UM SENTIDO,,,,
EXPLICATIVO PARA O BRASIL,"NAXARA, MÁRCIA REGINA",,,
NO SÉC.XIX,CAPELARI,R$,"5,00","R$2,50"
CLARICE EM CENA: AS,,,,
RELAÇÕES ENTRE CLARICE,,,,
LISPECTOR E O TEATRO,GOMES ANDRE LUIS,R$,"50,00","R$  25,00"
CLARICE LISPECTOR E A,,,,
DESCOBERTA DO MUNDO,"JATOBÁ, VIVIAN RESENDE",R$,"55,00","R$  27,50"
"CLONE DE PROMETEU, O: A",,,,
BIOTECNOLOGIA NO BRASIL:,,,,
UMA ABORDAGEM PARA A,"TRIGUEIRO, MICHELANGELO",,,
AVALIAÇÃO,GIOTTO,R$,"5,00","R$2,50"
COISAS DO CAMINHO:,,,,
"CRÉDITO, CONFIANÇA E",,,,
INFORMAÇAO NA ECONOMIA,,,,
DO COMERCIO DE GADO,Tiago Luís Gil,R$,"40,00","R$  20,00"
"COMÉDIA HUMANA, CULTURA","VIANA, TEREZINHA DE",,,
"E FEMINILIDADE, A",CAMARGO,R$,"5,00","R$2,50"
"COMICIDADE DA DESILUSÃO, A",,,,
- Humor nas tragédias cariocas de,,,,
Nelson Rodrigues,"MARQUES, FERNANDO",R$,"39,00","R$  19,50"
COMUNICAÇÃO CIENTÍFICA,NAO CADASTRADO,R$,"5,00","R$2,50"
COMUNICAÇÃO E CULTURA:,,,,
AS IDEIAS DE PAULO FREIRE,"LIMA, VENÍCIO A. DE.",R$,"56,00","R$  28,00"
COMUNICAÇÃO E POESIA:,,,,
ITINERÁRIOS DO ABERTO E DA,"CASTRO, GUSTAVO DE |",,,
TRANSPARÊNCIA,"DRAVET, FLORENCE",R$,"53,00","R$  26,50"
COMUNICAÇÃO PUBLICA EM,"PAULINO, FERNANDO",,,
DEBATE: OUVIDORIA E RÁDIO,OLIVEIRA,R$,"39,00","R$  19,50"
CONDUTAS POLICIAIS E,,,,
CÓDIGOS DE DEONTOLOGIA: O,,,,
CONTROLE DA ATIVIDADE,,,,
POLICIAL NO BRASIL E NO,,,,
CANADÁ,"PORTO, MARIA STELA GROSSI",R$,"44,00","R$  22,00"
CONFERÊNCIAS,"GARCÍA LORCA, FREDERICO",R$,"5,00","R$2,50"
CONFRONTOS E CONTRASTES,,,,
REGIONAIS DA CIÊNCIA E,"BARROS, FERNANDO ANTÔNIO",,,
TECNOLOGIA NO BRASIL,FERREIRA DE,R$,"5,00","R$2,50"
CONJETURA E MITO NA FÍSICA,"BONDI, HERMANN",R$,"5,00","R$2,50"
"CONQUISTA DA CIDADE, A -",,,,
MOVIMENTOS POPULARES EM,,,,
BRASÍLIA,"PAVIANI, ALDO (ORG.)",R$,"48,00","R$  24,00"
CONSCIÊNCIA NEGRA EM,"DA SILVA, NELSON FERNANDO",,,
"CARTAZ, A",INOCENCIO,R$,"5,00","R$2,50"
CONSTITUIÇÃO POLÍTICA DO,,,,
ESTADO DO RIO GRANDE DO,,,,
SUL: COMENTÁRIO,"OSÓRIO, JOAQUIM LUÍS",R$,"5,00","R$2,50"
"CONSTITUIÇÃO, EDUCAÇÃO E",,,,
DEMOCRACIA: A,,,,
UNIVERSIDADE DO DISTRITO,,,,
FEDERAL (1935-1939) E AS,,,,
TRANSFORMAÇÕES DA ERA,,,,
VARGAS,LAILA MAIA GALVÃO,R$,"56,00","R$  28,00"
CONSTITUINTE: ANTEPROJETO,,,,
DA COMISSÃO AFONSO,,,,
ARINOS,"PEREIRA, OSNY DUARTE",R$,"5,00","R$2,50"
CONSTRUÇÃO DA CIÊNCIA NO,,,,
"BRASIL E A SBPC, A","FERNANDES, ANA MARIA",R$,"5,00","R$2,50"
CONVERGÊNCIA: O USO DAS,,,,
TECNOLOGIAS DA,,,,
INFORMAÇÃO E,,,,
COMUNICAÇÃO NO ENSINO,,,,
PRESENCIAL E A DISTÂNCIA,"ROSA, MIRIAM VIRGÍNIA",,,
DA UNB,RAMOS (ORG),R$,"66,00","R$  33,00"
"",CRISTINA PATRIOTA DE,,,
"",MOURA | ELANE RIBEIRO,,,
COTIDIANOS ESCOLAS E,PEIXOTO | MARIA FERNANDA,,,
PATRIMÔNIO,DERNTL,R$,"45,00","R$  22,50"
CRIAÇÃO DA FACULDADE DE,,,,
BIBLIOTECONOMIA DA UNB,"BORGES, MARIA ALICE",,,
1962-1967,GUIMARÃES,R$,"110,00","R$  55,00"
CRIANÇAS CONTADORAS DE,,,,
HISTÓRIAS,LUCIANA HARTMANN,R$,"45,00","R$  22,50"
CRIANÇAS DO MUNDO,,,,
"INTEIRO, UNI-VOS!","CAMPOS JÚNIOR, DIOCLÉCIO",R$,"41,00","R$  20,50"
"",CLEYTON HÉRCULES GONTIJO,,,
"",| ALEXANDRE TOLENTINO DE,,,
CRIATIVIDADE EM,CARVALHO | MATEUS GIANNI,,,
"MATEMÁTICA: CONCEITOS,",FONSECA | MATEUS PINHEIRO,,,
METODOLOGIAS E AVALIAÇÃO,DE FARIAS,R$,"40,00","R$  20,00"
CRIATIVIDADE MÚLTIPLAS,"DE ALENCAR, EUNICE M. L.",,,
PERSPECTIVAS,SORIANO,R$,"38,00","R$  19,00"
"CRISE DO MODELO FRANCÊS,",,,,
A: A FRANÇA E A AMÉRICA,,,,
"LATINA: CULTURA, POLÍTICA E",,,,
IDENTIDADE - DENIS ROLL,"ROLLAND, DENIS",R$,"5,00","R$2,50"
CRISTOVAM BUARQUE: O,,,,
SEMEADOR DE UTOPIAS,"BURSZTYN, MARCEL",R$,"5,00","R$2,50"
CTS E EDUCAÇÃO CIENTÍFICA:,,,,
"DESAFIOS, TENDÊNCIAS E","DOS SANTOS, WILDSON LUIZ",,,
RESULTADOS DE PESQUISA,PEREIRA,R$,"55,00","R$  27,50"
"CULTURA DO CRIME E DA LEI,","SARAIVA, MARIA ELIZABETH",,,
A:1889-1930,FONSECA,R$,"5,00","R$2,50"
CULTURA DO SILÊNCIO E,,,,
DEMOCRACIA NO BRASIL:,,,,
ensaios em defesa da liberdade,,,,
de expressão (1980-2015),"LIMA, VENÍCIO A. DE.",R$,"55,00","R$  27,50"
DA SENZALA À CAPELA =,,,,
FROM SENZALA TO CHAPEL,"TOMAZ, LAYCER",R$,"5,00","R$2,50"
DA TESE AO LIVRO - GUIA,"NOGUEIRA, SYLVIA; WARLEY,",,,
PARA AUTORES E EDITORES,JORGE,R$,"61,00","R$  30,50"
DA UNIVERSIDADE,,,,
NECESSÁRIA À UNIVERSIDADE,"SOUSA JUNIOR, JOSE",,,
EMANCIPATÓRIA,GERALDO DE,R$,"39,00","R$  19,50"
"DADO E O ÓBVIO, O: O",,,,
SENTIMENTO DO ROMANCE NA,,,,
PÓS-MODERNIDADE,"LIMA, ROGÉRIO DA SILVA",R$,"5,00","R$2,50"
DE ESTADO SERVIL A NAÇÃO,,,,
SOBERANA: CIVILIZAÇÃO,,,,
SOLIDÁRIA DOS TRÓPICOS,"VIDAL, J.W.BAUTISTA",R$,"5,00","R$2,50"
DE MAO A DENG: A,,,,
TRANSFORMAÇÃO DA CHINA,"MEZZETTI, FERNANDO",R$,"53,00","R$  26,50"
DE NOVA LISBOA A BRASÍLIA: A,,,,
INVENÇÃO DE UMA CAPITAL,,,,
(SÉCULOS XIX-XX),"VIDAL, LAURENT",R$,"61,00","R$  30,50"
DE WALTER BENJAMIN AOS,,,,
NOSSOS DIAS ENSAIOS DE,INES OSEKI DEPRE | PATRICIA,,,
TRADUTOLOGIA,RODRIGUES COSTA,R$,"160,00","R$  80,00"
DEMOCRACIA,,,,
CONTEMPORÂNEA E O MUNDO,,,,
"DE MONTESQUIEU, A","SOUZA, RICARDO LUIZ",R$,"45,00","R$  22,50"
"DEMOCRACIA, SOCIEDADE",,,,
CIVIL E SERVIÇO SOCIAL: Uma,,,,
perspectiva crítica,"NEVES, ANGELA V.",R$,"32,00","R$  16,00"
DEMOCRACIA: A GRANDE,,,,
REVOLUÇÃO,"ZANETI, HERMES",R$,"5,00","R$2,50"
DEPOIS DAS CARAVELAS: AS,,,,
RELAÇÕES ENTRE PORTUGAL,,,,
"E BRASIL, 1808-2000",,,,
(COLEÇÃO: RELAÇÕES,,,,
"INTERNACIONA CERVO, AMADO LUIZ",,R$,"5,00","R$2,50"
DESCABELADOS (COLEÇÃO:,,,,
"POETAS DO MUNDO) AKIKO, YOSANO",,R$,"20,00","R$  10,00"
DESCENTRALIZAÇÃO E,,,,
"LIBERDADE BELTRÃO, HELIO",,R$,"5,00","R$2,50"
"DESCOBERTAS DO BRASIL MADEIRA, ANGÉLICA (ORG.)",,R$,"5,00","R$2,50"
"DESENHO INDUSTRIAL HESKETT, JOHN",,R$,"5,00","R$2,50"
DESENVOLVIMENTO,,,,
DEMOCRATICO EM TEMPOS,,,,
INCERTOS Fernanda Natasha Bravo Cruz,,R$,"40,00","R$  20,00"
DEUS ME LIVROS! A,,,,
