"",,,,,,,,,,
"",O pátio das sombras - v. 10 - Contos de Moçambique,,Mia Couto,,"romance,inf.",,"39,90",,"19,95",
"",,,,,,,,,,
"",O quase fim do mundo,,Pepetela,,romance,,"56,90",,"28,45",
"",,,,,,,,,,
"",O que acontece quando um homem cai do céu,,"Lesley NnekaArimah",,conto,,"39,90",,"19,95",
"",,,,,,,,,,
"",O que pegamos emprestado dos outros,,Marcelo Jucá,,"romance,inf.",,"32,90",,"16,45",
"",,,,,,,,,,
"",O regresso do morto: contos,,"SuleimanCassamo",,conto,,"32,90",,"16,45",
"",,,,,,,,,,
"",O rei mocho - v. 1 - Contos de Moçambique,,"Ungulani Ba KaKhosa",,"romance,inf.",,"29,90",,"14,95",
"",,,,,,,,,,
"",Orgia dos loucos,,"Ungulani Ba KaKhosa",,conto,,"32,90",,"16,45",
"",,,,,,,,,,
"",Outras coisas: contos,,Clemente Bata,,conto,,"32,90",,"16,45",
"",,,,,,,,,,
"",,,,,,,,,,
"",Outras fronteiras: fragmentos de narrativas,,"Ana MafaldaLeite",,poesia,,"34,90",,"17,45",
"",,,,,,,,,,
"",Ovelha colorida,,Carolina Portela,,"romance,inf.",,"32,90",,"16,45",
"",,,,,,,,,,
"",Pensando o cinemamoçambicano: ensaios,,"Carmen L. T.Secco (Org.)",,"ensaio:cinema",,"39,90",,"19,95",
"",,,,,,,,,,
"","Perto do Fragmento, a totalidade: olhares sobre a literatura e o mundo",,Francisco Noa,,"ensaio:literatura",,"49,90",,"24,95",
"",,,,,,,,,,
"",Pet,,Akwaeke Emezi,,romance,,"49,90",,"24,95",
"",,,,,,,,,,
"",Quatro histórias,,"João PauloBorges Coelho",,conto,,"16,90",,"8,45",
"",,,,,,,,,,
"",Roda das encarnações,,Sónia Sultuane,,poesia,,"34,90",,"17,45",
"",,,,,,,,,,
"",Sangue negro,,"Noémia deSousa",,poesia,,"44,90",,"22,45",
"",,,,,,,,,,
"",Serei sereia?,,Kely de Castro,,"romance,inf.",,"36,90",,"18,45",
"",,,,,,,,,,
"",Sonho da lua,,Sílvia Bragança,,"Poesia,inf.",,"24,90",,"12,45",
"",,,,,,,,,,
"","Sua Excelência, de corpo presente",,Pepetela,,romance,,"54,90",,"27,45",
"",,,,,,,,,,
"",Titus e asgalinhas,,"Aurélio deMacedo",,"romance,inf.",,"32,90",,"16,45",
"",,,,,,,,,,
"",Um dia vou escrever sobre este lugar,,"BinyavangaWainaina",,memórias,,"54,90",,"27,45",
"",,,,,,,,,,
"",Um rio preso nas mãos: crônicas,,"Ana PaulaTavares",,crônica,,"44,90",,"22,45",
"",,,,,,,,,,
"",Uns e outros na literatura moçambicanaensaios :,,Francisco Noa,,"ensaio:literatura",,"49,90",,"24,95",
"",,,,,,,,,,
"",Viagem pelo mundo num grão de pólen e outros poemas,,"Pedro PereiraLopes",,"Poesia,inf.",,"29,90",,"14,95",
"",,,,,,,,,,
"",Wazi - v. 6 - Contos de Moçambique,,Rogério Manjate,,"romance,inf.",,"34,90",,"17,45",
"",,,,,,,,,,
