Título,Autor,Preco de capa,Com Desconto
"DEMOCRACIA E ESTADO DE EXCEÇÃO:TRANSIÇÃO E MEMÓRIA POLÍTICA NO BRASILE NA AFRICA DO SUL","TELES, EDSON","R$35,00","R$17,50"
DESEMPREGO E PROTESTOS SOCIAIS BRASILEIROS,"CANGUSSU DE SOUZA, DAVISSON (O","R$62,00","R$31,00"
DIÁLOGO DAS CIVILIZAÇÕES: CULTURA E PASSAGENS,"OLGÁRIA MATOS, DENISE MILAN E","R$62,00","R$31,00"
DICIONÁRIO BRASILEIRO DE EPÔNIMOS EM MEDICINA,"OSIRIS, COSTELEIRA","R$100,00","R$50,00"
"DOENÇAS E OS MEDOS SOCIAIS, AS","NOGUEIRA MONTEIRO, YARA / LUIZ","R$62,00","R$31,00"
"EDIÇÃO, IMPRENSA E PODER NA FRANÇA DOSÉCULO XX","MOLLIER, JEAN-YVES","R$100,00","R$50,00"
"EDUCAÇÃO LIBERTÁRIA NO BRASIL-ACERVO JOÃO PENTEADO: INVENTÁRIO DE FONTES","SYLVIA VIDIGAL MORAES, CARMEM","R$40,00","R$20,00"
"EDUCAÇÃO PERMANENTE EM SAÚDE:GESTÃO E ENSINO NA CONCEPÇÃO DOSTRABALHADORES","MARIA HOLANDA DE MEDEIROS, NAR","R$43,00","R$21,50"
EM HONRA DE FADIME - ASSASSINATO E HUMILHAÇÃO,"WIKAN, UNNI","R$55,00","R$5,00"
"EMANCIPAÇÃO E LEGITIMIDADE:UMA INTRODUÇÃO À OBRA DE JÜRGEN HABERMAS",CHRISTINA W. ANDREWS,"R$30,00","R$15,00"
"ENSAIOS INTERDICIPLINARES SOBREO RENANSCIMENTO ITALIANO",ALEXANDRE RAGAZZI / PATRICIA D,"R$58,00","R$29,00"
"ENSINO EM CIÊNCIAS DA SAÚDE:FORMAÇÃO PRÁTICA E PROFISSIONAL","SONZOGNO CECÍLIA, MARIA / MARI","R$60,00","R$30,00"
"ENTRE PROTEÇÃO E PUNIÇÃO: O CONTROLE SOCIOPENALDOS ADOLESCENTES","LIDUINA DE OLIVEIRA E SILVA, M","R$42,00","R$21,00"
"ENTRE RIOS E IMPERIOS A NAVEGAÇÃOFLUVIAL NA AMÉRICA DO SUL","FRANCISMAR ALEX LOPES DECAVALHO","R$61,90","R$30,95"
"ESTADO, ARQUITETURA E DESENVOLVIMENTO:A AÇÃO HABITACIONAL DO IAPI",NILCE ARAVECCHIA-BOTAS,"R$58,00","R$29,00"
"ESTRANHO E O ESTRANGEIRO, O","OLGÁRIA MATOS, DENISE MILAN E","R$56,00","R$28,00"
"ESTUDO ANATÔMICO DO MOVIMENTODO CORAÇÃO E DO SANGUE NOS ANIMAIS","HERVEY, WILLIAM / CARLOS PIANT","R$50,00","R$25,00"
EXERCICIO MORA DE MEMORIAL DA MORTE,"Santos, Clara Braz dos","R$42,00","R$21,00"
EXPERIMENTAÇOES EM DIAMANTINA,CRISTIANE SOUZA GONÇALVES,"R$59,90","R$29,95"
"FANNY E MARGOT, LIBERTINAS: O APRENDIZADODO CORPO E DO MUNDO EM DOISROMANCES ERÓTICOS SETECENTISTAS","MARQUES TEIXEIRA, MARIANA","R$54,00","R$27,00"
FANTASMAGORIAS DA MODERNIDADE,ALÉXIA BRETAS,"R$52,90","R$26,45"
"FÉ, GUERRA E ESCRAVIDÃO","TEIXEIRA SANTOS, PATRICIA","R$60,00","R$30,00"
"FILOSOFEMAS II: ARTE, CIÊNCIA,ÉTICA E EXISTÊNCIA, POLÍTICA, RELIGIÃO",JAMIL IBRAHIM ISKANDAR E RITA,"R$96,00","R$48,00"
