TABELA DE PREÇO GIRASSOL,,,
ISBN,DESCRIÇÃO,PREÇO,Desc 50%
9788539423453,DIVERSAO NO BANHO - AMIGOS DA FAZENDA,"R$ 74,90","R$ 37,45"
9788539423460,DIVERSAO NO BANHO - AMIGOS VELOZES,"R$ 74,90","R$ 37,45"
9786555301274,ECOMUNDO - LATINHA,"R$ 59,90","R$ 29,95"
9786555301281,ECOMUNDO - MACA,"R$ 59,90","R$ 29,95"
9788539422432,EMOJI  DIVERSAO - AZUL,"R$ 19,90","R$ 9,95"
9788539422425,EMOJI  DIVERSAO - VERMELHO,"R$ 19,90","R$ 9,95"
9788539424245,ESCONDE-ESCONDE: BICHOS DE ESTIMACAO,"R$ 54,90","R$ 27,45"
9786555300048,EU POSSO SER - UM AJUDANTE ALEGRE,"R$ 69,90","R$ 34,95"
9788539419449,FÁBRICA DE BRINQUEDOS,"R$ 54,90","R$ 27,45"
9788539424313,GUIA COMPLETO PARA DESENHAR QUADRINHOS,"R$ 39,90","R$ 19,95"
9788539423200,HALLOWEEN - AZUL,"R$ 28,90","R$ 14,45"
9788539423194,HALLOWEEN - ROXO,"R$ 28,90","R$ 14,45"
9788539409686,HISTÓRIAS CURANDO HISTORIAS,"R$ 54,90","R$ 27,45"
9786555302882,HISTORIAS DE BRUXAS E DE TERROR - POP,"R$ 36,90","R$ 18,45"
9786555303063,HISTORIAS FANTASTICAS E DE MEDO - POP,"R$ 36,90","R$ 18,45"
9788539424436,HISTORIAS PARA 1 ANO,"R$ 49,90","R$ 24,95"
9788539424443,HISTORIAS PARA 2 ANOS,"R$ 49,90","R$ 24,95"
9788539424450,HISTORIAS PARA 3 ANOS,"R$ 49,90","R$ 24,95"
9788539424467,HISTORIAS PARA 4 ANOS,"R$ 49,90","R$ 24,95"
9788539425044,HORA DE BRINCAR - PASSEIO,"R$ 84,90","R$ 42,45"
9786555303001,JACARE JANTA JACA 2ED,"R$ 36,90","R$ 18,45"
9788539422418,LEIA E MONTE - ARCA DE NOE,"R$ 54,90","R$ 27,45"
9788539421336,LEIA E MONTE - FAZENDA,"R$ 54,90","R$ 27,45"
9788539424764,LEIA E MONTE - FUNDO DO MAR,"R$ 54,90","R$ 27,45"
