""
"",AUTOR,"preço decapa","preço comdesocnto"
POLITICAS E PRATICAS DE ED. INCLUSIVA (T),"GOES,M.R. E LAPLANE, A.L.F.","19,90","9,95"
POR UMA DIDATICA DA EDUCACAO SUPERIOR,ILMA VEIGA E ROSANA FERN,"NDES (6O7R,0G0.",")33,50"
POSITIVISMO: REABRINDO O DEBATE,HERMAS GONCALVES ARAN,"19,90","9,95"
"PRAGMATISMO,TEORIA CRITICA E EDUCACAO",CLAUDIO ALMIR DALBOSCO,"19,90","9,95"
PRATICAS DE LEITURA NA INFANCIA,LEILA CRISTINA BORGES DA,"ILVA19,90","9,95"
PROJETO POLITICO-PEDAGOGICO (T),CASSIA RAVENA M. A. MEDE,"19,90","9,95"
QUALIDADE HUMANA,PEDRO DEMO,"19,90","9,95"
RACA E CLASSE NA GESTAO DA EDUCACAO BASICA,RENISIA CRISTINA GARCIA FI,"ICE19,90","9,95"
ROSAS DO TEMPO,MARIA APARECIDA MOTTA,"39,00","19,50"
"SABER ESCOLAR, CURRICULO E DIDATICA - 7 ED.",NEREIDE SAVIANI,"59,00","29,50"
SISTEMA NACIONAL DE EDUC. E PLANO NACIONAL DE,DERMEVAL SAVIANI,"49,00","24,50"
SOCIEDADE CIVIL E EDUCACAO: FUNDAMENTOS E TRAMAS,MARCOS MARTINS & LUIS G,"OPPO19,90","9,95"
"SONHO,SOMBRAS E SUPER-HEROIS",LUIZ BRAS,"10,00","5,00"
TEORIA (LITERARIA) AMERICANA: UMA INTROD. CRITICA,FABIO AKCELRUD DURAO,"19,90","9,95"
TEORIA CRITICA E CRISES: REFLEXOES SOBRE CULTURA,"BRUNO PUCCI, BELARMINO,","ABIO DU19R,A90","9,95"
TEORIA CRITICA E FORMACAO CULTURAL,"ANONIO ZUIN, LUIZ LASTORI",", LUIZ G5O4M,0E0","27,00"
TEORIA CRITICA E INCONFORMISMO,ANTONIO ALVARO SOARES Z,"IN19,90","9,95"
TEORIA DA HISTORIA E HISTORIA DA EDUCACAO,SERGIO CASTANHO,"19,90","9,95"
TEORIA DA PERSONALIDADE NA SOCIEDADE DE MASSA,DARIO RAGAZZINI,"19,90","9,95"
"TRABALHO, COMUNICACAO E COMPETENCIA",WERNER MARKERT,"46,00","23,00"
"TRABALHO, EDUCACAO E SINDICALISMO NO BRASIL",JOSE DOS SANTOS SOUZA,"59,00","29,50"
"TUCA CUTUCA, A GAIVOTA",SANDRA LOPES,"10,00","5,00"
UM PEIXINHO ESPECIAL,MARCIO PEREIRA MORATO,"10,00","5,00"
UMA EDUCACAO PELA NATUREZA,CARMEN LUCIA SOARES,"65,00","32,50"
VIGOTSKI E O APRENDER A APRENDER .(T),NEWTON  DUARTE,"89,00","44,50"
