Autor,Título,Data de lançamento,Preço R$,Desconto,Preço com desconto,Site
"Morais, Taís; Silva, Eumano",Operação Araguaia,20/04/2005,"R$ 34,00",50%,"R$ 17,00",www.troiaeditora.com.br
"Valente, Rubens",Operação banqueiro,03/01/2014,"R$ 45,00",50%,"R$ 22,50",www.troiaeditora.com.br
"Rabêlo, José Maria; Rabêlo, Thereza",Os caminhos do exílio,10/10/2016,"R$ 59,90",50%,"R$ 29,95",www.troiaeditora.com.br
"Lungarzo, Carlos A.",Os cenários ocultos do caso Battisti,27/11/2012,"R$ 65,00",50%,"R$ 32,50",www.troiaeditora.com.br
"Thomas, Gordon",Os judeus do papa,05/02/2014,"R$ 39,90",50%,"R$ 19,95",www.troiaeditora.com.br
"Borges, Marcio",Os sonhos não envelhecem,01/04/2019,"R$ 75,00",50%,"R$ 37,50",www.troiaeditora.com.br
"Emediato, Luiz Fernando",Os três porquinhos e o lobo Lalau,01/05/2008,"R$ 24,90",50%,"R$ 12,45",www.troiaeditora.com.br
"Magnani, Gustavo",Ovelha,27/07/2015,"R$ 45,00",50%,"R$ 22,50",www.troiaeditora.com.br
"Alkmim, Leonardo",Paralelos,15/08/2013,"R$ 39,00",50%,"R$ 19,50",www.troiaeditora.com.br
"Villaverde, João",Perigosas pedaladas,16/11/2016,"R$ 62,00",50%,"R$ 31,00",www.troiaeditora.com.br
"Abramovich, Fanny",Pisando no Mundo,31/10/2003,"R$ 29,90",50%,"R$ 14,95",www.troiaeditora.com.br
"Moraes, Míriam",Política ‐ 2a edição,20/04/2017,"R$ 45,00",50%,"R$ 22,50",www.troiaeditora.com.br
"Spyer, Juliano",Povo de Deus,01/10/2020,"R$ 46,00",50%,"R$ 23,00",www.troiaeditora.com.br
"Drummond, Roberto",Quando fui morto em Cuba,01/07/2011,"R$ 36,00",50%,"R$ 18,00",www.troiaeditora.com.br
"Santos, Walter Moreira",Quem vai subir no trem do Saci?,09/04/2012,"R$ 36,00",50%,"R$ 18,00",www.troiaeditora.com.br
"Flores, Flávia",Quimioterapia e Beleza,07/10/2013,"R$ 36,00",50%,"R$ 18,00",www.troiaeditora.com.br
"Nasser, Salem",Relatório da Cia,01/04/2019,"R$ 52,00",50%,"R$ 26,00",www.troiaeditora.com.br
