Título,Autores,Preço,Preço com 50%
Antes que a natureza morra,"Dorst, Jean (Autor), Ferri, Mário","R$139,00","R$69,50"
Aprender da experiência,"Bion, Wilfred R. (Autor)","R$57,00","R$28,50"
Aprendizagem motora,"Magill, Richard A. (Autor)","R$136,00","R$68,00"
Aprendizagem motora e o ensino do esporte,"Tani, Go (Organizador), Corrêa,","R$115,00","R$57,50"
Arduino para robótica,"Warren, John-David (Autor), Adams,","R$145,00","R$72,50"
Arquitetura ecológica,"Costa, Ennio Cruz da (Autor)","R$105,00","R$52,50"
"Arroz: tecnologia, processos e usos","Oliveira, Maurício de (Organizador),","R$65,00","R$32,50"
"Arte, educação e contemporaneidade: coleção a reflexão e a","Oliveira, Adriana Silva de (Autor),","R$49,00","R$24,50"
Artes: coleção a reflexão e a prática no ensino,"Rosenthal, Dália (Organizador), Rizzi,","R$48,00","R$24,00"
Árvores e madeiras úteis do Brasil,"Rizzini, Carlos Toledo (Autor)","R$127,00","R$63,50"
As artistas,"Ignotofsky, Rachel (Autor)","R$49,90","R$24,95"
As aventuras psicanalíticas do Inspetor Canal,"Fink, Bruce (Autor)","R$95,00","R$47,50"
As cientistas,"Ignotofsky, Rachel (Autor)","R$49,90","R$24,95"
As esportistas,"Ignotofsky, Rachel (Autor)","R$54,90","R$27,45"
Assistência social e psicologia,"Saraiva, Luís Fernando de Oliveira","R$56,00","R$28,00"
Aterramento em atmosferas explosivas,"Rando, Ricardo (Autor)","R$85,00","R$42,50"
Autoestima: série o que fazer?,"Tucherman, Sonia Eva (Autor)","R$30,00","R$15,00"
Bancos de dados,"Setzer, Valdemar W. (Autor), Silva,","R$105,00","R$52,50"
Bancos de dados orientados a objetos,"Nassu, Eugênio A. (Autor), Setzer,","R$51,00","R$25,50"
Bebidas alcoólicas,"Venturini Filho, Waldemar Gastoni","R$181,00","R$90,50"
Bebidas não alcoólicas,"Venturini Filho, Waldemar Gastoni","R$163,00","R$81,50"
"Biocorrosão, biofouling e biodeterioração de materiais","Videla, Héctor A. (Autor)","R$82,00","R$41,00"
Bioestatística para os cursos de graduação da área da saúde,"Martinez, Edson Zangiacomi (Autor)","R$98,00","R$49,00"
Bion: a décima face,"Rezze, Cecil José (Organizador),","R$80,00","R$40,00"
