Título,Autores,Preço,Preço com 50%
"Freud, pensador da cultura","Mezan, Renato (Autor)","R$175,00","R$87,50"
Frida Kahlo: pequenos livros sobre grandes pessoas,"Thomas, Isabel (Autor)","R$44,90","R$22,45"
Fundamentos da análise fractográfica de falhas de materiais,"Barbosa, Cássio (Autor), Eliakim,","R$54,00","R$27,00"
Fundamentos da cromatografia a líquido de alto desempenho,"Ciola, Remolo (Autor)","R$99,00","R$49,50"
Fundamentos da física estatística,"Leonel, Edson Denis (Autor)","R$128,00","R$64,00"
Fundamentos da mecânica dos fluidos,"Munson, Bruce R. (Autor), Young,","R$162,00","R$81,00"
Fundamentos da pesquisa em ciência política,"Kellstedt, Paul M. (Autor), Whitten,","R$94,00","R$47,00"
Fundamentos da técnica psicanalítica,"Fink, Bruce (Autor)","R$98,00","R$49,00"
Fundamentos da teoria de erros,"Vuolo, José Henrique (Autor)","R$90,00","R$45,00"
Fundamentos da termodinâmica,"Borgnakke, Claus (Autor), Sonntag,","R$208,00","R$104,00"
Fundamentos da termodinâmica clássica,"Wylen, Gordon Van (Autor), Sonntag,","R$127,00","R$63,50"
Fundamentos da usinagem dos metais,"Ferraresi, Dino (Autor)","R$164,00","R$82,00"
Fundamentos de transferência de massa,"Cremasco, Marco Aurélio (Autor)","R$153,00","R$76,50"
Fundamentos e aplicações da psicrometria,"Simões-Moreira, José Roberto (Autor),","R$70,00","R$35,00"
Fundamentos matemáticos para geofísica I,"Portugal, Rodrigo S. (Autor)","R$124,00","R$62,00"
Gamificação em debate,"Santaella, Lucia (Organizador),","R$64,00","R$32,00"
Garantias judiciais no processo tributário,"Mascitto, Andréa (Autor), Orsolon,","R$65,00","R$32,50"
Gás natural aplicado à indústria e ao grande comércio,"Monteiro, Jorge Venâncio de Freitas","R$65,00","R$32,50"
Genética e DNA em quadrinhos,"Schultz, Mark (Autor)","R$37,00","R$18,50"
Geografia:Coleção A Reflexão e a Prática no Ensino,"Pereira, Robson da Silva (Autor), Cano,","R$65,00","R$32,50"
Geografia: Contribuições para o ensino e para a aprendizagem,"Pereira, Robson da Silva (Autor), Cano,","R$49,00","R$24,50"
Geologia e geotecnia básica para engenharia civil,"Queiroz, Rudney C. (Autor)","R$120,00","R$60,00"
Geologia sedimentar,"Suguio, Kenitiro (Autor)","R$167,00","R$83,50"
Geometria analítica no plano,"Bourchtein, Andrei (Autor),","R$74,00","R$37,00"
Geometria descritiva - vol 1,"Montenegro, Gildo (Autor)","R$61,00","R$30,50"
Geometria descritiva - vol 2,"Montenegro, Gildo (Autor)","R$38,00","R$19,00"
Geomorfologia,"Christofoletti, Antonio (Autor)","R$77,00","R$38,50"
Gerenciamento da tecnologia,"Vasconcellos, Eduardo (Coordenador)","R$106,00","R$53,00"
Gerenciamento de projetos,"Kerzner, Harold R. (Autor)","R$215,00","R$107,50"
Gestão da produção,"Wieneke, Falko (Autor)","R$75,00","R$37,50"
Gestão da qualidade,"Kirchner, Arndt (Autor), Kaufmann,","R$77,00","R$38,50"
Gestão de manutenção em serviços de saúde,"Souza, Alexandre Ferreli (Autor),","R$65,00","R$32,50"
Gestão de operações,"Contador, José Celso (Coordenador)","R$129,00","R$64,50"
Grafos: Introdução e prática,"Boaventura Netto, Paulo Oswaldo","R$64,00","R$32,00"
"Grafos: Teoria, modelos, algoritmos","Boaventura Netto, Paulo Oswaldo","R$128,00","R$64,00"
Gravidez,"Raphael-Leff, Joan (Autor)","R$82,00","R$41,00"
Guia para aulas práticas de biotecnologia de enzimas e,"Rocha Filho, José Alves (Autor), Vitolo,","R$55,00","R$27,50"
Habitar em risco,"Marandola Jr., Eduardo (Autor)","R$73,00","R$36,50"
Half-Real,"Juul, Jesper (Autor)","R$64,00","R$32,00"
Herança,"Nigri, Tânia (Autor)","R$32,00","R$16,00"
Heranças invisíveis do abandono afetivo,"Schor, Daniel (Autor)","R$54,00","R$27,00"
Hidrologia,"Garcez, Lucas Nogueira (Autor),","R$129,00","R$64,50"
Hidrologia básica,"Pinto, Nelson L. de Sousa (Autor),","R$117,00","R$58,50"
História - Coleção A Reflexão e a Prática no Ensino,"Oliveira, Regina Soares de (Autor),","R$52,00","R$26,00"
História da matemática,"Boyer, Carl B. (Autor), Merzbach, Uta","R$139,00","R$69,50"
Historia del diseño en América Latina y el Caribe,"Fernández, Silvia (Coordenador),","R$104,00","R$52,00"
História ecológica da Terra,"Salgado-Labouriau, Maria Léa (Autor)","R$104,00","R$52,00"
Histórias do saneamento,"Rocha, Aristides Almeida (Autor)","R$50,00","R$25,00"
Histórias recobridoras,"Inglez-Mazzarella, Tatiana (Autor)","R$78,00","R$39,00"
IAC,"Leon, Ethel (Autor)","R$52,00","R$26,00"
Identidades visuais flexíveis,"Silva Junior, Jair Alves da (Autor)","R$60,00","R$30,00"
"Identificação de plásticos, borrachas e fibras","Mano, Eloisa Biasotto (Autor),","R$97,00","R$48,50"
Iluminação elétrica,"Moreira, Vinicius de Araujo (Autor)","R$92,00","R$46,00"
Ilustração e artes gráficas,"Cavalcante, Sebastião Antunes","R$42,00","R$21,00"
Impactos tributários decorrentes da adoção do IFRS no Brasil,"Matarazzo, Giancarlo Chamma","R$74,00","R$37,00"
Impressões de minha análise com Wilfred R. Bion e outros,"Mattos, José Américo Junqueira de","R$95,00","R$47,50"
"Imunidade, memória, trauma","Azevedo, Ana Maria Andrade (Autor),","R$80,00","R$40,00"
Indústria 4.0: impactos sociais e profissionais,"Accorsi, André (Autor), Freitas, Cinthia","R$39,00","R$19,50"
Indústria 4.0: conceitos e fundamentos,"Sátyro, Walter Cardoso (Organizador),","R$54,00","R$27,00"
Indústria de bebidas - vol 3,"Venturini Filho, Waldemar Gastoni","R$163,00","R$81,50"
Indústria do petróleo no Brasil e no mundo,"D'Almeida, Albino Lopes (Autor)","R$129,00","R$64,50"
Indústria química,"Wongtschowski, Pedro (Autor)","R$103,00","R$51,50"
Industrial solvents,"Garbelotto, Paulo (Coordenador)","R$142,00","R$71,00"
"Infância, vínculos e diversidade profissional","Silva, Maria Cecília Pereira da","R$125,00","R$62,50"
Infografia,"Moraes, Ary (Autor), Braga, Marcos","R$33,00","R$16,50"
Infra-estrutura de pontes de vigas,"Freitas, Moacyr de (Autor)","R$52,00","R$26,00"
Inglês - Col. A Reflexão e a prática no ensino médio - vol 2,"Liberali, Fernanda Coelho","R$49,00","R$24,50"
Inglês - Col. A Reflexão e a prática no ensino - vol 2,"Liberali, Fernanda Coelho","R$55,00","R$27,50"
Inquietações - Serenidade,"Sandler, Paulo Cesar (Organizador),","R$130,00","R$65,00"
Instalações elétricas,"Negrisoli, Manoel E. M. (Autor)","R$72,00","R$36,00"
Instalações elétricas e o projeto de arquitetura,"Carvalho Júnior, Roberto de (Autor)","R$94,00","R$47,00"
Instalações elétricas residenciais básicas,"Botelho, Manoel Henrique Campos","R$52,00","R$26,00"
Instalações hidráulicas e o projeto de arquitetura,"Carvalho Júnior, Roberto de (Autor)","R$115,00","R$57,50"
Instalações hidráulicas prediais,"Botelho, Manoel Henrique Campos","R$125,00","R$62,50"
Instalações prediais hidráulico-sanitárias: princípios básicos para,"Carvalho Júnior, Roberto de (Autor)","R$104,00","R$52,00"
Instalações prediais hidráulico-sanitárias,"Melo, Vanderley de Oliveira (Autor),","R$87,00","R$43,50"
Inteligência artificial em controle e automação,"Nascimento Jr., Cairo L. (Autor),","R$91,00","R$45,50"
Inteligência visual e 3-D,"Montenegro, Gildo A. (Autor)","R$40,00","R$20,00"
"Interações: Ser professor de bebês - Cuidar, educar e brincar,","Ortiz, Cisele (Autor), Carvalho, Maria","R$70,00","R$35,00"
Interações: Raízes históricas brasileiras,"Neves, Ana Maria Bergamin (Autor),","R$37,00","R$18,50"
Interações: Onde está a arte na infância?,"Barbieri, Stela (Autor), Alves, Maria","R$69,00","R$34,50"
Interações: Encontros de leitura e escrita,"Pannuti, Daniela (Autor), Alves, Maria","R$55,00","R$27,50"
Interações: Educação física lúdica,"Nastari, Ricardo (Autor), Alves, Maria","R$36,00","R$18,00"
Interações: Diálogos entre o fazer e o olhar na arte,"Gusmão, Celina (Autor), Alves, Maria","R$109,00","R$54,50"
Interações: Diálogos com as inquietações dos educadores da,"Cortez, Clélia (Autor), Alves, Maria","R$52,00","R$26,00"
Interações: Diálogos com a matemática,"Silva, Adriana Camejo da (Autor),","R$40,00","R$20,00"
"Interações: Crianças, brincadeiras brasileiras e escola","Almeida, Lucila Silva de (Autor), Alves,","R$47,00","R$23,50"
"Interações: Crianças, dança e escola","Marques, Isabel A. (Autor), Alves,","R$52,00","R$26,00"
Interações: Com olhos de ler,"Fonseca, Edi (Autor), Alves, Maria","R$60,00","R$30,00"
Interculturalidade e vínculos familiares,"Weissmann, Lisette (Autor)","R$67,00","R$33,50"
Interfaces da psicanálise,"Mezan, Renato (Autor)","R$135,00","R$67,50"
Interfaces prediais,"Carvalho Júnior, Roberto de (Autor)","R$88,00","R$44,00"
Introdução à análise de dados categóricos com aplicações,"Giolo, Suely Ruiz (Autor)","R$76,00","R$38,00"
Introdução à análise matemática,"Ávila, Geraldo (Autor)","R$99,00","R$49,50"
Introdução à bioquímica,"Conn, Eric E. (Autor), Stumpf, Paul Karl","R$129,00","R$64,50"
Introdução à dinâmica das estruturas,"Brasil, Reyolando M. L. R. F. (Autor),","R$84,00","R$42,00"
Introdução à engenharia civil,"Queiroz, Rudney C. (Autor)","R$62,00","R$31,00"
Introdução à engenharia de fabricação mecânica,"Novaski, Olívio (Autor)","R$99,00","R$49,50"
Introdução à ergonomia,"Abrahão, Júlia (Autor), Sznelwar,","R$112,00","R$56,00"
Introdução à estatística,"Ara, Amilton Braio (Autor), Musetti,","R$71,00","R$35,50"
Introdução à geometria diferencial,"Tenenblat, Keti (Autor)","R$91,00","R$45,50"
Introdução à mecânica dos sólidos,"Popov, Egor P. (Autor)","R$149,00","R$74,50"
Introdução a polímeros,"Mano, Eloisa Biasotto (Autor),","R$90,00","R$45,00"
Introdução à proteção dos sistemas elétricos,"Caminha, Amadeu C. (Autor)","R$99,00","R$49,50"
Introdução à robótica,"Mataric, Maja J. (Autor)","R$92,00","R$46,00"
Introdução a sistemas elétricos de potência,"Oliveira, Carlos César Barioni de","R$152,00","R$76,00"
Introdução ao cálculo: Cálculo diferencial - vol 1,"Boulos, Paulo (Autor)","R$72,00","R$36,00"
"Introdução ao cálculo: Cálculo integral, séries - vol 2","Boulos, Paulo (Autor)","R$82,00","R$41,00"
Introdução ao cálculo: Cálculo diferencial: várias variáveis - vol 3,"Boulos, Paulo (Autor)","R$72,00","R$36,00"
Introdução ao delineamento de experimentos,"Calegare, Álvaro José de Almeida","R$57,00","R$28,50"
Introdução ao eletromagnetismo,"Oliveira, Ivan de (Autor)","R$89,00","R$44,50"
Introdução aos processos de fabricação de produtos metálicos,"Kiminami, Claudio Shyinti (Autor),","R$77,00","R$38,50"
Introdução aos sistemas de distribuição de energia elétrica,"Kagan, Nelson (Autor), Oliveira, Carlos","R$142,00","R$71,00"
Introdução às ciências térmicas,"Schmidt, Frank W. (Autor), Henderson,","R$154,00","R$77,00"
Introdução às linguagens de programação para CLP,"Silva, Edilson Alfredo da (Autor)","R$105,00","R$52,50"
Introdução às vibrações mecânicas,"Sotelo Jr., José (Autor), França, Luis","R$64,00","R$32,00"
Invariância de escala em sistemas dinâmicos não lineares,"Leonel, Edson Denis (Autor)","R$129,00","R$64,50"
Janelas da psicanálise,"Rocha, Fernando (Autor)","R$84,00","R$42,00"
Jung: o homem criativo,"Grinberg, Luiz Paulo (Autor)","R$79,00","R$39,50"
Lei Geral de Proteção de Dados (LGPD),"Garcia, Lara Rocha (Autor), Aguilera-","R$45,00","R$22,50"
Leitura e produção de texto - Coleção A Reflexão e a Prática no,"Cintra, Anna Maria Marques (Autor),","R$58,00","R$29,00"
Leonardo Da Vinci: pequenos livros sobre grandes pessoas,"Thomas, Isabel (Autor)","R$44,90","R$22,45"
Level UP,"Rogers, Scott (Autor)","R$149,00","R$74,50"
Lições em mecânica das estruturas,"Mazzilli, Carlos Eduardo Nigro (Autor),","R$120,00","R$60,00"
"Língua portuguesa: Sujeito, leitura e produção - vol 1","Cano, Márcio Rogério de Oliveira","R$54,00","R$27,00"
Língua portuguesa - Coleção A Reflexão e a Prática no Ensino,"Palma, Dieli Vesaro (Autor), Cano,","R$61,00","R$30,50"
Líquido,"Miodownik, Mark (Autor)","R$49,90","R$24,95"
Literatura e subjetividade - Coleção A Reflexão e a Prática no,"Portolomeos, Andréa (Organizador),","R$54,00","R$27,00"
Logística aplicada,"Alvarenga, Antonio Carlos (Autor),","R$91,00","R$45,50"
Maconha,"Zemel, Maria de Lurdes S.","R$41,00","R$20,50"
Madeiras brasileiras,"Pereira, Andréa Franco (Autor)","R$84,00","R$42,00"
Mãe de primeira viagem,"Dwek, Vanessa (Autor)","R$59,00","R$29,50"
Manual brasileiro de geossintéticos,"Vertematti, José Carlos (Coordenador)","R$165,00","R$82,50"
Manual da prática clínica em psicologia e psicopatologia,"Roussillon, René (Autor)","R$85,00","R$42,50"
Manual de anatomia do exercício,"Ashwell, Ken (Autor)","R$129,00","R$64,50"
Manual de BDI,"Silva, Mozart Bezerra da (Autor)","R$85,00","R$42,50"
Manual de biodiesel,"Blucher (Instituição), Knothe, Gerhard","R$130,00","R$65,00"
Manual de bioquímica com correlações clínicas,"Devlin, Thomas M. (Coordenador)","R$311,00","R$155,50"
Manual de hidráulica,"Azevedo Netto (Autor), Fernández y","R$201,00","R$100,50"
Manual de medição de vazão,"Delmée, Gérard J. (Autor)","R$146,00","R$73,00"
Manual de métodos de análise microbiológica de alimentos e,"Silva, Neusely da (Autor), Junqueira,","R$250,00","R$125,00"
Manual de pesquisa clínica aplicada à saúde,"Lunardi, Adriana Claudia (Organizador)","R$130,00","R$65,00"
Manual de práticas e estudos dirigidos,"Michelacci, Yara M. (Coordenador),","R$48,00","R$24,00"
Manual de primeiros socorros do engenheiro e do arquiteto -,"Botelho, Manoel Henrique Campos","R$108,00","R$54,00"
Manual de primeiros socorros do engenheiro e do arquiteto -,"Botelho, Manoel Henrique Campos","R$98,00","R$49,00"
"Manual de soluções, reagentes e solventes","Morita, Tokio (Autor), Assumpção,","R$181,00","R$90,50"
Manual de tecnologia automotiva,"Bosch, Robert (Autor)","R$181,00","R$90,50"
Manual de tecnologia da madeira,"Nennewitz, Ingo (Autor), Nutsch,","R$137,00","R$68,50"
Manual de tecnologia metal mecânica,"Fischer, Ulrich (Autor), Gomeringer,","R$149,00","R$74,50"
Manual descomplicado de tecnologia de tintas,"Barrios, Silmar (Organizador), Oxiteno","R$90,00","R$45,00"
Manual prático de arquitetura hospitalar,"Góes, Ronald de (Autor)","R$112,00","R$56,00"
Manual prático de arquitetura para clínicas e laboratórios,"Góes, Ronald de (Autor)","R$112,00","R$56,00"
Manufatura aditiva,"Volpato, Neri (Organizador)","R$120,00","R$60,00"
Manuscrito inédito de 1931,"Freud, Sigmund (Autor)","R$40,00","R$20,00"
Manutenção de transformadores em líquido isolante,"Milasch, Milan (Autor)","R$143,00","R$71,50"
Marcas - Design estratégico,"Consolo, Cecilia (Autor)","R$64,00","R$32,00"
Marie Curie: pequenos livros sobre grandes pessoas,"Thomas, Isabel (Autor)","R$44,90","R$22,45"
Matemática: Coleção a Reflexão e a Prática no Ensino Médio,"Mendes, Rosana Maria (Organizador),","R$60,00","R$30,00"
Matemática: Coleção A Reflexão e a Prática no Ensino,"Abar, Celina Aparecida Almeida","R$54,00","R$27,00"
Matemática com aplicações tecnológicas: Matemática básica -,"Yamashiro, Seizen (Autor), Souza,","R$109,00","R$54,50"
Matemática com aplicações tecnológicas: Cálculo I - vol 2,"Yamashiro, Seizen (Autor), Souza,","R$109,00","R$54,50"
Matemática com aplicações tecnológicas: Cálculo II - vol 3,"Yamashiro, Seizen (Autor), Souza,","R$98,00","R$49,00"
Matemática com aplicações tecnológicas: Matemática financeira,"Vereta, Jaques (Organizador), Telles,","R$155,00","R$77,50"
Matemática financeira e engenharia econômica,"Vannucci, Luiz Roberto (Autor)","R$85,00","R$42,50"
Materiais elétricos: Condutores e semicondutores - vol 1,"Schmidt, Walfredo (Autor)","R$54,00","R$27,00"
Materiais elétricos: Isolantes e magnéticos - vol 2,"Schmidt, Walfredo (Autor)","R$63,00","R$31,50"
Materiais elétricos: Aplicações - vol 3,"Schmidt, Walfredo (Autor)","R$91,00","R$45,50"
Materiais em design,"Lefteri, Chris (Autor)","R$89,00","R$44,50"
Materiais para embalagens - vol 3,"Twede, Diana (Autor), Goddard, Ron","R$77,00","R$38,50"
Matérias-primas dos alimentos,"Lima, Urgel de Almeida (Autor)","R$125,00","R$62,50"
Matrizes míticas na obra de Bion,"Lima, Andréa Ciciarelli Pereira","R$74,00","R$37,00"
Mecânica dos fluidos,"Bistafa, Sylvio R. (Autor)","R$110,00","R$55,00"
Mecânica e cálculo - vol 1,"Boulos, Paulo (Autor), Zagottis, Decio","R$90,00","R$45,00"
Mecânica geral,"França, Luis Novaes Ferreira (Autor),","R$112,00","R$56,00"
Medição e qualidade,"Santana, José Paulo Cerqueira de","R$129,00","R$64,50"
Medicina de bolso,"Sabatine, Marc S. (Autor)","R$80,00","R$40,00"
Médico e paciente,"Wahba, Liliana Liviano (Autor)","R$45,00","R$22,50"
Meias verdades,"Ogden, Thomas H. (Autor)","R$60,00","R$30,00"
"Meio ambiente, poluição e reciclagem","Mano, Eloisa Biasotto (Autor),","R$77,00","R$38,50"
Melanie Klein: autobiografa comentada,"Klein, Melanie (Autor), Socha,","R$55,00","R$27,50"
Memória,"Parreira, Ricardo Cambraia","R$34,00","R$17,00"
Mercado popular no Brasil,"Wright, James Terence Coulter","R$48,00","R$24,00"
Metadesign,"Vassão, Caio Adorno (Autor), Costa,","R$40,00","R$20,00"
Metagestão organizacional,"Ibañez, Hugo Alvaro Murillo (Autor),","R$93,00","R$46,50"
Metalografia dos produtos siderúrgicos comuns,"Colpaert, Hubertus (Autor), Silva,","R$234,00","R$117,00"
Metalurgia básica para ourives e designers,"Kliauga, Andréa Madeira (Autor),","R$116,00","R$58,00"
Metaprojeto,"Moraes, Dijon De (Autor)","R$104,00","R$52,00"
Metapsicologia dos limites,"Junqueira, Camila (Autor)","R$65,00","R$32,50"
Metodologia científica,"Alexandre, Agripa Faria (Autor)","R$50,00","R$25,00"
Metodologia do projeto,"Madureira, Omar Moore de (Autor)","R$130,00","R$65,00"
Métodos de otimização aplicados a sistemas elétricos de,"Kagan, Nelson (Autor), Schmidt,","R$95,00","R$47,50"
Métodos instrumentais de análise química - vol 1,"Ewing, Galen W. (Autor)","R$112,00","R$56,00"
Métodos instrumentais de análise química - vol 2,"Ewing, Galen W. (Autor)","R$105,00","R$52,50"
Métodos numéricos e computacionais na prática de engenharias,"Brasil, Reyolando M. L. R. F. (Autor),","R$66,00","R$33,00"
Metrópoles e o desafio urbano - vol 6,"Roméro, Marcelo de Andrade (Autor),","R$43,00","R$21,50"
Microrganismos em alimentos 8,ICMSF (Instituição),"R$315,00","R$157,50"
Minério de ferro,"Chemale Junior, Farid (Autor),","R$85,00","R$42,50"
Modelagem de sistemas ambientais,"Christofoletti, Antonio (Autor)","R$137,00","R$68,50"
Modelagem e controle da produção de petróleo,"Nunes, Giovani Cavalcanti (Autor),","R$194,00","R$97,00"
Modelos matemáticos nas ciências não-exatas - vol 1,"Nogueira, Eduardo Arantes","R$40,00","R$20,00"
Modelos matemáticos nas ciências não exatas - vol 2,"Nogueira, Eduardo Arantes","R$40,00","R$20,00"
Moléculas em exposição,"Emsley, John (Autor)","R$59,00","R$29,50"
Motores de combustão interna - vol 1,"Brunetti, Franco (Autor)","R$170,00","R$85,00"
Motores de combustão interna - vol 2,"Brunetti, Franco (Autor)","R$157,00","R$78,50"
Mudanças climáticas e as cidades,"Ojima, Ricardo (Organizador),","R$85,00","R$42,50"
Muros de arrimo,"Marchetti, Osvaldemar (Autor)","R$61,00","R$30,50"
Na sala de análise,"Ferro, Antonino (Autor)","R$83,00","R$41,50"
Nanotecnologia em embalagens - vol 2,"Moore, Graham (Autor)","R$52,00","R$26,00"
Nanotecnologia experimental,"Toma, Henrique E. (Autor), Silva,","R$50,00","R$25,00"
Nanotecnologia molecular - vol 6,"Toma, Henrique E. (Autor)","R$98,00","R$49,00"
Não há planeta B,"Berners-Lee, Mike (Autor)","R$54,90","R$27,45"
Navegação inquieta,"Meyer, Luiz (Autor)","R$95,00","R$47,50"
"Nem sapo, nem princesa","França, Cassandra Pereira (Autor)","R$54,00","R$27,00"
Neurose e não neurose,"Minerbo, Marion (Autor)","R$84,00","R$42,00"
Nomenclatura básica de química inorgânica,"Toma, Henrique Eisi (Autor), Ferreira,","R$46,00","R$23,00"
Novas fronteiras em inovação aberta,"Chesbrough, Henry (Autor),","R$105,00","R$52,50"
Novos diálogos sobre a clínica psicanalítica,"Minerbo, Marion (Autor)","R$70,00","R$35,00"
O autista e a sua voz,"Maleval, Jean-Claude (Autor)","R$90,00","R$45,00"
O brincar na clínica psicanalítica de crianças com autismo,"Tavares, Talita Arruda (Autor)","R$39,00","R$19,50"
O claustro,"Meltzer, Donald (Autor)","R$72,00","R$36,00"
O complexo fraterno,"Kancyper, Luis (Autor)","R$80,00","R$40,00"
O coração pensante,"Alvarez, Anne (Autor)","R$90,00","R$45,00"
O desafio da sustentabilidade na construção civil,"Agopyan, Vahan (Autor), John,","R$48,00","R$24,00"
O desenvolvimento estético,"Williams, Meg Harris (Autor)","R$85,00","R$42,50"
O design brasileiro de tipos digitais,"Esteves, Ricardo (Autor), Farias,","R$40,00","R$20,00"
O edifício até sua cobertura,"Azeredo, Hélio Alves de (Autor)","R$79,00","R$39,50"
O edifício e seu acabamento,"Azeredo, Hélio Alves de (Autor)","R$79,00","R$39,50"
O ensino paulistano de design,"Carvalho, Ana Paula Coelho de (Autor),","R$103,00","R$51,50"
O Eu em ruína,"Marraccini, Eliane Michelini","R$89,00","R$44,50"
O grafite e a psique de São Paulo,"Wahba, Liliana Liviano (Organizador)","R$29,00","R$14,50"
O guia Oxford da cerveja,"Oliver, Garrett (Editor), Mendes, Iron","R$180,00","R$90,00"
O incômodo,"Freud, Sigmund (Autor)","R$40,00","R$20,00"
O infantil na psicanálise,"Tanis, Bernardo (Autor)","R$60,00","R$30,00"
O lugar do gênero na psicanálise,"Lattanzio, Felippe Figueiredo (Autor)","R$89,00","R$44,50"
O prazer no pensar,"Santos, Walkiria Nunez Paulo dos","R$92,00","R$46,00"
O processamento cerâmico sem mistério,"Setz, Luiz Fernando Grespan (Autor),","R$75,00","R$37,50"
O processo criativo,"Castelo Filho, Claudio (Autor)","R$76,00","R$38,00"
O processo tributário,"Mascitto, Andréa (Autor), Miguel,","R$65,00","R$32,50"
"O psicanalista, o teatro dos sonhos e a clínica do enactment","Cassorla, R. M. S. (Autor)","R$70,00","R$35,00"
O psicólogo no hospital,"Kernkraut, Ana Merzel (Organizador),","R$125,00","R$62,50"
O psiquiatra em conflito,"Castellana, Gustavo Bonini (Autor)","R$54,00","R$27,00"
O que é psicanálise,"Herrmann, Fabio (Autor)","R$28,00","R$14,00"
O que pode a psicanálise,"Winograd, Monah (Organizador),","R$80,00","R$40,00"
"O que todo médico deve saber sobre impostos, taxas e","Ejchel, Fábio K. (Autor)","R$52,00","R$26,00"
O sonho de Bion,"Williams, Meg Harris (Autor)","R$44,00","R$22,00"
O tempo e os medos,"Bolguese, Maria Silvia de Mesquista","R$76,00","R$38,00"
O traço,"Noordzij, Gerrit (Autor)","R$40,00","R$20,00"
O traço dá ideia,"Montenegro, Gildo (Autor)","R$45,00","R$22,50"
O tronco e os ramos,"Mezan, Renato (Autor)","R$145,00","R$72,50"
O vale da feitura da alma,"Williams, Meg Harris (Autor)","R$98,00","R$49,00"
"Objeto, modo de usar","Gazire, Patrícia Cabianca (Autor)","R$58,00","R$29,00"
Observação de bebês,"França, Neyla Regina A. F.","R$55,00","R$27,50"
Operação de caldeiras,"Botelho, Manoel Henrique Campos","R$77,00","R$38,50"
Operações unitárias em sistemas particulados e fluidomecânicos,"Cremasco, Marco Aurélio (Autor)","R$149,00","R$74,50"
Orientação profissional,"Leite, Maria Stella Sampaio (Autor)","R$28,00","R$14,00"
Os bastidores do incrível planeta Terra,"Ignotofsky, Rachel (Autor)","R$69,90","R$34,95"
Os lugares da psicanálise na clínica e na cultura,"Franco, Wilson (Autor)","R$72,00","R$36,00"
Os melhores textos de Richard P. Feynman,"Feynman, Richard P. (Autor), Robbins,","R$39,00","R$19,50"
Os muitos nomes de Silvana,"Musatti-Braga, Ana Paula (Autor)","R$105,00","R$52,50"
Os olhos da alma,"Rolland, Jean-Claude (Autor)","R$60,00","R$30,00"
Os sete elementos essenciais da gestão,"Silva Neto, Arnaldo (Autor), Silva,","R$49,90","R$24,95"
Otimização de projetos de engenharia,"Brasil, Reyolando M. L. R. F. (Autor),","R$60,00","R$30,00"
"Pai assassinado, pai morto","Perelberg, Rosine Jozef (Autor)","R$80,00","R$40,00"
Passado e presente,"Azevedo, Ana Maria Andrade (Autor)","R$107,00","R$53,50"
Patologias em sistemas prediais hidráulico-sanitários,"Carvalho Júnior, Roberto de (Autor)","R$80,00","R$40,00"
Paul Erdős: as mais belas demonstrações matemáticas,"Aigner, Martin (Autor), Ziegler, Günter","R$95,00","R$47,50"
Pequeno manual de instalações elétricas em atmosferas,"Jordão, Dácio de Miranda (Autor)","R$30,00","R$15,00"
Pesquisa operacional para cursos de engenharia de produção,"Abensur, Eder Oliveira (Autor)","R$59,00","R$29,50"
Planejamento e controle da produção (PCP),"Cardoso, Wagner (Autor)","R$90,00","R$45,00"
Polímeros como materiais de engenharia,"Mano, Eloisa Biasotto (Autor)","R$91,00","R$45,50"
Pontes de concreto armado,"Marchetti, Osvaldemar (Autor)","R$99,00","R$49,50"
Pontes em concreto armado,"Cavalcante, Gustavo Henrique Ferreira","R$140,00","R$70,00"
População e ambiente,"Hogan, Daniel Joseph (Autor),","R$36,00","R$18,00"
Portfólio digital de design,"Clazie, Ian (Autor)","R$99,00","R$49,50"
Posto de observação,"Telles, Sérgio (Autor)","R$95,00","R$47,50"
Pousadas e hotéis,"Góes, Ronald de (Autor)","R$83,00","R$41,50"
Prática das pequenas construções - vol 1,"Borges, Alberto de Campos (Autor)","R$138,00","R$69,00"
Prática das pequenas construções - vol 2,"Borges, Alberto de Campos (Autor)","R$73,00","R$36,50"
Práticas de físico-química,"Rangel, Renato N. (Autor)","R$121,00","R$60,50"
Práticas de química orgânica,"Mano, Eloisa Biasotto (Autor), Seabra,","R$95,00","R$47,50"
Práticas e protocolos básicos de biologia molecular,"Matias, Fernanda (Organizador)","R$90,00","R$45,00"
Previsão e controle das fundações,"Alonso, Urbano Rodriguez (Autor)","R$79,00","R$39,50"
Princípios da mecânica dos solos e fundações para a construção,"Botelho, Manoel Henrique Campos","R$79,00","R$39,50"
Princípios de ciência dos materiais,"Vlack, Lawrence H. Van (Autor)","R$117,00","R$58,50"
Princípios de linguagens de programação,"Melo, Ana Cristina Vieira de (Autor),","R$90,00","R$45,00"
Princípios dos processos de fabricação utilizando metais e,"Lira, Valdemir Martins (Autor)","R$74,00","R$37,00"
Princípios físicos de sensoriamento remoto,"Lorenzzetti, J. A. (Autor)","R$91,00","R$45,50"
Proálcool 40 anos,"Cortez, Luís Augusto Barbosa","R$49,00","R$24,50"
Probabilidades,"Costa Neto, Pedro Luiz de Oliveira","R$73,00","R$36,50"
Processamento de imagens digitais,"Gonzalez, Rafael C. (Autor), Woods,","R$176,00","R$88,00"
Processo de movimentação de mercadorias,"Alves, Daniel (Autor)","R$45,00","R$22,50"
Processos de fabricação por impressão 3D,"Lira, Valdemir Martins (Autor)","R$40,00","R$20,00"
