9788558890823,A CONTRAPARTIDA,"44,90","22,45"
9788565859721,A COR DA CORAGEM,"69,90","34,95"
9788558890250,A DIVERSIDADE EM PERIGO,"54,90","27,45"
9786588490051,A ESTRELA MAIS ESCURA,"49,90","24,95"
9788558890359,A GAROTA DO CEMITERIO,"59,90","29,95"
9786588490006,A GAROTA QUE LE  NO METRO,"34,90","17,45"
9788558890861,A HISTORIA DA ASTROLOGIA PARA QUEM TEM PRESSA,"39,90","19,95"
9788558890472,A HISTORIA DA CI NCIA PARA QUEM TEM PRESSA,"39,90","19,95"
9788565859868,A HISTORIA DA MITOLOGIA PARA QUEM TEM PRESSA,"39,90","19,95"
9788558890991,A HISTORIA DE JESUS PARA QUEM TEM PRESSA,"39,90","19,95"
9788558890144,A HISTORIA DO BRASIL PARA QUEM TEM PRESSA,"39,90","19,95"
9788558890663,A HISTORIA DO CINEMA PARA QUEM TEM PRESSA,"39,90","19,95"
9788558890885,A HISTORIA DO FUTEBOL PARA QUEM TEM PRESSA,"39,90","19,95"
9788565859516,A HISTORIA DO MUNDO PARA QUEM TEM PRESSA,"39,90","19,95"
9788558890526,A HISTORIA DO SECULO 20 PARA QUEM TEM PRESSA,"39,90","19,95"
9788558891059,A HISTORIA DO SISTEMA SOLAR PARA QUEM TEM PRESSA,"39,90","19,95"
9788558890762,A HISTORIA DO UNIVERSO PARA QUEM TEM PRESSA,"39,90","19,95"
9788558890410,A IDENTIDADE SECRETA DOS SUPER-HEROIS,"54,90","27,45"
9788558890243,A IMPOSSIVEL FACA DA MEMORIA,"49,90","24,95"
9788565859028,A MODERNA CIE NCIA DO YOGA,"64,90","32,45"
9788558890946,ACORDEI APAIXONADO POR VOCE,"44,90","22,45"
9788565859059,"ADEUS, FACEBOOK","44,90","22,45"
9788558890922,AGIR E PENSAR COMO UM GATO,"34,90","17,45"
9788565859189,"AH, O VERAO!","49,90","24,95"
9788565859042,ALMA?,"39,90","19,95"
9788565859677,ALMANEGRA,"49,90","24,95"
9788565859172,ALMANOVA,"44,90","22,45"
9788558890274,"AMAR, RIR E COMER","44,90","22,45"
9788558890809,AMIGOS PARA A VIDA,"39,90","19,95"
9788558890298,AS 100 PIORES IDEIAS DA HISTORIA,"49,90","24,95"
9788565859820,ATIVE A SUA BONDADE,"29,90","14,95"
9788558890960,"BITCOIN, BLOCKCHAIN E MUITO DINHEIRO","29,90","14,95"
9788565859608,BLACK PARA SEMPRE,"44,90","22,45"
9788565859387,COMPLICADO DEMAIS,"59,90","29,95"
9788565859912,CORACAO?,"49,90","24,95"
9788558890786,CORACOES QUEBRADOS,"49,90","24,95"
9788565859967,"DELICIA, DELICIA","54,90","27,45"
9788565859844,DESEJO INSACI¡VEL,"49,90","24,95"
9788565859233,DESTINO MORTAL,"59,90","29,95"
9788558890908,DESTINOS QUEBRADOS,"49,90","24,95"
9788558890311,DUMPLIN',"44,90","22,45"
9788565859745,ESCANDALO,"44,90","22,45"
9788558890601,ETERNIDADE?,"49,90","24,95"
9788565859073,FALE!,"49,90","24,95"
9788558890335,FERIAS NO ACAMPAMENTO PIKACHU,"29,90","14,95"
9788565859295,FILHA DA ILUSAO,"44,90","22,45"
9788558891042,FILHO DA NOITE,"34,90","17,45"
9788565859035,GAROTA TEMPESTADE,"49,90","24,95"
9788565859226,GRAFFITI MOON,"49,90","24,95"
9788558890502,INDOMAVEL,"59,90","29,95"
9788565859936,INFINITA,"49,90","24,95"
9788565859554,INOCENCIA?,"49,90","24,95"
9788565859240,INTENSO DEMAIS,"49,90","24,95"
9788565859769,JOHN LENNON EM NOVA YORK,"54,90","27,45"
9788565859530,MALICIAS & DELICIAS,"54,90","27,45"
9788558890748,MASCARAS,"49,90","24,95"
9788565859165,METAMORFOSE?,"49,90","24,95"
9788565859424,MEU HAMSTER E UM ASTRONAUTA,"29,90","14,95"
9788565859004,MEU HAMSTER E UM GENIO,"29,90","14,95"
9788565859011,MILAGRES DO AGAPE,"44,90","22,45"
9788565859707,MINHA VIDA MORA AO LADO,"49,90","24,95"
9788565859783,NAO FUJA!,"49,90","24,95"
9788565859691,NAO OLHE!,"49,90","24,95"
9788565859660,NAO PARE!,"39,90","19,95"
9788565859646,NOS PARA SEMPRE,"49,90","24,95"
9788565859813,O CASAMENTO NAO E PARA VOCE,"29,90","14,95"
9786588490037,O DIA EM QUE VOCE CHEGOU,"49,90","24,95"
9788558890625,O FUNDO E APENAS O COMECO,"49,90","24,95"
9788558890106,O LIVRO DAS IDEIAS BRILHANTES,"39,90","19,95"
9788565859431,O LIVRO DO PERD√O,"44,90","22,45"
9788565859400,O PAPA QUE AMA O FUTEBOL,"29,90","14,95"
