TÍTULO,AUTOR (A),PREÇO CAPA,PREÇO COM DESCONTO
Som-imagem no cinema,"Manzano, Luiz Adelmo F.","R$                 49,90","R$                       24,95"
Soou o alarme,,"R$                 84,90","R$                       42,45"
Spinoza - obra completa I,,"R$                 94,90","R$                       47,45"
Spinoza - obra completa II,,"R$                 79,90","R$                       39,95"
Spinoza - obra completa III,,"R$                 84,90","R$                       42,45"
Spinoza - obra completa IV,,"R$               109,90","R$                       54,95"
Sri Aurobindo ou a aventura da consciência,Satprem,"R$                 84,90","R$                       42,45"
Stanisláviski e o trabalho do ator sobre si mesmo,"Zaltron, Michele Almeida","R$                 74,90","R$                       37,45"
Stanislavski e o método de análise ativa,"D'Agostini, Nair","R$                 54,90","R$                       27,45"
Stanislávski e o teatro de arte de Moscou,"Guinsburg, J.","R$                 49,90","R$                       24,95"
Stanislavski em processo,"Shuba, Simone","R$                 44,90","R$                       22,45"
"Stanislavski, Meierhold & cia.","Guinsburg, J.","R$                 79,90","R$                       39,95"
Stanley Kubrick: o monstro de coração mole,"Cortez, Marcius","R$                 59,90","R$                       29,95"
"Sulerjítski: mestre de teatro, mestre de vida","Merino, Daniela Simone Tehehoff","R$                 59,90","R$                       29,95"
Tatiana Belinky: uma janela para o mundo,,"R$                 89,90","R$                       44,95"
Tchékhov e os palcos brasileiros,"Nascimento, Rodrigo Alves do","R$                 69,90","R$                       34,95"
Teatralidades contemporâneas,"Fernandes, Silvia","R$                 74,90","R$                       37,45"
Teatro brasileiro: ideias de uma história,"Guinsburg, J.; Patri, Rosangela","R$                 64,90","R$                       32,45"
Teatro Breve do Século de Ouro,,"R$                 69,90","R$                       34,95"
Teatro com meninos e meninas de rua,"Nogueira, Marcia Pompeo","R$                 39,90","R$                       19,95"
Teatro completo,"Pallottini, Renata","R$              169,90","R$                       84,95"
Teatro do corpo manifesto: teatro físico,"Romano, Lucia","R$                 64,90","R$                       32,45"
Teatro e sociedade: Shakespeare,"Boquet, Guy","R$                 44,90","R$                       22,45"
Teatro em crise,"Rosenfeld, Anatol","R$                 54,90","R$                       27,45"
Teatro em foco,"Magaldi, Sabato","R$                 54,90","R$                       27,45"
Teatro em progresso,"Prado, Décio de Almeida","R$                 84,90","R$                       42,45"
Teatro espanhol do século de ouro,"Guinsburg, J.; Cunha, Newton","R$               139,90","R$                       69,95"
Teatro hip-hop,"D'Alva, Roberta Estrela","R$                 49,90","R$                       24,95"
Teatro laboratório de Jerzy Grotowski 1959 - 1969,"Flaszen, Ludwik; Pollastrelli, Carla","MR$o  l i n  a  r  i ,   R   e 7n4a,t9a0","R$                       37,45"
Teatro moderno,"Rosenfeld, Anatol","R$                 59,90","R$                       29,95"
Teatro no Brasil,"Jacobbi, Ruggero","R$                 54,90","R$                       27,45"
Teatro sempre,"Magaldi, Sabato","R$                 69,90","R$                       34,95"
Teatro(s) de rua do Brasil: a luta pelo espaço público,"Turle, Licko; Trindade, Jussara","R$                 54,90","R$                       27,45"
Teatro: a redescoberta do estilo e outros escritos,"Saint-Denis, Michel","R$                 79,90","R$                       39,95"
Tehiru,"Gorlizki, Ili","R$                 74,90","R$                       37,45"
Tempo de clima,"Coelho, Ruy","R$                 44,90","R$                       22,45"
Tempos de casa-grande: (1930-1940),"Silva, Silvia Cortez","R$                 64,90","R$                       32,45"
Tentativas de mitologia,"Holanda, Sérgio Buarque de","R$                 64,90","R$                       32,45"
Teoria e projeto na primeira era da máquina,"Banham, Reyner","R$               104,90","R$                       52,45"
Teoria e realidade,"Bunge, Mario","R$                 64,90","R$                       32,45"
Teoria feminista,"hooks, bell","R$                 59,90","R$                       29,95"
Teorias da recepção,"Cajaiba, Claudio","R$                 64,90","R$                       32,45"
Teorias do espaço literário,"Brandão, Luis Alberto","R$                 69,90","R$                       34,95"
Terceiro tempo do trauma,"Molin, Eugenio Canesin Dal","R$                 64,90","R$                       32,45"
Testemunhas do futuro,"Bouretz, Pierre","R$              199,90","R$                       99,95"
"Tévye, o leiteiro","Aleikhem, Scholem","R$                 69,90","R$                       34,95"
Texto e jogo,"Koudela, Ingrid Dormien","R$                 39,90","R$                       19,95"
Texto/Contexto I,"Rosenfeld, Anatol","R$                 64,90","R$                       32,45"
Thomas Bernhard: o fazedor de teatro,,"R$                 69,90","R$                       34,95"
Todos os corpos de Pasolini,"Nazario, Luiz","R$                 94,90","R$                       47,45"
Tolerância zero e democracia no Brasil,"Belli, Benoni","R$                 54,90","R$                       27,45"
Tolstói ou Dostoiévski,"Steiner, George","R$                 74,90","R$                       37,45"
Trabalhar com Grotowski sobre as ações físicas,"Richards, Thomas","R$                 64,90","R$                       32,45"
Tradução intersemiótica,"Plaza, Julio","R$                 59,90","R$                       29,95"
"Tradução, ato desmedido","Schnaiderman, Boris","R$                 49,90","R$                       24,95"
Tratado geral de semiótica,"Eco, Umberto","R$                 74,90","R$                       37,45"
Treinamento para sempre,"Alschitz, Jurij","R$                 74,90","R$                       37,45"
Tributação indireta nas economias em desenvolvimento,"Due, John F.","R$                 64,90","R$                       32,45"
Trilogia do confinamento,"Anunciação, Aldri","R$                 54,90","R$                       27,45"
Trinta e três de agosto,"Pais, Raquel Laranjeira","R$                 44,90","R$                       22,45"
Últimos: comédia musical em dois atos,"Marques, Fernando","R$                 54,90","R$                       27,45"
Um calafrio diário,"Pallottini, Renata","R$                 59,90","R$                       29,95"
Um ofício perigoso,"Canfora, Luciano","R$                 49,90","R$                       24,95"
Um olhar através de máscaras,"Kamla, Renata","R$                 49,90","R$                       24,95"
Um teatro da mulher,"Vicenzo, Elza Cunha de","R$                 74,90","R$                       37,45"
Uma empresa e seus segredos,"Brandão, Tania","R$                 94,90","R$                       47,45"
Uma Noite,"Thuan, Trinh Xuan","R$                 84,90","R$                       42,45"
Uma poética em cena,"Cardoso, Reni Chaves","R$                 74,90","R$                       37,45"
Unidade e fragmentação,,"R$                 69,90","R$                       34,95"
Uniões,"Musil, Robert","R$                 59,90","R$                       29,95"
Valise de Cronópio,"Cortázar, Julio","R$                 64,90","R$                       32,45"
Ver a terra,"Besse, Jean-Marc","R$                 44,90","R$                       22,45"
Viaje a la luna: uma biografia em projeção,"Melchior, Reto","R$                 64,90","R$                       32,45"
Vida e história,"Rodrigues, José Honório","R$                 64,90","R$                       32,45"
Vila Rica,"Vasconcellos, Sylvio de","R$                 54,90","R$                       27,45"
Vincent van Gogh: a noite estrelada,"Coli, Jorge","R$                 44,90","R$                       22,45"
Violência ou diálogo?,,"R$                 74,90","R$                       37,45"
Viver nos tempos da inquisição,"Novinsky, Anita Waingort","R$                 89,90","R$                       44,95"
Voz articulada pelo coração,"Vargens, Meran","R$                 64,90","R$                       32,45"
Vsévolod Meierhold: ou a invenção da encenação,"Abensour, Gerard","R$               149,90","R$                       74,95"
Walter Smetak: o alquimista dos sons,"Scarassatti, Marco","R$                 59,90","R$                       29,95"
Work in progress na cena contemporânea,"Cohen, Renato","R$                 59,90","R$                       29,95"
Yossel Rakover dirige-se a Deus,"Kolitz, Zvi","R$                 34,90","R$                       17,45"
Yukio Mishima: o homem de teatro e de cinema,"Kusano, Darci","R$               134,90","R$                       67,45"
Zé,"Marques, Fernando","R$                 49,90","R$                       24,95"
Zeami: cena e pensamento Nô,"Giroux, Sakae M.","R$                 89,90","R$                       44,95"
Ziembinski: aquele bárbaro sotaque polonês,"Pluta, Aleksandra","R$                 74,90","R$                       37,45"
