TÍTULO,AUTOR (A),PREÇO CAPA,PREÇO COM DESCONTO
Beckett e a implosão da cena,"Marfuz, Luiz","R$                 64,90","R$                       32,45"
Bereshith: a cena da origem,"Campos, Haroldo de","R$                 84,90","R$                       42,45"
Bertolt Brecht: Poesia,"Brecht, Bertolt; Vallias, André","R$                 99,90","R$                       49,95"
"Brasil filosófico: história e sentidos,","Souza, Ricardo Timm de","R$                 39,90","R$                       19,95"
Brasil: arquiteturas apos 1950,"Bastos, Maria Alice Junqueira; Zei",",R R$u  t  h   V   e  r  d 1e09,90","R$                       54,95"
Brasileza: suítes brasileiras,"Corneau, Patrick","R$                 49,90","R$                       24,95"
Brecht e o teatro épico,"Rosenfeld, Anatol","R$                 49,90","R$                       24,95"
Brecht: um jogo de aprendizagem,"Koudela, Ingrid Dormien","R$                 59,90","R$                       29,95"
Buchner: na pena e na cena,"Guinsburg, J.; Koudel, Ingrid D.","R$                 79,90","R$                       39,95"
Cabala e contra-história: Gershom Scholem,"Biale, David","R$                 64,90","R$                       32,45"
"Cabala, cabalismo e cabalistas","Idel, Moshe; Assis, Yom Tov; Senk","Ra$n  ,  L  e  o  n   a  1rd0o4;, 9A0sl","nRo$v  ,  C  y  r  i l ;   G   u  i n   s5 b2u,4rg5,"
Cacando a realidade,"Bunge, Mario","R$               104,90","R$                       52,45"
Caderno italiano,"Schnaiderman, Boris","R$                 54,90","R$                       27,45"
"Caminhante, não há caminho. Só rastros","Colla, Ana Cristina","R$                 49,90","R$                       24,95"
Caminhos do teatro ocidental,"Heliodora, Barbara","R$              104,90","R$                       52,45"
Campo feito de sonhos,"Azevedo, Sonia Machado de","R$                 79,90","R$                       39,95"
Canções,"Renno, Carlos","R$                 74,90","R$                       37,45"
Caos / dramaturgia,"Rewald, Rubens","R$                 59,90","R$                       29,95"
Cartas a uma jovem psicanalista,"Macedo, Heitor O'Dwyer de","R$                 79,90","R$                       39,95"
Caymmi: uma utopia de lugar,"Riserio, Antonio","R$                 49,90","R$                       24,95"
Céu acima: para um Tombeau de Haroldo de Campos,,"R$                 89,90","R$                       44,95"
Céu subterrâneo,"Rosenbaum, Paulo","R$                 64,90","R$                       32,45"
Cibernética,"Wiener, Norbert","R$                 64,90","R$                       32,45"
Cidadão do mundo,"Carneiro, Maria Luiza Tucci","R$              104,90","R$                       52,45"
Cidade caminhável,"Speck, Jeff","R$                 74,90","R$                       37,45"
Cidades do Amanhã,"Hall, Peter","R$               134,90","R$                       67,45"
Cidades para pessoas,"Gehl, Jan","R$              119,90","R$                       59,95"
Cinema explícito,"Gerace, Rodrigo","R$                 89,90","R$                       44,95"
Cinema: arte & indústria,"Rosenfeld, Anatol","R$                 59,90","R$                       29,95"
Círculo linguístico de Praga,,"R$                 34,90","R$                       17,45"
Coisas e anjos de Rilke,"Campos, Augusto de","R$                 94,90","R$                       47,45"
Com os séculos nos olhos,"Marques, Fernando","R$                 89,90","R$                       44,95"
Com tinta vermelha,"Abramovici, Mireille","R$                 54,90","R$                       27,45"
Comédias de Goldoni,,"R$                 84,90","R$                       42,45"
Comércio e relações internacionais,"Lafer, Celso","R$                 34,90","R$                       17,45"
Como parar de atuar,"Guskin, Harold","R$                 59,90","R$                       29,95"
Como se faz uma tese,"Eco, Umberto","R$                 64,90","R$                       32,45"
Compreendendo as Cidades,"Cuthbert, Alexander R.","R$                 94,90","R$                       47,45"
Conjunções e disjunções,"Paz, Octavio","R$                 39,90","R$                       19,95"
Contar histórias com o jogo teatral,"Faria, Alessandra Ancona de","R$                 49,90","R$                       24,95"
Conversas com Gaudi,"Brunet, Cesar Martinell","R$                 54,90","R$                       27,45"
Conversas com Igor Stravinski,"Stravinski, Igor; Craft, Robert","R$                 39,90","R$                       19,95"
Conversas sobre a formação do ator,"Lassalle, Jacques; Rivière, Jean-lo","pR$                 59,90","R$                       29,95"
"Corrupção, justiça e moralidade pública","Faria, José Eduardo","R$                 44,90","R$                       22,45"
Crises da república,"Arendt, Hannah","R$                 54,90","R$                       27,45"
Critica da razão teatral,,"R$                 84,90","R$                       42,45"
Crítica e verdade,"Barthes, Roland","R$                 59,90","R$                       29,95"
Crítica genética e psicanálise,"Willemart, Philippe","R$                 59,90","R$                       29,95"
Ctrl+art+del: distúrbios em arte e tecnologia,"Nunes, Fabio Oliveira","R$                 84,90","R$                       42,45"
Cultura grega e as origens do pensamento,"Snell, Bruno","R$                 84,90","R$                       42,45"
Da Arte à Morte,"M'Uzan, Michel de","R$                 59,90","R$                       29,95"
Da cena em cena,"Guinsburg, J.","R$                 59,90","R$                       29,95"
Das arcadas ao bacharelismo-150 anos de,"Filho, Alberto Venancio","R$                 89,90","R$                       44,95"
Depois do espetáculo,"Magaldi, Sabato","R$                 84,90","R$                       42,45"
Descartes: obras escolhidas,,"R$               129,90","R$                       64,95"
Descrever o inapreensível,"Icle, Gilberto","R$                 79,90","R$                       39,95"
Desejo colonial,"Young, Robert J. C.","R$                 74,90","R$                       37,45"
Despoesia,"Campos, Augusto de","R$              104,90","R$                       52,45"
Dewey: filosofia e experiência democrática,"Amaral, Maria Nazaré de Camarg","RPa$c  h   e  c  o        39,90","R$                       19,95"
Dialéticas da transgressão,"Krysinski, Wladimir","R$                 74,90","R$                       37,45"
Diálogos sobre o conhecimento,"Feyerabend, Paul K.","R$                 44,90","R$                       22,45"
Diário do gueto,"Korczak, Janucsz","R$                 39,90","R$                       19,95"
Diásporas imaginadas,"Butler, Kim D.; Domingues, Petrô","ioR$                 74,90","R$                       37,45"
Dicionário crítico Câmara Cascudo,"Silva, Marcos","R$                 94,90","R$                       47,45"
Dicionário da performance do teatro contemporâneo,"Pavis, Patrice","R$                 89,90","R$                       44,95"
Dicionário de filosofia,"Bunge, Mario","R$                 89,90","R$                       44,95"
Dicionário de teatro,"Pavis, Patrice","R$              129,90","R$                       64,95"
Dicionário do teatro brasileiro,,"R$              104,90","R$                       52,45"
Dicionário incompleto da felicidade,"Epstein, Isaac","R$                 64,90","R$                       32,45"
Diderot,"Wilson, Arthur M.","R$               194,90","R$                       97,45"
Diderot: obras I - filosofia e politica,,"R$                 89,90","R$                       44,95"
Diderot: obras III - o sobrinho de Rameau,,"R$                 54,90","R$                       27,45"
"Diderot: obras IV - Jacques, o fatalista",,"R$                 84,90","R$                       42,45"
Diderot: obras V - o filho natural,,"R$                 49,90","R$                       24,95"
Diderot: Obras VI - O Enciclopedista,"Guinsburg, J.; Romano, Roberto;","iRd$e r o   t ,  D   e  n   i s64,90","R$                       32,45"
Diderot: Obras VI - O Enciclopedista [1],"Guinsburg, J.; Romano, Roberto;","iRd$e r o   t ,  D   e  n   i s74,90","R$                       37,45"
Diderot: Obras VI - O Enciclopedista [2],,"R$                 84,90","R$                       42,45"
Diderot: obras VII - a religiosa,,"R$                 64,90","R$                       32,45"
Diderot: obras VIII - Sêneca,,"R$                 79,90","R$                       39,95"
Digitais de um leitor,"Guinsburg, J.","R$                 54,90","R$                       27,45"
Direi tudo e um pouco mais,"Leirner, Sheila","R$                 74,90","R$                       37,45"
Do Brasil a América,"Mauro, Frederic","R$                 59,90","R$                       29,95"
Do diálogo e do dialógico,"Buber, Martin","R$                 49,90","R$                       24,95"
Do estudo e da oração,,"R$               129,90","R$                       64,95"
Do grotesco e do sublime,"Hugo, Victor","R$                 34,90","R$                       17,45"
Do romance de primeira pessoa,"Silva, José Afonso da","R$                 94,90","R$                       47,45"
Dom Sebastião no Brasil,"Godoy, Marcio Honorio de","R$                 54,90","R$                       27,45"
Dramaturgia de televisão,"Pallottini, Renata","R$                 49,90","R$                       24,95"
Dramaturgia Elizabetana,,"R$                 79,90","R$                       39,95"
Dramaturgia: a construção da personagem,"Pallottini, Renata","R$                 79,90","R$                       39,95"
Dramaturgias da autonomia,"Ferraz, Ana Lucia Marques Camar","oR$                 69,90","R$                       34,95"
E preciso salvar os direitos humanos,"Alves, José Augusto Lindgren","R$                 84,90","R$                       42,45"
Édipo em colono de Sófocles,"Vieira, Trajano","R$                 64,90","R$                       32,45"
Édipo em Tebas,"Knox, Bernard","R$                 64,90","R$                       32,45"
Édipo rei de Sófocles,"Vieira, Trajano","R$                 59,90","R$                       29,95"
Educação e liberdade em Wilhelm Rech,"Sampaio, Zeca","R$                 49,90","R$                       24,95"
"Educação, uma herança sem testamento","Carvalho, José Sergio Fonseca de","R$                 54,90","R$                       27,45"
Eis Antonin Artaud,"Meredieu, Florence De","R$              194,90","R$                       97,45"
Eisenstein ultrateatral,"Oliveira, Vanessa Teixeira de","R$                 59,90","R$                       29,95"
Em busca da brasilidade: teatro brasileiro,"Braga, Claudia","R$                 54,90","R$                       27,45"
Em Busca de um Cinema em Fuga,"Borges, Cristian","R$                 79,90","R$                       39,95"
Em busca de um lugar no mundo,"Santos, Silvia Gombi Borges dos","R$                 54,90","R$                       27,45"
Em que mundo viveremos?,"Wieviorka, Michel","R$                 79,90","R$                       39,95"
Em torno da mente,"Pereira, Ana Carolina Guedes","R$                 54,90","R$                       27,45"
Emmanuel Lévinas: ensaio e entrevistas,"Poirie, Francois","R$                 49,90","R$                       24,95"
Ensaios de atuação,"Ferracini, Renato","R$                 54,90","R$                       27,45"
"Ensaios de Robert Musil, 1900-1919","Musil, Robert","R$                 69,90","R$                       34,95"
Ensaios de sociologia,"Mauss, Marcel","R$              109,90","R$                       54,95"
Ensaios de um percurso,"Priszkulnik, Esther","R$                 64,90","R$                       32,45"
Ensaios filosóficos,"Rehfeld, Walter I.","R$               104,90","R$                       52,45"
Ensaios sobre a liberdade,"Lafer, Celso","R$                 39,90","R$                       19,95"
Ensino da arte: memória e história,,"R$                 89,90","R$                       44,95"
Entre dois mundos,"Rosenfeld, Sel. A.; Guinsburg, J.","R$               104,90","R$                       52,45"
Entre o ator e o performer,"Bonfitto, Matteo","R$                 64,90","R$                       32,45"
Entre o mediterrâneo e o atlântico,"Pupo, Maria Lucia de Souza Barro","R$                 54,90","R$                       27,45"
Entre o passado e o futuro,"Arendt, Hannah","R$                 74,90","R$                       37,45"
Entre passos e rastros,"Waldman, Berta","R$                 69,90","R$                       34,95"
Entremilênios,"Campos, Haroldo de","R$                 74,90","R$                       37,45"
Eros na Grécia antiga,"Calame, Claude","R$                 79,90","R$                       39,95"
Escola picolino,"Gallo, Fabio Dal","R$                 54,90","R$                       27,45"
Escritos,"Lacan, Jacques","R$                 79,90","R$                       39,95"
Escritos psicanalíticos sobre literatura e arte,"Groddeck, Georg","R$                 79,90","R$                       39,95"
Escritos sobre a história,"Braudel, Fernand","R$                 69,90","R$                       34,95"
Escritura política no texto teatral,"Lehmann, Hans-Thies","R$              104,90","R$                       52,45"
Espaço (meta)vernácula na cidade contemporânea,"Barda, Marisa","R$                 44,90","R$                       22,45"
Estética da contradição,"Moderno, João Ricardo","R$                 89,90","R$                       44,95"
Estética da sonoridade,"Guigue, Didier","R$              104,90","R$                       52,45"
Estética e filosofia,"Dufrenne, Mikel","R$                 64,90","R$                       32,45"
Estética e história,"Berenson, Bernard","R$                 64,90","R$                       32,45"
Estética e teatro alemão,"Rosenfeld, Anatol","R$                 49,90","R$                       24,95"
Estrutura social e dinâmica psicológica,"Coelho, Ruy","R$                 54,90","R$                       27,45"
Estruturas intelectuais,"Blanche, Robert","R$                 59,90","R$                       29,95"
Estudos psicanalíticos sobre psicossomática,"Groddeck, Georg","R$                 74,90","R$                       37,45"
Ética contra estética,"Valcarcel, Amelia","R$                 39,90","R$                       19,95"
Ética e cultura,,"R$                 54,90","R$                       27,45"
"Ética, responsabilidade e juízo em Hannah Arendt","Assy, Bethania","R$                 64,90","R$                       32,45"
Eu não disse?,"Chaves, Mauro","R$                 64,90","R$                       32,45"
Expedição ao inverno,"Appelfeld, Aharon","R$                 69,90","R$                       34,95"
Explorando as teorias da tradução,"Pym, Anthony","R$                 79,90","R$                       39,95"
Falando de Idade Média,"Zumthor, Paul","R$                 44,90","R$                       22,45"
Falando de Shakespeare,"Heliodora, Barbara","R$                 74,90","R$                       37,45"
Felícia Leirner: textos poéticos e aforismos,,"R$                 54,90","R$                       27,45"
Figuras metálicas: travessia poética,"Daniel, Claudio","R$                 69,90","R$                       34,95"
Filosofia Ciborgue,"Hoquet, Thierry","R$                 84,90","R$                       42,45"
Filosofia da nova música,"Adorno, Theodor W.","R$                 54,90","R$                       27,45"
Filosofia do judaísmo em Abraham Joshua Heschel,"Hazan, Gloria","R$                 54,90","R$                       27,45"
Fios soltos: a arte de Hélio Oiticica,,"R$              104,90","R$                       52,45"
Física e filosofia,"Bunge, Mario","R$                 74,90","R$                       37,45"
Formalismo e futurismo,"Pomorska, Krystyna","R$                 49,90","R$                       24,95"
Foucault e a linguagem do espaço,"Prado, Tomas Mendonça da Silva","R$                 64,90","R$                       32,45"
Fracta: antologia poética,"Costa, Horacio","R$                 74,90","R$                       37,45"
Fragmento e a síntese,"Silva, Jorge Anthonio e","R$                 74,90","R$                       37,45"
Franz kafka,"Mandelbaum, Enrique","R$                 74,90","R$                       37,45"
Freud: a trama dos conceitos,"Mezan, Renato","R$                 84,90","R$                       42,45"
Função estética da luz,"Camargo, Roberto Gill","R$                 59,90","R$                       29,95"
George Steiner: à luz de si mesmo,"Jahanbegloo, Ramin","R$                 54,90","R$                       27,45"
"Giacometti, Alberto e Diego: a história","Delay, Claude","R$                 69,90","R$                       34,95"
Gilberto Gil: a poética e a política do corpo,"Lopes, Cassia","R$                 84,90","R$                       42,45"
Giorgio Strehler: a cena viva,"Tanant, Myriam","R$                 39,90","R$                       19,95"
Górgias de Platão: obras II,"Lopes, Daniel R. N.","R$               104,90","R$                       52,45"
Graal: legenda de um cálice,"Campos, Haroldo de","R$                 44,90","R$                       22,45"
Gramatologia,"Derrida, Jacques","R$                 89,90","R$                       44,95"
Guenadi Aigui: silêncio e clamor,"Schnaiderman, Boris; Ferreira, Jer","Rsa$  P  i r  e  s         54,90","R$                       27,45"
Guerras civis,"Koudela, Ingrid Dormien; Müller,","eRi$m  u   n  d   H   e  i n 3e9r,90","R$                       19,95"
Hac-hora: um tempo fora do tempo,"Devia, Luciano","R$                 84,90","R$                       42,45"
Hannah Arendt e Martin Heidegger,"Grunenberg, Antonia","R$                 89,90","R$                       44,95"
Haroldo de campos - transcriação,"Tapia, Marcelo; Nobrega, Thelma","MRe$d  i c  i            69,90","R$                       34,95"
"Haroldo de Campos, tradutor e traduzido",,"R$                 69,90","R$                       34,95"
Hedonista virtuoso,"Cutolo, Giovanni","R$                 39,90","R$                       19,95"
Hegel e o estado,"Rosenzweig, Franz","R$              134,90","R$                       67,45"
Heine hein? - poeta dos contrários,"Vallias, Andre","R$              119,90","R$                       59,95"
Helena de Eurípides e seu duplo,"Vieira, Trajano","R$                 69,90","R$                       34,95"
Hélio Oiticica,"Braga, Paula","R$                 79,90","R$                       39,95"
Hierarquia e riqueza na sociedade burguesa,"Daumard, Adeline","R$                 64,90","R$                       32,45"
História da arquitetura moderna,"Benevolo, Leonardo","R$              179,90","R$                       89,95"
História da cidade - nova edição,"Benevolo, Leonardo","R$               194,90","R$                       97,45"
História da Loucura,"Foucault, Michel","R$               119,90","R$                       59,95"
História do design,"Fusco, Renato De","R$                 94,90","R$                       47,45"
História do teatro brasileiro: vol I,João Roberto Faria (Direcao),"R$              104,90","R$                       52,45"
História do teatro brasileiro: vol II,João Roberto Faria (Direcao),"R$               104,90","R$                       52,45"
História dos judeus em Portugal,"Kayserling, Meyer","R$              104,90","R$                       52,45"
História e literatura,"Iglesias, Francisco","R$                 84,90","R$                       42,45"
História e narração em Walter Benjamin,"Gagnebin, Jeanne Marie","R$                 49,90","R$                       24,95"
História mundial do teatro,"Berthold, Margot","R$               129,90","R$                       64,95"
"História, corpo do tempo","Rodrigues, José Honório","R$                 64,90","R$                       32,45"
Histórias do rabi,"Buber, Martin","R$               134,90","R$                       67,45"
Holocausto: vivência e retransmissão,"Levy, Sofia Debora","R$                 64,90","R$                       32,45"
Homo ludens,"Huizinga, Johan","R$                 84,90","R$                       42,45"
Hóspede por uma noite,Sch. I. Agnon,"R$              114,90","R$                       57,45"
Ibsen e o novo sujeito da modernidade,"Menezes, Tereza","R$                 59,90","R$                       29,95"
Identidade internacional do Brasil e a política externa brasile,"Lrafer, Celso","R$                 44,90","R$                       22,45"
Imigrantes judeus - escritores brasileiros,"Igel, Regina","R$                 74,90","R$                       37,45"
Improvisação para o teatro,"Spolin, Viola","R$                 89,90","R$                       44,95"
Indivíduo e sociedade na teoria de A. Comte,"Coelho, Ruy","R$                 44,90","R$                       22,45"
Inquisição: prisioneiros do Brasil,"Novinsky, Anita Waingort","R$                 74,90","R$                       37,45"
Introdução à ciência arquitetônica,"Szokolay, Steven V.","R$              119,90","R$                       59,95"
Introdução a gramática gerativa,"Ruwet, Nicolas","R$                 79,90","R$                       39,95"
Introdução a literatura fantástica,"Todorov, Tzvetan","R$                 54,90","R$                       27,45"
Introdução a semanálise,"Kristeva, Julia","R$               104,90","R$                       52,45"
Introdução as linguagens totalitárias,"Faye, Jean-Pierre","R$                 54,90","R$                       27,45"
Ironia e o irônico,"Muecke, D. C.","R$                 39,90","R$                       19,95"
Isto não e um ator,"Ferreira, Melissa da Silva","R$                 69,90","R$                       34,95"
Janela de dramaturgia - livro 1,"Pinheiro, Sara; Souza, Vinicius","R$                 69,90","R$                       34,95"
Janela de dramaturgia - livro 2,"Pinheiro, Sara; Souza, Vinicius","R$                 59,90","R$                       29,95"
Janela de dramaturgia: livro 3,"Pinheiro, Sara; Souza, Vinicius","R$                 84,90","R$                       42,45"
Jesus,"Flusser, David","R$                 74,90","R$                       37,45"
"Jogo, teatro & pensamento","Courtney, Richard","R$                 74,90","R$                       37,45"
Jogos teatrais,"Koudela, Ingrid Dormien","R$                 44,90","R$                       22,45"
Jogos teatrais na sala de aula,"Spolin, Viola","R$                 89,90","R$                       44,95"
Jogos teatrais: o fichário de Viola Spolin,"Spolin, Viola","R$              189,90","R$                       94,95"
Jorge Andrade: um dramaturgo no espaço-tempo,"Rahal, Carlos Antonio","R$                 69,90","R$                       34,95"
"Judaísmo, reflexões e vivências","Rosenfeld, Anatol","R$               104,90","R$                       52,45"
Judeus heterodoxos,"Lowy, Michael","R$                 59,90","R$                       29,95"
Lacan: operadores da leitura,"Vallejo, Americo; Cadema, Ligia","R$                 44,90","R$                       22,45"
Lasar Segall: expressionismo e judaísmo,"Mattos, Claudia Valladao de","R$                 69,90","R$                       34,95"
Lazer e cultura popular,"Dumazedier, Joffre","R$                 74,90","R$                       37,45"
Lector in fabula,"Eco, Umberto","R$                 69,90","R$                       34,95"
Legado de violações dos diretos humanos,"Roniger, Luis; Sznajder, Mario","R$                 99,90","R$                       49,95"
Lessing,"Guinsburg, J.; Koudela, Ingrid Dor","Rie$n              129,90","R$                       64,95"
Léxico de pedagogia do teatro,,"R$                 64,90","R$                       32,45"
Linguagem e mito,"Cassirer, Ernst","R$                 39,90","R$                       19,95"
Linguagem e vida,"Artaud, Antonin","R$                 74,90","R$                       37,45"
Linguística. Poética. Cinema.,"Jakobson, Roman","R$                 54,90","R$                       27,45"
"Lírica grega, hoje","Vieira, Trajano","R$                 49,90","R$                       24,95"
Lisistrata e tesmoforiantes de Aristófanes,"Vieira, Trajano","R$               104,90","R$                       52,45"
Literatura e matemática,"Fux, Jacques","R$                 64,90","R$                       32,45"
Literatura e música,"Oliveira, Solange Ribeiro de","R$                 54,90","R$                       27,45"
Lógica do sentido,"Delleuze, Gilles","R$                 79,90","R$                       39,95"
Lugares da memória: memoir,"Rykwert, Joseph","R$                 69,90","R$                       34,95"
Luigi Pirandello: um teatro para Marta Abba,"Ribeiro, Martha","R$                 84,90","R$                       42,45"
Luís Alberto de Abreu: um teatro de pesquisa,,"R$              129,90","R$                       64,95"
Lukacs e seus contemporâneos,"Tertulian, Nicolas","R$                 84,90","R$                       42,45"
"Luxo & design: ética, estética e mercado do gosto","Cutolo, Giovanni","R$                 64,90","R$                       32,45"
Machado & Shakespeare: intertextualidades,"Telles, Adriana Da Costa","R$                 79,90","R$                       39,95"
Machado de Assis: do teatro,,"R$               124,90","R$                       62,45"
Maiakovski poemas - edição especial,"Schnaiderman, Boris","R$                 84,90","R$                       42,45"
Mallarme,"Campos, Augusto; Campos Harol","oR d$e  ;  P   i g  n  a  t  a 7r4i,, 9D0e","ioR$                       37,45"
Maneirismo na literatura,"Hocke, Gustav R.","R$                 94,90","R$                       47,45"
"Manicômios, prisões e conventos","Goffman, Erving","R$                 69,90","R$                       34,95"
Manoel de Oliveira: uma presença,,"R$                 74,90","R$                       37,45"
Marcel Duchamp ou o castelo da pureza,"Paz, Octavio","R$                 34,90","R$                       17,45"
Marcel Duchamp: engenheiro do tempo perdido,"Cabanne, Pierre","R$                 54,90","R$                       27,45"
Marcel Proust: realidade e criação,"Harvey, Vera de Azambuja","R$                 49,90","R$                       24,95"
Margem e centro,"Andrade, Ana Lucia Vieira de","R$                 59,90","R$                       29,95"
Maria Knebel,"Abensour, Gerard","R$                 59,90","R$                       29,95"
Máscara e personagem: o judeu no teatro brasileiro,"Bergerman, Maria Augusta de Tol","dRo$                 39,90","R$                       19,95"
Matéria e mente,"Bunge, Mario","R$                 94,90","R$                       47,45"
Mecanismos da conquista colonial,"Romano, Ruggiero","R$                 39,90","R$                       19,95"
Meierhold,"Picon-Vallin, Beatrice","R$              194,90","R$                       97,45"
Melanie Klein I,"Petot, Jean-Michel","R$                 69,90","R$                       34,95"
Melanie Klein II,"Petot, Jean-Michel","R$                 69,90","R$                       34,95"
Memória e cinzas,,"R$                 69,90","R$                       34,95"
"Memórias de vida, memórias de guerra","Frochtengarten, Fernando","R$                 69,90","R$                       34,95"
Mestres do teatro I,"Gassner, John","R$               104,90","R$                       52,45"
Metalinguagem e outras metas,"Campos, Haroldo de","R$                 74,90","R$                       37,45"
Metalinguagem e teatro,"Sant'Anna, Catarina","R$                 79,90","R$                       39,95"
Metamat!: em busca do omega,"Chaitin, Gregory","R$                 79,90","R$                       39,95"
Metrópole: abstração,"Azevedo, Ricardo Marques de","R$                 54,90","R$                       27,45"
Mikhail Bakhtin,"Clark, Katerina; Holquist, Michael","R$                 89,90","R$                       44,95"
Mimesis,"Auerbach, Erich","R$               119,90","R$                       59,95"
Mimesis,"Auerbach, Erich","R$                 99,90","R$                       49,95"
Mística e razão: dialética no pensamento,"Leone, Alexandre","R$                 59,90","R$                       29,95"
Mito e o herói no moderno teatro Brasil,"Rosenfeld, Anatol","R$                 39,90","R$                       19,95"
Mito e realidade,"Eliade, Mircea","R$                 49,90","R$                       24,95"
Mito e tragédia na Grécia Antiga,"Vernant, Jean-Pierre; Vidal-Naqu","t,R P$i e  r  r  e          94,90","R$                       47,45"
Moderna dramaturgia brasileira,"Magaldi, Sabato","R$                 84,90","R$                       42,45"
Monstrutivismo,"Agra, Lucio","R$                 59,90","R$                       29,95"
Morada paulista,"Saia, Luis","R$                 74,90","R$                       37,45"
Murilo Mendes,"Araujo, Lais Correa de","R$                 94,90","R$                       47,45"
Música de invenção,"Campos, Augusto de","R$                 79,90","R$                       39,95"
Música e mediação tecnológica,"Iazzetta, Fernando","R$                 69,90","R$                       34,95"
Música e mimese,"Aldrovandi, Leonardo","R$                 69,90","R$                       34,95"
Música errante: o jogo da improvisação livre,"Costa, Rogerio Luiz Moraes","R$                 69,90","R$                       34,95"
Música serva d'alma,"Chasin, Ibaney","R$              104,90","R$                       52,45"
"Música, cinema do som","Mendes, Gilberto","R$                 94,90","R$                       47,45"
Na cena do dr. Dapertutto,"Thais, Maria","R$              104,90","R$                       52,45"
Na Cinelândia paulistana,"Rosenfeld, Anatol","R$                 74,90","R$                       37,45"
Na senda da razão,"Pereira, Rosalie Helena De Souza","R$               159,90","R$                       79,95"
Narrativas Inquietas,"Conrad, Joseph","R$                 79,90","R$                       39,95"
Nas sendas do judaísmo,"Rehfeld, Walter I.","R$                 79,90","R$                       39,95"
Natureza e sentido da improvisação teatral,"Chacra, Sandra","R$                 39,90","R$                       19,95"
Nefelomancias,"Azevedo, Ricardo Marques de","R$                 34,90","R$                       17,45"
"Negro, macumba e futebol","Rosenfeld, Anatol","R$                 34,90","R$                       17,45"
Nietzsche e a justiça,"Melo, Eduardo Rezende","R$                 64,90","R$                       32,45"
Nissim Castiel,"Castiel, Luciano; Hummel, Debor","R$                 44,90","R$                       22,45"
"Norbert Elias, a politica e a historia","Garrigou, Alain; Lacroix, B.","R$                 74,90","R$                       37,45"
Norberto Bobbio: trajetória e obra,"Lafer, Celso","R$                 64,90","R$                       32,45"
Nos jardins de Burle Marx,,"R$                 54,90","R$                       27,45"
Notas para uma definição de cultura,"Eliot, T. S.","R$                 44,90","R$                       22,45"
Notas republicanas,"Filho, Alberto Venancio","R$                 69,90","R$                       34,95"
Nova cosmogonia e outros ensaios,"Lem, Stanislaw","R$                 64,90","R$                       32,45"
Nova economia politica dos serviços,"Kon, Anita","R$               134,90","R$                       67,45"
Nzinga,"Glasgow, Roy","R$                 54,90","R$                       27,45"
O ator como xamã,"Icle, Gilberto","R$                 54,90","R$                       27,45"
O ator no olho do furacão,"Paula, José Eduardo de","R$                 44,90","R$                       22,45"
O ator no século XX,"Aslan, Odette","R$                 89,90","R$                       44,95"
O ator-compositor,"Bonfitto, Matteo","R$                 59,90","R$                       29,95"
O breve lapso entre o ovo e a galinha,"Sigman, Mariano","R$                 64,90","R$                       32,45"
O caldeirão de Medéia,"Romano, Roberto","R$                 89,90","R$                       44,95"
O ciclo do totalitarismo,"Fausto, Ruy","R$                 74,90","R$                       37,45"
O cinema épico de Manoel de Oliveira,"Junqueira, Renata Soares","R$                 54,90","R$                       27,45"
O cinema errante,"Nazario, Luiz","R$                 69,90","R$                       34,95"
O classicismo,,"R$                 89,90","R$                       44,95"
O corpo erótico das palavras,"Azevedo, Estevao","R$                 54,90","R$                       27,45"
O crisântemo e a espada,"Benedict, Ruth","R$                 64,90","R$                       32,45"
O culto moderno dos monumentos,"Riegl, Alois","R$                 34,90","R$                       17,45"
O desafio das desigualdades: América l,"Salama, Pierre","R$                 79,90","R$                       39,95"
O Desencantamento do mundo,"Bourdieu, Pierre","R$                 54,90","R$                       27,45"
O Dibuk,Sch. An-Ski,"R$                 54,90","R$                       27,45"
O direito Talmúdico,"Falk, Ze'Ev W.","R$                 39,90","R$                       19,95"
O espaço da tragédia,"Motta, Gilson","R$                 74,90","R$                       37,45"
O estado persa,"Asheri, David","R$                 49,90","R$                       24,95"
O freudismo,"Bakhtin, Mikhail","R$                 49,90","R$                       24,95"
O futurismo italiano,,"R$                 64,90","R$                       32,45"
O Genocídio do negro brasileiro,"Nascimento, Abdias","R$                 54,90","R$                       27,45"
O gesto vocal,"Grando, Monica Andrea","R$                 44,90","R$                       22,45"
O Golem,"Singer, Isaac Bashevis","R$                 34,90","R$                       17,45"
O grande diário do pequeno ator,,"R$                 59,90","R$                       29,95"
O grotesco,"Kayser, Wolfgang","R$                 64,90","R$                       32,45"
O homem e a terra,"Dardel, Eric","R$                 54,90","R$                       27,45"
O idioma pedra de João Cabral,"Rebuzzi, Solange","R$                 59,90","R$                       29,95"
O interior da História,"Waisman, Marina","R$                 69,90","R$                       34,95"
O Islã clássico,"Pereira, Rosalie Helena de Souza","R$              154,90","R$                       77,45"
O Itinerário de Benjamim de Tudela,"Guinsburg, J.","R$                 64,90","R$                       32,45"
O Jogo teatral no livro do diretor,"Spolin, Viola","R$                 64,90","R$                       32,45"
O Kitsch: a arte da felicidade,"Moles, Abraham","R$                 59,90","R$                       29,95"
O legado de Renata,"Bolaffi, Gabriel","R$                 74,90","R$                       37,45"
O livro disso,"Groddeck, Georg","R$                 69,90","R$                       34,95"
O livro do jazz,"Berendt, Joachim-Ernst; Huesma",", RG$u n   t h   e  r    159,90","R$                       79,95"
