HISTÓRIA DA FOTOGRAFIA NO BRASIL-,,,,,
"",Rubens Fernades Júnior,R$,"15,00",R$,"7,50"
PANORAMA GERAL E REFERENCIAS BÁSICAS,,,,,
HORACIO COPPOLA: VISÕES DE BUENOS,,,,,
"",Fotógrafo: Horacio Coppola / Texto: Jorge Schwartz,R$,"40,00",R$,"20,00"
AIRES,,,,,
J. CARLOS - ORIGINAIS,"Organização: Cássio Loredano, Julia Kovensky e Paulo Roberto Pires",R$,"139,90",R$,"69,95"
LÁ - ROBERTO MAGALHÃES,Autor: Roberto Magalhães,R$,"30,00",R$,"15,00"
LETIZIA BATTAGLIA: PALERMO,Organização: Paolo Falcone,R$,"114,50",R$,"57,25"
LUCIANO CARNEIRO – FOTOJORNALISMO E,,,,,
"",Organização: Sergio Burgi,R$,"129,50",R$,"64,75"
REPORTAGEM (1942-1959),,,,,
MADALENA SCHWARTZ: RETRATOS,Fotógrafo: Madalena Schwartz,R$,"15,00",R$,"7,50"
"","Organização: Thyago Nogueira, Francesca Fabiani, Laura",,,,
LUIGI GHIRRI: PENSAR POR IMAGENS,,R$,"109,90",R$,"54,95"
"","Gasparini, Giuliano Sérgio",,,,
MADALENA HASHIMOTO: DAS DEZ MIL FACES,Artista: Madalena Hashimoto,R$,"55,00",R$,"27,50"
MADALENA SCHWARTZ: AS METAMORFOSES,Artista: Madalena Schwartz,R$,"124,50",R$,"62,25"
MANDACARU,Texto: Elvia Bezerra / Ilustração: Rachel de Queiroz,R$,"36,00",R$,"18,00"
MANFREDO DE SOUZANETTO: ESCULTURAS,Artista: Manfredo de Souzanetto,R$,"18,00",R$,"9,00"
"","Organização: Sergio Burgi, Tadeu Chiarelli, Christina Barboza, Francisco",,,,
MARC FERREZ: TERRITÓRIO E IMAGEM,,R$,"224,50",R$,"112,25"
"","Foot Hardman, Mariana Newlands, Ileana Padilla Ceron",,,,
MARC FERREZ: UMA CRONOLOGIA DA VIDA E A,,,,,
"",Organização: Ileana Padilla Ceron,R$,"49,50",R$,"24,75"
DA OBRA,,,,,
"MARCEL GAUTHEROT, FOTOGRAFIAS","Organização: Samuel Titan Jr., Sergio Burgi",R$,"124,90",R$,"62,45"
MARCELLO GRASSMANN: DESENHOS,Autor: Marcello Grassmann,R$,"48,00",R$,"24,00"
MARIO CRAVO NETO: ESPÍRITOS SEM NOME,Organização: Luiz Camillo Osório / Artista: Mario Cravo Neto,R$,"174,50",R$,"87,25"
MÁRIO ZAVAGLI: PAISAGENS MINEIRAS,Artista: Mario Zavagli,R$,"15,00",R$,"7,50"
MEMÓRIAS DE UM VIVENTE OBSCURO,Autor: Matinas Suzuki,R$,"30,00",R$,"15,00"
MILLÔR: OBRA GRÁFICA,"Organização: Cássio Loredano, Julia Kovensky, Paulo Roberto Pires",R$,"129,90",R$,"64,95"
