Titulo,Autor,Preço de capa,Preço com desconto
O Talmud,,"R$ 59,00","R$ 29,50"
O terror,"Machen, Arthur","R$ 42,00","R$ 21,00"
O utilitarismo,"Stuart Mill, John","R$ 41,00","R$ 20,50"
O verão da lata,"Cesarotto, Oscar","R$ 40,00","R$ 20,00"
Obra poética,"Bonnefoy, Yves","R$ 85,00","R$ 42,50"
OBRA POÉTICA Yves Bonnefoy,"Bonnefoy, Yves","R$ 75,00","R$ 37,50"
Oresteia I,Ésquilo,"R$ 69,00","R$ 34,50"
Oresteia II,Ésquilo,"R$ 49,00","R$ 24,50"
Orestéia III,Ésquilo,"R$ 50,00","R$ 25,00"
Os 120 dias de Sodoma,"Sade, Marquês De","R$ 95,00","R$ 47,50"
Os caminhos e o rio,"Medeiros, Sérgio","R$ 49,00","R$ 24,50"
Os cantos de Maldoror,Lautreamont,"R$ 98,00","R$ 49,00"
Os deuses no exílio,"Heine, Heinrich","R$ 59,00","R$ 29,50"
Os dois primos nobres,"Shakespeare, William; Fletcher, John","R$ 53,00","R$ 26,50"
Os dois tigres,"Salgari, Emilio","R$ 48,00","R$ 24,00"
Os eixos da linguagem,"Lima, Luiz Costa","R$ 53,00","R$ 26,50"
Os famosos e os duendes da morte,"Caneppele, Ismael","R$ 34,00","R$ 17,00"
Os gatos de Copenhague,"Joyce, James","R$ 49,00","R$ 24,50"
Os infortúnios da virtude,"Sade, Marquês De","R$ 59,00","R$ 29,50"
Os lança-chamas,"Arlt, Roberto","R$ 65,00","R$ 32,50"
Os Libertinos de Sade,"Castro, Clara","R$ 63,00","R$ 31,50"
Os mistérios da selva negra,"Salgari, Emilio","R$ 48,00","R$ 24,00"
Os ódios - clínica e política do psicanalista,"Dias, Mauro Mendes","R$ 49,00","R$ 24,50"
Os outros,,"R$ 53,00","R$ 26,50"
Os papéis de Picasso,"Krauss, Rosalind E","R$ 56,00","R$ 28,00"
Os piratas da Malásia,"Salgari, Emilio","R$ 41,00","R$ 20,50"
Os sete loucos,"Arlt, Roberto","R$ 65,00","R$ 32,50"
Os trabalhos e os dias,Hesíodo,"R$ 53,00","R$ 26,50"
Os últimos flibusteiros,"Salgari, Emilio","R$ 51,00","R$ 25,50"
Outros 40,"Antunes, Arnaldo","R$ 45,00","R$ 22,50"
Papéis de Maria Dias,"Collin, Luci","R$ 42,00","R$ 21,00"
Para fazer um livro de alfabetos e aniversários,"Stein, Gertrude","R$ 59,00","R$ 29,50"
Para ler Finnegans Wake de James Joyce seguido de Anna Livi,"A Pmluarabnetell,e Dirce Waltrick Do","R$ 59,00","R$ 29,50"
Parte da paisagem,"Lisboa, Adriana","R$ 45,00","R$ 22,50"
Passagem de Walter Benjamin,"Missac, Pierre","R$ 65,00","R$ 32,50"
Patópolis,"Coelho, Marcelo","R$ 42,00","R$ 21,00"
Patricio Farías,"Farías, Patricio","R$ 120,00","R$ 60,00"
Pedofilia: um estudo psicanalítico,"Hisgail, Fani","R$ 42,00","R$ 21,00"
Pele e osso,"Gusmán, Luis","R$ 53,00","R$ 26,50"
Pequena biblioteca para crianças,"Amarante, Dirce Waltrick Do","R$ 46,00","R$ 23,00"
Pequena música,"Lisboa, Adriana","R$ 35,00","R$ 17,50"
"Péricles, príncipe de tiro","Shakespeare, William","R$ 59,00","R$ 29,50"
"Perversos, amantes e outros trágicos","Moraes, Eliane Robert","R$ 73,00","R$ 36,50"
"Pinta curiosa, A",Fê,"R$ 41,00","R$ 20,50"
Pistas falsas,"Canclini, Néstor García","R$ 42,00","R$ 21,00"
Poemas,"Plath, Sylvia","R$ 45,00","R$ 22,50"
Poemas e fragmentos,"Lesbos, Safo De","R$ 59,00","R$ 29,50"
Poesia é não,"Leminski, Estrela","R$ 45,00","R$ 22,50"
