Titulo,Autor,Preço de capa,Preço com desconto
"Estética da indiferença, A","Rocha, Sidney","R$ 62,00","R$ 31,00"
"Eu, morto","Geraldo Figueiredo Ferreira, Antonio","R$ 29,00","R$ 14,50"
Excluso,"Abud, Mauricio","R$ 53,00","R$ 26,50"
Exilados,"Joyce, James","R$ 56,00","R$ 28,00"
Feitiços [Charmes],"Valery, Paul","R$ 69,00","R$ 34,50"
Fernando Pessoa entre almas e estrelas,"Osakabe, Haquira","R$ 42,00","R$ 21,00"
Fernando Pessoa resposta à decadência,"Osakabe, Haquira","R$ 56,00","R$ 28,00"
Fernanflor,"Rocha, Sidney","R$ 45,00","R$ 22,50"
Finnegans Wake (por um fio),"Joyce, James","R$ 65,00","R$ 32,50"
Flashes,"Rocha, Sidney","R$ 65,00","R$ 32,50"
"FOLHAS DE RELVA - edição bilíngue, revisada e ampliada","Whitman, Walt","R$ 89,00","R$ 44,50"
Fragmentos sobre o que se escreve de uma psicanálise,"Salum, Luciana K. P.","R$ 59,00","R$ 29,50"
Frases do Tomé,"Antunes, Arnaldo","R$ 44,00","R$ 22,00"
Globalização Imaginada,"Canclini, Néstor García","R$ 85,00","R$ 42,50"
Guerra de ninguém,"Rocha, Sidney","R$ 45,00","R$ 22,50"
História de uma menininha,Laure,"R$ 38,00","R$ 19,00"
História natural da ditadura,"Coelho, Teixeira","R$ 60,00","R$ 30,00"
Histórias alegres,"Collodi, Carlo","R$ 36,00","R$ 18,00"
Hotel Éden,"Gusmán, Luis","R$ 45,00","R$ 22,50"
Ideias de lacan,"Cesarotto, Oscar","R$ 45,00","R$ 22,50"
Idéias de Lacan,"Cesarotto, Oscar","R$ 45,00","R$ 22,50"
Identidade e violência,"Sem, Amartya","R$ 69,00","R$ 34,50"
Iluminuras - gravuras coloridas,"Rimbaud, Arthur","R$ 59,00","R$ 29,50"
Imagem,"Santaella, Lucia; Noth, Winfried","R$ 75,00","R$ 37,50"
Inconsciências,"Cesarotto, Oscar","R$ 62,00","R$ 31,00"
Inquilina do intervalo,"Farra, Maria Lucia Dal","R$ 40,00","R$ 20,00"
Interlab,"Leão, Lucia","R$ 75,00","R$ 37,50"
"Invenção da modernidade literária, A","Luz de Medeiros, Constantino","R$ 69,00","R$ 34,50"
"Iolanda, a filha do corsário negro","Salgari, Emilio","R$ 48,00","R$ 24,00"
James Joyce e seus tradutores,"Joyce, James","R$ 49,00","R$ 24,50"
Jardim de Haijin,"S, Alice Ruiz","R$ 42,00","R$ 21,00"
Jardim zoológico,"Bueno, Wilson","R$ 36,00","R$ 18,00"
Jeito de bicho,"S, Alice Ruiz","R$ 41,00","R$ 20,50"
João Felpudo ou histórias divertidas com desenhos cômicos do,"DHro. fHfmeainnrnic,h H Heoinffrmichann","R$ 44,00","R$ 22,00"
"Jorge Luis Borges, um escritor na periferia","Sarlo, Beatriz","R$ 50,00","R$ 25,00"
Jornal Dobrabil,"Mattoso, Glauco","R$ 58,00","R$ 29,00"
Junco,"Ramos, Nuno","R$ 45,00","R$ 22,50"
Justine,"de Sade, Marquês","R$ 85,00","R$ 42,50"
Laocoonte,"Lessing, G. E.","R$ 95,00","R$ 47,50"
Latino-americanos à procura de um lugar neste século,"Canclini, Nestor Garcia","R$ 53,00","R$ 26,50"
Lautréamont austral,"Perrone-Moisés, Leyla; Monegal, Em","r RodrígRu$e 4z5,00","R$ 22,50"
