COD_BARRA_ITEM,COD. HORUS,NOM_ITEM,NOM_EDITORA,VLR_CAPA,VLR PROMOCIONAL,GENERO
9788578279066,741236,MARCA - O QUE O CORAÇAO NAO SENTE OS OLH,WS MNAFO M VAERETMINS FON,"ES39,90","19,95",Comunicação e Jorn
9788578279691,759648,DOUTOR PROKTOR - O GRANDE ROUBO DO TES,UWRMOF MARTINS FON,"ES44,90","22,45",Infantis e Juvenis
9788578272357,607090,ROI E RUTI,WMF MARTINS FON,"ES44,90","22,45",Infantis e Juvenis
9788578278366,738387,MORTIFEROS - A VERDADE SOBRE AS CRIATURAS,MWAMISF P MERAIRGTOINSAS SF ODNA,"TEESRRA - CO4L4E,Ç9A0O CIENCIA","ANIMAL22,45",Infantis e Juvenis
9788533623187,233179,ESSE COELHO PERTENCE A EMILIA BROWN,WMF MARTINS FON,"ES39,90","19,95",Infantis e Juvenis
9788578279363,749148,VOCABULARIO BASICO DO VINHO,WMF MARTINS FON,"ES44,90","22,45",Gastronomia e Culin
9788578271398,580013,IMMACULADA,WMF MARTINS FON,"ES59,90","29,95",Literatura e teoria li
9788578276119,693816,"ARTE DE CONJUGAR VERBOS ALEMAES, A",WMF MARTINS FON,"ES49,90","24,95",Guias
9788578270636,551308,"SAPO ENCONTRA UM AMIGO, O",WMF MARTINS FON,"ES39,90","19,95",Infantis e Juvenis
9788578276737,709217,"BUSCA DO SENTIDO, A",WMF MARTINS FON,"ES64,90","32,45",Comunicação e Jorn
9788578278922,743968,DO GOVERNO DOS VIVOS,WMF MARTINS FON,"ES69,90","34,95",Filosofia
9788578277932,727604,NATUREZA HUMANA - JUSTIÇA VS PODER,WMF MARTINS FON,"ES39,90","19,95",Filosofia
9788560156306,249938,LEREIAS,WMF MARTINS FON,"ES44,90","22,45",Literatura e teoria li
9788578271404,572797,"CACHORRO DO COELHO, O",WMF MARTINS FON,"ES39,90","19,95",Infantis e Juvenis
9788546902194,888022,SOU PEQUENININHO,WMF MARTINS FON,"ES39,90","19,95",Infantis e Juvenis
9788578274481,662513,AMOR E DESEJO - VOL. 12 - COLEÇAO FILOSOFIA,-W OM PFR MAZAERT DINOS  PFEONN,"AERS29,90","14,95",Filosofia
9788578276232,692769,I CHING - EDIÇAO COMPLETA,WMF MARTINS FON,"ES89,90","44,95","Religião, espiritualid"
9788578278403,740601,"SER, ESSENCIA E SUBSTANCIA EM PLATAO E ARIS",OWTMELFE MSARTINS FON,"ES59,90","29,95",Filosofia
9788578275082,681603,DICIONARIO ESCOLAR WMF - FRANCES-PORTUG,EWS M/ PF OMRATRUTGINUSE SF-OFRN,"NESCES64,90","32,45",Dicionários
9788578275532,688665,PAGANDO POR SEXO,WMF MARTINS FON,"ES54,90","27,45",Humor e Quadrinho
9788578275914,704137,ANTON E AS MENINAS,WMF MARTINS FON,"ES39,90","19,95",Infantis e Juvenis
9788578277147,714558,"FORMA DA REPUBLICA, A - DA CONSTITUIÇAO MI",WTAM AFO M EASTRATIDNOS FON,"ES64,90","32,45",Ciências Humanas
9788533621251,132106,DRAMAS,WMF MARTINS FON,"ES59,90","29,95",Teatro
9788533621619,132150,"WINN-DIXIE, MEU MELHOR AMIGO",WMF MARTINS FON,"ES39,90","19,95",Infantis e Juvenis
9788578272487,608446,"ARQUIVOS FILOSOFICOS, OS",WMF MARTINS FON,"ES54,90","27,45",Infantis e Juvenis
9788578275600,691973,"PRAZER, DOR, AS PAIXOES - COLEÇOES IDEIAS VI",AWSMF MARTINS FON,"ES29,90","14,95",Filosofia
9788533620476,131998,FANTASIAS,WMF MARTINS FON,"ES49,90","24,95",Infantis e Juvenis
9788578270292,542625,SISTEMA E ESTRUTURA NO DIREITO - VOL. 1 - DA,WORMIGF EMNAS RAT EINSSC OFOLAN,"EISTORICA99,90","49,95",Direito
9788533620599,132020,ARTE DA CONJUGAÇAO DOS VERBOS EM PORTU,"UWEMS,F A MARTINS FON","ES49,90","24,95",Guias
9788578271367,572476,"SAPO APAIXONADO, O",WMF MARTINS FON,"ES39,90","19,95",Infantis e Juvenis
9788578277338,719037,PEQUENAS E GRANDES HISTORIAS DOS ANIMAIS,WXTMINFT MOSARTINS FON,"ES59,90","29,95",Infantis e Juvenis
9788578270285,538318,"RAZAO JURIDICA, A",WMF MARTINS FON,"ES44,90","22,45",Direito
9788578279462,765649,SOBRE O POLITICO,WMF MARTINS FON,"ES44,90","22,45",Ciências Humanas
9788578278083,772111,TEORIA DOS SENTIMENTOS MORAIS,WMF MARTINS FON,"ES74,90","37,45",Filosofia
9788578271046,572470,MAPA DE SONHOS,WMF MARTINS FON,"ES39,90","19,95",Infantis e Juvenis
9788546903153,906581,DEGUSTAÇÃO DE VINHOS - RIGOR E PAIXÃO,WMF MARTINS FON,"ES39,90","19,95",Gastronomia
9788578277468,722090,VOCE E SEU DINHEIRO,WMF MARTINS FON,"ES39,90","19,95",Administração
9788578272258,602260,TEMPO E MEMORIA - COLEÇAO TEMAS DA ARTE,WONMTFE MPAORTRIANNSE FAON,"ES29,90","14,95",Artes
9788560156436,251049,HISTORIAS DO RIO NEGRO,WMF MARTINS FON,"ES44,90","22,45",Literatura e teoria li
9788578272449,607088,MINOTAURO,WMF MARTINS FON,"ES59,90","29,95",Infantis e Juvenis
9788578272562,619304,DESCOBRINDO A PRONUNCIA DO INGLES - COM,WOIMS CFD MS ADRET AINUSD FION,"ES84,90","42,45",Linguagem e comun
9788578270230,525598,PAGINAS RECOLHIDAS - RELIQUIAS DE CASA VEL,AWMF MARTINS FON,"ES49,90","24,95",Literatura e teoria li
9788578278984,743870,"LOUCURA DO SURICATO, A",WMF MARTINS FON,"ES39,90","19,95",Infantis e Juvenis
9788578273163,626056,VOCABULARIO DE DESCARTES,WMF MARTINS FON,"ES34,90","17,45",Filosofia
9788578271633,591477,CONCEITO E VALIDADE DO DIREITO,WMF MARTINS FON,"ES49,90","24,95",Direito
