TÍTULO,AUTOR,PREÇO CAPA,"PREÇO COM DES-CONTO"
A ILHA DAS ALMAS SELVAGENS,H.G. Wells,"69,00","34,50"
O DOUTOR NEGRO,Arthur Conan Doyle,"69,00","34,50"
A ESPINHA DORSAL DA MEMÓRIA,Braulio Tavares,"55,00","27,50"
MUNDO FANTASMO,Braulio Tavares,"44,00","22,00"
VESTÍGIOS mortes nem um pouco naturais,Sandra Abrano,"49,00","24,50"
"EU e CERVANTES Livro de anotações paraviagens reais e imaginárias",Miguel de Cervantes,"48,00","24,00"
"EU e MÁRIO DE ANDRADE Livro de anota-ções para viagens reais e imaginárias",Mário de Andrade,"48,00","24,50"
"EU e FERNANDO PESSOA Livro de anotaçõespara viagens reais e imaginárias",Fernando Pessoa,"48,00","24,50"
