"A vida na Grécia: rapsódia BAGNO, MARCOS 49,00","24,50"
"Acento em português: abordagens fonológicas, (O) ARAÚJO, Gabriel Antunes de 55,00","27,50"
"Alfabetização de idosos: um tema urgente no Brasil - A Kátia Abreu | Maria Carlota Rosa 28,00","14,00"
"Análise da conversação: princípios e métodos KERBRAT-ORECCHIONI, Catherine 32,00","16,00"
"Análise de discurso crítica para linguístas e não linguistas José Ribamar Lopes Batista Jr. 39,00","19,50"
"Análise de textos: fundamentos e práticas ANTUNES, Irandé 47,00","23,50"
"Análise do discurso FERRAREZI JR., Celso | RASO, Tommaso | VO3T9R,E00, Sebast1iã9o,5 J0",
"Análise do discurso (A) MAZIERE, Francine 33,00","16,50"
"Aquisição da escrita FAYOL, Michel 37,00","18,50"
"Aquisição de linguagem KAIL, Michele 32,00","16,00"
"Aquisição de segunda língua PAIVA, Vera Lúcia Menezes de Oliveira e 40,00","20,00"
"Armadilhas do Egito Marc Cantin e Isabe 24,00","5,00"
"Argumentação: história, teorias, perspectivas, (A) PLANTIN, Christian 32,00","16,00"
"Arquitetura da conversação: teoria das implicaturas OLIVEIRA, Roberta Pires de 43,00","21,50"
"Artigo de opinião: sequência didática funcionalista CASSEB-GALVÃO, Vânia Cristina | DUARTE, M2IL8C,0IN0 ELE D1A4 C,0O0",
"Aula de inglês: do planejamento à avaliação OLIVEIRA, Luciano Amaral 50,00","25,00"
"Aula de português: encontro e interação ANTUNES, Irandé 39,00","19,50"
"Bakhtin desmascarado: história de um mentiroso, de uma frBaRudOeN dCeK uAmR Tde, lJíreioa nc-oPleatuivl o 98,00","49,00"
"Bakhtin e o cronotopo: reflexões, aplicações, perspectivas BEMONG, Nele | KEUNEN, Bart 61,00","30,50"
"Cara a cara com gladiadores Marc Cantin e Isabe 24,00","5,00"
"Cenas surdas: os surdos terão lugar no coração do mundo?LUZ, Renato Dente 39,00","19,50"
"Cinco ensaios sobre humor e análise do discurso POSSENTI, Sírio 32,00","16,00"
"Circulo de Viena (O) OUELBANI, Melika 33,00","16,50"
"Coaching instrucional: formação continuada em ensaio de líCngUuNaHsA, Alex Garcia da 26,00","13,00"
"Coisas que todo professor de português precisa saber OLIVEIRA, Luciano Amaral 53,00","26,50"
"Como escrever e ilustrar um artigo científico GUSTAVII, Björn 48,00","24,00"
"Considerações sobre a fala e a escrita: fonologia em nova cShIaMvÕeES, Darcilia 29,00","14,50"
"Constelação de gêneros: a construção de um conceito ARAÚJO, Júlio César Rosa de 29,00","14,50"
"Construção da leitura e da escrita (A) BORTONE, Marcia Elizabeth 44,00","22,00"
"Conversa de gatos BAGNO, Marcos 36,00","18,00"
"Curso de linguística geral Saussure, Ferdinand 65,00","32,50"
"Da linguística formal à linguística social CAMACHO, Roberto Gomes 46,00","23,00"
"Da redação à produção textual: o ensino da escrita GUEDES, Paulo Coimbra 61,00","30,50"
"De alunos a leitores: o ensino da leitura na educação básicaFERRAREZI JR., Celso | CARVALHO, Robson S3a9n,0to0s de","19,50"
"De Vulgari Eloquentia: sobre a eloquência em língua vulgarFrancisco Calvo del Olmo 50,00","25,00"
"Descrição do português brasileiro FERRAREZI JR., Celso | BASSO, Renato Migue3l 9| ,R0A0SO, To1m9m,5a0",
"Dicionário crítico de sociolinguísta BAGNO, Marcos Araújo 98,00","49,00"
"Dicionários escolares: políticas, formas & usos CARVALHO, Orlene L. de S. 32,00","16,00"
"Dicionários na teoria e na prática: como e para quem são feXitoAsTARA, Claudia 39,00","19,50"
"Dinâmicas funcionais da mudança linguística CASSEB-GALVÃO, Vânia Cristina | BAGNO, Ma4rc3o,0s0 Araújo 2| 1R,E50Z",
"Discurso e (pós)verdade PIOVEZANI, Carlos | Vanice Sargentini | Luzmar4a5 C,0u0rcino Fe2r2re,5ir0",
"Discurso e análise do discurso MAINGUENEAU, Dominique 43,00","21,50"
"Do campo para a cidade BORTONI-RICARDO, Stella Maris 54,00","27,00"
"Doze conceitos em análise do discurso MAINGUENEAU, Dominique 45,00","22,50"
"Doze trabalhos de Hércules: do oral para o escrito, (OS) BORTONI-RICARDO, Stella Maris 43,00","21,50"
"Educação de jovens e adultos ALVES, Ma do Rosário do N. Ribeiro 33,00","16,50"
"Educação em língua materna BORTONI-RICARDO, Stella Maris","32,00","16,00"
"Efeito Saussure: cem anos do curso de linguística geral, (O)FARACO, Carlos Alberto","46,00","23,00"
"Em busca de Ferdinand de Saussure ARRIVÉ, Michel","59,00","29,50"
"Ensinar a ler, aprender a avaliar - avaliação diagnóstica dasC hAaRbViliAdaLdHeOs,  dReo lbesitounra Santos de","32,00","16,00"
"Ensino e aprendizagem de língua inglesa LIMA, Diógenes Cândido de","55,00","27,50"
"Enunciado de atividades e tarefas escolares: modos de fazeLrINO DE ARAÚJO, Denise","34,00","17,00"
Escola (A): problema filosófico Silvio Gallo e Samuel Mendonça,"35,00","17,50"
Escola (A): uma questão pública Silvio Gallo e Samuel Mendonça,"35,00","17,50"
"Escola conectada: os multiletramentos e as tics ROJO, Roxane","41,00","20,50"
"Escrever na universidade 1: fundamentos FARACO, Carlos Alberto | VIEIRA, Francisco Ed2u8a,r0d0o",,"14,00"
"Escrever na universidade 2: texto e discurso FARACO, Carlos Alberto | VIEIRA, Francisco Ed4u7a,r0d0o",,"23,50"
"Escrever na universidade 3: Gramática do período e da cooFrdAeRnAaCçãOo, Carlos Alberto | VIEIRA, Francisco Ed5u5a,r0d0o",,"27,50"
"Escrever, hoje: palavra, imagem e tecnólogias digitais na edRuIcBaEçIãRoO, Ana Elisa","28,00","14,00"
"Escrita e sociedade COULMAS, Florian","61,00","30,50"
"Espanhol e português brasileiro: estudos comparados FANJUL, Adrián P.","48,00","24,00"
"Estudos de gramática descritiva PERINI, Mário A.","61,00","30,50"
"Estudos do discurso: perspectivas teóricas OLIVEIRA, Luciano Amaral","61,00","30,50"
"Eu(s) - pequena antologia poética PESSOA, Fernando","35,00","17,50"
"Evolução das formas gramáticais, (A) BAGNO, Marcos Araújo | MEILLET, ANTOINE","65,00","32,50"
"Faça a diferença: ensinar línguas estrangeiras na educaçãoC bUáNsiHcaA, Alex Garcia da | MICCOLI, Laura Stella40,00",,"20,00"
"Falando ao pé da letra: a constituição da narrativa ROJO, Roxane","52,00","26,00"
"Falar, ler e escrever em sala de aula SOUSA, Ma Alice F.","43,00","21,50"
"Felicidade invisível RIBONDI, Alexandre","44,00","22,00"
"Filologia, história e língua: olhares sobre o português medieMvaAlRCOTULIO, LEONARDO LENNERTZ","55,00","27,50"
"Fonologia, fonética e ensino: guia introdutório ROBERTO, Mikaela","35,00","17,50"
"Foucault: a coragem da verdade GROS, Frédéric","39,00","19,50"
"Frases sem texto MAINGUENEAU, Dominique","47,00","23,50"
"Gêneros no contexto brasileiro: questões meta teórica e conBcEeZituEaRisRA, Benedito Gomes","33,00","16,50"
"Gêneros textuais & ensino MACHADO, Anna Rachel","48,00","24,00"
"Gêneros textuais: reflexões e ensino KARWOSKI, Acir Mario","43,00","21,50"
"Geolinguística: tradição e modernidade CARDOSO,Suzana Alice","44,00","22,00"
"Gramática brasilenã para hablantes de espanõl CARVALHO, Orlene L. de S.  | BAGNO, Marcos 6A6ra,0ú0jo",,"33,00"
"Gramática contextualizada: limpando o pó das ideias simpleAsNTUNES, Irandé","35,00","17,50"
"Gramática de bolso do português brasileiro BAGNO, Marcos Araújo","43,00","21,50"
"Gramática histórica do português euroupeu FERRAREZI JR., Celso | RASO, Tommaso | CAR39D,0E0IRA, ES1P9E,5R0",,
"Gramática Pedagógica do Português Brasileiro - CAPA BROBCAHGUNROA, Marcos Araújo | BAGNO, MARCOS","110,00","55,00"
"Gramática Houaiss AZEREDO, José Carlos de","109,00","54,50"
"Gramática tradicional: história crítica, (A) VIEIRA, Francisco Eduardo","46,00","23,00"
"Gramáticas brasileiras: com a palavra, os leitores FARACO, Carlos Alberto | VIEIRA, Francisco Ed6u1a,r0d0o",,"30,50"
"Gramáticas contemporâneas do português: com a palavra, NosE oVuEtSro,s Ma Helena de Moura | CASSEB-GALVÃ3O6,, 0V0ânia Cri1s8tin,0a0",,
"Guerra fria estruturalista, A Maria Cristina Fernandes Salles Altman","50,00","25,00"
"Hipermodernidade, multiletramentos e gêneros discursivos ROJO, Roxane | BARBOSA, Jacqueline Peixoto40,00",,"20,00"
"História concisa da escrita HIGOUNET, Charles","32,00","16,00"
