"LISTA DE LIVROSFesta Virtual do Livroda USP 2021",,,
TÍTULOAUTOR (A)PREÇO CAPAPREÇO COM DESCONTO,,,
PLURALISMO NA PSICANÁLISE,,"R$ 35,00",R$,"17,50"
"","ROGÉRIO MIRANDA DE (AUTOR), LOPARI, ZELJKO",,,
"",(AUTOR),,,
"","ESTRELLA, CHARBELLY (ORGANIZADOR),",,,
POR DENTRO DA COMUNICAÇÃO INTERNA,"BENEVIDES, RICARDO (ORGANIZADOR), FREITAS,","R$ 38,00",R$,"19,00"
"",RICARDO FERREIRA (ORGANIZADOR),,,
PÓS MULHER,"ALVES, FÁBIO LOPES (AUTOR)","R$ 30,00",R$,"15,00"
"","THIÉL, JANICE CRISTINE (ORGANIZADOR), MIYAKI,",,,
"","CRISTINA YUKIE (ORGANIZADOR), FRANZ,",,,
PRISMAS,,"R$ 32,00",R$,"16,00"
"","MARCELO (ORGANIZADOR), MENDONÇA, CATIA",,,
"",TOLEDO (ORGANIZADOR),,,
PROCEDIMENTOS DE ENSINO,"COELHO, LÍVIA DIAS (AUTOR)","R$ 30,00",R$,"15,00"
PROTOCOLO DE CONDUTAS DO SERVIÇO DE GINECOLOGIA DO,"AMARAL, VIVIAN FERREIRA DO (AUTOR),",,,
"",,"R$ 120,00",R$,"60,00"
HOSPITAL SANTA CASA DE CURITIBA,"BOTOGOSKI, RODRIGO SHELDON (AUTOR)",,,
QUESTÕES ÉTICAS EM PESQUISAS CONDUZIDAS COM ANIMAIS,"LEITE, JULIO CESAR DE MOURA (AUTOR), FISCHER,",,,
"",,"R$ 54,90",R$,"27,45"
SILVESTRES,MARTA LUCIANE (AUTOR),,,
"REALIDADE, LINGUAGEM E METAÉTICA EM WITTGENSTEIN","PERUZZO JÚNIOR, LÉO (AUTOR)","R$ 84,90",R$,"42,45"
"","SOUSA, CLARILZA PRADO DE (ORGANIZADOR),",,,
"","BÔAS, LUCIA PINTOR SANTISO VILLAS",,,
REPRESENTAÇÕES SOCIAIS,,"R$ 35,00",R$,"17,50"
"","(ORGANIZADOR), ENS, ROMILDA TEODORA",,,
"",(ORGANIZADOR),,,
"","NOVAES, ADELINA DE OLIVEIRA (ORGANIZADOR),",,,
"","SOUZA, CLARILZA PRADO DE (ORGANIZADOR),",,,
REPRESENTAÇÕES SOCIAIS,"BÔAS, LUCIA PINTOR SANTISO VILLAS","R$ 35,00",R$,"17,50"
"","(ORGANIZADOR), DURAN, MARÍLIA CLARET",,,
"",GERAES (ORGANIZADOR),,,
"","PLACCO, VERA MARIA NIGRO DE SOUZA",,,
"","(ORGANIZADOR), BÔAS, LUCIA PINTOR SANTISO",,,
REPRESENTAÇÕES SOCIAIS,,"R$ 35,00",R$,"17,50"
"","VILLAS (ORGANIZADOR), SOUSA, CLARILZA PRADO",,,
"",DE (ORGANIZADOR),,,
"","ENS, ROMILDA TEODORA (ORGANIZADOR), BÔAS,",,,
REPRESENTAÇÕES SOCIAIS,"LUCIA PINTOR SANTISO VILLAS (ORGANIZADOR),","R$ 35,00",R$,"17,50"
"","BEHRENS, MARILDA APARECIDA (ORGANIZADOR)",,,
SABEDORIA PRÁTICA,"OLIVEIRA, JELSON (AUTOR)","R$ 43,00",R$,"21,50"
SEMENTES DE SABEDORIA,"JULIATTO, CLEMENTE IVO (AUTOR)","R$ 59,90",R$,"29,95"
SOCIOLOGIA DA EDUCAÇÃO NO BRASIL,"BONETI, LINDOMAR WESSLER (AUTOR)","R$ 39,90",R$,"19,95"
TEMAS PARA PENSAR E ENSINAR PSICOLOGIA,"LAURINDA, MICHAELLA CARLA (ORGANIZADOR)","R$ 33,00",R$,"16,50"
KANT E O PROBLEMA DA SIGNIFICAÇÃO,DANIEL OMAR PEREZ (AUTOR),"R$ 29,90",R$,"14,95"
"","GIOVANNI FERNANDES FOGGIATO (AUTOR),",,,
"IMOBILIZAÇÕES EM ORTOPEDIA: TALAS, TIPOIAS E ENFAIXAMENTOS",,"R$ 54,90",R$,"27,45"
"",GIANA SILVEIRA GIOSTRI (AUTOR),,,
INSTITUIÇÕES DE DEMOCRACIA PARTICIPATIVA: BENS,,,,
"","HUÁSCAR FIALHO PESSALI (AUTOR), BRUNO",,,
DEMOCRÁTICOS NOS CONSELHOS DE POLÍTICAS PÚBLICAS DE,,"R$ 64,90",R$,"32,45"
