Título,Autor,Preço de capa,Preço com desconto
Plano de Negócios 3a ed. - Estratégia Para,"Biciraog ieo ,P Leuqizu eAnransa lEdom /p","easRtao$sc  c  h  i o  , A   n t 1o0n1io,00","R$                      50,50"
"Poço e a Mina, O","Phillips, Gin","R$                44,00","R$                      22,00"
Políticas de Transporte no Brasil - A Constru,"Vãaos cdoan Mceolboisli,d Eadduea Erdxoc","AuRdlce$ân  tt ea  r a   d  e   102,00","R$                      51,00"
Por Dois Mil Anos - Um Estudante Judeu na,"Soembaêsntiia nA, nMtisihsaeimlita","osR A$ n o  s    1  9  3 0    67,00","R$                      33,50"
PREVENCAO DO CANCER 2ED-ANTU,"AEnStunes, Ricardo Cés","r RPi$n t o   /   P  e r  d  1ic1a1ri,s0, 0A","tôRn$i o    A  n   d  r  é    M    a 5 g5o,u5l0as"
PROCESSO MARITIMO 2-ED. PIMENT,"Pimenta, Matusalém","oRn$ça  l v e  s          58,00","R$                      29,00"
PROVAS P.OBTENC.TIT.CARDIOL 4E,"-FFaArsRkyS, KPeYdro Silvio /","aRr$ti n  s ,   W   o  l n  1ey7 1d,e0 A0n","rRa$d  e    ( e   d  i t  o  r  e  s  )85,50"
Queimado,"Enger, Thomas","R$                44,00","R$                      22,00"
QUEIMADO-ENGER,"Enger, Thomas","R$                44,00","R$                      22,00"
QUIMICA CLINICA 5-ED.,"Bishop, Michael L. / F","dRy,$ E d  w   a  r d    P  4. /0 S7c,h0o0e","fR, L$a  r  r y   E  .          203,50"
"Rabino, O","Fischmann, Roland","R$                33,00","R$                      16,50"
"RABINO, O-FISCHMANN","Fischmann, Roland","R$                33,00","R$                      16,50"
"Rainha Margot, A","Dumas, Alexandre","R$              101,00","R$                      50,50"
RECURS.EM FISIOT.CARDIORRESP-S,"SRarMmEenNtTo,O George Jer","eR V$ie i r  a          164,00","R$                      82,00"
REGULAM.SANIT.MEDICAM.NO BRAS,"LB-eBllEanL,L NAaNtália / Pinto","TRer$e z  i n  h  a  d  e 1 J5es9u,0s 0A","dRre$o   l i   ( c  o   o  r  d  s  . ) 79,50"
"Rei Lear Em Cordel, O - Baseando na obra","eH aWuirlélialimo, SMhaarkceospear","R$                33,00","R$                      16,50"
REI LEAR EM CORDEL-HAURELIO,"Haurélio, Marco","R$                33,00","R$                      16,50"
Renoir - Uma Biografia Íntima,"White, Barbara Ehrlic","R$              139,00","R$                      69,50"
REPRES.SOCIAL DA PROF.ENFERMA,"OEliMve-iOraL, IEVdEithIR FAerreir","dRe$ S o  u  z a          35,00","R$                      17,50"
"Retorno do Hooligan, O","Manea, Norman","R$                67,00","R$                      33,50"
"RETORNO DO HOOLIGAN, O-MANEA","Manea, Norman","R$                67,00","R$                      33,50"
"Revolução Transumanista, A","Ferry, Luc","R$                67,00","R$                      33,50"
Robin Hood 2a ed.,"Rhead, Louis","R$                38,00","R$                      19,00"
Rússia Contra Napoleão - A Batalha Pela Eu,"Loipeave, nd,e D 1o8m07in aic 1814","R$                94,00","R$                      47,00"
SAPATEADO-FUND.E TEC-LEWIS,"Lewis, Lisa","R$                88,00","R$                      44,00"
Sonho de Uma Noite de Verão em Cordel -,"aVsiaenaad,a A nraie Ovabldrao de W","lliRam$   S  h  a  k e  s  p  e 3a2re,00","R$                      16,00"
Stálin - Nova Biografia de um Ditador,"Khlevniuk, Oleg V.","R$              110,00","R$                      55,00"
SUCOS E VITAM.P.CRIANCAS,"Cross, Amanda","R$                93,00","R$                      46,50"
"Superfície Sobre Nós, A","Vilas-Boas, Sergio","R$                44,00","R$                      22,00"
"SUPERFICIE SOBRE NOS, A - VILAS-B","OViAlaSs-Boas, Sergio","R$                44,00","R$                      22,00"
Tempos Difíceis,"Dickens, Charles","R$              101,00","R$                      50,50"
TERAPEUTICA.EM PEDIATRIA 3ED-L,"PLoEpZez, Fabio Ancona","GRir$ib  e l a  ,   F l a  v  2io2 /6 K,0o0ns","aRn$t y  n  e   r ,  T   u  l i o  113,00"
Terra - Bichos Que Gostam de Chão!,"Lins, Guto","R$                33,00","R$                      16,50"
TERRA-BICHOS QUE GOSTAM DE CH,"LOin-sL, IGNuSto","R$                33,00","R$                      16,50"
Tesouros do Egito : do Museu Egípcio do Ca,"rToiradritti, Francesco","R$              284,00","R$                    142,00"
TIBI E QUEQUE-MANOLE,"Manole, Daniela / Me","dRe$s,   N  a  t a  l i a  M   1a7n,o0le0","imR$e n  t  e  l                  8,50"
TORTAS,"Morgan, David","R$                93,00","R$                      46,50"
TREINAMENTO DE FORCA COM BOL,"Goldenberg, Lorne, P","teRr $T w  i s  t        117,00","R$                      58,50"
"TURISMO, ARQUITET, CIDADE-VARG","SVargas, Heliana Comi","(Rco$o r  d  )  /   V  a  r 1ga6s8, ,H0e0li","nRa$ C  o  m    i n   /   P   a  i v8 a4,, R00ic"
"TURISMO, ENSINO E PRAT.INTERD-R","RSuCscHhMmAanNnN, Doris / T","mRe$li n  ,  C a  r l o  s  A  9lb4e,0rt0o","oRr$g s .  )                  47,00"
VIDA DE ADOLESCENTE-LIFE OF TEE,"TAorGreEsR, João Pedro","R$                21,00","R$                      10,50"
"Vida e as Aventuras de Nicholas Nickleby, A","Dickens, Charles","R$              158,00","R$                      79,00"
Visão e Ação Estratégica - Os Caminhos da,"Cohmiapveetnitaivtiod,a Idealberto","/ RM$a t o  s ,  F  r a  n  1ci1sc3o,0 G0o","Re$s d   e                  56,50"
VOLEIBOL A EXCEL.FORM INTEG.DE,"BTizLzEoTccAhSi, Carlos ""Cac","""R$              112,00","R$                      56,00"
VOZ E DIREITO CIVIL-LEONARDI,"Leonardi, Fernanda St","nRch$i P  a  s c  a l e    ( a  5ut3o,0ra0)","hRin$e   l l a  t  o  ,   S  i l m    a 2 ra6 ,J5u0n"
ZUGAIB OBSTETRICIA BASICA-ZUGAI,"Zugaib, Marcelo (edit","r)R B$it  t a  r ,  R o  b  e 2r8to1 ,E0d0u","rRd$o   /   F  r a   n  c  i s  c  o1,4 R0o,5s0sa"
