Título,Autor,Preço de capa,Preço com desconto
Cartas de Freud a Sua Filha - Correspondên,"Tiao gdeel ,V Cihargiestnf r1ie8d9 5(o-1rg9",")3R$                95,00","R$                      47,50"
"Caso do Cão Atropelado, O","Fischmann, Roland","R$                21,00","R$                      10,50"
"CASO DO CAO URSO ATROPELADO,","F-iFscIhSmCaHnMn,A RNoNland","R$                21,00","R$                      10,50"
"CHARADA DO GORDUCHO, A","Belinky, Tatiana","R$                26,00","R$                      13,00"
"Charada do Gorducho, A","Belinky, Tatiana","R$                26,00","R$                      13,00"
"Chic de Paris, O - Decoração e Design de in","eSrciotretos,  -C Eatllhee Drienceorati","nR$              167,00","R$                      83,50"
CHOCOLATE-50 DAS MELHORES RE,".B-aBrAillRa,I LALcaAdemia","R$                68,00","R$                      34,00"
CIRURGIA CARDIACA - GASPAROTO,"Gasparoto, André Lui","VRal$e r a              39,00","R$                      19,50"
"Começo de Vida, Um","Balzac, Honoré de","R$                67,00","R$                      33,50"
COMO ADM.A PRODUCAO-BIAGIO,"Biagio, Luiz Arnaldo","R$                40,00","R$                      20,00"
Como Administrar a Produção + Curso On-Li,"Beiagio, Luiz Arnaldo","R$                40,00","R$                      20,00"
Como Calcular o Preço de Venda + Curso O,"B-Liaingeio, Luiz Arnaldo","R$                45,00","R$                      22,50"
COMO CALCULAR PRECO VENDA-BI,"GBiIaOgio, Luiz Arnaldo","R$                45,00","R$                      22,50"
Como Elaborar o Plano de Negócios + Curs,"BOiang-Lioin, eLuiz Arnaldo","R$                56,00","R$                      28,00"
"COMO, LOGO EXISTO",Autoridade Fitness,"R$              126,00","R$                      63,00"
COMUNIC.EMPRESARIAL SEM COMP,"MICa.t3oEsD, G-MusAtaTvOo Gom","s Rde$                64,00","R$                      32,00"
Comunicação Aberta - Desenvolvendo a Cul,"uMraa tdoos ,D Giáulsotgaovo Gom","s Rde$                73,00","R$                      36,50"
COMUNICACAO ABERTA-MATOS,"Matos, Gustavo Gom","s Rde$                73,00","R$                      36,50"
Comunicação Empresarial - Alinhando Teori,W e iPlsroánti cda  Costa Buen,"R$                79,00","R$                      39,50"
Comunicação Empresarial e Gestão de Marc,Ws ilson da Costa Buen,"R(o$rg  . )             78,00","R$                      39,00"
Comunicação Empresarial e Sustentabilidad,Wilson da Costa Buen,"R$                75,00","R$                      37,50"
Conhecer-se é Amar a si Próprio - Exercício,"Lpoatrta,  Ldyensne /n vKoelnvtezr,  aM aa","tiolRycn$o  Mn  s ac  ti uê  ln i c hi a   /  3e W 3p,ea0sr0ta,","eRrau$li z  a  r   m   u   d  a  n   ç 1 a6s ,p5o0s"
Contos do Grotesco e do Arabesco - 27 cont,Esd sgealre Acilolanna dPose,"R$              112,00","R$                      56,00"
CONTOS.DO GROTESCO.E DO ARAB,ESdCgaOr Allan Poe,"R$              112,00","R$                      56,00"
CONTOS-BIMBATO,"Bimbato, José Mário","R$                26,00","R$                      13,00"
Converse Com o Seu Cão,"Whitehead, Sarah","R$                44,00","R$                      22,00"
