ISBN,PRODUTO,AUTOR,PREÇO,PREÇO USP
9786550470258,DESPERTE A CRIANCA INTERIOR E SEJA FELIZ,"PHILLIPS, CHRISTOPHER","42,90","21,45"
9786587885193,DESTRAVE SEU DINHEIRO,"SANCHES, WILLIAM","42,90","21,45"
9788568014646,"DIREITO PENAL E CONSTITUICAO: DIALOGOSENTRE BRASI","CLAUDIA CRUZ SANTOS,FABIO ROBERTO DAVILA,NEREU G","99,90","49,95"
9788568014455,EM BUSCA DE NOS MESMOS,"CLOVIS DE BARROS FILHO EPEDRO CALABREZ","44,90","22,45"
9786550470142,"EM BUSCA DE NOS MESMOS - VERSAO DEBOLSO","BARROS FILHO, CLOVIS DE;CALABREZ, PEDRO","19,90","9,95"
9786550470418,EU ESCOLHI VIVER,MARQUES YANNAHE,"44,90","22,45"
9786550470401,EXCITADX,"HUTTER EPSTEIN, RANDI","44,90","22,45"
9786587885346,"GEORGE ORWEL 1984 + A REVOLUCAO DOSBICOS",GEORGE ORWELL,"49,90","24,95"
9786550470036,GOOO UP,"JUNIOR, ALBERTO","42,90","21,45"
9788568014431,GRANDE OUTRA VEZ,DONALD J. TRUMP,"39,90","19,95"
9786587885032,HABITOS DOS MILIONARIOS,"HILL, NAPOLEON","46,90","23,45"
9788568014707,"JUIZO E PRISAO: ATIVISMO JUDICIAL NOBRASIL E NOS","RODRIGO MORAES DEOLIVEIRA","99,90","49,95"
9788568014660,KINTSUGI,EDGAR UEDA,"42,90","21,45"
9786550470524,"KIT AFIRMACOES POSITIVAS P/ MUDAR SUAREALIDADE","SANCHES, WILLIAM","59,90","29,95"
9788568014004,MAIS ESPERTO QUE O DIABO,NAPOLEON HILL,"42,90","21,45"
9788568014936,"MAIS ESPERTO QUE O DIABO - VERSAO DEBOLSO","HILL, NAPOLEON (AUTOR)","19,90","9,95"
9788568014837,MAIS QUE UM MILIONARIO,"GREEN, DON M.","44,90","22,45"
9788568014677,"MAOS LIMPAS E LAVA JATO: A CORRUPCAOSE OLHA NO 01",RODRIGO CHEMIM,"42,90","21,45"
9788568014424,"MAOS LIMPAS E LAVA JATO: A CORRUPCAOSE OLHA NO ES",RODRIGO CHEMIM,"39,90","19,95"
9786550471132,MARXISMO AMERICANO,MARK R. LEVIN,"46,90","23,45"
9786587885063,"MATERNEASY – O GUIA PARA AMATERNIDADE MAIS FACIL","FERNANDA MAGALHAES;DANIELLE MATTIOLLY","42,90","21,45"
9786587885339,MEDITACOES (5339),"AURELIO, MARCO","39,90","19,95"
9786587885230,MORAL DA HISTORIA (5230),"FILHO, CLOVIS DE BARROS","42,90","21,45"
9786550470340,MORTE A VOSSA EXCELENCIA,ALEXANDER STILLE,"49,90","24,95"
9788568014684,MUDA BRASIL,EDUARDO DIOGO,"44,90","22,45"
9788568014820,NINGUEM E F#DIDO POR ACASO,"BELLINO, RICARDO","42,90","21,45"
9786587885056,O ANO EM QUE MENOS E MUITO MAIS,CAIT FLANDERS,"42,90","21,45"
9788568014998,O INCERTO LUGAR DO DESEJO,"TRABULSI, PAULA","42,90","21,45"
9786550470005,"O INCERTO LUGAR DO DESEJO - VERSÃOLUXO","TRABULSI, PAULA","99,90","49,95"
9788568014264,O MANUSCRITO ORIGINAL,NAPOLEON HILL,"69,90","34,95"
9788568014929,O MANUSCRITO ORIGINAL- POCKET,"HILL, NAPOLEON","19,90","9,95"
9786550470012,O MAPA DA PROSPERIDADE,"GENEROSO, RAFAELA","42,90","21,45"
9786550471101,O METODO DE VENDAS DE NAPOLEON HILL,"HILL, NAPOLEON","46,90","23,45"
9786587885537,O MORRO DOS VENTOS UIVANTES (5537),EMILY BRONTE,"34,90","17,45"
9786587885483,O PODER DA VERDADE,"GEORGE JORDAN, WILLIAM","29,90","14,95"
9786587885797,O PODER DO AUTOCONTROLE,"GEORGE JORDAN, WILLIAM","29,90","14,95"
9788568014844,O PODER DO MASTERMIND,"HOROWITZ, MITCH","44,90","22,45"
9786587885742,O RINOCERONTE CINZA,"WUCKER, MICHELE","46,90","23,45"
9786550470265,O SEU DIREITO DE SER RICO,"HILL, NAPOLEON","44,90","22,45"
9788568014295,OPERACAO MAOS LIMPAS,"GIANNI BARBACETTO,MARCO TRAVAGLIO E PETERGOMES","89,90","44,95"
9786550470388,OS OLHOS DA ESCURIDAO,DEAN KOONTZ,"44,90","22,45"
9786550470029,OS SEGREDOS DA LONGEVIDADE,"JR, EDMOND SAAB","42,90","21,45"
9786587885025,PENSE COMO UM BILIONARIO,"TRUMP, DONALD","44,90","22,45"
9786550470302,PENSE COMO UM IMPERADOR,"ROBERTSON, DONALD","42,90","21,45"
9788568014639,PENSO E ACONTECE,"BOB PROCTOR E GREG S.REID","44,90","22,45"
9786550470050,QUEM APRENDE ENRIQUECE,"HILL, NAPOLEON","44,90","22,45"
9786550470531,QUEM ASSISTE ENRIQUECE,"HILL, NAPOLEON","44,90","22,45"
9788568014486,QUEM CONVENCE ENRIQUECE,NAPOLEON HILL,"44,90","22,45"
9786587885087,"QUEM PENSA ENRIQUECE - ED. OFICIAL EORIG (5087)","HILL, NAPOLEON","19,90","9,95"
9788568014547,QUEM PENSA ENRIQUECE - O LEGADO,NAPOLEON HILL,"44,90","22,45"
9786550470166,"QUEM PENSA ENRIQUECE - O LEGADO -VERSAO DE BOLSO","HILL, NAPOLEON","19,90","9,95"
9786587885001,"QUEM PENSA ENRIQUECE – A EDICAOOFICIAL E ORIGINAL","HILL, NAPOLEON","44,90","22,45"
9786550470203,RESILIENCIA           02,"ROBERTSON, DONALD","42,90","21,45"
9788568014318,SEGREDOS MAGICOS DA SUA MENTE,DAVID MEDINA,"39,90","19,95"
9786550470159,"SEGREDOS MAGICOS DA SUA MENTE -VERSAO DE BOLSO","MEDINA, DAVID","19,90","9,95"
9786550470548,SERÁ QUE ELE ME AMA?,GREGORY BERNS,"44,90","22,45"
9788568014035,SOCRATES CAFE,CHRISTOPHER PHILLIPS,"39,90","19,95"
9788568014202,"TODO MUNDO FOI CONVIDADO, MENOS EU?",MINDY KALING,"42,90","21,45"
9788568014905,TODO MUNDO ODEIA UM VENCEDOR,"TRUMP, DONALD","42,90","21,45"
9786587885766,TUDO E POSSÍVEL,"IANNIE, FILIPE","44,90","22,45"
9788568014271,UMA MENTE CURIOSA,BRIAN GRAZER,"39,90","19,95"
9786550471095,UMA SIMPLES BENCAO,"KRUEGER, WILLIAM KENT","46,90","23,45"
9788568014172,VITAMINA D,IAN WISHART,"39,90","19,95"
9786550470043,VOCE E O PLACEBO,DR. JOE DISPENZA,"44,90","22,45"
9788568014462,"VOCE PODE REALIZAR SEUS PROPRIOSMILAGRES",NAPOLEON HILL,"42,90","21,45"
