Título,Autor(es) / Organizador(es),Assuntos,"Preçocapa","PreçoFeira"
"FORÇA DE TRABALHO E TECNOLOGIA NO BRASILhttps://www.revan.com.br/produto/forca-de-trabalho-e-tecnologia-no-brasil-429",MARCIO POCHMANN,,"R$ 38,00","R$ 19,00"
"FRAGMENTOS, FÍSICA QUÂNTICAhttps://www.revan.com.br/produto/fragmentos-fisica-quantica-692","NEWTON C. A. DA COSTA;FRANCISCO ANTONIO DORIA",,"R$ 38,00","R$ 19,00"
"FRANCISCO FALCON: O OFÍCIO DE HISTORIADORhttps://www.revan.com.br/produto/francisco-falcon-o-oficio-de-historiador-467","MARIA EMÍLIA PRADO;OSWALDO MUNTEAL",,"R$ 59,00","R$ 29,50"
"FUGA DA HISTÓRIA?https://www.revan.com.br/produto/fuga-da-historia-297",DOMENICO LOSURDO,,"R$ 51,00","R$ 25,50"
"FUNÇÕES DA PENA PRIVATIVA DE LIBERDADE NO SISTEMAhttps://www.revan.com.br/produto/funcoes-da-pena-privativa-de-liberdade-no-sistema-356","CLAUDIO ALBERTO GABRIELGUIMARÃES",,"R$ 59,00","R$ 29,50"
"FUTURO DO PROGRESSISMO AMERICANO, Ohttps://www.revan.com.br/produto/futuro-do-progressismo-americano-o-538","ROBERTO MANGABEIRA;CORNEL WEST",,"R$ 34,00","R$ 17,00"
"GESTÃO PÚBLICA POR RESULTADOShttps://www.revan.com.br/produto/gestao-publica-por-resultados-202",SYLVIE TROSA,,"R$ 73,00","R$ 36,50"
"HIPOCONDRIA DA ANTIPOLÍTICA, Ahttps://www.revan.com.br/produto/hipocondria-da-antipolitica-a-652",DOMENICO LOSURDO,,"R$ 76,00","R$ 38,00"
"",,,,
"HISTÓRIA DA CRIANÇA POR SEU CONSELHO DE DIREITOS, A",,,"R$ 37,00","R$ 18,50"
https://www.revan.com.br/produto/historia-da-crianca-por-seu-,SIRO DARLAN; LUIS FERNANDO,,,
conselho-de-direitos-a-662,ROMÃO,,,
"",,,,
HISTÓRIA DO CONE SUL,AMADO LUIZ CERVO; MARIO,,"R$ 58,00","R$ 29,00"
https://www.revan.com.br/produto/historia-do-cone-sul-666,RAPOPORT (Orgs.),,,
"",,,,
HISTÓRIA DOS ESTADOS BRASILEIROS,IVAN ALVES FILHO,,"R$ 46,00","R$ 23,00"
https://www.revan.com.br/produto/historia-dos-estados-brasileiros-195,,,,
"",,,,
HISTÓRIA E DIREITO JOGOS DE ENCONTROS E,GIZLENE NEDER,,"R$ 67,00","R$ 33,50"
TRANSDISCIPLINARIDADE,,,,
https://www.revan.com.br/produto/historia-e-direito-jogos-de-,,,,
encontros-e-transdisci-366,,,,
"",,,,
HISTÓRIAS DOS PENSAMENTOS CRIMINOLÓGICOS – N. 15,,CRIMINOLOGIA,"R$ 205,00","R$ 102,50"
https://www.revan.com.br/produto/historias-dos-pensamentos-,,,,
criminologicos-15-597,GABRIEL IGNACIO ANITUA,,,
"",,,,
IDEIAS JURÍDICAS E AUTORIDADE NA FAMÍLIA,GIZLENE NEDER; GISÁLIO,,"R$ 45,00","R$ 22,50"
https://www.revan.com.br/produto/ideias-juridicas-e-autoridade-na-,CERQUEIRA FILHO,,,
familia-370,,,,
"",,,,
ILUMINISMO JURÍDICO PENAL LUSO-BRASILEIRO – N. 4,GIZLENE NEDER,,"R$ 53,00","R$ 26,50"
https://www.revan.com.br/produto/iluminismo-juridico-penal-luso-,,,,
brasileiro-n-4-608,,,,
"",,,,
"IMAGINAÇÃO POLITICA BRASILEIRA, A",WANDERLEY GUILHERME DOS,,"R$ 53,00","R$ 26,50"
https://www.revan.com.br/produto/imaginacao-politica-brasileira-a-,SANTOS,,,
cinco-ensaios-de-historia-intelectual-708,,,,
"",,,,
IMPÉRIO DO CAOS,PEPE ESCOBAR,,"R$ 81,00","R$ 40,50"
https://www.revan.com.br/produto/imperio-do-caos-675,,,,
"",,,,
"INDESEJÁVEIS, OS",MÁRCIA GATTO,,"R$ 79,00","R$ 39,5"
https://www.revan.com.br/produto/indesejaveis-os-das-praticas-,,,,
abusivas-e-da-ideologia-dominante-no-enfrentamento-aos-sujeitos-,,,,
indesejaveis-no-rio-de-janeiro-920,,,,
"INDIGNOS DE VIDAhttps://www.revan.com.br/produto/indignos-de-vida-664",ORLANDO ZACCONE,,"R$ 53,00","R$ 26,50"
"ÍNDIO NA CULTURA BRASILEIRA, Ohttps://www.revan.com.br/produto/indio-na-cultura-brasileira-o-23",BERTA G. RIBEIRO,,"R$ 38,00","R$ 19,00"
"INIMIGO NO DIREITO PENAL – N. 14https://www.revan.com.br/produto/inimigo-no-direito-penal-n-14-598",EUGENIO RAÚL ZAFFARONI,,"R$ 59,00","R$ 29,50"
"INSIGNIFICÂNCIA NO DIREITO PENAL BRASILEIRO, Ahttps://www.revan.com.br/produto/insignificancia-no-direito-penal-brasileiro-a-800",RAFAEL FAGUNDES,,"R$ 60,00","R$ 30,00"
"INSTITUIÇÕES TRABALHISTAS NA AMÉRICA LATINAhttps://www.revan.com.br/produto/instituicoes-trabalhistas-na-america-latina-338",GRACIELA BENSUSÁN (Org.),,"R$ 89,00","R$ 44,50"
"INSURREIÇÃO DA ANL EM 1935, Ahttps://www.revan.com.br/produto/insurreicao-da-anl-em-1935-a-676",MARLY VIANNA (Colab.),,"R$ 58,00","R$ 29,00"
"INTELECTUAIS E AÇÃO POLÍTICAhttps://www.revan.com.br/produto/intelectuais-e-acao-politica-446",MARIA EMÍLIA PRADO (Org.),,"R$ 43,00","R$ 21,50"
"INTELECTUAIS E POLITICA NO BRASILhttps://www.revan.com.br/produto/intelectuais-e-politica-no-brasil-323","CAIO NAVARRO DE TOLEDO(Org.)",,"R$ 52,00","R$ 26,00"
"INTELIGÊNCIA PÚBLICA NA ERA DO CONHECIMENTOhttps://www.revan.com.br/produto/inteligencia-publica-na-era-do-conhecimento-337","DANILO MOZELI DUMONT; JOSÉARAUJO RIBEIRO; LUIZALBERTO RODRIGUES",,"R$ 66,00","R$ 33,00"
"INTRODUÇÃO AO CINEMA BRASILEIROhttps://www.revan.com.br/produto/introducao-ao-cinema-brasileiro-49",ALEX VIANY,,"R$ 42,00","R$ 21,00"
"INTRODUÇÃO CRÍTICA À CRIMINOLOGIA BRASILEIRAhttps://www.revan.com.br/produto/introducao-critica-a-criminologia-brasileira-458",VERA MALAGUTI BATISTA,,"R$ 43,00","R$ 21,50"
"INTRODUÇÃO CRITICA AO DIREITO PENAL BRASILEIROhttps://www.revan.com.br/produto/introducao-critica-ao-direito-penal-brasileiro-15",NILO BATISTA,,"R$ 43,00","R$ 21,50"
"ISRAEL X PALESTINAhttps://www.revan.com.br/produto/israel-x-palestina-342",MARIA JOSE ARAGÃO,,"R$ 37,00","R$ 18,50"
"JOGOS INFLACIONÁRIOS E JOGOS DE ESTABILIZAÇÃOhttps://www.revan.com.br/produto/jogos-inflacionarios-e-jogos-de-estabilizacao-127",WILLIAM RICARDO DE SÁ,,"R$ 38,00","R$ 19,00"
"JORNALISMO EM TEMPO REAL O FETICHE VELOCIDADEhttps://www.revan.com.br/produto/jornalismo-em-tempo-real-o-fetiche-velocidade-231",SYLVIA MORETZSOHN,,"R$ 46,00","R$ 23,00"
"JUDICIALIZAÇÃO DA POLÍTICA E DAS RELAÇÕES SOCIAIS NOBRASIL, Ahttps://www.revan.com.br/produto/judicializacao-da-politica-e-das-relacoes-soc-160","LUIZ WERNECK VIANNA; MARIAALICE REZENDE DE CARVALHO;MANUEL PALACIOS CUNHAMELO; MARCELO BAUMANNBURGOS",,"R$ 77,00","R$ 38,50"
"JUSTIÇA JUVENIL NO BRASIL E A RESPONSABILIDADE PENALDO ADOLESCENTEhttps://www.revan.com.br/produto/justica-juvenil-no-brasil-potencialidades-e-impasses-707",ELLEN RODRIGUES,,"R$ 65,00","R$ 32,50"
"JUSTIÇA PARALELAhttps://www.revan.com.br/produto/justica-paralela-660","JOSÉ MARIA TERRA; THIAGOFABRES DE CARVALHO",,"R$ 47,00","R$ 23,50"
"JUSTIÇA RESTAURATIVA NO BRASILhttps://www.revan.com.br/produto/justica-restaurativa-no-brasil-potencialidades-e-impasses-713",VILOBALDO CARDOSO NETO,,"R$ 62,00","R$ 31,00"
"LAVAGEM DE DINHEIRO: A QUESTÃO DO BEM JURÍDICOhttps://www.revan.com.br/produto/lavagem-de-dinheiro-a-questao-do-bem-juridico-304",JOÃO CARLOS CASTELLAR,,"R$ 63,00","R$ 31,50"
"LEI MARIA DA PENHA: UMA ANÁLISE CRIMINOLÓGICA-CRÍTICAhttps://www.revan.com.br/produto/lei-maria-da-penha-uma-analise-",MARILIA MONTENEGRO,,"R$ 58,00","R$ 29,00"
criminologica-crit-665,,,,
"",,,,
"LIBERALISMO NO BRASIL IMPERIAL, O",LUCIA MARIA PASCHOAL,,"R$ 48,00","R$24,00"
https://www.revan.com.br/produto/liberalismo-no-brasil-imperial-o-629,GUIMARÃES; MARIA EMÍLIA,,,
"",PRADO (Orgs.),,,
"",,,,
LIÇÕES DE DIREITO PENAL FALIMENTAR,NILO BATISTA,,"R$ 58,00","R$ 29,00"
https://www.revan.com.br/produto/licoes-de-direito-penal-falimentar-,,,,
349,,,,
"",,,,
"",,,,
"LINHA JUSTA, A",,,"R$ 45,00","R$ 22,50"
https://www.revan.com.br/produto/linha-justa-a-240,,,,
"",MIGUEL ARMONY,,,
LIXO URBANO - O QUE VOCÊ PRECISA SABER,CLAUDIO FERNANDO MAHLER,,"R$ 46,00","R$ 23,00"
https://www.revan.com.br/produto/lixo-urbano-o-que-voce-precisa-,(Org.),,,
saber-612,,,,
"",,,,
LOÏC WACQUANT E A QUESTÃO PENAL,VERA MALAGUTI BATISTA (Org.),,"R$ 76,00","R$ 38,00"
https://www.revan.com.br/produto/loic-wacquant-e-a-questao-penal-,,,,
468,,,,
"",,,,
LUTA E MEMÓRIA,MARIA CIAVATTA (Coord.),,"R$ 54,00","R$ 27,00"
https://www.revan.com.br/produto/luta-e-memoria-670,,,,
"",,,,
"MACHADO DE ASSIS, CRIMINALISTA",NILO BATISTA,,"R$ 57,00","R$ 28,50"
https://www.revan.com.br/produto/machado-de-assis-criminalista-714,,,,
"",,,,
MANIFESTO PARA ABOLIR AS PRISÕES,,,"R$ 57,00","R$ 28,50"
https://www.revan.com.br/produto/manifesto-para-abolir-as-prisoes-,RICARDO GENELHÚ; SEBASTIAN,,,
705,SCHEERER,,,
"",,,,
MANUAL DE ARQUITETURA BIOCLIMÁTICA TROPICAL,,,"R$ 60,00","R$ 30,00"
https://www.revan.com.br/produto/manual-de-arquitetura-bioclimatica-,OSCAR CORBELLA; VIVIANE,,,
tropical-457,CORNER,,,
"",,,,
MANUAL DE CRIMINOLOGIA SOCIOPOLÍTICA – N. 23,LOLA ANIYAR DE CASTRO;,CRIMINOLOGIA,"R$ 100,00","R$ 50,00"
https://www.revan.com.br/produto/manual-de-criminologia-,RODRIGO CODINO,,,
sociopolitica-n-23-704,,,,
"MATRIZES IBÉRICAS DO SISTEMA PENAL BRASILEIRO – N. 5https://www.revan.com.br/produto/matrizes-ibericas-do-sistema-penal-brasi-n-5-607",NILO BATISTA,,"R$ 74,00","R$ 37,00"
"MÉDICO E O DIREITO PENAL, Ohttps://www.revan.com.br/produto/medico-e-o-direito-penal-o-465",RICARDO GENELHÚ,,"R$ 58,00","R$ 29,00"
"MEDO NA CIDADE DO RIO DE JANEIRO, Ohttps://www.revan.com.br/produto/medo-na-cidade-do-rio-de-janeiro-o-282",VERA MALAGUTI BATISTA,,"R$ 54,00","R$ 27,00"
"MEEIROS DE CAFÉhttps://www.revan.com.br/produto/meeiros-de-cafe-433",VIVALDO BARBOSA,,"R$ 74,00","R$ 37,00"
"MEMÓRIA DE UMA VIDAhttps://www.revan.com.br/produto/memoria-de-uma-vida-461",GISÁLIO CERQUEIRA FILHO,,"R$ 34,00","R$ 17,00"
"MEMORIAL DAS DESIGUALDADEShttps://www.revan.com.br/produto/memorial-das-desigualdades-os-impasse-316",MARIA EMÍLIA PRADO,,"R$ 47,00","R$ 23,50"
"MEMÓRIAS CLANDESTINAS E SUA MASSIFICAÇÃOhttps://www.revan.com.br/produto/memorias-clandestinas-e-sua-museificacao-362",ANA LUCIA SIAINES DE CASTRO,,"R$ 38,00","R$ 19,00"
"METRÓPOLES E A QUESTÃO SOCIAL BRASILEIRA, AShttps://www.revan.com.br/produto/metropoles-e-a-questao-social-brasileira-as-372","LUIZ CESAR DE QUEIROZRIBEIRO; ORLANDO ALVES DOSSANTOS JUNIOR (Org.)",,"R$ 58,00","R$ 29,00"
"METRÓPOLES EM MUTAÇÃOhttps://www.revan.com.br/produto/metropoles-em-mutacao-388","CATIA ANTONIA DA SILVA;ANDRELINO CAMPOS",,"R$ 52,00","R$ 26,00"
"MEU SÓSIA E EUhttps://www.revan.com.br/produto/meu-sosia-e-eu-32",OSCAR NIEMEYER,,"R$ 87,00","R$ 43,50"
MÍDIA E CONTROLE SOCIAL,MARÍLIA DE NARDIN BUDÓ,,"R$ 58,00","R$ 29,50"
https://www.revan.com.br/produto/midia-e-controle-social-da-,,,,
construcao-da-criminal-642,,,,
"",,,,
MÍDIA E SISTEMA PENAL,,,"R$ 47,00","R$ 23,50"
https://www.revan.com.br/produto/midia-e-sistema-penal-673,MARCUS ALAN GOMES,,,
"",,,,
MÍDIAS E DISCURSOS DO PODER,MARÍLIA DE CARDIN BUDÓ,,"R$ 84,00","R$ 42,00"
https://www.revan.com.br/produto/midias-e-discursos-do-poder-,,,,
estrategias-de-legitimacao-do-encarceramento-da-juventude-no-brasil-,,,,
718,,,,
"",,,,
"MIL E UMA NOITES, AS",TRAD: FERREIRA GULLAR,CONTOS,"R$ 50,00","R$ 25,00"
https://www.revan.com.br/produto/mil-e-uma-noites-as-172,,ÁRABES;,,
"",,INFANTOJUVENIL,,
MINHA ARQUITETURA,OSCAR NIEMEYER,,"R$ 38,00","R$ 19,00"
https://www.revan.com.br/produto/minha-arquitetura-188,,,,
"",,,,
"MINHA DEPRESSÃO, A",ELIZABETH SUADOS,,"R$ 45,00","R$ 22,50"
https://www.revan.com.br/produto/minha-depressao-a-681,,,,
MINHA EXPERIENCIA EM BRASÍLIA,OSCAR NIEMEYER,,"R$ 27,00","R$ 13,50"
https://www.revan.com.br/produto/minha-experiencia-em-brasilia-332,,,,
"",,,,
MISÉRIA GOVERNADA ATRAVÉS DO SISTEMA PENAL – N. 12,,CRIMINOLOGIA,"R$ 48,00","R$ 24,00"
https://www.revan.com.br/produto/miseria-governada-atraves-do-,,,,
sistema-penal-n-12-600,ALESSANDRO DE GIORGI,,,
"",,,,
MISTÉRIO DO MISTÉRIO: PIERRE BOURDIEU E A POLÍTICA,,,"R$ 49,00","R$ 24,50"
DEMOCRÁTICA,,,,
https://www.revan.com.br/produto/misterio-do-ministerio-pierre-,LOÏC WACQUANT (Org.),,,
bourdieu-e-a-polit-308,,,,
"",,,,
MULHERES DOS ESCOMBROS,SCHEILLA NUNES GONÇALVES,CIÊNCIAS,"R$ 63,00","R$ 31,50"
https://www.revan.com.br/produto/mulheres-dos-escombros-a-,,SOCIAIS,,
condicao-das-mulheres-perifericas-em-tempos-de-catastrofes-909,,,,
"",,,,
MUSEU DE ARTE CONTEMPORÂNEA DE NITERÓI,OSCAR NIEMEYER,,"R$ 110,00","R$ 55,00"
https://www.revan.com.br/produto/museu-de-arte-contemporanea-de-,,,,
niteroi-117,,,,
"",,,,
"MUSEU DO SAGRADO AO SEGREDO, Ohttps://www.revan.com.br/produto/museu-do-sagrado-ao-segredo-o-430",ANA LÚCIA SIAINES DE CASTRO,,"R$ 41,00","R$ 20,50"
"MY ARCHITECTUREhttps://www.revan.com.br/produto/my-architecture-192",OSCAR NIEMEYER,,"R$ 48,00","R$ 24,00"
"NA CASA DA VOVÓ (TEMPOS DA DITADURA)https://www.revan.com.br/produto/na-casa-da-vovo-tempos-da-ditadura-669",FRANCISCO ANTONIO DORIA,,"R$ 40,00","R$ 20,00"
"NAÇÃO SE CONCEBE POR CIÊNCIA E ARTE, Ahttps://www.revan.com.br/produto/nacao-se-concebe-por-ciencia-e-arte-a-640",MARCELO BARBOSA DA SILVA,,"R$ 47,00","R$ 23,50"
"NÃO VIOLÊNCIA, Ahttps://www.revan.com.br/produto/nao-violencia-a-464",DOMENICO LOSURDO,,"R$ 58,00","R$ 29,00"
"NEOLIBERALISMO E REFORMA TRABALHISTA NO BRASILhttps://www.revan.com.br/produto/neoliberalismo-e-reforma-trabalhista-no-brasil-379",ANDRÉIA GALVÃO,,"R$ 64,00","R$ 32,00"
"NIEMEYER NO FUTUROhttps://www.revan.com.br/produto/niemeyer-no-futuro-451",RONALDO GUIMARÃES,,"R$ 40,00","R$ 20,00"
"NIETZSCHE O REBELDE ARISTOCRATAhttps://www.revan.com.br/produto/nietzsche-o-rebelde-aristocrata-439",DOMENICO LOSURDO,,"R$ 240,00","R$ 120,00"
"NO RASTRO DAS PENAS PERDIDAShttps://www.revan.com.br/produto/no-rastro-das-penas-perdidas-ensaios-criticos-sobre-o-sistema-penal-732","FRANCISCO DE ASSIS DEFRANÇA JUNIOR",,"R$ 39,00","R$ 19,50"
"NO TEMPO DE VARGAShttps://www.revan.com.br/produto/no-tempo-de-vargas-56",FRANCISCO ANTONIO DORIA,,"R$ 38,00","R$ 19,00"
"NOVA FRIBURGO – A CONSTRUÇÃO DO MITO “SUÍÇABRASILEIRA” (1910-1960)",JOÃO RAIMUNDO DE ARAÚJO,,"R$ 66,00","R$ 33,00"
https://www.revan.com.br/produto/nova-friburgo-a-construcao-do-mito-,,,,
da-suica-brasileira-1910-1960-723,,,,
"",,,,
NOVAS TENDÊNCIAS DO DIREITO PENAL,NILO BATISTA,,"R$ 71,00","R$ 35,50"
https://www.revan.com.br/produto/novas-tendencias-do-direito-penal-,,,,
302,,,,
"",,,,
PAPÉIS AVULSOS,MARCELLO CERQUEIRA,,"R$ 27,00","R$ 13,50"
https://www.revan.com.br/produto/papeis-avulsos-573,,,,
"",,,,
PARA ALÉM DOS MUROS: AS EXPERIÊNCIAS SOCIAIS DAS,,,"R$ 62,00","R$ 31,00"
ADOLESCENTES NA PRISÃO,JOANA F. DUARTE,,,
https://www.revan.com.br/produto/para-alem-dos-muros-as-,,,,
experiencias-sociais-das-adolecentes-privadas-de-liberdade-696,,,,
"",,,,
PAZ ARMADA: CRIMINOLOGIA DE CORDEL 1,,,"R$ 29,00","R$ 14,50"
https://www.revan.com.br/produto/paz-armada-criminologia-de-cordel-,,,,
1-462,VERA MALAGUTI BATISTA (Org.),,,
"",,,,
PELAS MÃOS DA CRIMINOLOGIA – N. 19,VERA REGINA P. DE ANDRADE,CRIMINOLOGIA,"R$ 79,00","R$ 39,50"
https://www.revan.com.br/produto/pelas-maos-da-criminologia-o-,,,,
controle-penal-n-19-626,,,,
"",,,,
PENA E FUNCIONALISMO,PATRICK CACICEDO,,"R$ 53,00","R$ 26,50"
https://www.revan.com.br/produto/pena-e-funcionalismo-uma-analise-,,,,
critica-da-prevencao-geral-positiva-706,,,,
"",,,,
PENSAMENTO CRIMINOLÓGICO I N. 21: UMA ANÁLISE,,CRIMINOLOGIA,"R$ 67,00","R$ 33,50"
https://www.revan.com.br/produto/pensamento-criminologico-i-n-21-,,,,
uma-analise-critica-658,ROBERTO BERGALLI; JUAN,,,
"",BUSTOS RAMÍREZ,,,
PENSAMENTO CRIMINOLÓGICO II N. 21: ESTADO E CONTROLE,,CRIMINOLOGIA,"R$ 69,00","R$ 34,50"
https://www.revan.com.br/produto/pensamento-criminologico-ii-n-21-,ROBERTO BERGALLI; JUAN,,,
estado-e-contr-659,BUSTOS RAMÍREZ,,,
"",,,,
"PENSAMENTO POLITICO, O",,,"R$ 82,00","R$ 41,00"
https://www.revan.com.br/produto/pensamento-politico-o-443,VIVALDO BARBOSA,,,
PENSANDO CONTRA OS FATOS - JORNALISMO E COTIDIANO,,,"R$ 52,00","R$ 26,00"
https://www.revan.com.br/produto/pensando-contra-os-fatos-,SYLVIA MORETZSOHN,,,
jornalismo-e-cotidiano-358,,,,
"",,,,
PERSONALIDADE E CULTURA: CONSTRUÇÕES DO IMAGINÁRIO,,,"R$ 45,00","R$ 22,50"
https://www.revan.com.br/produto/personalidade-e-cultura-,REGINA GLÓRIA NUNES,,,
construcoes-imaginario-276,ANDRADE,,,
"",,,,
PODER & SABER - CAMPO JURÍDICO E IDEOLOGIA,,,"R$ 46,00","R$ 23,00"
https://www.revan.com.br/produto/poder-saber-campo-juridico-e-,FERNANDO AUGUSTO,,,
ideologia-623,FERNANDES,,,
"",,,,
POESIA E POLITICA - A TRAJETÓRIA DE FERREIRA GULLAR,,,"R$ 45,00","R$ 22,50"
https://www.revan.com.br/produto/poesia-e-politica-a-trajetoria-de-,ELEONORA ZILLER,,,
ferreira-gullar-341,CAMENIETZKI,,,
"",,,,
POLÍCIA E DIREITOS HUMANOS,CRISTINA BUARQUE DE,,"R$ 49,00","R$ 24,50"
https://www.revan.com.br/produto/policia-e-direitos-humanos-311,HOLLANDA,,,
"",,,,
POLÍTICA CRIMINAL E ESTADO DE EXCEÇÃO NO BRASIL,THIAGO FABRES DE CARVALHO;,DIREITO PENAL,"R$ 58,00","R$ 29,00"
https://www.revan.com.br/produto/politica-criminal-e-estado-de-,VERA MALAGUTI BATISTA,,,
excecao-no-brasil-o-direito-penal-do-inimigo-no-capitalismo-periferico-,(Orgs.),,,
911,,,,
"",,,,
POLITICA É CIÊNCIA,,,"R$ 48,00","R$ 24,00"
https://www.revan.com.br/produto/politica-e-ciencia-121,CÉSAR MAIA,,,
"",,,,
POLÍTICA E CONFLITOS INTERNACIONAIS,,,"R$ 42,00","R$ 21,00"
https://www.revan.com.br/produto/politica-e-conflitos-internacionais-,MEIRE MATHIAS; THIAGO,,,
292,RODRIGUES (Orgs.),,,
"",,,,
POLITICA E PUNIÇÃO NA AMÉRICA LATINA,,,"R$ 80,00","R$ 40,00"
https://www.revan.com.br/produto/politica-e-punicao-na-america-latina-,,,,
uma-analise-comparativa-acerca-da-consolidacao-do-estado-punitivo-,,,,
no-brasil-e-na-argentina-802,DEBORA REGINA PASTANA,,,
"",,,,
POLÍTICA ESPACIAL BRASILEIRA,EDMILSON COSTA FILHO,,"R$ 39,00","R$ 19,50"
https://www.revan.com.br/produto/politica-espacial-brasileira-223,,,,
"",,,,
"POLITICA EXTERNA NA ERA DA INFORMAÇÃOhttps://www.revan.com.br/produto/politica-externa-na-era-da-informacao-371",LEONARDO VALENTE,,"R$ 39,00","R$ 19,50"
"POLITICA NACIONAL DE SAÚDE PÚBLICAhttps://www.revan.com.br/produto/politica-nacional-de-saude-publica-320","MARIO MAGALHÃES DASILVEIRA",,"R$ 63,00","R$ 31,50"
"POR QUE CUBA?https://www.revan.com.br/produto/por-que-cuba-40",EMIR SADER (Coord.),,"R$ 30,00","R$ 15,00"
"POR TRÁS DAS GRADES: O ENCARCERAMENTO EM MASSA NOBRASILhttps://www.revan.com.br/produto/por-tras-das-grades-o-encarceramento-em-massa-no-brasil-715",VICTOR MARTINS PIMENTA,,"R$ 58,00","R$ 29,00"
"PORTAS DE DANTE, AShttps://www.revan.com.br/produto/portas-de-dante-as-709",ANTÓNIO DE SOUSA LARA,,"R$ 53,00","R$ 26,50"
"POSSIBILIDADES DA NOVA ESCRITA LITERÁRIA NO BRASILhttps://www.revan.com.br/produto/possibilidades-da-nova-escrita-literaria-no-brasil-650","BEATRIZ RESENDE; ETTOREFINAZZI-AGRÓ (Orgs.)",,"R$ 42,00","R$ 21,00"
"PRIVATIZAÇÃO DE PRESÍDIOS, Ahttps://www.revan.com.br/produto/privatizacao-de-presidios-684","JOSÉ ADAUMIR ARRUDA DASILVA",,"R$ 42,00","R$ 21,00"
"PROBLEMA É TER MEDO DO MEDO, Ohttps://www.revan.com.br/produto/problema-e-ter-medo-do-medo-o-677",ANA HELENA TAVARES,,"R$ 60,00","R$ 30,00"
"PROBLEMAS DE RESPONSABILIDADE CIVILhttps://www.revan.com.br/produto/problemas-de-responsabilidade-civil-691","CARLOS EDISON DO RÊGOMONTEIRO FILHO",,"R$ 64,00","R$ 32,00"
"PUNIÇÃO E ESTRUTURA SOCIAL - N. 3https://www.revan.com.br/produto/punicao-e-estrutura-social-n-3-609","GEORG RUSCHE; OTTOKIRCHHEIMER",,"R$ 67,00","R$ 33,50"
PUNIDOS E MAL PAGOS,,,"R$ 40,00","R$ 20,00"
https://www.revan.com.br/produto/punidos-e-mal-pagos-punidos-e-,NILO BATISTA,,,
mal-pagos-910,,,,
"",,,,
PUNIR OS POBRES – N. 6,,,"R$ 87,00","R$ 43,50"
https://www.revan.com.br/produto/punir-os-pobres-n-6-a-nova-gestao-,,,,
da-miseria-nos-estados-unidos-606,,,,
"",LOÏC WACQUANT,,,
QUEM LUCRA COM AS PRISÕES - O NEGÓCIO DO GRANDE,,,"R$ 60,00","R$ 30,00"
ENCARCERAMENTO,,,,
https://www.revan.com.br/produto/quem-lucra-com-as-prisoes-o-,TARA HERIVEL; PAUL WRIGHT,,,
negocio-do-grande-enca-643,,,,
"",,,,
"QUESTÃO CRIMINAL, A",,,"R$ 71,00","R$ 35,50"
https://www.revan.com.br/produto/questao-criminal-a-634,,,,
"",EUGENIO RAÚL ZAFAFARONI,,,
"",,,,
"QUINTO SÉCULO, O",,,"R$ 57,00","R$ 28,50"
https://www.revan.com.br/produto/quinto-seculo-o-582,MARIA ALICE REZENDE DE,,,
"",CARVALHO,,,
RABO DE FOGUETE: OS ANOS DE EXÍLIO,,,"R$ 57,00","R$ 28,50"
https://www.revan.com.br/produto/rabo-de-foguete-anos-de-exilio-583,FERREIRA GULLAR,,,
"",,,,
RAÍZES DA OSTEOPATIA,,,"R$ 37,00","R$ 18,50"
https://www.revan.com.br/produto/raizes-da-osteopatia-uma-medicina-,,,,
de-diagnostico-e-terapeutica-manual-690,MARIA LUÍSA ARRUDA CORREIA,,,
"",,,,
"RAZOÁVEL QUANTIDADE DE CRIME, UMA – N. 17",,CRIMINOLOGIA,"R$ 35,00","R$ 17,50"
https://www.revan.com.br/produto/razoavel-quantidade-de-crime-uma-,,,,
n-17-595,NILS CHRISTIE,,,
"",,,,
REBELIÃO E REFORMA PRISIONAL EM SÃO PAULO,DIRCEU FRANCO FERREIRA,,"R$ 64,00","R$ 32,00"
https://www.revan.com.br/produto/rebeliao-e-reforma-prisional-em-,,,,
sao-paulo-uma-historia-da-fuga-em-massa-na-ilha-anchieta-em-1952-,,,,
717,,,,
"",,,,
RECEITAS ÁRABES TRADICIONAIS (DO NORTE DO LÍBANO),MAHASSEN HANNA YAZBEK;,CULINÁRIA,"R$ 72,00","R$ 36,00"
https://www.revan.com.br/produto/receitas-arabes-tradicionais-do-,SALMA DAUD ABRAHÃO,,,
norte-do-libano-206,,,,
"",,,,
REFLEXÕES CRIMINOLÓGICAS E DOGMÁTICAS ACERCA DO,,,"R$ 40,00","R$ 20,00"
CRIME DE DESOBEDIÊNCIA,VERA MALAGUTI BATISTA;,,,
https://www.revan.com.br/produto/reflexoes-crimin-e-dogmaticas-,CHRISTIANO FRAGOSO;,,,
acerca-do-crime-de-701,PATRÍCIA GLIOCHE,,,
"",,,,
REFORMA URBANA E GESTÃO DEMOCRÁTICA,,,"R$ 37,00","R$ 18,50"
https://www.revan.com.br/produto/reforma-urbana-e-gestao-,LUIZ CESAR DE QUEIROZ,,,
democratica-254,RIBEIRO; ADAUTO LUCIO,,,
"",CARDOSO,,,
"REFORMAS POLÍTICAS DOS HOMENS NOVOS, AS",,,"R$ 64,00","R$ 32,00"
https://www.revan.com.br/produto/reformas-politicas-dos-homens-,,,,
novos-as-679,GIZLENE NEDER,,,
"",,,,
