Título,Autor(es) / Organizador(es),Assuntos,"Preçocapa","PreçoFeira"
https://www.revan.com.br/produto/cinderela-e-outras-historias-421,,,,
"",,,,
"CLASSES DO TRABALHO EM MUTAÇÃOhttps://www.revan.com.br/produto/classes-do-trabalho-em-mutacao-466",MARCIO POCHMANN,,"R% 57,00","R$ 28,50"
"CÓDIGO CRIMINOLÓGICO? CIÊNCIA JURÍDICA E CODIFICAÇÃOPENAL NO BRASILhttps://www.revan.com.br/produto/codigo-criminologico-ciencia-juridica-e-codificac-656",RICARDO SONTAG,,"R$ 76,00","R$ 38,00"
"COLEÇÃO NOVA FRIBURGO 200 ANOS DE LUTA E RESISTÊNCIA(BOX)https://www.revan.com.br/produto/colecao-nova-frigurbo-box-200-anos-de-luta-e-resistencia-721",RAFAEL BORGES (Org.),,"R$ 200,00","R$ 100,00"
"COMO OS EUA DERRUBARAM ALLENDE, CHILE 73https://www.revan.com.br/produto/como-os-eua-derrubaram-allende-chile73-269",PATRICIA VERDUGO,,"R$ 40,00","R$ 20,00"
"COMUNICAÇÃO: DOS FUNDAMENTOS À INTERNEThttps://www.revan.com.br/produto/comunicacao-dos-fundamentos-a-internet-493",FRANCISCO ANTONIO DORIA,,"R$ 63,00","R$ 31,50"
"COMUNISTA QUE NÃO DEIXOU RASTRO, Ohttps://www.revan.com.br/produto/comunista-que-nao-deixou-rastros-o-624",EVANDRO DE BRITTO,,"R$ 45,00","R$ 22,50"
"CONCEITO DO DELITO E SEUS FUNDAMENTOS, Ohttps://www.revan.com.br/produto/conceito-do-delito-e-seus-fundamentos-o-719",RONALDO TANUS MADEIRA,,"R$ 81,00","R$ 40,50"
"CONCURSO APARENTE DE NORMAS PENAIShttps://www.revan.com.br/produto/concurso-aparente-de-normas-penais-428","JOSÉ CÂNDIDO DE CARVALHOFILHO",,"R$ 36,00","R$ 18,00"
"CONSTITUIÇÃO DO COMUM, Ahttps://www.revan.com.br/produto/constituicao-do-comum-a-antagonismo-producao-de-subjetividade-e-crise-no-capitalismo-694","ALEXANDRE MENDES; BRUNOCAVA",,"R$ 72,00","R$ 36,00"
"",,,,
CONSTRUINDO A DEMOCRACIA: ORÇAMENTO PARTICIPATIVO,SERGIO DE AZEVEDO;,,"R$ 42,00","R$ 21,00"
https://www.revan.com.br/produto/construindo-a-democracia-,RODRIGO BARROSO,,,
orcamento-participativo-495,FERNANDES (Orgs.),,,
"",,,,
CONTROLE DO JUDICIÁRIO,,,"R$ 64,00","R$ 32,00"
https://www.revan.com.br/produto/controle-do-judiciario-79,MARCELLO CERQUEIRA,,,
"",,,,
CONVERSA DE AMIGOS,OSCAR NIEMEYER; JOSÉ,,"R$ 62,00","R$ 31,00"
https://www.revan.com.br/produto/conversa-de-amigos-496,CARLOS SUSSEKIND,,,
"",,,,
CONVERSA DE ARQUITETO,OSCAR NIEMEYER,,"R$ 45,00","R$ 22,50"
https://www.revan.com.br/produto/conversa-de-arquiteto-913,,,,
"",,,,
COZINHA BRASILEIRA,,,"R$ 35,00","R$ 17,50"
https://www.revan.com.br/produto/cozinha-brasileira-194,IVAN ALVES FILHO; ROBERTO DI,CULINÁRIA,,
"",GIOVANNI,,,
CRACK: POLÍTICA CRIMINAL E POPULAÇÃO VULNERÁVEL,,,"R$ 73,00","R$ 36,50"
https://www.revan.com.br/produto/crack-politica-criminal-e-populacao-,RAFAEL STRANO,CRIMINOLOGIA,,
vulneravel-716,,,,
"",,,,
CRIME DE COLARINHO BRANCO N. 22 - VERSÃO SEM CORTES,,,"R$ 81,00","R$ 40,50"
https://www.revan.com.br/produto/crime-de-colarinho-branco-n-22-,,,,
versao-sem-cortes-663,EDWIN H. SUTHERLAND,,,
"",,,,
"CRIME DE LAVAGEM DE DINHEIRO, O",,,"R$ 58,00","R$ 29,00"
https://www.revan.com.br/produto/crime-de-lavagem-de-dinheiro-o-,,,,
uma-analise-da-tipicidade-do-delito-a-luz-da-teoria-do-conflito-,,,,
aparente-de-normas-916,ANTENOR MAFRA,,,
"",,,,
CRIME E PSIQUIATRIA - UMA SAÍDA,,,"R$ 59,00","R$ 29,50"
https://www.revan.com.br/produto/crime-e-psiquiatria-uma-saida-348,VIRGÍLIO DE MATTOS,,,
"",,,,
CRIMES DE FURTO E DE ROUBO,CHRISTIANO FRAGOSO;,,"R$ 62,00","R$ 31,00"
https://www.revan.com.br/produto/crimes-de-furto-e-de-roubo-700,PATRÍCIA GLIOCHE,,,
"",,,,
CRIMES DE SONEGAÇÃO FISCAL,CLÁUDIO COSTA,,"R$ 48,00","R$ 24,00"
https://www.revan.com.br/produto/crimes-de-sonegacao-fiscal-277,,,,
"",,,,
"CRIMINALIDADE NO RIO DE JANEIRO: A IMPRENSA E A(IN)FORMAÇÃO DA SOCIEDADEhttps://www.revan.com.br/produto/criminalidade-no-rio-de-janeiro-330",WILSON COUTO BORGES,,"R$ 54,00","R$ 27,00"
"CRIMINOLOGIA CRÍTICA E CRÍTICA DO DIREITO PENAL – N. 1https://www.revan.com.br/produto/criminologia-critica-e-crit-do-dir-penal-n-1-611",ALESSANDRO BARATTA,CRIMINOLOGIA,"R$ 66,00","R$ 33,00"
"CRIMINOLOGIA DA LIBERTAÇÃO – N. 10https://www.revan.com.br/produto/criminologia-da-libertacao-n-10-602",LOLA ANIYAR DE CASTRO,CRIMINOLOGIA,"R$ 71,00","R$ 35,50"
"CRIMINOLOGIA E DIREITO - N. 25https://www.revan.com.br/produto/criminologia-e-direito-n-25-908",CLOVIS BEVILAQUA,CRIMINOLOGIA,"R$ 50,00","R$ 25,00"
"CRIMINOLOGIA E SUBJETIVIDADE NO BRASIL – N. 8https://www.revan.com.br/produto/criminologia-e-subjetividade-no-brasil-n-8-604",CRISTINA RAUTER,CRIMINOLOGIA,"R$ 46,00","R$ 23,00"
"CRIMINOLOGIA, (IN)VISIBILIDADE, RECONHECIMENTOhttps://www.revan.com.br/produto/criminologia-in-visibilidade-reconhecimento-646",THIAGO FABRES DE CARVALHO,CRIMINOLOGIA,"R$ 57,00","R$ 28,50"
"CRISE DA POLITICA EXTERNA, Ahttps://www.revan.com.br/produto/crise-da-politica-externa-a-214",OLIVEIROS S. FERREIRA,,"R$ 42,00","R$ 21,00"
"CRISE NA ECONOMIAhttps://www.revan.com.br/produto/crise-na-economia-434","CARLOS ALBERTO COSENZA;FRANCISCO ANTONIO DORIA",,"R$ 39,00","R$ 19,50"
"CRÍTICA DO MENSALÃOhttps://www.revan.com.br/produto/critica-do-mensalao-672",NILO BATISTA,,"R$ 47,00","R$ 23,50"
