Título,Autor,Preço,Preço com desconto
CONVERSANDO NA ESCOLA SOBRE ELAS E ELES,Adla Betsaida Martins,"R$13,00","R$                              6,50"
MARX E A CRITICA DA EDUCACAO,Justino de Souza Junior,"R$24,90","R$                            12,45"
"TAO DA EFICACIA ORGANIZACIONAL, O",Cunha,"R$14,90","R$                              7,45"
PSICANALISE DO SENSIVEL,Ivanise de Azevedo Fontes,"R$21,00","R$                            10,50"
GRAMSCI E OS NOVOS EMBATES DA FILOSOFIA DA PRAXIS,Giovanni Semeraro,"R$19,90","R$                              9,95"
"FISICA DO SECULO XX, A",Michel Paty,"R$79,90","R$                            39,95"
CORA CORALINA,Rita Elisa Seda,"R$51,00","R$                            25,50"
EXISTENCIALISMO A LUZ DA FILOSOFIA CRISTA,Mário Curtis Giordani,"R$19,90","R$                              9,95"
COMO DRIBLAR A RAIVA NO TRABALHO,Luiz Gabriel Tiago,"R$19,90","R$                              9,95"
TOMISMO ANALITICO,Mario Micheletti,"R$19,90","R$                              9,95"
QUE E FILOSOFIA?,Gilvan Luiz Fogel,"R$16,00","R$                              8,00"
ESTADOS DE VIOLENCIA,Frédéric Gros,"R$29,90","R$                            14,95"
DO DIVA A ESPIRITUALIDADE,Sueli Meirelles,"R$29,90","R$                            14,95"
"BUDISMO E AS OUTRAS, O",Frank Usarski,"R$28,50","R$                            14,25"
FILOSOFIA E POLITICA,Giovanni Semeraro (Org.),"R$24,90","R$                            12,45"
E FACIL SER FELIZ,Vera Lúcia,"R$14,90","R$                              7,45"
MEIA-IDADE COMO RIQUEZA,Anselm Grün,"R$19,90","R$                              9,95"
ILUSTRACOES DA LOGICA DA CIENCIA,Charles Sanders Peirce,"R$34,90","R$                            17,45"
"MEU CAO, MINHA ORACAO",Hebert Brokering,"R$19,90","R$                              9,95"
"PRINCIPIO DE HUMANIDADE, O",Jean-Claude Guillebaud,"R$59,00","R$                            29,50"
"EDUCAR DOCENTES, ALUNOS, ESCOLAS, ETICAS, SOCIEDADE",Gérard Fourez,"R$44,90","R$                            22,45"
SARTRE E SEUS CONTEMPORANEOS,Constança Marcondes Cesar,"R$24,50","R$                            12,25"
FILOSOFIA DA CULTURA GREGA,Constança Marcondes Cesar,"R$14,90","R$                              7,45"
"SER E O HUMANO, O",Luiz Felipe Ormonde,"R$24,50","R$                            12,25"
OBSERVACOES SOBRE A FILOSOFIA DA PSICOLOGIA,Ludwig Wittgenstein,"R$59,90","R$                            29,95"
"SENTIDO DO SAGRADO, O",Julien Ries,"R$20,00","R$                            10,00"
